element_27-Co_n-tot,0.42
element_24-Cr_n-tot,0.195
element_28-Ni_n-tot,0.127
element_74-W_n-tot,0.027
element_25-Mn_n-tot,0.016
element_42-Mo_n-tot,0.022
element_06-C_n-tot,0.002
element_26-Fe_n-tot,0.191
