>,52-Te-123:0.008900
>,52-Te-124:0.047400
>,52-Te-125:0.070700
>,52-Te-126:0.188400
>,52-Te-128:0.317400
>,52-Te-130:0.340800
2.468750e+00,1.04773897e+02
2.471770e+00,1.00541902e+02
2.474800e+00,9.65377468e+01
2.477820e+00,9.27471917e+01
2.481320e+00,8.86078384e+01
2.484830e+00,8.47195540e+01
2.488330e+00,8.10646278e+01
2.491830e+00,7.76267726e+01
2.495340e+00,7.43906802e+01
2.498840e+00,7.13421999e+01
2.502340e+00,6.84683377e+01
2.505850e+00,6.57568113e+01
2.509350e+00,6.31964961e+01
2.512850e+00,6.07770678e+01
2.516350e+00,5.84888256e+01
2.519860e+00,5.63229582e+01
2.526860e+00,5.23262197e+01
2.533870e+00,4.87286461e+01
2.540880e+00,4.54801304e+01
2.547880e+00,4.25389319e+01
2.554890e+00,3.98679373e+01
2.561890e+00,3.74359078e+01
2.562500e+00,3.72427084e+01
2.568900e+00,3.52157081e+01
2.575910e+00,3.31837444e+01
2.582910e+00,3.13197238e+01
2.589920e+00,2.96058461e+01
2.595970e+00,2.82344532e+01
2.602020e+00,2.69547303e+01
2.608070e+00,2.57585784e+01
2.614120e+00,2.46392335e+01
2.620170e+00,2.35899316e+01
2.626220e+00,2.26051547e+01
2.632270e+00,2.16796518e+01
2.638320e+00,2.08090619e+01
2.644380e+00,1.99887568e+01
2.650430e+00,1.92151769e+01
2.656480e+00,1.84849400e+01
2.662530e+00,1.77948421e+01
2.668580e+00,1.71418572e+01
2.674630e+00,1.65237603e+01
2.686730e+00,1.53819955e+01
2.693740e+00,1.47733198e+01
2.700740e+00,1.41994432e+01
2.707750e+00,1.36578734e+01
2.714750e+00,1.31462078e+01
2.721760e+00,1.26623101e+01
2.728770e+00,1.22041333e+01
2.742780e+00,1.13582680e+01
2.750000e+00,1.09654684e+01
2.756790e+00,1.05960714e+01
2.770800e+00,9.90686404e+00
2.784810e+00,9.28173670e+00
2.798830e+00,8.71301743e+00
2.814110e+00,8.14929364e+00
2.829400e+00,7.63771483e+00
2.844680e+00,7.17212244e+00
2.859970e+00,6.74725632e+00
2.875260e+00,6.35856871e+00
2.890540e+00,6.00211702e+00
2.905830e+00,5.67440331e+00
2.921110e+00,5.37236621e+00
2.937500e+00,5.07472326e+00
2.938350e+00,5.05928814e+00
2.955590e+00,4.77223342e+00
2.972820e+00,4.50843451e+00
2.990060e+00,4.26549709e+00
3.007290e+00,4.04129428e+00
3.024530e+00,3.83398355e+00
3.041760e+00,3.64194534e+00
3.059000e+00,3.46376432e+00
3.059010e+00,3.46368856e+00
3.059020e+00,3.46357720e+00
3.059040e+00,3.46339898e+00
3.059070e+00,3.46304265e+00
3.059150e+00,3.46232087e+00
3.059290e+00,3.46088643e+00
3.059580e+00,3.45802633e+00
3.060580e+00,3.44807401e+00
3.061580e+00,3.43817510e+00
3.063590e+00,3.41848396e+00
3.067610e+00,3.37960897e+00
3.075630e+00,3.30379942e+00
3.091690e+00,3.15955820e+00
3.107740e+00,3.02444848e+00
3.123800e+00,2.89769576e+00
3.125000e+00,2.88879319e+00
3.139850e+00,2.77863781e+00
3.155910e+00,2.66664749e+00
3.171960e+00,2.56120767e+00
3.188020e+00,2.46180194e+00
3.215800e+00,2.30279943e+00
3.243580e+00,2.15851751e+00
3.271360e+00,2.02721180e+00
3.299140e+00,1.90737818e+00
3.312500e+00,1.85465701e+00
3.326920e+00,1.79776462e+00
3.354700e+00,1.69724885e+00
3.382480e+00,1.60484987e+00
3.410260e+00,1.51973109e+00
3.430650e+00,1.46148756e+00
3.451030e+00,1.40651042e+00
3.471410e+00,1.35456817e+00
3.491790e+00,1.30546503e+00
3.500000e+00,1.28674887e+00
3.512170e+00,1.25901429e+00
3.532550e+00,1.21502609e+00
3.573310e+00,1.13365349e+00
3.614080e+00,1.06005941e+00
3.654840e+00,9.93354008e-01
3.687500e+00,9.44795984e-01
3.695600e+00,9.32757608e-01
3.736360e+00,8.77573599e-01
3.784250e+00,8.18812002e-01
3.832130e+00,7.65784754e-01
3.875000e+00,7.22795823e-01
3.880020e+00,7.17765366e-01
3.927900e+00,6.74206991e-01
3.927910e+00,6.74198018e-01
3.927920e+00,6.74186375e-01
3.927950e+00,6.74166577e-01
3.927990e+00,6.74126237e-01
3.928090e+00,6.74046300e-01
3.928270e+00,6.73888352e-01
3.928630e+00,6.73571565e-01
3.929370e+00,6.72937847e-01
3.931680e+00,6.70942588e-01
3.934000e+00,6.68957937e-01
3.938620e+00,6.65015479e-01
3.947880e+00,6.57238109e-01
3.966390e+00,6.42106190e-01
4.003400e+00,6.13407937e-01
4.040420e+00,5.86597300e-01
4.062500e+00,5.71641627e-01
4.077440e+00,5.61526522e-01
4.114460e+00,5.38073085e-01
4.151480e+00,5.16098829e-01
4.188500e+00,4.95480042e-01
4.225510e+00,4.76109105e-01
4.250000e+00,4.64237584e-01
4.281560e+00,4.48961407e-01
4.337610e+00,4.24168326e-01
4.393660e+00,4.01454285e-01
4.437500e+00,3.85138319e-01
4.449710e+00,3.80594815e-01
4.505760e+00,3.61395931e-01
4.561800e+00,3.43686079e-01
4.617850e+00,3.27315615e-01
4.625000e+00,3.25381727e-01
4.673900e+00,3.12189647e-01
4.714660e+00,3.01898358e-01
4.755430e+00,2.92167714e-01
4.836950e+00,2.74142997e-01
4.918480e+00,2.57806555e-01
5.000000e+00,2.42960918e-01
5.043500e+00,2.35617797e-01
5.043510e+00,2.35616858e-01
5.043520e+00,2.35614583e-01
5.043530e+00,2.35612754e-01
5.043570e+00,2.35607215e-01
5.043630e+00,2.35596238e-01
5.043760e+00,2.35574234e-01
5.044030e+00,2.35531066e-01
5.044550e+00,2.35444829e-01
5.045600e+00,2.35273196e-01
5.047710e+00,2.34928990e-01
5.052220e+00,2.34193752e-01
5.056730e+00,2.33462964e-01
5.065750e+00,2.32012957e-01
5.083790e+00,2.29161893e-01
5.119870e+00,2.23642216e-01
5.192030e+00,2.13236542e-01
5.264190e+00,2.03602498e-01
5.312500e+00,1.97630520e-01
5.336350e+00,1.94692299e-01
