>,56-Ba-134:0.024170
>,56-Ba-135:0.065920
>,56-Ba-136:0.078540
>,56-Ba-137:0.112320
>,56-Ba-138:0.716980
4.062500e-05,4.89348516e+01
4.125000e-05,4.85789465e+01
4.250000e-05,4.78672179e+01
4.437500e-05,4.68684085e+01
4.625000e-05,4.59315037e+01
4.812500e-05,4.50502619e+01
5.000000e-05,4.42195736e+01
5.156250e-05,4.35624160e+01
5.224640e-05,4.32876032e+01
5.312500e-05,4.29346113e+01
5.449280e-05,4.24090943e+01
5.468750e-05,4.23343008e+01
5.625000e-05,4.17592904e+01
5.673920e-05,4.15867016e+01
5.781250e-05,4.12081005e+01
5.898560e-05,4.08107889e+01
5.937500e-05,4.06789217e+01
6.074280e-05,4.02337703e+01
6.093750e-05,4.01704119e+01
6.250000e-05,3.96812439e+01
6.406250e-05,3.92102700e+01
6.562500e-05,3.87564343e+01
6.718750e-05,3.83187201e+01
6.875000e-05,3.78960785e+01
7.187500e-05,3.70929739e+01
7.500000e-05,3.63412084e+01
7.750000e-05,3.57766922e+01
7.812500e-05,3.56355801e+01
8.000000e-05,3.52370756e+01
8.125000e-05,3.49714438e+01
8.362030e-05,3.44962535e+01
8.437500e-05,3.43449781e+01
8.724060e-05,3.38019110e+01
8.750000e-05,3.37527556e+01
8.828130e-05,3.36125189e+01
8.906250e-05,3.34723048e+01
9.062500e-05,3.31918726e+01
9.375000e-05,3.26597169e+01
9.687500e-05,3.21538339e+01
1.000000e-04,3.16721836e+01
1.031250e-04,3.12128242e+01
1.044930e-04,3.10208093e+01
1.062500e-04,3.07742342e+01
1.089860e-04,3.04070925e+01
1.093750e-04,3.03549009e+01
1.125000e-04,2.99533363e+01
1.134780e-04,2.98328694e+01
1.156250e-04,2.95684494e+01
1.179710e-04,2.92911507e+01
1.187500e-04,2.91990843e+01
1.214860e-04,2.88883984e+01
1.218750e-04,2.88442304e+01
1.250000e-04,2.85029990e+01
1.281250e-04,2.81745939e+01
1.312500e-04,2.78580816e+01
1.343750e-04,2.75529146e+01
1.375000e-04,2.72584067e+01
1.437500e-04,2.66989394e+01
1.500000e-04,2.61754109e+01
1.550000e-04,2.57824771e+01
1.562500e-04,2.56842555e+01
1.600000e-04,2.54070304e+01
1.625000e-04,2.52222403e+01
1.672410e-04,2.48917607e+01
1.687500e-04,2.47865904e+01
1.744810e-04,2.44091386e+01
1.750000e-04,2.43749595e+01
1.765630e-04,2.42774875e+01
1.781250e-04,2.41800809e+01
1.812500e-04,2.39852155e+01
1.875000e-04,2.36155335e+01
1.937500e-04,2.32643454e+01
2.000000e-04,2.29299880e+01
2.068270e-04,2.25858753e+01
2.093750e-04,2.24574604e+01
2.136550e-04,2.22560634e+01
2.187500e-04,2.20163460e+01
2.204820e-04,2.19400321e+01
2.273100e-04,2.16392198e+01
2.281250e-04,2.16033184e+01
2.341370e-04,2.13546266e+01
2.375000e-04,2.12155285e+01
2.409640e-04,2.10806665e+01
2.468750e-04,2.08505622e+01
2.477920e-04,2.08168856e+01
2.546190e-04,2.05661930e+01
2.562500e-04,2.05063089e+01
2.648100e-04,2.02091655e+01
2.656250e-04,2.01808786e+01
2.750000e-04,1.98726258e+01
2.843580e-04,1.95806391e+01
2.843750e-04,1.95801088e+01
2.937160e-04,1.93030977e+01
2.937500e-04,1.93020895e+01
2.943360e-04,1.92855377e+01
2.949220e-04,1.92689861e+01
2.964890e-04,1.92247265e+01
2.980570e-04,1.91804397e+01
3.011920e-04,1.90918970e+01
3.031250e-04,1.90373060e+01
3.074610e-04,1.89205614e+01
3.125000e-04,1.87849048e+01
3.200000e-04,1.85920938e+01
3.218750e-04,1.85438989e+01
3.312500e-04,1.83134501e+01
3.344810e-04,1.82374096e+01
3.406250e-04,1.80928374e+01
3.489620e-04,1.79047714e+01
3.500000e-04,1.78813583e+01
3.523440e-04,1.78306219e+01
3.546880e-04,1.77798869e+01
3.593750e-04,1.76784422e+01
3.687500e-04,1.74835140e+01
3.781250e-04,1.72960771e+01
3.875000e-04,1.71156607e+01
3.968750e-04,1.69418526e+01
4.062500e-04,1.67742477e+01
4.250000e-04,1.64562877e+01
4.437500e-04,1.61592283e+01
4.625000e-04,1.58809038e+01
4.812500e-04,1.56194668e+01
5.000000e-04,1.53732568e+01
5.156250e-04,1.51786880e+01
5.312500e-04,1.49930190e+01
5.468750e-04,1.48155770e+01
5.625000e-04,1.46457702e+01
5.781250e-04,1.44830763e+01
5.937500e-04,1.43270242e+01
6.093750e-04,1.41771701e+01
6.250000e-04,1.40331290e+01
6.400000e-04,1.39000535e+01
6.406250e-04,1.38945094e+01
6.562500e-04,1.37610291e+01
6.675000e-04,1.36683644e+01
6.718750e-04,1.36323340e+01
6.875000e-04,1.35081628e+01
6.950000e-04,1.34515770e+01
7.187500e-04,1.32724172e+01
7.225000e-04,1.32459532e+01
7.500000e-04,1.30519143e+01
7.812500e-04,1.28451184e+01
8.125000e-04,1.26506707e+01
8.437500e-04,1.24673898e+01
8.750000e-04,1.22942521e+01
9.062500e-04,1.21303725e+01
9.375000e-04,1.19749350e+01
9.687500e-04,1.18272784e+01
1.000000e-03,1.16867414e+01
1.031250e-03,1.15527972e+01
1.062500e-03,1.14249329e+01
1.093750e-03,1.13027187e+01
1.125000e-03,1.11857394e+01
1.156250e-03,1.10736427e+01
1.187500e-03,1.09660880e+01
1.218750e-03,1.08627937e+01
1.250000e-03,1.07634704e+01
1.280000e-03,1.06717095e+01
1.281250e-03,1.06678866e+01
1.312500e-03,1.05758123e+01
1.335000e-03,1.05118830e+01
1.343750e-03,1.04870257e+01
1.375000e-03,1.04013485e+01
1.390000e-03,1.03622873e+01
1.437500e-03,1.02386134e+01
1.445000e-03,1.02203401e+01
1.500000e-03,1.00863565e+01
1.562500e-03,9.94350648e+00
1.625000e-03,9.80913401e+00
1.687500e-03,9.68242440e+00
1.750000e-03,9.56269564e+00
1.812500e-03,9.44932215e+00
1.875000e-03,9.34176326e+00
1.937500e-03,9.23954098e+00
2.000000e-03,9.14224260e+00
2.070000e-03,9.03950910e+00
2.093750e-03,9.00465776e+00
2.140000e-03,8.94126625e+00
2.187500e-03,8.87617003e+00
2.210000e-03,8.84728083e+00
2.280000e-03,8.75741495e+00
2.281250e-03,8.75581040e+00
2.350000e-03,8.67290008e+00
2.375000e-03,8.64275444e+00
2.420000e-03,8.59166251e+00
2.468750e-03,8.53631939e+00
2.490000e-03,8.51354265e+00
2.560000e-03,8.43852196e+00
2.562500e-03,8.43584277e+00
2.568360e-03,8.42990290e+00
2.574220e-03,8.42396304e+00
2.596190e-03,8.40169400e+00
2.618170e-03,8.37941577e+00
2.656250e-03,8.34082087e+00
2.662110e-03,8.33519188e+00
2.750000e-03,8.25077500e+00
2.843750e-03,8.16528247e+00
2.937500e-03,8.08396641e+00
3.031250e-03,8.00652694e+00
3.125000e-03,7.93262316e+00
3.218750e-03,7.86202541e+00
3.312500e-03,7.79449012e+00
3.406250e-03,7.72979730e+00
3.500000e-03,7.66775092e+00
3.593750e-03,7.60817513e+00
3.687500e-03,7.55092188e+00
3.781250e-03,7.49584699e+00
3.875000e-03,7.44279494e+00
3.968750e-03,7.39165747e+00
4.062500e-03,7.34232698e+00
4.250000e-03,7.24866513e+00
4.437500e-03,7.16108407e+00
4.625000e-03,7.07892914e+00
4.812500e-03,7.00167443e+00
5.000000e-03,6.92886665e+00
5.120000e-03,6.88463862e+00
5.156250e-03,6.87127945e+00
5.261250e-03,6.83431964e+00
5.312500e-03,6.81628167e+00
5.402500e-03,6.78598398e+00
5.468750e-03,6.76368383e+00
5.543750e-03,6.73950556e+00
5.625000e-03,6.71331511e+00
5.685000e-03,6.69476826e+00
5.781250e-03,6.66501911e+00
5.826250e-03,6.65166963e+00
5.937500e-03,6.61866991e+00
5.967500e-03,6.61011600e+00
6.093750e-03,6.57412180e+00
6.108750e-03,6.57000839e+00
6.250000e-03,6.53127749e+00
6.406250e-03,6.49002099e+00
6.562500e-03,6.45027339e+00
6.718750e-03,6.41192623e+00
6.875000e-03,6.37490752e+00
7.187500e-03,6.30455409e+00
7.500000e-03,6.23868137e+00
7.812500e-03,6.17682223e+00
8.125000e-03,6.11861542e+00
8.437500e-03,6.06369292e+00
8.750000e-03,6.01176150e+00
9.062500e-03,5.96256764e+00
9.375000e-03,5.91586115e+00
9.687500e-03,5.87146091e+00
1.000000e-02,5.82917026e+00
1.031250e-02,5.78884085e+00
1.062500e-02,5.75030437e+00
1.093750e-02,5.71345135e+00
1.125000e-02,5.67816088e+00
1.156250e-02,5.64430795e+00
1.187500e-02,5.61183075e+00
1.218750e-02,5.58060527e+00
1.250000e-02,5.55057032e+00
1.281250e-02,5.52165447e+00
1.312500e-02,5.49378586e+00
1.343750e-02,5.46690255e+00
1.375000e-02,5.44093096e+00
1.437500e-02,5.39159276e+00
1.500000e-02,5.34538047e+00
1.562500e-02,5.30198780e+00
1.625000e-02,5.26113590e+00
1.687500e-02,5.22258489e+00
1.750000e-02,5.18613101e+00
1.812500e-02,5.15158571e+00
1.875000e-02,5.11878915e+00
1.937500e-02,5.08760720e+00
2.000000e-02,5.05789867e+00
2.066250e-02,5.02790248e+00
2.132500e-02,4.99932802e+00
2.198750e-02,4.97205288e+00
2.265000e-02,4.94599732e+00
2.331250e-02,4.92106254e+00
2.397500e-02,4.89716922e+00
2.463750e-02,4.87425593e+00
2.530000e-02,4.85225498e+00
2.611300e-02,4.82666540e+00
2.645780e-02,4.81581401e+00
2.692600e-02,4.80201848e+00
2.761560e-02,4.78170192e+00
2.773910e-02,4.77828572e+00
2.855210e-02,4.75579967e+00
2.877340e-02,4.74967962e+00
2.936510e-02,4.73428200e+00
2.993130e-02,4.71954962e+00
3.017810e-02,4.71349042e+00
3.099110e-02,4.69353264e+00
3.108910e-02,4.69112716e+00
3.180420e-02,4.67452925e+00
3.224690e-02,4.66425528e+00
3.311380e-02,4.64519106e+00
3.340470e-02,4.63879482e+00
3.442340e-02,4.61753253e+00
3.456250e-02,4.61462968e+00
3.552740e-02,4.59540628e+00
3.573310e-02,4.59147017e+00
3.649220e-02,4.57694683e+00
3.704270e-02,4.56682357e+00
3.745700e-02,4.55920602e+00
3.835240e-02,4.54336858e+00
3.842190e-02,4.54213946e+00
3.938670e-02,4.52570385e+00
3.966200e-02,4.52118357e+00
4.035160e-02,4.50986225e+00
4.097160e-02,4.50004055e+00
4.131640e-02,4.49457913e+00
4.228130e-02,4.47981962e+00
4.421090e-02,4.45177696e+00
4.614060e-02,4.42551703e+00
4.807030e-02,4.40085778e+00
5.000000e-02,4.37764482e+00
5.060000e-02,4.37079619e+00
5.156250e-02,4.35981106e+00
5.279380e-02,4.34638824e+00
5.312500e-02,4.34277832e+00
5.468750e-02,4.32648039e+00
5.498750e-02,4.32348204e+00
5.625000e-02,4.31086605e+00
5.718130e-02,4.30193884e+00
5.781250e-02,4.29588925e+00
5.937500e-02,4.28151464e+00
5.952570e-02,4.28018140e+00
5.989750e-02,4.27689215e+00
6.026930e-02,4.27360298e+00
6.093750e-02,4.26769190e+00
6.101290e-02,4.26705038e+00
6.250000e-02,4.25439880e+00
6.406250e-02,4.24159760e+00
6.562500e-02,4.22926123e+00
6.718750e-02,4.21735760e+00
6.875000e-02,4.20586099e+00
7.187500e-02,4.18400425e+00
7.500000e-02,4.16352620e+00
7.812500e-02,4.14428122e+00
8.125000e-02,4.12614760e+00
8.437500e-02,4.10904024e+00
8.750000e-02,4.09285174e+00
9.062500e-02,4.07751045e+00
9.375000e-02,4.06294672e+00
9.687500e-02,4.04909036e+00
1.000000e-01,4.03588301e+00
1.031250e-01,4.02328833e+00
1.046880e-01,4.01726649e+00
1.062500e-01,4.01124960e+00
1.093750e-01,3.99972991e+00
1.125000e-01,3.98869678e+00
1.140630e-01,3.98340235e+00
1.156250e-01,3.97811218e+00
1.187500e-01,3.96794216e+00
1.190510e-01,3.96700077e+00
1.197950e-01,3.96467391e+00
1.205390e-01,3.96234712e+00
1.218750e-01,3.95816903e+00
1.220260e-01,3.95771464e+00
1.250000e-01,3.94876582e+00
1.281250e-01,3.93971410e+00
1.312500e-01,3.93098277e+00
1.343750e-01,3.92256582e+00
1.375000e-01,3.91443843e+00
1.437500e-01,3.89897033e+00
1.500000e-01,3.88446865e+00
1.562500e-01,3.87083789e+00
1.625000e-01,3.85800054e+00
1.687500e-01,3.84587587e+00
1.750000e-01,3.83440158e+00
1.812500e-01,3.82352687e+00
1.875000e-01,3.81320162e+00
1.937500e-01,3.80337706e+00
2.000000e-01,3.79402170e+00
2.046880e-01,3.78739431e+00
2.093750e-01,3.78076963e+00
2.187500e-01,3.76836512e+00
2.281250e-01,3.75672254e+00
2.375000e-01,3.74577510e+00
2.381030e-01,3.74511050e+00
2.404090e-01,3.74256897e+00
2.427150e-01,3.74002755e+00
2.468750e-01,3.73544310e+00
2.473270e-01,3.73497253e+00
2.562500e-01,3.72568403e+00
2.565510e-01,3.72538727e+00
2.656250e-01,3.71644252e+00
2.657760e-01,3.71630115e+00
2.750000e-01,3.70766688e+00
2.843750e-01,3.69932898e+00
2.937500e-01,3.69138145e+00
3.031250e-01,3.68380564e+00
3.125000e-01,3.67657264e+00
3.218750e-01,3.66964441e+00
3.312500e-01,3.66301372e+00
3.406250e-01,3.65665778e+00
3.500000e-01,3.65055015e+00
3.593750e-01,3.64467774e+00
3.687500e-01,3.63902528e+00
3.781250e-01,3.63358222e+00
3.875000e-01,3.62834019e+00
3.968750e-01,3.62328081e+00
4.062500e-01,3.61839933e+00
4.156250e-01,3.61375506e+00
