>,16-S-34:0.042504
1.000000e-05,2.58507427e+01
1.031250e-05,2.54560155e+01
1.062500e-05,2.50788955e+01
1.093750e-05,2.47180256e+01
1.125000e-05,2.43722340e+01
1.156250e-05,2.40406522e+01
1.187500e-05,2.37222016e+01
1.218750e-05,2.34161069e+01
1.250000e-05,2.31215940e+01
1.281250e-05,2.28378783e+01
1.312500e-05,2.25643793e+01
1.343750e-05,2.23004163e+01
1.375000e-05,2.20455967e+01
1.437500e-05,2.15609671e+01
1.500000e-05,2.11069847e+01
1.562500e-05,2.06805367e+01
1.625000e-05,2.02789955e+01
1.687500e-05,1.98998351e+01
1.750000e-05,1.95412985e+01
1.812500e-05,1.92014433e+01
1.875000e-05,1.88787128e+01
1.937500e-05,1.85716487e+01
2.000000e-05,1.82791769e+01
2.093750e-05,1.78652793e+01
2.187500e-05,1.74782368e+01
2.281250e-05,1.71153230e+01
2.375000e-05,1.67741069e+01
2.468750e-05,1.64525436e+01
2.562500e-05,1.61487859e+01
2.656250e-05,1.58612753e+01
2.750000e-05,1.55885557e+01
2.843750e-05,1.53294566e+01
2.937500e-05,1.50828121e+01
3.031250e-05,1.48477451e+01
3.125000e-05,1.46233793e+01
3.218750e-05,1.44088420e+01
3.312500e-05,1.42034511e+01
3.406250e-05,1.40066215e+01
3.500000e-05,1.38177699e+01
3.593750e-05,1.36363141e+01
3.687500e-05,1.34618622e+01
3.781250e-05,1.32939297e+01
3.875000e-05,1.31321266e+01
3.968750e-05,1.29761596e+01
4.062500e-05,1.28255461e+01
4.250000e-05,1.25393999e+01
4.437500e-05,1.22716410e+01
4.625000e-05,1.20203254e+01
4.812500e-05,1.17838001e+01
5.000000e-05,1.15607966e+01
5.156250e-05,1.13843014e+01
5.312500e-05,1.12155911e+01
5.468750e-05,1.10542733e+01
5.625000e-05,1.08995748e+01
5.781250e-05,1.07512951e+01
5.937500e-05,1.06089497e+01
6.093750e-05,1.04720544e+01
6.250000e-05,1.03403162e+01
6.406250e-05,1.02134419e+01
6.562500e-05,1.00910456e+01
6.718750e-05,9.97302553e+00
6.875000e-05,9.85909097e+00
7.187500e-05,9.64236468e+00
7.500000e-05,9.43933762e+00
7.812500e-05,9.24862775e+00
8.125000e-05,9.06902924e+00
8.437500e-05,8.89949139e+00
8.750000e-05,8.73912796e+00
9.062500e-05,8.58713231e+00
9.375000e-05,8.44280339e+00
9.687500e-05,8.30550942e+00
1.000000e-04,8.17470486e+00
1.031250e-04,8.04989345e+00
1.062500e-04,7.93062816e+00
1.093750e-04,7.81651938e+00
1.125000e-04,7.70718793e+00
1.156250e-04,7.60232272e+00
1.187500e-04,7.50163115e+00
1.218750e-04,7.40483127e+00
1.250000e-04,7.31168020e+00
1.281250e-04,7.22196385e+00
1.312500e-04,7.13546792e+00
1.343750e-04,7.05201668e+00
1.375000e-04,6.97141717e+00
1.437500e-04,6.81817585e+00
1.500000e-04,6.67462535e+00
1.562500e-04,6.53976380e+00
1.625000e-04,6.41277285e+00
1.687500e-04,6.29289494e+00
1.750000e-04,6.17949650e+00
1.812500e-04,6.07202342e+00
1.875000e-04,5.96995988e+00
1.937500e-04,5.87288798e+00
2.000000e-04,5.78038861e+00
2.093750e-04,5.64949640e+00
2.187500e-04,5.52710791e+00
2.281250e-04,5.41234743e+00
2.375000e-04,5.30445611e+00
2.468750e-04,5.20276224e+00
2.562500e-04,5.10670221e+00
2.656250e-04,5.01576961e+00
2.750000e-04,4.92953577e+00
2.843750e-04,4.84760280e+00
2.937500e-04,4.76962009e+00
3.031250e-04,4.69527663e+00
3.125000e-04,4.62431880e+00
3.218750e-04,4.55647431e+00
3.312500e-04,4.49152922e+00
3.406250e-04,4.42928899e+00
3.500000e-04,4.36956891e+00
3.593750e-04,4.31219374e+00
3.687500e-04,4.25702662e+00
3.781250e-04,4.20392274e+00
3.875000e-04,4.15275496e+00
3.968750e-04,4.10341605e+00
4.062500e-04,4.05578978e+00
4.250000e-04,3.96531408e+00
4.437500e-04,3.88063751e+00
4.625000e-04,3.80116611e+00
4.812500e-04,3.72637482e+00
5.000000e-04,3.65584481e+00
5.156250e-04,3.60002642e+00
5.312500e-04,3.54668867e+00
5.468750e-04,3.49565711e+00
5.625000e-04,3.44676560e+00
5.781250e-04,3.39986918e+00
5.937500e-04,3.35483113e+00
6.093750e-04,3.31154395e+00
6.250000e-04,3.26988211e+00
6.406250e-04,3.22976670e+00
6.562500e-04,3.19108198e+00
6.718750e-04,3.15375916e+00
6.875000e-04,3.11771124e+00
7.187500e-04,3.04918548e+00
7.500000e-04,2.98498015e+00
7.812500e-04,2.92467602e+00
8.125000e-04,2.86787490e+00
8.437500e-04,2.81426463e+00
8.750000e-04,2.76355417e+00
9.062500e-04,2.71548965e+00
9.375000e-04,2.66984848e+00
9.687500e-04,2.62643500e+00
1.000000e-03,2.58507434e+00
1.031250e-03,2.54560155e+00
1.062500e-03,2.50788955e+00
1.093750e-03,2.47180256e+00
1.125000e-03,2.43722340e+00
1.156250e-03,2.40406529e+00
1.187500e-03,2.37222016e+00
1.218750e-03,2.34161069e+00
1.250000e-03,2.31215940e+00
1.281250e-03,2.28378783e+00
1.312500e-03,2.25643793e+00
1.343750e-03,2.23004163e+00
1.375000e-03,2.20455972e+00
1.437500e-03,2.15609671e+00
1.500000e-03,2.11069851e+00
1.562500e-03,2.06805367e+00
1.625000e-03,2.02789955e+00
1.687500e-03,1.98998351e+00
1.750000e-03,1.95412980e+00
1.812500e-03,1.92014433e+00
1.875000e-03,1.88787128e+00
1.937500e-03,1.85716487e+00
2.000000e-03,1.82791769e+00
2.093750e-03,1.78652793e+00
2.187500e-03,1.74782368e+00
2.281250e-03,1.71153230e+00
2.375000e-03,1.67741064e+00
2.468750e-03,1.64525425e+00
2.562500e-03,1.61487848e+00
2.656250e-03,1.58612749e+00
2.750000e-03,1.55885545e+00
2.843750e-03,1.53294550e+00
2.937500e-03,1.50828117e+00
3.031250e-03,1.48477439e+00
3.125000e-03,1.46233787e+00
3.218750e-03,1.44088414e+00
