Fe-57(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000578125 16.4141
0.000593750 16.1967
0.000609375 15.9877
0.000625000 15.7866
0.000640625 15.5929
0.000656250 15.4061
0.000671875 15.2259
0.000687500 15.0519
0.000718750 14.7211
0.000750000 14.4111
0.000781250 14.1200
0.000812500 13.8458
0.000843750 13.5869
0.000875000 13.3421
0.000906250 13.1101
0.000937500 12.8897
0.000968750 12.6801
0.00100000 12.4804
0.00103125 12.2899
0.00106250 12.1078
0.00109375 11.9335
0.00112500 11.7666
0.00115625 11.6065
0.00118750 11.4528
0.00121875 11.3050
0.00125000 11.1628
0.00128125 11.0258
0.00131250 10.8938
0.00134375 10.7664
0.00137500 10.6433
0.00143750 10.4094
0.00150000 10.1902
0.00156250 9.98432
0.00162500 9.79043
0.00168750 9.60741
0.00175000 9.43429
0.00181250 9.27020
0.00187500 9.11439
0.00193750 8.96618
0.00200000 8.82497
0.00209375 8.62513
0.00218750 8.43828
0.00228125 8.26307
0.00237500 8.09834
0.00246875 7.94308
0.00256250 7.79643
0.00265625 7.65760
0.00275000 7.52594
0.00284375 7.40085
0.00293750 7.28179
0.00303125 7.16830
0.00312500 7.05995
0.00321875 6.95638
0.00331250 6.85723
0.00340625 6.76221
0.00350000 6.67102
0.00359375 6.58343
0.00368750 6.49921
0.00378125 6.41813
0.00387500 6.34002
0.00396875 6.26469
0.00406250 6.19198
0.00425000 6.05385
0.00443750 5.92457
0.00462500 5.80323
0.00481250 5.68906
0.00500000 5.58137
0.00515625 5.49615
0.00531250 5.41472
0.00546875 5.33681
0.00562500 5.26217
0.00578125 5.19057
0.00593750 5.12181
0.00609375 5.05572
0.00625000 4.99213
0.00640625 4.93087
0.00656250 4.87182
0.00671875 4.81483
0.00687500 4.75980
0.00718750 4.65518
0.00750000 4.55716
0.00781250 4.46509
0.00812500 4.37838
0.00843750 4.29653
0.00875000 4.21911
0.00906250 4.14572
0.00937500 4.07604
0.00968750 4.00976
0.0100000 3.94661
0.0103125 3.88635
0.0106250 3.82877
0.0109375 3.77368
0.0112500 3.72090
0.0115625 3.67027
0.0118750 3.62166
0.0121875 3.57492
0.0125000 3.52996
0.0128125 3.48664
0.0131250 3.44489
0.0134375 3.40460
0.0137500 3.36569
0.0143750 3.29171
0.0150000 3.22240
0.0156250 3.15729
0.0162500 3.09598
0.0168750 3.03810
0.0175000 2.98336
0.0181250 2.93146
0.0187500 2.88219
0.0193750 2.83531
0.0200000 2.79065
0.0206625 2.74555
0.0213250 2.70256
0.0219875 2.66153
0.0226500 2.62231
0.0233125 2.58478
0.0239750 2.54881
0.0246375 2.51431
0.0253000 2.48117
0.0264578 2.42627
0.0276156 2.37487
0.0287734 2.32661
0.0299313 2.28117
0.0310891 2.23830
0.0322469 2.19776
0.0334047 2.15934
0.0345625 2.12287
0.0355274 2.09385
0.0364922 2.06598
0.0374570 2.03920
0.0384219 2.01344
0.0393867 1.98862
0.0403516 1.96470
0.0413164 1.94162
0.0422813 1.91933
0.0442109 1.87697
0.0461406 1.83729
0.0480703 1.80003
0.0500000 1.76494
0.0515625 1.73799
0.0531250 1.71223
0.0546875 1.68759
0.0562500 1.66398
0.0578125 1.64134
0.0593750 1.61960
0.0609375 1.59871
0.0625000 1.57860
0.0640625 1.55923
0.0656250 1.54056
0.0671875 1.52255
0.0687500 1.50516
0.0718750 1.47208
0.0750000 1.44109
0.0781250 1.41198
0.0812500 1.38455
0.0843750 1.35867
0.0875000 1.33418
0.0906250 1.31096
0.0937500 1.28892
0.0968750 1.26795
0.100000 1.24798
0.103125 1.22892
0.106250 1.21071
0.109375 1.19328
0.112500 1.17659
0.115625 1.16057
0.118750 1.14520
0.121875 1.13042
0.125000 1.11620
0.128125 1.10251
0.131250 1.08931
0.134375 1.07658
0.137500 1.06428
0.143750 1.04090
0.150000 1.01899
0.156250 0.998397
0.162500 0.979003
0.168750 0.960695
0.175000 0.943377
0.181250 0.926966
0.187500 0.911386
0.193750 0.896569
0.200000 0.882454
0.209375 0.862477
0.218750 0.843792
0.228125 0.826266
0.237500 0.809785
0.246875 0.794253
0.256250 0.779581
0.265625 0.765693
0.275000 0.752521
0.284375 0.740007
0.293750 0.728097
0.303125 0.716745
0.312500 0.705907
0.321875 0.695546
0.331250 0.685628
0.340625 0.676123
0.350000 0.667003
0.359375 0.658242
0.368750 0.649818
0.378125 0.641711
0.387500 0.633903
0.396875 0.626377
0.406250 0.619116
0.425000 0.605316
0.443750 0.592388
0.462500 0.580251
0.500000 0.558090
0.531250 0.541445
0.562500 0.526178
0.593750 0.512128
0.625000 0.499147
0.687500 0.475894
0.750000 0.455615
0.812500 0.437725
0.875000 0.421833
0.937500 0.407555
1.00000 0.394592
1.06250 0.382792
1.12500 0.371990
1.18750 0.362054
1.25000 0.352873
1.37500 0.336427
1.50000 0.322084
1.62500 0.309429
1.75000 0.298187
1.87500 0.288086
2.00000 0.278905
2.18750 0.266648
2.37500 0.255885
2.56250 0.246326
2.75000 0.237781
2.93750 0.230068
3.12500 0.223039
3.31250 0.216616
3.50000 0.210717
3.87500 0.200230
4.25000 0.191163
4.62500 0.183223
5.00000 0.176201
5.31250 0.170927
5.62500 0.166091
5.93750 0.161641
6.25000 0.157530
6.87500 0.150163
7.50000 0.143737
8.12500 0.138066
8.75000 0.133021
9.37500 0.128488
10.0000 0.124379
10.6250 0.120637
11.2500 0.117212
11.8750 0.114060
12.5000 0.111147
13.7500 0.105927
15.0000 0.101373
16.2500 0.0973534
17.5000 0.0937747
18.7500 0.0905589
20.0000 0.0876436
21.8750 0.0837477
23.7500 0.0803222
25.6250 0.0772783
27.5000 0.0745519
29.3750 0.0720896
31.2500 0.0698490
33.1250 0.0678004
35.0000 0.0659178
38.7500 0.0625687
42.5000 0.0596705
46.2500 0.0571298
50.0000 0.0548793
53.1250 0.0531877
56.2500 0.0516369
59.3750 0.0502093
62.5000 0.0488891
68.7500 0.0465218
75.0000 0.0444542
81.2500 0.0426276
87.5000 0.0409991
93.7500 0.0395347
100.000 0.0382076
106.250 0.0369982
112.500 0.0358899
118.750 0.0348694
125.000 0.0339257
137.500 0.0322332
150.000 0.0307549
162.500 0.0294492
175.000 0.0282853
187.500 0.0272391
200.000 0.0262916
218.750 0.0250254
237.500 0.0239124
256.250 0.0229243
275.000 0.0220400
293.750 0.0212429
312.500 0.0205195
331.250 0.0198597
350.000 0.0192552
368.750 0.0186989
387.500 0.0181851
425.000 0.0172664
462.500 0.0164684
500.000 0.0157690
531.250 0.0152489
562.500 0.0147776
593.750 0.0143489
625.000 0.0139576
656.250 0.0135995
687.500 0.0132709
750.000 0.0126906
812.500 0.0121974
875.000 0.0117769
937.500 0.0114184
1000.00 0.0111134
1039.34 0.0109467
1078.69 0.0107981
1118.03 0.0106669
1157.37 0.0105528
1236.06 0.0103777
1275.40 0.0103197
1314.74 0.0102861
1354.08 0.0102845
1393.43 0.0103298
1413.10 0.0103789
1432.77 0.0104541
1452.44 0.0105664
1472.11 0.0107344
1481.95 0.0108486
1491.78 0.0109907
1501.62 0.0111692
1511.45 0.0113968
1521.29 0.0116918
1531.12 0.0120822
1536.04 0.0123260
1540.96 0.0126122
1545.88 0.0129508
1550.80 0.0133552
1555.71 0.0138435
1560.63 0.0144404
1565.55 0.0151801
1570.47 0.0161119
1572.93 0.0166711
1575.39 0.0173080
1577.84 0.0180374
1580.30 0.0188782
1582.76 0.0198542
1585.22 0.0209958
1587.68 0.0223428
1590.14 0.0239466
1592.60 0.0258786
1595.06 0.0282334
1596.29 0.0296097
1597.52 0.0311441
1598.75 0.0328649
1599.97 0.0348001
1601.20 0.0369905
1602.43 0.0394788
1603.66 0.0423264
1604.89 0.0456003
1606.12 0.0493962
1607.35 0.0538238
1608.58 0.0590356
1609.20 0.0619973
1609.81 0.0652282
1610.42 0.0687739
1611.04 0.0726703
1611.65 0.0769650
1612.27 0.0817062
1612.88 0.0869755
1613.50 0.0928446
1614.11 0.0994081
1614.73 0.106767
1615.34 0.115084
1615.96 0.124516
1616.57 0.135271
1617.19 0.147589
1617.80 0.161834
1618.11 0.169812
1618.42 0.178404
1618.72 0.187737
1619.03 0.197831
1619.34 0.208808
1619.65 0.220772
1619.95 0.233891
1620.26 0.248221
1620.57 0.264022
1620.88 0.281384
1621.18 0.300650
1621.49 0.321962
1621.80 0.345701
1622.10 0.372246
1622.41 0.402162
1622.72 0.435814
1622.87 0.454346
1623.03 0.474109
1623.18 0.495217
1623.33 0.517642
1623.49 0.541815
1623.64 0.567751
1623.80 0.595625
1623.95 0.625432
1624.10 0.657783
1624.26 0.692508
1624.41 0.730347
1624.56 0.771130
1624.72 0.815766
1624.87 0.864427
1625.03 0.917613
1625.18 0.975504
1625.33 1.03952
1625.49 1.11009
1625.64 1.18813
1625.79 1.27413
1625.95 1.37050
1626.02 1.42284
1626.10 1.47825
1626.18 1.53695
1626.26 1.59923
1626.33 1.66536
1626.41 1.73473
1626.49 1.80953
1626.56 1.88925
1626.64 1.97435
1626.72 2.06409
1626.79 2.16136
1626.87 2.26565
1626.95 2.37762
1627.02 2.49643
1627.10 2.62605
1627.18 2.76595
1627.25 2.91724
1627.33 3.08116
1627.41 3.25915
1627.48 3.45283
1627.56 3.66407
1627.64 3.89189
1627.71 4.14473
1627.79 4.42262
1627.87 4.72888
1627.94 5.06281
1628.02 5.43772
1628.06 5.64334
1628.10 5.85484
1628.14 6.08419
1628.18 6.32053
1628.21 6.57053
1628.25 6.83522
1628.29 7.12335
1628.33 7.42141
1628.37 7.74654
1628.41 8.08358
1628.44 8.45203
1628.48 8.83483
1628.52 9.25427
1628.56 9.69107
1628.60 10.1708
1628.64 10.6717
1628.68 11.2231
1628.71 11.8003
1628.75 12.4374
1628.79 13.1060
1628.83 13.8263
1628.87 14.6033
1628.91 15.4657
1628.94 16.3753
1628.98 17.3874
1629.02 18.4578
1629.06 19.6516
1629.10 20.9170
1629.14 22.2934
1629.17 23.7917
1629.21 25.4686
1629.25 27.2509
1629.29 29.2463
1629.33 31.3663
1629.37 33.7366
1629.40 36.2484
1629.44 38.9707
1629.48 41.9110
1629.51 44.6436
1629.55 47.4499
1629.58 50.4976
1629.61 53.5879
1629.68 60.1745
1629.74 66.9027
1629.77 70.2212
1629.81 73.2753
1629.84 76.1653
1629.87 78.6250
1629.90 80.7147
1629.94 82.2273
1629.97 83.1902
1630.00 83.5034
1630.03 83.1716
1630.07 82.2298
1630.10 80.6626
1630.13 78.6297
1630.16 76.0884
1630.20 73.2821
1630.23 70.1305
1630.26 66.9112
1630.33 60.1843
1630.39 53.5986
1630.42 50.4141
1630.46 47.4612
1630.49 44.5698
1630.52 41.9227
1630.54 40.1167
1630.57 38.3914
1630.59 36.7455
1630.61 35.2441
1630.63 33.7483
1630.66 32.3862
1630.68 31.0312
1630.70 29.7984
1630.72 28.5731
1630.75 27.4590
1630.77 26.3520
1630.79 25.3456
1630.84 23.4363
1630.88 21.7106
1630.93 20.1162
1630.97 18.7050
1631.02 17.4247
1631.06 16.2615
1631.11 15.2027
1631.15 14.2374
1631.20 13.3557
1631.24 12.5488
1631.29 11.7935
1631.33 11.1154
1631.38 10.4916
1631.42 9.91670
1631.47 9.38590
1631.51 8.89503
1631.56 8.44035
1631.60 8.01852
1631.65 7.61817
1631.69 7.25401
1631.74 6.91463
1631.78 6.59790
1631.83 6.30191
1631.87 6.02494
1631.92 5.76543
1631.96 5.52198
1632.01 5.28840
1632.06 5.07368
1632.10 4.87154
1632.15 4.68104
1632.19 4.50132
1632.24 4.33160
1632.28 4.17116
1632.33 4.01934
1632.42 3.73631
1632.51 3.48448
1632.60 3.25702
1632.69 3.05093
1632.78 2.86165
1632.87 2.69114
1632.96 2.53533
1633.05 2.39260
1633.14 2.26153
1633.23 2.14090
1633.32 2.02963
1633.41 1.92680
1633.50 1.83055
1633.59 1.74227
1633.68 1.66022
1633.77 1.58383
1633.86 1.51183
1633.95 1.44535
1634.04 1.38316
1634.13 1.32491
1634.22 1.26969
1634.31 1.21841
1634.40 1.17018
1634.49 1.12477
1634.58 1.08151
1634.67 1.04114
1634.76 1.00300
1634.85 0.966935
1635.03 0.900087
1635.21 0.840301
1635.39 0.786042
1635.57 0.737178
1635.75 0.692542
1635.93 0.652099
1636.11 0.615139
1636.29 0.581275
1636.48 0.550006
1636.66 0.521383
1636.84 0.494833
1637.02 0.470425
1637.20 0.447692
1637.38 0.426711
1637.56 0.407098
1637.74 0.388933
1637.92 0.371894
1638.10 0.356063
1638.28 0.341167
1638.46 0.327287
1638.82 0.301954
1639.18 0.279594
1639.54 0.259653
1639.90 0.241845
1640.26 0.225874
1640.62 0.211536
1640.99 0.198545
1641.35 0.186770
1641.71 0.176064
1642.07 0.166327
