Mn-55(n,tot) ENDFB-8.0
0.000200000 153.436
0.000209375 149.984
0.000218750 146.755
0.000228125 143.729
0.000237500 140.884
0.000246875 138.202
0.000256250 135.670
0.000265625 133.273
0.000275000 131.000
0.000284375 128.841
0.000293750 126.786
0.000303125 124.827
0.000312500 122.957
0.000321875 121.170
0.000331250 119.460
0.000340625 117.820
0.000350000 116.248
0.000359375 114.737
0.000368750 113.284
0.000378125 111.886
0.000387500 110.539
0.000396875 109.241
0.000406250 107.987
0.000425000 105.606
0.000443750 103.379
0.000462500 101.288
0.000481250 99.3211
0.000500000 97.4663
0.000515625 95.9987
0.000531250 94.5967
0.000546875 93.2553
0.000562500 91.9704
0.000578125 90.7381
0.000593750 89.5549
0.000609375 88.4177
0.000625000 87.3235
0.000640625 86.2698
0.000656250 85.2541
0.000671875 84.2741
0.000687500 83.3278
0.000718750 81.5290
0.000750000 79.8442
0.000781250 78.2619
0.000812500 76.7721
0.000843750 75.3661
0.000875000 74.0365
0.000906250 72.7764
0.000937500 71.5802
0.000968750 70.4425
0.00100000 69.3587
0.00103125 68.3248
0.00106250 67.3370
0.00109375 66.3920
0.00112500 65.4868
0.00115625 64.6187
0.00118750 63.7852
0.00121875 62.9841
0.00125000 62.2133
0.00128125 61.4710
0.00131250 60.7555
0.00134375 60.0651
0.00137500 59.3986
0.00143750 58.1315
0.00150000 56.9447
0.00156250 55.8301
0.00162500 54.7807
0.00168750 53.7904
0.00175000 52.8537
0.00181250 51.9661
0.00187500 51.1234
0.00193750 50.3220
0.00200000 49.5586
0.00209375 48.4784
0.00218750 47.4686
0.00228125 46.5219
0.00237500 45.6320
0.00246875 44.7935
0.00256250 44.0015
0.00265625 43.2520
0.00275000 42.5413
0.00284375 41.8660
0.00293750 41.2235
0.00303125 40.6111
0.00312500 40.0266
0.00321875 39.4678
0.00331250 38.9330
0.00340625 38.4205
0.00350000 37.9288
0.00359375 37.4565
0.00368750 37.0024
0.00378125 36.5653
0.00387500 36.1442
0.00396875 35.7382
0.00406250 35.3463
0.00425000 34.6020
0.00443750 33.9054
0.00462500 33.2517
0.00481250 32.6367
0.00500000 32.0567
0.00515625 31.5978
0.00531250 31.1594
0.00546875 30.7399
0.00562500 30.3380
0.00578125 29.9526
0.00593750 29.5825
0.00609375 29.2268
0.00625000 28.8845
0.00640625 28.5549
0.00656250 28.2371
0.00671875 27.9305
0.00687500 27.6344
0.00718750 27.0715
0.00750000 26.5443
0.00781250 26.0491
0.00812500 25.5827
0.00843750 25.1426
0.00875000 24.7263
0.00906250 24.3318
0.00937500 23.9572
0.00968750 23.6009
0.0100000 23.2614
0.0103125 22.9376
0.0106250 22.6281
0.0109375 22.3321
0.0112500 22.0484
0.0115625 21.7764
0.0118750 21.5152
0.0121875 21.2641
0.0125000 21.0226
0.0128125 20.7899
0.0131250 20.5656
0.0134375 20.3492
0.0137500 20.1402
0.0143750 19.7428
0.0150000 19.3706
0.0156250 19.0210
0.0162500 18.6918
0.0168750 18.3811
0.0175000 18.0871
0.0181250 17.8086
0.0187500 17.5440
0.0193750 17.2924
0.0200000 17.0528
0.0206625 16.8107
0.0213250 16.5799
0.0219875 16.3598
0.0226500 16.1493
0.0233125 15.9479
0.0239750 15.7549
0.0246375 15.5698
0.0253000 15.3920
0.0264578 15.0975
0.0276156 14.8218
0.0287734 14.5629
0.0299313 14.3192
0.0310891 14.0892
0.0322469 13.8718
0.0334047 13.6658
0.0345625 13.4702
0.0355274 13.3146
0.0364922 13.1652
0.0374570 13.0216
0.0384219 12.8834
0.0393867 12.7504
0.0403516 12.6221
0.0413164 12.4984
0.0422813 12.3789
0.0442109 12.1518
0.0461406 11.9391
0.0480703 11.7394
0.0500000 11.5514
0.0515625 11.4069
0.0531250 11.2689
0.0546875 11.1368
0.0562500 11.0103
0.0578125 10.8890
0.0593750 10.7725
0.0609375 10.6605
0.0625000 10.5528
0.0640625 10.4491
0.0656250 10.3490
0.0671875 10.2525
0.0687500 10.1593
0.0718750 9.98216
0.0750000 9.81617
0.0781250 9.66022
0.0812500 9.51334
0.0843750 9.37470
0.0875000 9.24355
0.0906250 9.11924
0.0937500 9.00122
0.0968750 8.88895
0.100000 8.78200
0.103125 8.67996
0.106250 8.58246
0.109375 8.48917
0.112500 8.39981
0.115625 8.31410
0.118750 8.23181
0.121875 8.15272
0.125000 8.07662
0.128125 8.00334
0.131250 7.93271
0.134375 7.86456
0.137500 7.79876
0.143750 7.67364
0.150000 7.55641
0.156250 7.44626
0.162500 7.34252
0.168750 7.24459
0.175000 7.15197
0.181250 7.06421
0.187500 6.98089
0.193750 6.90167
0.200000 6.82620
0.209375 6.71941
0.218750 6.61953
0.228125 6.52587
0.237500 6.43780
0.246875 6.35481
0.256250 6.27642
0.265625 6.20224
0.275000 6.13189
0.284375 6.06506
0.293750 6.00147
0.303125 5.94086
0.312500 5.88300
0.321875 5.82771
0.331250 5.77478
0.340625 5.72406
0.350000 5.67540
0.359375 5.62867
0.368750 5.58374
0.378125 5.54050
0.387500 5.49887
0.396875 5.45875
0.406250 5.42003
0.425000 5.34649
0.443750 5.27761
0.462500 5.21296
0.500000 5.09498
0.531250 5.00641
0.562500 4.92522
0.593750 4.85054
0.625000 4.78157
0.687500 4.65814
0.750000 4.55062
0.812500 4.45588
0.875000 4.37182
0.937500 4.29640
1.00000 4.22804
1.06250 4.16597
1.12500 4.10928
1.18750 4.05721
1.25000 4.00917
1.37500 3.92336
1.50000 3.84877
1.62500 3.78322
1.75000 3.72520
1.87500 3.67329
2.00000 3.62630
2.18750 3.56388
2.37500 3.50946
2.56250 3.46146
2.75000 3.41888
2.93750 3.38074
3.12500 3.34626
3.31250 3.31501
3.50000 3.28655
3.87500 3.23665
4.25000 3.19434
4.62500 3.15804
5.00000 3.12661
5.31250 3.10302
5.62500 3.08171
5.93750 3.06248
6.25000 3.04506
6.87500 3.01482
7.50000 2.98963
8.12500 2.96851
8.75000 2.95077
9.37500 2.93581
10.0000 2.92316
10.6250 2.91266
11.2500 2.90391
12.5000 2.89075
13.7500 2.88231
15.0000 2.87765
16.2500 2.87608
17.5000 2.87711
18.7500 2.88034
20.0000 2.88541
21.8750 2.89608
23.7500 2.90989
25.6250 2.92639
27.5000 2.94525
30.0000 2.97357
32.5000 3.00415
35.0000 3.03741
38.7500 3.09262
42.5000 3.15356
46.2500 3.21993
50.0000 3.29160
55.0000 3.39560
60.0000 3.50823
62.5000 3.56835
68.7500 3.72940
75.0000 3.90671
81.2500 4.10155
87.5000 4.31553
93.7500 4.55036
100.000 4.80806
106.250 5.09078
112.500 5.40178
118.750 5.74436
125.000 6.12237
131.250 6.54027
137.500 7.00327
143.750 7.51708
146.875 7.79517
150.000 8.08914
153.125 8.39977
156.250 8.72825
159.375 9.07588
162.500 9.44408
165.625 9.83438
168.750 10.2485
171.875 10.6883
175.000 11.1558
178.125 11.6532
181.250 12.1830
184.375 12.7480
187.500 13.3511
190.625 13.9957
193.750 14.6854
196.875 15.4245
200.000 16.2179
204.023 17.3265
208.046 18.5450
212.069 19.8881
216.093 21.3727
220.116 23.0162
222.127 23.9044
224.139 24.8437
226.150 25.8359
228.162 26.8847
230.174 27.9946
232.185 29.1699
234.951 30.9049
237.717 32.7850
240.483 34.8303
243.249 37.0638
246.015 39.4976
248.781 42.1680
251.546 45.0993
254.312 48.3196
257.078 51.8839
258.461 53.7978
259.844 55.8212
262.610 60.1939
263.993 62.5649
265.376 65.0753
266.759 67.7172
268.142 70.5169
269.525 73.4946
270.908 76.6383
272.291 79.9737
273.674 83.5354
275.057 87.3123
276.439 91.3247
278.325 97.2463
280.211 103.726
282.097 110.835
283.983 118.646
284.926 122.800
285.869 127.204
287.755 136.719
289.640 147.273
290.583 152.985
291.526 159.014
292.909 168.482
294.292 178.764
295.675 189.953
297.058 202.156
298.441 215.492
299.824 230.099
301.207 246.139
302.590 263.793
303.973 283.276
305.356 304.831
306.739 328.751
307.430 341.700
308.122 355.368
308.813 369.809
309.505 385.077
310.196 401.233
310.888 418.338
311.579 436.468
312.270 455.696
312.962 476.108
313.653 497.789
314.251 517.617
314.848 538.535
315.445 560.617
316.042 583.942
316.639 608.594
317.237 634.665
317.834 662.249
318.431 691.448
319.028 722.382
319.625 755.162
320.222 789.918
320.820 826.760
321.417 865.760
322.014 907.060
322.611 951.000
323.208 997.728
323.994 1063.65
324.780 1134.95
325.565 1212.03
326.351 1295.27
327.136 1385.10
327.922 1482.02
328.708 1585.66
329.493 1696.17
330.105 1787.22
330.717 1882.38
331.941 2084.28
334.389 2513.29
335.612 2724.85
336.224 2824.44
336.836 2917.47
337.448 3002.00
338.060 3076.11
338.672 3137.97
339.284 3186.01
340.037 3224.28
340.790 3238.17
341.402 3231.16
342.013 3208.06
342.624 3169.63
343.236 3117.06
343.847 3051.84
344.459 2975.70
345.070 2890.51
345.681 2798.16
346.904 2599.17
348.127 2392.28
349.350 2187.60
350.573 1990.84
351.430 1861.02
352.287 1738.56
353.144 1623.75
354.001 1516.83
354.858 1417.63
355.715 1325.83
356.572 1241.04
357.429 1162.84
358.220 1096.15
359.010 1034.31
359.801 976.970
360.591 923.789
361.382 874.435
362.172 828.611
362.963 786.033
363.753 746.446
364.436 714.476
365.118 684.464
365.801 656.292
366.484 629.690
367.166 604.551
367.849 580.825
368.532 558.430
369.214 537.272
369.897 517.266
370.580 498.336
371.262 480.408
371.945 463.424
372.628 447.312
373.310 432.021
374.676 403.696
375.466 388.554
376.257 374.251
377.047 360.729
377.838 347.937
378.628 335.820
379.419 324.335
380.999 303.097
382.580 283.921
384.161 266.555
385.742 250.781
387.323 236.414
388.908 223.264
390.492 211.237
392.077 200.190
393.662 190.029
395.246 180.663
396.831 172.011
398.415 164.003
400.000 156.593
401.507 150.041
403.015 143.904
404.522 138.153
406.029 132.768
407.536 127.727
409.043 123.005
410.551 118.533
412.058 114.340
413.565 110.386
415.072 106.639
416.580 103.115
418.087 99.7776
419.594 96.6080
421.101 93.6169
424.116 88.0675
427.277 82.8318
430.439 78.1008
433.601 73.8166
436.763 69.9300
439.925 66.3817
443.087 63.1428
446.249 60.1747
449.410 57.4448
451.710 55.5977
454.010 53.8559
456.309 52.2114
458.609 50.6571
460.908 49.1864
463.208 47.7974
467.807 45.2270
472.406 42.9039
477.005 40.8008
481.604 38.8907
486.203 37.1508
489.652 35.9509
493.102 34.8260
496.551 33.7650
500.000 32.7688
505.859 31.2225
511.719 29.8206
517.578 28.5576
523.438 27.4058
529.297 26.3621
535.156 25.4058
541.016 24.5429
546.875 23.7364
556.641 22.5524
561.524 22.0139
566.406 21.5193
571.289 21.0465
576.172 20.6124
585.938 19.8169
595.703 19.1258
605.469 18.5177
615.234 17.9810
625.000 17.5094
638.672 16.9510
652.344 16.4902
666.016 16.1138
679.688 15.8133
693.359 15.5911
707.031 15.4202
720.703 15.3064
734.375 15.2478
750.000 15.2475
765.625 15.3139
781.250 15.4469
800.000 15.6978
809.375 15.8657
818.750 16.0633
828.125 16.2765
837.500 16.5299
846.875 16.8177
856.250 17.1415
865.625 17.5045
875.000 17.9124
884.277 18.3677
893.555 18.8790
902.832 19.4524
912.109 20.0967
921.387 20.8244
930.664 21.6553
939.942 22.6002
944.580 23.1254
949.219 23.6899
954.590 24.3995
959.961 25.1737
965.332 26.0228
970.703 26.9594
976.074 27.9919
981.445 29.1410
984.131 29.7627
986.817 30.4236
989.502 31.1216
992.188 31.8603
996.094 33.0219
1000.00 34.2939
1003.72 35.6236
1007.43 37.0872
1011.15 38.7032
1013.01 39.5772
1014.87 40.4978
1016.72 41.4697
1018.58 42.4992
1020.44 43.5875
1022.30 44.7418
1024.16 45.9697
1026.01 47.2733
1027.87 48.6592
1029.73 50.1337
1031.68 51.7975
1033.62 53.5862
1035.57 55.5147
1037.52 57.5970
1039.46 59.8533
1041.41 62.3025
1043.35 64.9701
1045.30 67.8846
1047.25 71.0811
1049.19 74.5977
1050.17 76.4914
1051.14 78.4813
1052.11 80.5767
1053.09 82.7854
1054.06 85.1188
1055.03 87.5816
1056.01 90.1868
1056.98 92.9461
1057.95 95.8755
1058.93 98.9834
1059.90 102.289
1060.87 105.809
1062.02 110.277
1063.17 115.096
1064.32 120.314
1065.47 125.995
1066.62 132.194
1067.77 138.971
1068.92 146.400
1070.07 154.568
1071.05 162.141
1072.02 170.383
1072.99 179.383
1073.97 189.240
1074.94 200.077
1075.91 212.002
1076.40 218.429
1076.89 225.177
1077.37 232.296
1077.86 239.781
1078.35 247.691
1078.83 256.040
1079.32 264.860
1079.81 274.167
1080.29 284.036
1080.78 294.467
1081.27 305.549
1081.75 317.282
1082.24 329.769
1082.73 343.043
1083.21 357.164
1083.70 372.165
1084.19 388.179
1084.67 405.212
1085.16 423.416
1085.65 442.807
1086.13 463.567
1086.62 485.763
1087.11 509.504
1087.59 534.844
1088.08 561.995
1088.57 590.953
1089.05 621.943
1089.54 654.936
1089.91 681.563
1090.28 709.469
1090.65 738.670
1091.02 769.170
1091.39 800.952
1091.77 833.985
1092.51 903.530
1093.25 976.929
1093.99 1052.65
1094.73 1128.39
1095.48 1201.03
1095.90 1239.99
1096.33 1275.64
1096.76 1307.27
1097.19 1333.83
1097.61 1354.65
1098.04 1368.88
1098.47 1376.00
1098.89 1375.60
1099.39 1365.55
1099.73 1352.71
1100.07 1335.31
1100.41 1313.49
1100.75 1287.74
1101.09 1258.31
1101.43 1225.82
1101.77 1190.55
1102.10 1153.20
1102.78 1073.75
1103.46 991.112
1104.14 908.405
1104.82 828.184
1105.54 747.094
1105.91 708.742
1106.27 671.988
1106.63 636.885
1106.99 603.455
1107.35 571.696
1107.72 541.587
1108.08 513.091
1108.44 486.161
1108.80 460.740
1109.16 436.766
1109.53 414.172
1109.89 392.891
1110.25 372.852
1110.61 354.039
1110.98 335.853
1111.35 318.804
1111.72 302.733
1112.09 287.664
1112.46 273.454
1112.83 260.121
1113.20 247.539
1113.57 235.726
1113.95 224.568
1114.32 214.081
1114.69 204.167
1115.06 194.839
1115.43 186.012
1115.80 177.699
1116.17 169.843
1116.54 162.415
1116.91 155.370
1117.28 148.720
1117.65 142.406
1118.02 136.438
1118.39 130.766
1118.76 125.399
1119.13 120.306
1119.50 115.468
1119.87 110.860
1120.24 106.490
1120.98 98.3789
1121.72 91.0153
1122.46 84.3357
1123.20 78.2483
1123.94 72.6983
1124.69 67.6293
1125.43 62.9975
1126.17 58.7469
1126.91 54.8455
1127.65 51.2591
1128.39 47.9617
1129.13 44.9177
1129.87 42.1078
1130.61 39.5106
1131.35 37.1103
1132.09 34.8832
1132.83 32.8175
1133.57 30.8994
1134.31 29.1188
1135.26 27.0277
1136.20 25.1172
1137.14 23.3697
1138.09 21.7717
1139.03 20.3054
1139.97 18.9575
1140.91 17.7165
1141.86 16.5747
1142.60 15.7398
1143.34 14.9565
1144.08 14.2212
1144.82 13.5316
1145.56 12.8826
1146.30 12.2725
1147.04 11.6987
1147.78 11.1596
1148.52 10.6514
1149.26 10.1730
1150.01 9.72242
1150.75 9.29850
1151.49 8.89847
1152.23 8.52145
1152.97 8.16602
1153.71 7.83135
1154.45 7.51531
1155.19 7.21726
1155.93 6.93615
1156.67 6.67136
1157.41 6.42125
1158.15 6.18535
1158.89 5.96286
1159.63 5.75331
1160.38 5.55543
1161.12 5.36888
1161.86 5.19303
1162.60 5.02753
1163.34 4.87140
1164.08 4.72435
1165.56 4.45582
1167.04 4.21810
1168.52 4.00844
1170.01 3.82382
1171.49 3.66205
1172.97 3.52076
1174.45 3.39819
1175.93 3.29250
1177.41 3.20215
1178.76 3.13212
1180.11 3.07272
1181.45 3.02342
1182.80 2.98324
1184.15 2.95071
1185.49 2.92561
1186.84 2.90746
1188.19 2.89573
1190.07 2.88916
1191.96 2.89298
1193.84 2.90608
1195.73 2.92749
1197.61 2.95634
1199.50 2.99186
1203.27 3.08025
1207.04 3.18935
1210.81 3.31224
1214.58 3.44778
1218.35 3.59361
1221.32 3.71423
1224.28 3.83886
1227.24 3.96690
1230.21 4.09818
1236.13 4.36749
1242.06 4.64374
1247.98 4.92448
1253.91 5.20818
1259.84 5.49359
1265.76 5.77981
1271.42 6.05332
1277.07 6.32677
1288.39 6.87255
1299.70 7.41641
1305.36 7.68778
1311.01 7.95866
1322.33 8.49992
1333.64 9.04123
1344.95 9.58374
1356.27 10.1287
1365.96 10.5991
1375.66 11.0741
1385.36 11.5521
1395.05 12.0361
1414.45 13.0223
1433.84 14.0398
1456.47 15.2792
1479.09 16.5789
1501.72 17.9480
1524.34 19.4090
1546.97 20.9664
1569.60 22.6283
1592.22 24.4222
1614.85 26.3507
1622.93 27.0793
1631.01 27.8292
1635.05 28.2131
1639.09 28.6028
1641.11 28.8005
1643.13 29.0001
1645.15 29.2021
1646.16 29.3042
1647.17 29.4073
1647.91 29.4836
1648.65 29.5608
1649.39 29.6389
1650.13 29.7184
1650.50 29.7590
1650.87 29.8000
1651.25 29.8420
1651.62 29.8847
1651.99 29.9289
1652.36 29.9748
1652.73 30.0233
1652.91 30.0490
1653.10 30.0761
1653.24 30.0984
1653.38 30.1218
1653.53 30.1469
1653.67 30.1740
1653.81 30.2038
1653.96 30.2368
1654.10 30.2740
1654.24 30.3162
1654.39 30.3651
1654.53 30.4215
1654.60 30.4533
1654.67 30.4873
1654.74 30.5245
1654.81 30.5644
1654.89 30.6081
1654.96 30.6548
1655.03 30.7062
1655.10 30.7610
1655.17 30.8211
1655.24 30.8851
1655.32 30.9551
1655.39 31.0296
1655.46 31.1107
1655.53 31.1966
1655.60 31.2899
1655.67 31.3883
1655.74 31.4945
1655.82 31.6060
1655.89 31.7257
1655.96 31.8506
1656.03 31.9841
1656.10 32.1223
1656.17 32.2691
1656.24 32.4201
1656.32 32.5794
1656.39 32.7420
1656.53 33.0844
1656.68 33.4657
1656.83 33.8551
1657.14 34.6325
1657.23 34.8601
1657.32 35.0782
1657.42 35.2840
1657.51 35.4733
1657.61 35.6619
1657.71 35.8260
1657.80 35.9563
1657.89 36.0623
1658.00 36.1538
1658.10 36.2123
1658.20 36.2363
1658.25 36.2376
1658.35 36.2161
1658.46 36.1618
1658.53 36.1039
1658.60 36.0317
1658.72 35.8894
1658.83 35.7166
1658.98 35.4556
1659.12 35.1583
1659.24 34.9049
1659.35 34.6399
1659.58 34.0936
1659.80 33.5795
1659.91 33.3339
1660.02 33.0985
1660.13 32.8732
1660.24 32.6637
1660.35 32.4691
1660.40 32.3766
1660.46 32.2898
1660.51 32.2083
1660.56 32.1320
1660.61 32.0592
1660.67 31.9900
1660.72 31.9243
1660.77 31.8621
1660.87 31.7477
1660.98 31.6453
1661.08 31.5562
1661.19 31.4783
1661.29 31.4110
1661.40 31.3527
1661.50 31.3037
1661.60 31.2624
1661.71 31.2280
1661.81 31.1995
1661.92 31.1766
1662.02 31.1584
1662.13 31.1442
1662.26 31.1309
1662.40 31.1226
1662.53 31.1181
1662.67 31.1169
1662.80 31.1183
1662.94 31.1217
1663.07 31.1269
1663.21 31.1333
1663.48 31.1493
1663.75 31.1683
1664.02 31.1894
1664.29 31.2119
1664.56 31.2355
1664.84 31.2599
1665.38 31.3106
1665.92 31.3631
1666.46 31.4169
1667.30 31.5015
1668.13 31.5877
1668.96 31.6751
1669.80 31.7635
1671.47 31.9422
1673.13 32.1231
1674.80 32.3059
1676.47 32.4903
1679.80 32.8635
1684.47 33.3953
1689.14 33.9374
1698.48 35.0557
1717.16 37.4181
1735.84 39.9907
1745.18 41.3205
1754.52 42.7546
1763.86 44.1917
1773.19 45.7463
1791.87 48.9897
1810.55 52.4984
1829.23 56.3491
1843.90 59.6366
1858.58 63.1544
1873.26 66.9355
1887.93 71.0198
1902.61 75.4019
1917.28 80.1494
1931.96 85.2792
1946.63 90.8104
1959.98 96.2668
1973.32 102.140
1986.66 108.455
2000.00 115.267
2016.56 124.547
2024.84 129.483
2033.12 134.727
2049.68 145.962
2057.96 152.032
2066.24 158.441
2074.52 165.116
2082.80 172.157
2099.36 187.418
2107.64 195.598
2115.92 204.307
2132.48 222.906
2142.56 235.244
2152.64 248.364
2162.71 262.263
2172.79 276.961
2182.86 292.486
2192.94 308.894
2203.02 326.267
2213.09 344.530
2223.17 363.595
2233.24 383.422
2243.32 404.026
2253.40 425.621
2293.70 513.682
2304.75 537.500
2315.79 560.334
2326.84 581.731
2337.89 601.228
2348.94 618.362
2359.98 632.690
2371.03 643.792
2382.08 651.227
2394.70 654.951
2404.17 654.173
2413.64 650.692
2423.11 644.823
2432.58 636.477
2442.04 625.475
2451.51 612.583
2460.98 598.161
2470.45 582.302
2489.39 547.230
2508.33 509.941
2527.26 472.306
2546.20 435.384
2562.11 405.776
2578.02 377.732
2593.93 351.377
2609.84 326.873
2625.75 304.256
2641.66 283.355
2657.57 264.233
2673.47 246.604
2688.56 231.337
2703.64 217.240
2718.72 204.262
2733.80 192.358
2748.88 181.339
2763.96 171.214
2779.04 161.868
2794.12 153.205
2810.57 144.535
2827.02 136.523
2843.47 129.177
2859.92 122.367
2876.38 116.103
2892.83 110.280
2909.28 104.948
2925.73 99.9060
2939.75 95.9740
2953.76 92.2144
2967.78 88.6568
2981.80 85.3661
2995.81 82.2036
3009.83 79.2343
3037.86 73.7661
3065.90 68.8855
3079.92 66.5966
3093.93 64.4673
3121.97 60.4591
3150.00 56.8407
3176.80 53.6987
3203.61 50.8036
3230.41 48.1586
3257.22 45.7169
3284.02 43.4657
3310.82 41.3913
3337.63 39.4592
3364.43 37.6643
3400.08 35.4818
3435.72 33.4849
3471.37 31.6593
3507.01 29.9914
3542.65 28.4514
3578.30 27.0520
3613.94 25.7360
3649.59 24.5161
3691.40 23.2062
3733.22 22.0034
3775.03 20.8948
3816.84 19.8704
3858.66 18.9213
3900.47 18.0400
3942.29 17.2200
3963.19 16.8259
3984.10 16.4490
3990.27 16.3408
3993.35 16.2874
3994.12 16.2745
3994.90 16.2621
3995.67 16.2509
3996.05 16.2462
3996.44 16.2422
3996.88 16.2389
3997.32 16.2371
3997.76 16.2368
3998.19 16.2379
3999.07 16.2423
3999.51 16.2439
3999.95 16.2437
4000.25 16.2421
4000.55 16.2389
4000.77 16.2356
4001.21 16.2262
4001.52 16.2175
4001.84 16.2073
4002.47 16.1838
4003.51 16.1432
4004.03 16.1248
4004.54 16.1085
4004.98 16.0964
4005.42 16.0856
4005.86 16.0758
4006.29 16.0669
4007.17 16.0504
4008.05 16.0349
4009.80 16.0048
4011.55 15.9751
4018.55 15.8573
4032.55 15.6267
4060.56 15.1821
4116.58 14.3389
4172.60 13.5691
4228.62 12.8537
4276.05 12.2922
4281.97 12.2246
4287.90 12.1577
4290.87 12.1245
4293.83 12.0916
4295.31 12.0754
4296.79 12.0597
4297.54 12.0525
4298.28 12.0468
4298.65 12.0450
4299.02 12.0443
4299.39 12.0453
4299.76 12.0485
4299.98 12.0518
4300.20 12.0563
4300.43 12.0621
4300.65 12.0693
4301.09 12.0885
4301.54 12.1142
4301.98 12.1459
4302.43 12.1818
4302.87 12.2189
4303.32 12.2532
4303.72 12.2787
4303.93 12.2881
4304.13 12.2950
4304.32 12.2988
4304.50 12.3001
4304.65 12.2992
4304.87 12.2948
4305.11 12.2863
4305.34 12.2739
4305.63 12.2536
4305.92 12.2288
4306.22 12.2008
4306.51 12.1709
4306.92 12.1277
4307.32 12.0860
4307.73 12.0478
4308.14 12.0147
4308.55 11.9870
4308.96 11.9646
4309.37 11.9470
4309.77 11.9332
4310.08 11.9250
4310.38 11.9181
4310.68 11.9122
4310.98 11.9070
4311.58 11.8981
4312.19 11.8904
4313.39 11.8763
4314.60 11.8628
4319.42 11.8099
4324.24 11.7577
4329.07 11.7060
4348.36 11.5035
4386.94 11.1115
4464.10 10.3829
4543.76 9.69981
4623.41 9.07800
4703.07 8.51028
4742.89 8.24485
4782.72 7.99083
4808.86 7.83032
4821.93 7.75158
4835.00 7.67421
4848.06 7.59811
4861.13 7.52330
4874.20 7.45001
4880.73 7.41409
4887.27 7.37877
4891.31 7.35730
4895.36 7.33622
4899.40 7.31563
4903.45 7.29567
4907.49 7.27671
4911.54 7.25924
4913.56 7.25132
4915.58 7.24417
4917.61 7.23803
4919.63 7.23327
4921.03 7.23110
4922.43 7.23021
4923.83 7.23100
4925.23 7.23409
4926.63 7.24040
4928.03 7.25141
4928.73 7.25942
4929.43 7.26969
4930.13 7.28288
4930.83 7.29996
4931.49 7.32099
4932.15 7.34876
4932.81 7.38691
4933.14 7.41190
4933.47 7.44246
4933.81 7.48083
4934.14 7.52971
4934.47 7.59358
4934.80 7.67791
4934.96 7.73057
4935.13 7.79133
4935.29 7.86195
4935.46 7.94409
4935.62 8.04028
4935.79 8.15154
4935.95 8.28082
4936.12 8.43081
4936.27 8.59435
4936.43 8.78178
4936.59 8.99603
4936.74 9.23856
4936.90 9.51575
4937.05 9.82739
4937.21 10.1810
4937.36 10.5754
4937.52 11.0191
4937.67 11.5098
4937.83 12.0567
4937.99 12.6557
4938.14 13.3168
4938.30 14.0332
4938.37 14.4166
4938.45 14.8154
4938.61 15.6537
4938.77 16.6184
4938.94 17.6442
4939.10 18.7403
4939.27 19.8889
4939.44 21.0975
4939.60 22.3441
4939.93 24.9336
4940.34 28.2008
4940.54 29.7935
4940.75 31.3231
4940.96 32.8268
4941.17 34.1876
4941.35 35.1813
4941.52 36.0452
4941.74 36.9037
4941.85 37.2448
4941.95 37.5240
4942.08 37.7788
4942.21 37.9346
4942.36 37.9925
4942.48 37.9475
4942.60 37.8158
4942.79 37.4337
4942.92 37.0728
4943.05 36.6276
4943.20 35.9749
4943.35 35.2112
