Mn-55(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 684.104
1.03125E-05 673.662
1.06250E-05 663.685
1.09375E-05 654.138
1.12500E-05 644.993
1.15625E-05 636.220
1.18750E-05 627.796
1.21875E-05 619.698
1.25000E-05 611.906
1.28125E-05 604.401
1.31250E-05 597.166
1.34375E-05 590.184
1.37500E-05 583.442
1.43750E-05 570.623
1.50000E-05 558.615
1.56250E-05 547.334
1.62500E-05 536.711
1.68750E-05 526.683
1.75000E-05 517.198
1.81250E-05 508.208
1.87500E-05 499.671
1.93750E-05 491.551
2.00000E-05 483.815
2.09375E-05 472.866
2.18750E-05 462.630
2.28125E-05 453.031
2.37500E-05 444.007
2.46875E-05 435.501
2.56250E-05 427.467
2.65625E-05 419.862
2.75000E-05 412.650
2.84375E-05 405.797
2.93750E-05 399.276
3.03125E-05 393.059
3.12500E-05 387.124
3.21875E-05 381.450
3.31250E-05 376.020
3.40625E-05 370.815
3.50000E-05 365.820
3.59375E-05 361.023
3.68750E-05 356.410
3.78125E-05 351.969
3.87500E-05 347.691
3.96875E-05 343.565
4.06250E-05 339.583
4.25000E-05 332.018
4.43750E-05 324.937
4.62500E-05 318.293
4.81250E-05 312.040
5.00000E-05 306.143
5.15625E-05 301.476
5.31250E-05 297.017
5.46875E-05 292.751
5.62500E-05 288.664
5.78125E-05 284.743
5.93750E-05 280.979
6.09375E-05 277.360
6.25000E-05 273.878
6.40625E-05 270.525
6.56250E-05 267.291
6.71875E-05 264.172
6.87500E-05 261.159
7.18750E-05 255.432
7.50000E-05 250.066
7.81250E-05 245.026
8.12500E-05 240.280
8.43750E-05 235.801
8.75000E-05 231.563
9.06250E-05 227.547
9.37500E-05 223.734
9.68750E-05 220.107
0.000100000 216.651
0.000103125 213.354
0.000106250 210.204
0.000109375 207.189
0.000112500 204.302
0.000115625 201.532
0.000118750 198.872
0.000121875 196.316
0.000125000 193.856
0.000128125 191.487
0.000131250 189.203
0.000134375 186.999
0.000137500 184.871
0.000143750 180.825
0.000150000 177.035
0.000156250 173.476
0.000162500 170.123
0.000168750 166.960
0.000175000 163.967
0.000181250 161.131
0.000187500 158.438
0.000193750 155.877
