Yb-170(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 195196
1.03125E-05 192215
1.06250E-05 189367
1.09375E-05 186642
1.12500E-05 184032
1.15625E-05 181528
1.18750E-05 179123
1.21875E-05 176811
1.25000E-05 174587
1.28125E-05 172445
1.31250E-05 170379
1.34375E-05 168386
1.37500E-05 166462
1.43750E-05 162802
1.50000E-05 159374
1.54624E-05 156973
1.59248E-05 154677
1.63871E-05 152479
1.68495E-05 150372
1.68750E-05 150259
1.69531E-05 149912
1.70313E-05 149568
1.71875E-05 148886
1.75000E-05 147551
1.81250E-05 144984
1.87500E-05 142547
1.93750E-05 140229
2.00000E-05 138020
2.09051E-05 134999
2.18102E-05 132168
2.18750E-05 131972
2.20240E-05 131524
2.21731E-05 131082
2.24712E-05 130209
2.30673E-05 128515
2.36635E-05 126886
2.42596E-05 125317
2.48558E-05 123805
2.54519E-05 122346
2.66442E-05 119577
2.75000E-05 117701
2.84375E-05 115745
2.93750E-05 113882
3.03125E-05 112107
3.12500E-05 110412
3.21875E-05 108792
3.31250E-05 107241
3.40625E-05 105755
3.50000E-05 104329
3.62500E-05 102514
3.75000E-05 100790
3.87500E-05 99150.8
4.00000E-05 97588.9
4.12500E-05 96098.6
4.25000E-05 94674.4
4.43750E-05 92652.1
4.62500E-05 90754.1
4.81250E-05 88968.1
5.00000E-05 87283.5
5.22464E-05 85385.9
5.44928E-05 83606.8
5.67392E-05 81934.5
5.89856E-05 80358.6
6.07428E-05 79187.3
6.25000E-05 78065.7
6.40625E-05 77107.5
6.56250E-05 76183.6
6.71875E-05 75292.2
6.87500E-05 74431.3
7.18750E-05 72794.6
7.50000E-05 71261.2
7.75000E-05 70101.9
8.00000E-05 68997.3
8.36203E-05 67486.4
8.72406E-05 66070.6
8.75000E-05 65972.5
8.82813E-05 65679.8
8.90625E-05 65390.9
9.06250E-05 64824.5
9.37500E-05 63734.3
9.68750E-05 62697.3
0.000100000 61709.3
0.000104493 60367.2
0.000108986 59109.1
0.000113478 57926.3
0.000117971 56811.8
0.000121486 55983.4
0.000125000 55190.2
0.000128125 54512.5
0.000131250 53859.1
0.000134375 53228.6
0.000137500 52619.8
0.000143750 51462.2
0.000150000 50377.7
0.000155000 49557.7
0.000160000 48776.5
0.000167241 47707.9
0.000174481 46706.5
0.000175000 46637.1
0.000176563 46430.0
0.000178125 46225.7
0.000181250 45825.1
0.000187500 45054.0
0.000193750 44320.5
0.000200000 43621.6
0.000206827 42894.7
0.000213655 42202.9
0.000220482 41543.5
0.000227310 40914.0
0.000234137 40312.2
0.000240964 39736.2
