90-Th_n-g
> 90-Th-232:1.000000
3.312500e-03 1.11934000e+03
3.406250e-03 1.10383000e+03
3.500000e-03 1.08894000e+03
3.593750e-03 1.07465000e+03
3.687500e-03 1.06090000e+03
3.781250e-03 1.04767000e+03
3.875000e-03 1.03491000e+03
3.968750e-03 1.02262000e+03
4.062500e-03 1.01075000e+03
4.250000e-03 9.88203000e+02
4.437500e-03 9.67101000e+02
4.625000e-03 9.47294000e+02
4.812500e-03 9.28657000e+02
5.000000e-03 9.11078000e+02
5.156250e-03 8.97167000e+02
5.312500e-03 8.83874000e+02
5.468750e-03 8.71156000e+02
5.625000e-03 8.58971000e+02
5.781250e-03 8.47284000e+02
5.937500e-03 8.36062000e+02
6.093750e-03 8.25275000e+02
6.250000e-03 8.14894000e+02
6.406250e-03 8.04896000e+02
6.562500e-03 7.95258000e+02
6.718750e-03 7.85957000e+02
6.875000e-03 7.76976000e+02
7.187500e-03 7.59899000e+02
7.500000e-03 7.43901000e+02
7.812500e-03 7.28872000e+02
8.125000e-03 7.14717000e+02
8.437500e-03 7.01356000e+02
8.750000e-03 6.88717000e+02
9.062500e-03 6.76737000e+02
9.375000e-03 6.65360000e+02
9.687500e-03 6.54539000e+02
1.000000e-02 6.44229000e+02
1.031250e-02 6.34391000e+02
1.062500e-02 6.24991000e+02
1.093750e-02 6.15997000e+02
1.125000e-02 6.07381000e+02
1.156250e-02 5.99117000e+02
1.187500e-02 5.91182000e+02
1.218750e-02 5.83555000e+02
1.250000e-02 5.76215000e+02
1.281250e-02 5.69147000e+02
1.312500e-02 5.62332000e+02
1.343750e-02 5.55757000e+02
1.375000e-02 5.49408000e+02
1.437500e-02 5.37335000e+02
1.500000e-02 5.26024000e+02
1.562500e-02 5.15397000e+02
1.625000e-02 5.05388000e+02
1.687500e-02 4.95939000e+02
1.750000e-02 4.87001000e+02
1.812500e-02 4.78529000e+02
1.875000e-02 4.70484000e+02
1.937500e-02 4.62832000e+02
2.000000e-02 4.55542000e+02
2.066250e-02 4.48178000e+02
2.132500e-02 4.41160000e+02
2.198750e-02 4.34462000e+02
2.265000e-02 4.28060000e+02
2.331250e-02 4.21933000e+02
2.397500e-02 4.16062000e+02
2.463750e-02 4.10430000e+02
2.530000e-02 4.05020000e+02
2.645780e-02 3.96059000e+02
2.761560e-02 3.87667000e+02
2.877340e-02 3.79787000e+02
2.993130e-02 3.72371000e+02
3.108910e-02 3.65374000e+02
3.224690e-02 3.58759000e+02
3.340470e-02 3.52490000e+02
3.456250e-02 3.46539000e+02
3.552740e-02 3.41803000e+02
3.649220e-02 3.37255000e+02
3.745700e-02 3.32883000e+02
3.842190e-02 3.28676000e+02
3.938670e-02 3.24624000e+02
4.035160e-02 3.20718000e+02
4.131640e-02 3.16950000e+02
4.228130e-02 3.13311000e+02
4.421090e-02 3.06395000e+02
4.614060e-02 2.99918000e+02
4.807030e-02 2.93835000e+02
5.000000e-02 2.88107000e+02
5.156250e-02 2.83707000e+02
5.312500e-02 2.79503000e+02
5.468750e-02 2.75480000e+02
5.625000e-02 2.71627000e+02
5.781250e-02 2.67930000e+02
5.937500e-02 2.64381000e+02
6.093750e-02 2.60969000e+02
6.250000e-02 2.57686000e+02
6.406250e-02 2.54525000e+02
6.562500e-02 2.51479000e+02
6.718750e-02 2.48540000e+02
6.875000e-02 2.45702000e+02
7.187500e-02 2.40306000e+02
7.500000e-02 2.35248000e+02
7.812500e-02 2.30494000e+02
8.125000e-02 2.26016000e+02
8.437500e-02 2.21790000e+02
8.750000e-02 2.17792000e+02
9.062500e-02 2.14003000e+02
9.375000e-02 2.10405000e+02
9.687500e-02 2.06982000e+02
1.000000e-01 2.03722000e+02
1.031250e-01 2.00610000e+02
1.062500e-01 1.97637000e+02
1.093750e-01 1.94793000e+02
1.125000e-01 1.92068000e+02
1.156250e-01 1.89454000e+02
1.187500e-01 1.86944000e+02
1.218750e-01 1.84531000e+02
1.250000e-01 1.82210000e+02
1.281250e-01 1.79974000e+02
1.312500e-01 1.77820000e+02
1.343750e-01 1.75742000e+02
1.375000e-01 1.73737000e+02
1.437500e-01 1.69923000e+02
1.500000e-01 1.66345000e+02
1.562500e-01 1.62983000e+02
1.625000e-01 1.59817000e+02
1.687500e-01 1.56828000e+02
1.750000e-01 1.54001000e+02
1.812500e-01 1.51322000e+02
1.875000e-01 1.48778000e+02
1.937500e-01 1.46359000e+02
2.000000e-01 1.44057000e+02
2.093750e-01 1.40798000e+02
2.187500e-01 1.37747000e+02
2.281250e-01 1.34886000e+02
2.375000e-01 1.32196000e+02
2.468750e-01 1.29661000e+02
2.562500e-01 1.27266000e+02
2.656250e-01 1.24999000e+02
2.750000e-01 1.22849000e+02
2.843750e-01 1.20807000e+02
2.937500e-01 1.18863000e+02
3.031250e-01 1.17010000e+02
3.125000e-01 1.15241000e+02
3.218750e-01 1.13550000e+02
3.312500e-01 1.11931000e+02
3.406250e-01 1.10379000e+02
3.500000e-01 1.08891000e+02
3.593750e-01 1.07461000e+02
3.687500e-01 1.06086000e+02
3.781250e-01 1.04762000e+02
3.875000e-01 1.03487000e+02
3.968750e-01 1.02259000e+02
4.062500e-01 1.01075000e+02
4.250000e-01 9.88240000e+01
4.437500e-01 9.67128000e+01
4.625000e-01 9.47313000e+01
5.000000e-01 9.11082000e+01
5.375000e-01 8.78796000e+01
5.750000e-01 8.49718000e+01
5.937500e-01 8.36222000e+01
6.031250e-01 8.29791000e+01
6.125000e-01 8.25589000e+01
6.171880e-01 8.28283000e+01
6.195310e-01 8.33036000e+01
6.218750e-01 8.41767000e+01
6.230470e-01 8.48184000e+01
6.242190e-01 8.56328000e+01
6.253910e-01 8.66506000e+01
6.265630e-01 8.79049000e+01
6.277340e-01 8.94315000e+01
6.289060e-01 9.12671000e+01
6.300780e-01 9.34493000e+01
6.312500e-01 9.60152000e+01
6.324220e-01 9.90007000e+01
6.335940e-01 1.02438000e+02
6.347660e-01 1.06356000e+02
6.359380e-01 1.10777000e+02
6.371090e-01 1.15716000e+02
6.382810e-01 1.21181000e+02
6.394530e-01 1.27167000e+02
6.406250e-01 1.33663000e+02
6.417970e-01 1.40644000e+02
6.429690e-01 1.48074000e+02
6.441410e-01 1.55909000e+02
6.453130e-01 1.64091000e+02
6.476560e-01 1.81232000e+02
6.500000e-01 1.98900500e+02
6.503420e-01 2.01483000e+02
6.506840e-01 2.04060000e+02
6.513670e-01 2.09192000e+02
6.527350e-01 2.19309000e+02
6.554690e-01 2.38543000e+02
6.568360e-01 2.47451000e+02
6.582030e-01 2.55772000e+02
6.595710e-01 2.63446000e+02
6.609380e-01 2.70431000e+02
6.623050e-01 2.76708000e+02
6.636720e-01 2.82271000e+02
6.650390e-01 2.87136000e+02
6.664060e-01 2.91331000e+02
6.691410e-01 2.97877000e+02
6.718750e-01 3.02314000e+02
6.746100e-01 3.05096000e+02
6.773440e-01 3.06659000e+02
6.828130e-01 3.07537000e+02
6.937500e-01 3.05933000e+02
7.375000e-01 2.96759000e+02
7.812500e-01 2.88325000e+02
8.250000e-01 2.80571000e+02
9.125000e-01 2.66773000e+02
1.000000e+00 2.54878000e+02
1.103550e+00 2.43287000e+02
1.207110e+00 2.33230000e+02
1.310660e+00 2.24368000e+02
1.414210e+00 2.16486000e+02
1.560660e+00 2.06680000e+02
1.707110e+00 1.98137000e+02
1.853550e+00 1.90609000e+02
2.000000e+00 1.83910000e+02
2.125000e+00 1.78679000e+02
2.250000e+00 1.73873000e+02
2.500000e+00 1.65350000e+02
2.750000e+00 1.58001000e+02
3.000000e+00 1.51574000e+02
3.250000e+00 1.45820000e+02
3.500000e+00 1.40690000e+02
3.750000e+00 1.36077000e+02
4.000000e+00 1.31893000e+02
4.250000e+00 1.28080000e+02
4.500000e+00 1.24586000e+02
4.750000e+00 1.21370000e+02
5.000000e+00 1.18392000e+02
5.250000e+00 1.15589000e+02
5.500000e+00 1.12976000e+02
5.750000e+00 1.10534000e+02
6.000000e+00 1.08246000e+02
6.250000e+00 1.06095000e+02
6.500000e+00 1.04069000e+02
6.750000e+00 1.02157000e+02
7.000000e+00 1.00347000e+02
7.750000e+00 9.53772000e+01
8.500000e+00 9.10778000e+01
9.250000e+00 8.73125000e+01
1.000000e+01 8.39775000e+01
1.103550e+01 7.98316000e+01
1.207110e+01 7.62333000e+01
1.310660e+01 7.30742000e+01
1.414210e+01 7.02727000e+01
1.560660e+01 6.68013000e+01
1.707110e+01 6.37904000e+01
1.853550e+01 6.11470000e+01
2.000000e+01 5.88027000e+01
2.125000e+01 5.69856000e+01
2.250000e+01 5.53228000e+01
2.375000e+01 5.37946000e+01
2.500000e+01 5.23839000e+01
2.750000e+01 4.98601000e+01
3.000000e+01 4.76623000e+01
3.250000e+01 4.57120000e+01
3.500000e+01 4.39779000e+01
3.750000e+01 4.24227000e+01
4.000000e+01 4.10172000e+01
4.250000e+01 3.97394000e+01
4.500000e+01 3.85711000e+01
4.750000e+01 3.74976000e+01
5.000000e+01 3.65068000e+01
5.250000e+01 3.55814000e+01
