Xe-134(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4518.31
1.03125E-05 4449.32
1.06250E-05 4383.40
1.09375E-05 4320.33
1.12500E-05 4259.90
1.15625E-05 4201.94
1.18750E-05 4146.29
1.21875E-05 4092.78
1.25000E-05 4041.30
1.28125E-05 3991.71
1.31250E-05 3943.91
1.34375E-05 3897.78
1.37500E-05 3853.23
1.43750E-05 3768.53
1.50000E-05 3689.19
1.56250E-05 3614.65
1.62500E-05 3544.46
1.68750E-05 3478.20
1.75000E-05 3415.52
1.81250E-05 3356.12
1.87500E-05 3299.71
1.93750E-05 3246.05
2.00000E-05 3194.93
2.09375E-05 3122.58
2.18750E-05 3054.94
2.28125E-05 2991.51
2.37500E-05 2931.87
2.46875E-05 2875.66
2.56250E-05 2822.57
2.65625E-05 2772.31
2.75000E-05 2724.65
2.84375E-05 2679.36
2.93750E-05 2636.26
3.03125E-05 2595.17
3.12500E-05 2555.95
3.21875E-05 2518.45
3.31250E-05 2482.56
3.40625E-05 2448.15
3.50000E-05 2415.14
3.59375E-05 2383.43
3.68750E-05 2352.94
3.78125E-05 2323.59
3.87500E-05 2295.31
3.96875E-05 2268.04
4.06250E-05 2241.72
4.25000E-05 2191.71
4.43750E-05 2144.90
4.62500E-05 2100.98
4.81250E-05 2059.64
5.00000E-05 2020.66
5.15625E-05 1989.80
5.31250E-05 1960.32
5.46875E-05 1932.12
5.62500E-05 1905.09
5.78125E-05 1879.17
5.93750E-05 1854.28
6.09375E-05 1830.36
6.25000E-05 1807.33
6.40625E-05 1785.16
6.56250E-05 1763.78
6.71875E-05 1743.15
6.87500E-05 1723.22
7.18750E-05 1685.35
7.50000E-05 1649.86
7.81250E-05 1616.53
8.12500E-05 1585.14
8.43750E-05 1555.51
8.75000E-05 1527.48
9.06250E-05 1500.91
9.37500E-05 1475.68
9.68750E-05 1451.69
0.000100000 1428.83
0.000103125 1407.01
0.000106250 1386.16
0.000109375 1366.22
0.000112500 1347.11
0.000115625 1328.78
0.000118750 1311.18
0.000121875 1294.26
0.000125000 1277.98
0.000128125 1262.30
0.000131250 1247.18
0.000134375 1232.60
0.000137500 1218.51
0.000143750 1191.73
0.000150000 1166.64
0.000156250 1143.07
0.000162500 1120.87
0.000168750 1099.92
0.000175000 1080.10
0.000181250 1061.31
0.000187500 1043.47
0.000193750 1026.51
0.000200000 1010.34
0.000209375 987.462
0.000218750 966.071
0.000228125 946.012
0.000237500 927.154
0.000246875 909.380
0.000256250 892.590
0.000265625 876.698
0.000275000 861.625
0.000284375 847.304
0.000293750 833.674
0.000303125 820.682
0.000312500 808.279
0.000321875 796.421
0.000331250 785.071
0.000340625 774.192
0.000350000 763.754
0.000359375 753.726
0.000368750 744.084
0.000378125 734.803
0.000387500 725.860
0.000396875 717.236
0.000406250 708.913
0.000425000 693.099
0.000443750 678.299
0.000462500 664.409
0.000481250 651.338
0.000500000 639.010
0.000515625 629.254
0.000531250 619.932
0.000546875 611.013
0.000562500 602.468
0.000578125 594.271
0.000593750 586.400
0.000609375 578.834
0.000625000 571.554
0.000640625 564.542
0.000656250 557.781
0.000671875 551.258
0.000687500 544.958
0.000718750 532.981
0.000750000 521.761
0.000781250 511.220
0.000812500 501.294
0.000843750 491.925
0.000875000 483.062
0.000906250 474.661
0.000937500 466.685
0.000968750 459.097
0.00100000 451.868
0.00103125 444.970
0.00106250 438.379
0.00109375 432.072
0.00112500 426.030
0.00115625 420.234
0.00118750 414.669
0.00121875 409.320
0.00125000 404.172
0.00128125 399.214
0.00131250 394.434
0.00134375 389.821
0.00137500 385.367
0.00143750 376.898
0.00150000 368.965
0.00156250 361.512
0.00162500 354.494
0.00168750 347.869
0.00175000 341.602
0.00181250 335.662
0.00187500 330.022
0.00193750 324.657
0.00200000 319.546
0.00209375 312.312
0.00218750 305.549
0.00228125 299.206
0.00237500 293.244
0.00246875 287.624
0.00256250 282.315
0.00265625 277.290
0.00275000 272.525
0.00284375 267.997
0.00293750 263.688
0.00303125 259.580
0.00312500 255.658
0.00321875 251.909
0.00331250 248.321
0.00340625 244.881
0.00350000 241.581
0.00359375 238.411
0.00368750 235.363
0.00378125 232.428
0.00387500 229.601
0.00396875 226.875
0.00406250 224.244
0.00425000 219.244
0.00443750 214.566
0.00462500 210.175
0.00481250 206.043
0.00500000 202.146
0.00515625 199.062
0.00531250 196.115
0.00546875 193.296
0.00562500 190.594
0.00578125 188.004
0.00593750 185.516
0.00609375 183.124
0.00625000 180.823
0.00640625 178.607
0.00656250 176.470
0.00671875 174.408
0.00687500 172.417
0.00718750 168.632
0.00750000 165.085
0.00781250 161.754
0.00812500 158.617
0.00843750 155.655
0.00875000 152.854
0.00906250 150.199
0.00937500 147.678
0.00968750 145.280
0.0100000 142.996
0.0103125 140.816
0.0106250 138.733
0.0109375 136.740
0.0112500 134.831
0.0115625 133.000
0.0118750 131.241
0.0121875 129.551
0.0125000 127.925
0.0128125 126.359
0.0131250 124.849
0.0134375 123.392
0.0137500 121.985
0.0143750 119.310
0.0150000 116.804
0.0156250 114.450
0.0162500 112.234
0.0168750 110.141
0.0175000 108.162
0.0181250 106.285
0.0187500 104.504
0.0193750 102.809
0.0200000 101.195
0.0206625 99.5647
0.0213250 98.0109
0.0219875 96.5280
0.0226500 95.1108
0.0233125 93.7545
0.0239750 92.4549
0.0246375 91.2081
0.0253000 90.0108
0.0264578 88.0275
0.0276156 86.1706
0.0287734 84.4273
0.0299313 82.7865
0.0310891 81.2385
0.0322469 79.7749
0.0334047 78.3882
0.0345625 77.0718
0.0355274 76.0243
0.0364922 75.0186
0.0374570 74.0519
0.0384219 73.1219
0.0393867 72.2263
0.0403516 71.3629
0.0413164 70.5301
0.0422813 69.7260
0.0442109 68.1976
0.0461406 66.7664
0.0480703 65.4225
0.0500000 64.1574
0.0515625 63.1857
0.0531250 62.2573
0.0546875 61.3691
0.0562500 60.5183
0.0578125 59.7024
0.0593750 58.9191
0.0609375 58.1663
0.0625000 57.4421
0.0640625 56.7448
0.0656250 56.0727
0.0671875 55.4244
0.0687500 54.7984
0.0718750 53.6084
0.0750000 52.4934
0.0781250 51.4460
0.0812500 50.4597
0.0843750 49.5288
0.0875000 48.6485
0.0906250 47.8144
0.0937500 47.0226
0.0968750 46.2697
0.100000 45.5525
0.103125 44.8684
0.106250 44.2149
0.109375 43.5898
0.112500 42.9911
0.115625 42.4171
0.118750 41.8661
0.121875 41.3367
0.125000 40.8276
0.128125 40.3375
0.131250 39.8653
0.137500 38.9699
0.143750 38.1333
0.150000 37.3496
0.156250 36.6138
0.162500 35.9212
0.168750 35.2679
0.175000 34.6503
0.181250 34.0653
0.187500 33.5103
0.193750 32.9829
0.200000 32.4810
0.209375 31.7711
0.218750 31.1074
0.228125 30.4854
0.237500 29.9011
0.246875 29.3510
0.256250 28.8319
0.265625 28.3409
0.275000 27.8758
0.284375 27.4343
0.293750 27.0145
0.303125 26.6148
0.312500 26.2336
0.321875 25.8695
0.331250 25.5214
0.340625 25.1880
0.350000 24.8685
0.364063 24.4132
0.378125 23.9842
0.392188 23.5794
0.406250 23.1970
0.425000 22.7176
0.443750 22.2692
0.462500 21.8491
0.500000 21.0851
0.531250 20.5139
0.562500 19.9917
0.625000 19.0731
0.687500 18.2899
0.750000 17.6130
0.796875 17.1624
0.843750 16.7530
0.875000 16.5016
0.937500 16.0395
1.00000 15.6246
1.06250 15.2514
1.12500 14.9141
1.25000 14.3287
1.37500 13.8398
1.50000 13.4270
1.62500 13.0759
1.75000 12.7764
1.87500 12.5195
2.00000 12.2982
2.11617 12.1213
2.23234 11.9683
2.34850 11.8361
2.46467 11.7229
2.58084 11.6280
2.69700 11.5517
2.81317 11.4958
2.92934 11.4666
2.99700 11.4810
3.03084 11.5098
3.06467 11.5714
3.09850 11.6929
3.13234 11.9007
3.16617 12.1471
3.18308 12.2329
