Fe-54(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 130.421
1.03125E-05 128.434
1.06250E-05 126.534
1.09375E-05 124.717
1.12500E-05 122.976
1.15625E-05 121.306
1.18750E-05 119.703
1.21875E-05 118.162
1.25000E-05 116.679
1.28125E-05 115.250
1.31250E-05 113.873
1.34375E-05 112.544
1.37500E-05 111.261
1.43750E-05 108.821
1.50000E-05 106.536
1.56250E-05 104.390
1.62500E-05 102.368
1.68750E-05 100.460
1.75000E-05 98.6553
1.81250E-05 96.9448
1.87500E-05 95.3206
1.93750E-05 93.7758
2.00000E-05 92.3041
2.09375E-05 90.2214
2.18750E-05 88.2743
2.28125E-05 86.4486
2.37500E-05 84.7322
2.46875E-05 83.1147
2.56250E-05 81.5869
2.65625E-05 80.1409
2.75000E-05 78.7695
2.84375E-05 77.4667
2.93750E-05 76.2268
3.03125E-05 75.0450
3.12500E-05 73.9169
3.21875E-05 72.8385
3.31250E-05 71.8063
3.40625E-05 70.8171
3.50000E-05 69.8680
3.59375E-05 68.9564
3.68750E-05 68.0798
3.78125E-05 67.2361
3.87500E-05 66.4233
3.96875E-05 65.6395
4.06250E-05 64.8830
4.25000E-05 63.4461
4.43750E-05 62.1014
4.62500E-05 60.8396
4.81250E-05 59.6524
5.00000E-05 58.5329
5.15625E-05 57.6471
5.31250E-05 56.8008
5.46875E-05 55.9911
5.62500E-05 55.2155
5.78125E-05 54.4717
5.93750E-05 53.7575
6.09375E-05 53.0710
6.25000E-05 52.4106
6.40625E-05 51.7745
6.56250E-05 51.1614
6.71875E-05 50.5698
6.87500E-05 49.9986
7.18750E-05 48.9129
7.50000E-05 47.8960
7.81250E-05 46.9410
8.12500E-05 46.0418
8.43750E-05 45.1933
8.75000E-05 44.3909
9.06250E-05 43.6305
9.37500E-05 42.9087
9.68750E-05 42.2222
0.000100000 41.5684
0.000103125 40.9446
0.000106250 40.3488
0.000109375 39.7788
0.000112500 39.2328
0.000115625 38.7093
0.000118750 38.2067
0.000121875 37.7236
0.000125000 37.2589
0.000128125 36.8114
0.000131250 36.3802
0.000134375 35.9641
0.000137500 35.5624
0.000143750 34.7989
0.000150000 34.0840
0.000156250 33.4128
0.000162500 32.7810
0.000168750 32.1848
0.000175000 31.6212
0.000181250 31.0872
0.000187500 30.5804
0.000193750 30.0985
0.000200000 29.6396
0.000209375 28.9906
0.000218750 28.3841
0.000228125 27.8158
0.000237500 27.2818
0.000246875 26.7788
0.000256250 26.3040
0.000265625 25.8549
0.000275000 25.4292
0.000284375 25.0250
0.000293750 24.6405
0.000303125 24.2742
0.000312500 23.9247
0.000321875 23.5909
0.000331250 23.2714
0.000340625 22.9655
0.000350000 22.6721
0.000359375 22.3904
0.000368750 22.1196
0.000378125 21.8592
0.000387500 21.6084
0.000396875 21.3666
0.000406250 21.1334
0.000425000 20.6908
0.000443750 20.2769
0.000462500 19.8889
0.000481250 19.5241
0.000500000 19.1804
0.000515625 18.9087
0.000531250 18.6492
0.000546875 18.4011
0.000562500 18.1637
0.000578125 17.9361
0.000593750 17.7177
0.000609375 17.5079
0.000625000 17.3062
0.000640625 17.1120
0.000656250 16.9250
0.000671875 16.7446
0.000687500 16.5706
0.000718750 16.2400
0.000750000 15.9307
0.000781250 15.6405
0.000812500 15.3675
0.000843750 15.1102
0.000875000 14.8670
0.000906250 14.6368
0.000937500 14.4184
0.000968750 14.2110
0.00100000 14.0135
0.00103125 13.8252
0.00106250 13.6455
0.00109375 13.4737
0.00112500 13.3093
0.00115625 13.1517
0.00118750 13.0006
0.00121875 12.8554
0.00125000 12.7157
0.00128125 12.5814
0.00131250 12.4519
0.00134375 12.3272
0.00137500 12.2067
0.00143750 11.9780
0.00150000 11.7640
0.00156250 11.5633
0.00162500 11.3745
0.00168750 11.1965
0.00175000 11.0283
0.00181250 10.8690
0.00187500 10.7180
0.00193750 10.5744
0.00200000 10.4378
0.00209375 10.2446
0.00218750 10.0643
0.00228125 9.89537
0.00237500 9.73675
0.00246875 9.58741
0.00256250 9.44649
0.00265625 9.31323
0.00275000 9.18696
0.00284375 9.06709
0.00293750 8.95311
0.00303125 8.84454
0.00312500 8.74098
0.00321875 8.64205
0.00331250 8.54742
0.00340625 8.45678
0.00350000 8.36986
0.00359375 8.28642
0.00368750 8.20624
0.00378125 8.12910
0.00387500 8.05481
0.00396875 7.98322
0.00406250 7.91415
0.00425000 7.78303
0.00443750 7.66043
0.00462500 7.54547
0.00481250 7.43738
0.00500000 7.33551
0.00515625 7.25495
0.00531250 7.17802
0.00546875 7.10446
0.00562500 7.03401
0.00578125 6.96648
0.00593750 6.90166
0.00609375 6.83939
0.00625000 6.77949
0.00640625 6.72182
0.00656250 6.66625
0.00671875 6.61265
0.00687500 6.56091
0.00718750 6.46259
0.00750000 6.37054
0.00781250 6.28414
0.00812500 6.20282
0.00843750 6.12611
0.00875000 6.05359
0.00906250 5.98488
0.00937500 5.91968
0.00968750 5.85769
0.0100000 5.79865
0.0103125 5.74235
0.0106250 5.68857
0.0109375 5.63713
0.0112500 5.58787
0.0115625 5.54064
0.0118750 5.49530
0.0121875 5.45173
0.0125000 5.40982
0.0128125 5.36947
0.0131250 5.33058
0.0134375 5.29306
0.0137500 5.25684
0.0143750 5.18801
0.0150000 5.12355
0.0156250 5.06303
0.0162500 5.00606
0.0168750 4.95231
0.0175000 4.90149
0.0181250 4.85333
0.0187500 4.80762
0.0193750 4.76415
0.0200000 4.72275
0.0206625 4.68095
0.0213250 4.64113
0.0219875 4.60313
0.0226500 4.56682
0.0233125 4.53208
