76-Os_n-g
> 76-Os-184:0.000200
> 76-Os-186:0.015900
> 76-Os-187:0.019600
> 76-Os-188:0.132400
> 76-Os-189:0.161500
> 76-Os-190:0.262600
> 76-Os-192:0.407800
2.980570e-04 5.52842050e+02
3.011920e-04 5.49938324e+02
3.031250e-04 5.48148620e+02
3.074610e-04 5.44312844e+02
3.125000e-04 5.39858664e+02
3.200000e-04 5.33515681e+02
3.218750e-04 5.31931638e+02
3.312500e-04 5.24346024e+02
3.344810e-04 5.21838034e+02
3.406250e-04 5.17074269e+02
3.489620e-04 5.10867288e+02
3.500000e-04 5.10094950e+02
3.523440e-04 5.08418673e+02
3.546880e-04 5.06742682e+02
3.593750e-04 5.03392246e+02
3.687500e-04 4.96947178e+02
3.781250e-04 4.90742792e+02
3.875000e-04 4.84763990e+02
3.968750e-04 4.78998697e+02
4.062500e-04 4.73434458e+02
4.250000e-04 4.62863043e+02
4.437500e-04 4.52969587e+02
4.625000e-04 4.43683730e+02
4.812500e-04 4.34945242e+02
5.000000e-04 4.26702122e+02
5.156250e-04 4.20180554e+02
5.312500e-04 4.13947928e+02
5.468750e-04 4.07983625e+02
5.625000e-04 4.02269607e+02
5.781250e-04 3.96789047e+02
5.937500e-04 3.91526244e+02
6.093750e-04 3.86467885e+02
6.250000e-04 3.81598966e+02
6.400000e-04 3.77098104e+02
6.406250e-04 3.76910724e+02
6.562500e-04 3.72390321e+02
6.675000e-04 3.69248606e+02
6.718750e-04 3.68028123e+02
6.875000e-04 3.63815254e+02
6.950000e-04 3.61891465e+02
7.187500e-04 3.55805795e+02
7.225000e-04 3.54904363e+02
7.500000e-04 3.48300556e+02
7.812500e-04 3.41252111e+02
8.125000e-04 3.34613557e+02
8.437500e-04 3.28346653e+02
8.750000e-04 3.22417517e+02
9.062500e-04 3.16799435e+02
9.375000e-04 3.11463076e+02
9.687500e-04 3.06387278e+02
1.000000e-03 3.01551137e+02
1.031250e-03 2.96935918e+02
1.062500e-03 2.92527241e+02
1.093750e-03 2.88307532e+02
1.125000e-03 2.84265259e+02
1.156250e-03 2.80386462e+02
1.187500e-03 2.76663128e+02
1.218750e-03 2.73083286e+02
1.250000e-03 2.69639170e+02
1.280000e-03 2.66453147e+02
1.281250e-03 2.66320506e+02
1.312500e-03 2.63122107e+02
1.335000e-03 2.60898639e+02
1.343750e-03 2.60034870e+02
1.375000e-03 2.57055058e+02
1.390000e-03 2.55693298e+02
1.437500e-03 2.51385565e+02
1.445000e-03 2.50747838e+02
1.500000e-03 2.46075880e+02
1.562500e-03 2.41086376e+02
1.625000e-03 2.36388382e+02
1.687500e-03 2.31951938e+02
1.750000e-03 2.27756212e+02
1.812500e-03 2.23779637e+02
1.875000e-03 2.20002694e+02
1.937500e-03 2.16409099e+02
2.000000e-03 2.12985642e+02
2.070000e-03 2.09356180e+02
2.082030e-03 2.08732969e+02
2.093750e-03 2.08151683e+02
2.140000e-03 2.05894633e+02
2.164060e-03 2.04721457e+02
2.187500e-03 2.03625989e+02
2.210000e-03 2.02590522e+02
2.246090e-03 2.00930995e+02
2.280000e-03 1.99433840e+02
2.281250e-03 1.99378695e+02
2.328130e-03 1.97340643e+02
2.350000e-03 1.96426168e+02
2.375000e-03 1.95381627e+02
2.410160e-03 1.93933039e+02
2.420000e-03 1.93542864e+02
2.468750e-03 1.91611281e+02
2.490000e-03 1.90780522e+02
2.492190e-03 1.90694967e+02
2.560000e-03 1.88141897e+02
2.562500e-03 1.88047805e+02
2.568360e-03 1.87830090e+02
2.574220e-03 1.87612375e+02
2.596190e-03 1.86824824e+02
2.618170e-03 1.86037110e+02
2.656250e-03 1.84672826e+02
2.662110e-03 1.84473023e+02
2.750000e-03 1.81478241e+02
2.843750e-03 1.78442914e+02
2.937500e-03 1.75553345e+02
3.031250e-03 1.72798785e+02
3.125000e-03 1.70168818e+02
3.218750e-03 1.67654268e+02
3.312500e-03 1.65247059e+02
3.406250e-03 1.62939684e+02
3.500000e-03 1.60725368e+02
3.593750e-03 1.58598050e+02
3.687500e-03 1.56552255e+02
3.781250e-03 1.54582727e+02
3.875000e-03 1.52684924e+02
3.968750e-03 1.50854657e+02
4.062500e-03 1.49087831e+02
4.250000e-03 1.45730786e+02
4.437500e-03 1.42588255e+02
4.625000e-03 1.39638036e+02
4.812500e-03 1.36861325e+02
5.000000e-03 1.34241935e+02
5.120000e-03 1.32649600e+02
5.156250e-03 1.32168892e+02
5.261250e-03 1.30837079e+02
5.312500e-03 1.30187477e+02
5.402500e-03 1.29094942e+02
5.468750e-03 1.28291252e+02
5.543750e-03 1.27418838e+02
5.625000e-03 1.26474345e+02
5.685000e-03 1.25804775e+02
5.781250e-03 1.24731356e+02
5.826250e-03 1.24249001e+02
5.937500e-03 1.23057278e+02
5.967500e-03 1.22748091e+02
6.093750e-03 1.21447725e+02
6.108750e-03 1.21298948e+02
6.250000e-03 1.19898809e+02
6.406250e-03 1.18406553e+02
6.562500e-03 1.16967705e+02
6.718750e-03 1.15579080e+02
6.875000e-03 1.14237898e+02
7.187500e-03 1.11687168e+02
7.500000e-03 1.09296776e+02
7.812500e-03 1.07050407e+02
8.125000e-03 1.04934035e+02
8.437500e-03 1.02935743e+02
8.750000e-03 1.01044858e+02
9.062500e-03 9.92518908e+01
9.375000e-03 9.75488708e+01
9.687500e-03 9.59283250e+01
1.000000e-02 9.43838496e+01
1.031250e-02 9.29096817e+01
1.062500e-02 9.15007218e+01
1.093750e-02 9.01520835e+01
1.125000e-02 8.88595690e+01
1.156250e-02 8.76196333e+01
1.187500e-02 8.64284658e+01
1.218750e-02 8.52832067e+01
1.250000e-02 8.41807902e+01
1.281250e-02 8.31187009e+01
1.312500e-02 8.20943325e+01
1.343750e-02 8.11056277e+01
1.375000e-02 8.01504910e+01
1.437500e-02 7.83336832e+01
1.500000e-02 7.66303425e+01
1.562500e-02 7.50290896e+01
1.625000e-02 7.35201737e+01
1.687500e-02 7.20948696e+01
1.750000e-02 7.07456319e+01
1.812500e-02 6.94660639e+01
1.875000e-02 6.82502524e+01
1.937500e-02 6.70930392e+01
2.000000e-02 6.59898126e+01
2.066250e-02 6.48748360e+01
2.132500e-02 6.38115651e+01
2.198750e-02 6.27961053e+01
