Pt-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.00156250 207.221
0.00162500 203.284
0.00168750 199.568
0.00175000 196.054
0.00181250 192.723
0.00187500 189.560
0.00193750 186.551
0.00200000 183.685
0.00208930 179.815
0.00209375 179.629
0.00210400 179.202
0.00211426 178.778
0.00213477 177.939
0.00217578 176.297
0.00225781 173.149
0.00233984 170.168
0.00242188 167.339
0.00250391 164.651
0.00258594 162.092
0.00266797 159.652
0.00275000 157.322
0.00284375 154.784
0.00293750 152.369
0.00303125 150.066
0.00312500 147.868
0.00321875 145.767
0.00331250 143.755
0.00340625 141.828
0.00350000 139.978
0.00359375 138.202
0.00368750 136.493
0.00378125 134.849
0.00387500 133.264
0.00396875 131.736
0.00406250 130.262
0.00425000 127.461
0.00443750 124.839
0.00462500 122.378
0.00481250 120.063
0.00500000 117.880
0.00515625 116.152
0.00531250 114.501
0.00546875 112.921
0.00562500 111.408
0.00578125 109.957
0.00593750 108.563
0.00609375 107.224
0.00625000 105.935
0.00640625 104.693
0.00656250 103.496
0.00671875 102.342
0.00687500 101.226
0.00718750 99.1063
0.00750000 97.1203
0.00781250 95.2547
0.00812500 93.4978
0.00843750 91.8396
0.00875000 90.2710
0.00906250 88.7843
0.00937500 87.3726
0.00968750 86.0299
0.0100000 84.7507
0.0103125 83.5301
0.0106250 82.3639
0.0109375 81.2482
0.0112500 80.1793
0.0115625 79.1542
0.0118750 78.1700
0.0121875 77.2239
0.0125000 76.3136
0.0128125 75.4370
0.0131250 74.5918
0.0134375 73.7764
0.0137500 72.9890
0.0143750 71.4921
0.0150000 70.0897
0.0156250 68.7724
0.0162500 67.5319
0.0168750 66.3610
0.0175000 65.2534
0.0181250 64.2038
0.0187500 63.2072
0.0193750 62.2593
0.0200000 61.3563
0.0206625 60.4444
0.0213250 59.5754
0.0219875 58.7461
0.0226500 57.9535
0.0233125 57.1951
0.0239750 56.4684
0.0246375 55.7714
0.0253000 55.1020
0.0262767 54.1618
0.0272533 53.2727
0.0282299 52.4304
0.0292066 51.6308
0.0301832 50.8704
0.0311599 50.1463
0.0321365 49.4557
0.0331132 48.7960
0.0346451 47.8183
0.0361771 46.9035
0.0377090 46.0450
0.0392410 45.2374
0.0407729 44.4758
0.0423049 43.7562
0.0438368 43.0748
0.0453688 42.4285
0.0465266 41.9614
0.0476844 41.5115
0.0488422 41.0778
0.0500000 40.6592
0.0515625 40.1169
0.0531250 39.5989
0.0546875 39.1033
0.0562500 38.6287
0.0578125 38.1737
0.0593750 37.7369
0.0609375 37.3172
0.0625000 36.9135
0.0640625 36.5248
0.0656250 36.1501
0.0687500 35.4397
0.0718750 34.7765
0.0750000 34.1554
0.0781250 33.5720
0.0812500 33.0228
0.0843750 32.5047
0.0875000 32.0151
0.0906250 31.5512
0.0937500 31.1109
0.0968750 30.6923
0.100000 30.2937
0.103125 29.9135
0.106250 29.5505
0.109375 29.2033
0.112500 28.8709
0.115625 28.5523
0.118750 28.2466
0.121875 27.9530
0.125000 27.6706
0.128125 27.3988
0.131250 27.1370
0.137500 26.6407
0.143750 26.1770
0.150000 25.7433
0.156250 25.3367
0.162500 24.9541
0.168750 24.5930
0.175000 24.2520
0.181250 23.9295
0.187500 23.6238
0.193750 23.3334
0.200000 23.0571
0.208930 22.6842
0.209375 22.6662
0.210400 22.6251
0.211426 22.5843
0.213477 22.5037
0.217578 22.3460
0.225781 22.0443
0.233984 21.7589
0.242188 21.4883
0.250391 21.2315
0.258594 20.9879
0.266797 20.7562
0.275000 20.5353
0.284375 20.2950
0.293750 20.0669
0.303125 19.8502
0.312500 19.6437
0.321875 19.4468
0.331250 19.2588
0.340625 19.0793
0.350000 18.9075
0.363078 18.6797
0.375289 18.4787
0.387500 18.2885
0.406250 18.0146
0.425000 17.7596
0.436516 17.6121
0.443750 17.5229
0.457813 17.3565
0.471875 17.1982
0.500000 16.9046
0.524807 16.6676
0.531250 16.6090
0.554688 16.4071
0.578125 16.2206
0.625000 15.8829
0.630958 15.8432
0.645838 15.7474
0.660718 15.6563
0.690479 15.4848
0.750000 15.1813
0.758578 15.1414
0.787684 15.0139
0.816789 14.8960
0.875000 14.6874
0.937500 14.4982
1.00000 14.3394
1.09116 14.1570
1.18231 14.0231
1.18750 14.0167
1.20313 13.9987
1.21875 13.9823
1.25000 13.9536
1.31250 13.9092
1.31826 13.9058
1.34097 13.8945
1.36369 13.8862
1.40913 13.8767
1.50000 13.8823
1.62500 13.9465
1.75000 14.0775
1.87500 14.2735
2.00000 14.5416
2.10020 14.8126
2.20040 15.1394
2.30059 15.5245
2.40079 15.9859
2.50099 16.5247
2.60119 17.1578
2.65129 17.5152
2.70139 17.9005
2.75149 18.3177
2.80158 18.7711
2.86530 19.4071
2.92902 20.1161
2.99273 20.9079
3.05645 21.7947
3.12016 22.7909
3.18388 23.9167
3.24760 25.1918
3.31131 26.6350
3.36494 28.0061
3.41857 29.5495
3.47219 31.2915
3.49900 32.2471
3.52582 33.2658
3.55263 34.3530
3.57944 35.5151
3.60626 36.7588
3.63307 38.0919
3.65988 39.5216
3.68670 41.0560
3.71351 42.7074
3.74032 44.4923
3.77394 46.9417
3.80756 49.6547
3.84118 52.6703
3.87479 56.0354
3.90841 59.8030
3.92522 61.8575
3.94203 64.0383
3.95884 66.3565
3.97565 68.8236
3.99245 71.4524
4.00926 74.2568
4.03534 78.9934
4.06141 84.2649
4.08748 90.1588
4.10052 93.3700
4.11356 96.7756
4.12659 100.392
4.13963 104.235
4.15267 108.324
4.16570 112.680
4.17874 117.329
4.19178 122.298
4.20481 127.619
4.21785 133.326
4.23244 140.220
4.24703 147.707
4.26162 155.857
4.27622 164.749
4.29081 174.478
4.30540 185.150
4.31269 190.880
4.31999 196.893
4.32728 203.212
4.33458 209.854
4.34718 222.163
4.35348 228.747
4.35978 235.641
4.36608 242.867
4.37238 250.444
4.37869 258.397
4.38499 266.748
4.39129 275.529
4.39759 284.768
4.40389 294.497
4.41019 304.751
4.41649 315.572
4.42279 326.999
4.42909 339.083
4.43539 351.871
4.44269 367.638
4.44998 384.525
4.45728 402.642
4.46457 422.109
4.47187 443.069
4.47916 465.673
4.48646 490.105
4.49376 516.561
4.50105 545.279
4.50835 576.516
4.51564 610.586
4.52294 647.832
4.52659 667.777
4.53023 688.675
4.53388 710.589
4.53753 733.579
4.54118 757.730
4.54482 783.115
4.54847 809.818
4.55212 837.924
4.55577 867.549
4.55942 898.796
4.56306 931.782
4.56671 966.640
4.57036 1003.51
4.57401 1042.55
4.57766 1083.92
4.58130 1127.81
4.58495 1174.44
4.58860 1224.01
4.59225 1276.78
4.59589 1332.99
4.59954 1392.97
4.60319 1457.02
4.60684 1525.50
4.61048 1598.75
4.61480 1692.08
4.61911 1793.44
4.62342 1903.64
4.62773 2023.56
4.63204 2154.16
4.63635 2296.45
4.64066 2451.52
4.64497 2620.51
4.64862 2775.22
4.65227 2941.42
4.65592 3119.79
4.65956 3310.96
4.66321 3515.63
4.66686 3734.31
4.67051 3967.44
4.67415 4215.27
4.67780 4478.12
4.68145 4755.90
4.68510 5048.37
4.68875 5354.97
4.69239 5675.10
4.69604 6007.59
4.69969 6351.04
4.70334 6703.60
4.71134 7498.80
4.71934 8299.54
4.72735 9071.00
4.73135 9433.40
4.73535 9773.31
4.73926 10078.7
4.74316 10353.3
4.74707 10592.7
4.75098 10793.3
4.75488 10951.6
4.75879 11065.1
4.76269 11131.9
4.76660 11150.7
4.76906 11137.8
4.77359 11064.6
4.77811 10929.0
4.78263 10734.0
4.78715 10484.2
4.79167 10185.0
4.79620 9842.74
4.80072 9464.44
4.80524 9057.45
4.81381 8232.96
4.82238 7379.20
4.83095 6537.42
4.83524 6131.39
4.83953 5739.60
4.84347 5393.78
4.84741 5063.38
4.85135 4749.21
4.85529 4452.01
4.85923 4171.90
4.86317 3909.02
4.86711 3663.02
4.87105 3433.47
4.87499 3219.73
4.87893 3021.18
4.88287 2836.99
4.88681 2666.33
4.89075 2508.34
4.89469 2362.15
4.89863 2226.92
4.90257 2101.83
4.90651 1986.06
4.91045 1878.92
4.91439 1779.69
4.91833 1687.70
4.92227 1602.34
4.92621 1523.08
4.93015 1449.39
4.93409 1380.80
4.93803 1316.87
4.94197 1257.24
4.94591 1201.53
4.94985 1149.43
4.95379 1100.63
4.95773 1054.88
4.96167 1011.93
4.96561 971.574
4.96991 930.249
4.97421 891.538
4.97851 855.211
4.98281 821.093
4.98711 788.996
4.99140 758.778
4.99570 730.290
5.00000 703.402
5.00570 670.018
5.01140 639.003
5.01710 610.132
5.02279 583.212
5.02849 558.071
5.03419 534.555
5.03989 512.526
5.04559 491.862
5.05128 472.451
5.05698 454.195
5.06268 437.003
5.06838 420.794
5.07408 405.494
5.07977 391.037
5.09117 364.413
5.09744 350.949
5.10371 338.241
5.10997 326.234
5.11624 314.878
5.12878 293.938
5.14131 275.097
5.15385 258.082
5.16638 242.668
5.17892 228.657
5.19145 215.888
5.20000 207.819
5.20855 200.221
5.21710 193.058
5.22564 186.299
5.23419 179.912
5.24274 173.873
5.25983 162.736
5.27692 152.714
5.29402 143.662
5.31111 135.460
5.32821 128.004
5.34074 122.960
5.35328 118.242
5.36581 113.822
5.37835 109.677
5.39089 105.785
5.40342 102.125
5.41596 98.6800
5.42849 95.4343
5.45356 89.4821
5.47863 84.1660
5.50370 79.4013
5.52878 75.1171
5.54359 72.7865
5.55841 70.5919
5.58804 66.5723
5.61767 62.9905
5.64729 59.7909
5.67692 56.9271
5.70655 54.3576
5.73618 52.0447
5.76581 49.9586
5.80225 47.6704
5.83869 45.6544
5.87513 43.8788
5.91157 42.3169
5.95717 40.6307
6.00277 39.2104
6.04836 38.0269
6.09396 37.0575
6.13956 36.2848
6.18516 35.6957
6.23076 35.2799
6.27635 35.0312
