Be-9(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0480703 0.00728271
0.0500000 0.00714095
0.0515625 0.00703204
0.0531250 0.00692797
0.0546875 0.00682838
0.0562500 0.00673296
0.0593750 0.00655355
0.0625000 0.00638776
0.0656250 0.00623394
0.0687500 0.00609073
0.0718750 0.00595695
0.0750000 0.00583161
0.0781250 0.00571387
0.0812500 0.00560297
0.0843750 0.00549829
0.0875000 0.00539926
0.0906250 0.00530538
0.0937500 0.00521624
0.0968750 0.00513144
0.100000 0.00505064
0.103125 0.00497353
0.106250 0.00489985
0.112500 0.00476180
0.118750 0.00463478
0.125000 0.00451741
0.131250 0.00440852
0.137500 0.00430714
0.143750 0.00421244
0.150000 0.00412372
0.156250 0.00404037
0.162500 0.00396188
0.168750 0.00388779
0.175000 0.00381771
0.181250 0.00375128
0.187500 0.00368820
0.200000 0.00357104
0.209375 0.00349014
0.218750 0.00341449
0.228125 0.00334355
0.237500 0.00327686
0.246875 0.00321399
0.256250 0.00315461
0.265625 0.00309840
0.275000 0.00304509
0.293750 0.00294623
0.312500 0.00285642
0.331250 0.00277435
0.350000 0.00269898
0.368750 0.00262944
0.387500 0.00256503
0.406250 0.00250514
0.425000 0.00244926
0.443750 0.00239697
0.462500 0.00234789
0.500000 0.00225815
0.531250 0.00219073
0.562500 0.00212898
0.593750 0.00207216
0.625000 0.00201964
0.687500 0.00192556
0.750000 0.00184351
0.812500 0.00177119
0.875000 0.00170682
0.937500 0.00164898
1.00000 0.00159657
1.06250 0.00154881
1.12500 0.00150506
1.18750 0.00146482
1.25000 0.00142764
1.37500 0.00136104
1.50000 0.00130297
1.62500 0.00125177
1.75000 0.00120624
1.87500 0.00116533
2.00000 0.00112820
2.18750 0.00107860
2.37500 0.00103505
2.56250 0.000996388
2.75000 0.000961834
2.93750 0.000930637
3.12500 0.000902220
3.31250 0.000876245
3.50000 0.000852390
3.87500 0.000809994
4.25000 0.000773349
4.62500 0.000741263
5.00000 0.000712914
5.31250 0.000691625
5.62500 0.000672090
6.25000 0.000637516
6.87500 0.000607778
7.50000 0.000581844
8.12500 0.000558968
8.75000 0.000538648
9.37500 0.000520393
10.0000 0.000503836
11.2500 0.000475083
12.5000 0.000450769
13.7500 0.000429851
15.0000 0.000411605
16.2500 0.000395506
17.5000 0.000381196
20.0000 0.000356661
21.8750 0.000341064
