Dy-161(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 30181.7
1.03125E-05 29720.9
1.06250E-05 29280.6
1.09375E-05 28859.3
1.12500E-05 28455.6
1.15625E-05 28068.4
1.18750E-05 27696.7
1.21875E-05 27339.3
1.25000E-05 26995.4
1.28125E-05 26664.1
1.31250E-05 26344.8
1.34375E-05 26036.6
1.37500E-05 25739.1
1.43750E-05 25173.3
1.50000E-05 24643.3
1.56250E-05 24145.4
1.62500E-05 23676.5
1.68750E-05 23233.9
1.75000E-05 22815.2
1.81250E-05 22418.4
1.87500E-05 22041.6
1.93750E-05 21683.2
2.00000E-05 21341.7
2.09375E-05 20858.4
2.18750E-05 20406.6
2.28125E-05 19982.9
2.37500E-05 19584.5
2.46875E-05 19209.0
2.56250E-05 18854.4
2.65625E-05 18518.7
2.75000E-05 18200.3
2.84375E-05 17897.7
2.93750E-05 17609.8
3.03125E-05 17335.4
3.12500E-05 17073.4
3.21875E-05 16822.9
3.31250E-05 16583.1
3.40625E-05 16353.3
3.50000E-05 16132.8
3.59375E-05 15921.0
3.68750E-05 15717.3
3.78125E-05 15521.2
3.87500E-05 15332.3
3.96875E-05 15150.2
4.06250E-05 14974.3
4.25000E-05 14640.3
4.43750E-05 14327.6
4.62500E-05 14034.2
4.81250E-05 13758.1
5.00000E-05 13497.7
5.15625E-05 13291.6
5.31250E-05 13094.7
5.46875E-05 12906.3
5.62500E-05 12725.7
5.78125E-05 12552.6
5.93750E-05 12386.3
6.09375E-05 12226.5
6.25000E-05 12072.7
6.40625E-05 11924.6
6.56250E-05 11781.7
6.71875E-05 11643.9
6.87500E-05 11510.9
7.18750E-05 11257.8
7.50000E-05 11020.8
7.81250E-05 10798.1
8.12500E-05 10588.5
8.43750E-05 10390.5
8.75000E-05 10203.3
9.06250E-05 10025.8
9.37500E-05 9857.31
9.68750E-05 9697.01
0.000100000 9544.30
0.000103125 9398.57
0.000106250 9259.33
0.000109375 9126.09
0.000112500 8998.45
0.000115625 8876.01
0.000118750 8758.45
0.000121875 8645.43
0.000125000 8536.68
0.000128125 8431.93
0.000131250 8330.94
0.000134375 8233.50
0.000137500 8139.40
0.000143750 7960.49
0.000150000 7792.88
0.000156250 7635.43
0.000162500 7487.16
0.000168750 7347.20
0.000175000 7214.81
0.000181250 7089.32
0.000187500 6970.16
0.000193750 6856.82
0.000200000 6748.83
0.000209375 6596.01
0.000218750 6453.12
0.000228125 6319.13
0.000237500 6193.15
0.000246875 6074.42
0.000256250 5962.27
0.000265625 5856.11
0.000275000 5755.42
0.000284375 5659.76
0.000293750 5568.71
0.000303125 5481.92
0.000312500 5399.06
0.000321875 5319.85
0.000331250 5244.03
0.000340625 5171.36
0.000350000 5101.63
0.000359375 5034.65
0.000368750 4970.24
0.000378125 4908.24
0.000387500 4848.50
0.000396875 4790.89
0.000406250 4735.29
0.000425000 4629.66
0.000443750 4530.79
0.000462500 4438.00
0.000481250 4350.69
0.000500000 4268.33
0.000515625 4203.16
0.000531250 4140.89
0.000546875 4081.31
0.000562500 4024.22
0.000578125 3969.47
0.000593750 3916.89
0.000609375 3866.35
0.000625000 3817.71
0.000640625 3770.87
0.000656250 3725.71
0.000671875 3682.13
0.000687500 3640.05
0.000718750 3560.04
0.000750000 3485.08
0.000781250 3414.67
0.000812500 3348.36
0.000843750 3285.77
0.000875000 3226.56
0.000906250 3170.44
0.000937500 3117.16
0.000968750 3066.47
0.00100000 3018.18
0.00103125 2972.09
0.00106250 2928.06
0.00109375 2885.93
0.00112500 2845.57
0.00115625 2806.85
0.00118750 2769.67
0.00121875 2733.93
0.00125000 2699.54
0.00128125 2666.42
0.00131250 2634.49
0.00134375 2603.67
0.00137500 2573.92
0.00143750 2517.34
0.00150000 2464.34
0.00156250 2414.55
0.00162500 2367.66
0.00168750 2323.40
0.00175000 2281.54
0.00181250 2241.86
0.00187500 2204.18
0.00193750 2168.33
0.00200000 2134.18
0.00209375 2085.85
0.00218750 2040.67
0.00228125 1998.29
0.00237500 1958.46
0.00246875 1920.91
0.00256250 1885.44
0.00265625 1851.87
0.00275000 1820.03
0.00284375 1789.77
0.00293750 1760.98
0.00303125 1733.54
0.00312500 1707.33
0.00321875 1682.28
0.00331250 1658.31
0.00340625 1635.33
0.00350000 1613.28
0.00359375 1592.09
0.00368750 1571.73
0.00378125 1552.12
0.00387500 1533.23
0.00396875 1515.01
0.00406250 1497.43
0.00425000 1464.02
0.00443750 1432.76
0.00462500 1403.42
0.00481250 1375.80
0.00500000 1349.76
0.00515625 1329.15
0.00531250 1309.46
0.00546875 1290.62
0.00562500 1272.57
0.00578125 1255.25
0.00593750 1238.63
0.00609375 1222.64
0.00625000 1207.27
0.00640625 1192.45
0.00656250 1178.17
0.00671875 1164.39
0.00687500 1151.09
0.00718750 1125.79
0.00750000 1102.08
0.00781250 1079.82
0.00812500 1058.85
0.00843750 1039.05
0.00875000 1020.33
0.00906250 1002.58
0.00937500 985.725
0.00968750 969.694
0.0100000 954.420
0.0103125 939.846
0.0106250 925.921
0.0109375 912.597
0.0112500 899.832
0.0115625 887.589
0.0118750 875.833
0.0121875 864.533
0.0125000 853.660
0.0128125 843.187
0.0131250 833.090
0.0134375 823.348
0.0137500 813.940
0.0143750 796.053
0.0150000 779.294
0.0156250 763.550
0.0162500 748.722
0.0168750 734.725
0.0175000 721.484
0.0181250 708.933
0.0187500 697.015
0.0193750 685.679
0.0200000 674.878
0.0206625 663.968
0.0213250 653.572
0.0219875 643.649
0.0226500 634.164
0.0233125 625.087
0.0239750 616.389
0.0246375 608.045
0.0253000 600.031
0.0264578 586.754
0.0276156 574.323
0.0287734 562.650
0.0299313 551.663
0.0310891 541.297
0.0322469 531.496
0.0334047 522.208
0.0345625 513.391
0.0355274 506.374
0.0364922 499.636
0.0374570 493.159
0.0384219 486.927
0.0393867 480.925
0.0403516 475.139
0.0413164 469.557
0.0422813 464.167
0.0442109 453.921
0.0461406 444.325
0.0480703 435.313
0.0500000 426.828
0.0515625 420.310
0.0531250 414.081
0.0546875 408.122
0.0562500 402.412
0.0578125 396.936
0.0593750 391.678
0.0609375 386.624
0.0625000 381.761
0.0640625 377.079
0.0656250 372.565
0.0671875 368.211
0.0687500 364.006
0.0718750 356.010
0.0750000 348.517
0.0781250 341.475
0.0812500 334.842
0.0843750 328.581
0.0875000 322.658
0.0906250 317.044
0.0937500 311.714
0.0968750 306.644
0.100000 301.813
0.103125 297.204
0.106250 292.800
0.109375 288.586
0.112500 284.548
0.115625 280.676
0.118750 276.958
0.121875 273.383
0.125000 269.944
0.128125 266.633
0.131250 263.441
0.134375 260.363
0.137500 257.391
0.143750 251.739
0.150000 246.440
0.156250 241.460
0.162500 236.769
0.168750 232.341
0.175000 228.153
0.181250 224.184
0.187500 220.415
0.193750 216.830
0.200000 213.414
0.206250 210.155
0.212500 207.040
0.218750 204.061
0.225000 201.206
0.231250 198.468
0.237500 195.839
0.243750 193.311
0.250000 190.879
0.256250 188.542
0.259375 187.422
0.262500 186.382
0.264063 185.930
0.265625 185.567
0.267188 185.356
0.267969 185.337
0.268750 185.397
0.269531 185.557
0.270313 185.844
0.271094 186.289
0.271875 186.930
0.272656 187.812
0.273047 188.360
0.273438 188.989
0.273828 189.708
0.274219 190.524
0.274609 191.447
0.275000 192.488
0.275391 193.657
0.275781 194.966
0.276172 196.425
0.276563 198.050
0.276953 199.852
0.277344 201.847
0.277734 204.049
0.278125 206.474
0.278516 209.139
0.278906 212.061
0.279297 215.257
0.279688 218.746
0.280078 222.548
0.280469 226.680
0.280859 231.165
0.281055 233.545
0.281250 236.021
0.281445 238.597
0.281641 241.272
0.281836 244.050
0.282031 246.935
0.282227 249.928
0.282422 253.033
0.282617 256.252
0.282813 259.588
0.283008 263.045
0.283203 266.623
0.283399 270.325
0.283594 274.155
0.283789 278.114
0.283984 282.206
0.284180 286.434
0.284375 290.799
0.284570 295.306
0.284766 299.954
0.284961 304.747
0.285156 309.687
0.285352 314.777
0.285547 320.019
0.285742 325.415
0.285938 330.968
0.286133 336.681
0.286328 342.553
0.286524 348.586
0.286719 354.784
0.286914 361.147
0.287109 367.678
0.287305 374.378
0.287500 381.249
0.287695 388.295
0.287891 395.511
0.288086 402.901
0.288281 410.466
0.288477 418.208
0.288672 426.126
0.288867 434.222
0.289063 442.497
0.289453 459.586
