26-Fe_n-tot
>  26-Fe-54:0.058450
>  26-Fe-56:0.917533
>  26-Fe-57:0.021190
>  26-Fe-58:0.002828
5.937500e-01 1.17793410e+01
6.250000e-01 1.17655072e+01
6.875000e-01 1.17407978e+01
7.500000e-01 1.17191593e+01
8.125000e-01 1.16999960e+01
8.750000e-01 1.16830954e+01
9.375000e-01 1.16677853e+01
1.000000e+00 1.16538599e+01
1.062500e+00 1.16412151e+01
1.125000e+00 1.16296561e+01
1.187500e+00 1.16189887e+01
1.250000e+00 1.16091122e+01
1.375000e+00 1.15913402e+01
1.500000e+00 1.15757468e+01
1.625000e+00 1.15620251e+01
1.750000e+00 1.15497871e+01
1.875000e+00 1.15386447e+01
2.000000e+00 1.15285814e+01
2.187500e+00 1.15149778e+01
2.375000e+00 1.15030479e+01
2.562500e+00 1.14923101e+01
2.750000e+00 1.14826584e+01
2.937500e+00 1.14738959e+01
3.125000e+00 1.14658273e+01
3.312500e+00 1.14583559e+01
3.500000e+00 1.14514736e+01
3.875000e+00 1.14390949e+01
4.250000e+00 1.14281995e+01
4.625000e+00 1.14184910e+01
5.000000e+00 1.14096776e+01
5.312500e+00 1.14030193e+01
5.625000e+00 1.13967613e+01
5.937500e+00 1.13909914e+01
6.250000e+00 1.13855224e+01
6.875000e+00 1.13754749e+01
7.500000e+00 1.13664164e+01
8.125000e+00 1.13581489e+01
8.750000e+00 1.13504795e+01
9.375000e+00 1.13433996e+01
1.000000e+01 1.13368104e+01
1.062500e+01 1.13306164e+01
1.125000e+01 1.13247212e+01
1.187500e+01 1.13191221e+01
1.250000e+01 1.13138160e+01
1.375000e+01 1.13037095e+01
1.500000e+01 1.12943873e+01
1.625000e+01 1.12856558e+01
1.750000e+01 1.12773248e+01
1.875000e+01 1.12693883e+01
2.000000e+01 1.12618420e+01
2.125000e+01 1.12545028e+01
2.187500e+01 1.12509709e+01
2.250000e+01 1.12474509e+01
2.375000e+01 1.12405026e+01
2.500000e+01 1.12338486e+01
2.562500e+01 1.12306134e+01
2.750000e+01 1.12209325e+01
2.937500e+01 1.12116151e+01
3.000000e+01 1.12085149e+01
3.125000e+01 1.12024521e+01
3.250000e+01 1.11963993e+01
3.312500e+01 1.11934647e+01
3.500000e+01 1.11846726e+01
3.750000e+01 1.11731550e+01
3.875000e+01 1.11675339e+01
4.000000e+01 1.11619239e+01
4.250000e+01 1.11508876e+01
4.500000e+01 1.11400531e+01
4.625000e+01 1.11347276e+01
4.750000e+01 1.11294095e+01
5.000000e+01 1.11188649e+01
5.250000e+01 1.11085150e+01
5.312500e+01 1.11059504e+01
5.500000e+01 1.10982634e+01
5.625000e+01 1.10931845e+01
5.750000e+01 1.10881094e+01
5.937500e+01 1.10805656e+01
6.000000e+01 1.10780525e+01
6.250000e+01 1.10680003e+01
6.500000e+01 1.10581402e+01
6.750000e+01 1.10482801e+01
6.875000e+01 1.10433960e+01
7.000000e+01 1.10385164e+01
7.500000e+01 1.10192734e+01
8.000000e+01 1.10002284e+01
8.125000e+01 1.09955130e+01
8.500000e+01 1.09813764e+01
8.750000e+01 1.09720438e+01
9.000000e+01 1.09627161e+01
9.375000e+01 1.09488621e+01
9.500000e+01 1.09442463e+01
1.000000e+02 1.09258750e+01
1.062500e+02 1.09031949e+01
1.125000e+02 1.08807980e+01
1.187500e+02 1.08585004e+01
1.250000e+02 1.08363920e+01
1.375000e+02 1.07928338e+01
1.500000e+02 1.07499353e+01
1.625000e+02 1.07076018e+01
1.687500e+02 1.06867623e+01
1.750000e+02 1.06659229e+01
1.843750e+02 1.06350845e+01
1.875000e+02 1.06248051e+01
1.890630e+02 1.06197222e+01
1.937500e+02 1.06044801e+01
1.968750e+02 1.05943178e+01
2.000000e+02 1.05841556e+01
2.019900e+02 1.05777736e+01
2.039800e+02 1.05713916e+01
2.059690e+02 1.05650130e+01
2.079590e+02 1.05586314e+01
2.099490e+02 1.05522500e+01
2.109440e+02 1.05490595e+01
2.119390e+02 1.05458691e+01
2.125000e+02 1.05440703e+01
2.129340e+02 1.05426947e+01
2.139290e+02 1.05395411e+01
2.149240e+02 1.05363878e+01
2.159180e+02 1.05332378e+01
2.166790e+02 1.05308266e+01
2.174400e+02 1.05284155e+01
2.182010e+02 1.05260048e+01
2.187500e+02 1.05242661e+01
2.189620e+02 1.05235948e+01
2.193420e+02 1.05223917e+01
2.197230e+02 1.05211857e+01
2.201030e+02 1.05199830e+01
2.204830e+02 1.05187806e+01
2.208640e+02 1.05175752e+01
2.212440e+02 1.05163733e+01
2.216250e+02 1.05151686e+01
2.220050e+02 1.05139676e+01
2.223560e+02 1.05128586e+01
2.227070e+02 1.05117503e+01
2.230580e+02 1.05106425e+01
2.234100e+02 1.05095325e+01
2.237610e+02 1.05084266e+01
2.241120e+02 1.05073220e+01
2.242870e+02 1.05067718e+01
2.244630e+02 1.05062189e+01
2.246390e+02 1.05056666e+01
2.248140e+02 1.05051179e+01
2.250000e+02 1.05045356e+01
2.250340e+02 1.05044304e+01
2.252530e+02 1.05037541e+01
2.254730e+02 1.05030762e+01
2.256920e+02 1.05024032e+01
2.258020e+02 1.05020660e+01
2.259110e+02 1.05017326e+01
2.260210e+02 1.05013967e+01
2.261310e+02 1.05010616e+01
2.262410e+02 1.05007274e+01
2.263500e+02 1.05003974e+01
2.264600e+02 1.05000653e+01
2.265700e+02 1.04997346e+01
2.267010e+02 1.04993429e+01
2.268330e+02 1.04989507e+01
2.269650e+02 1.04985615e+01
2.270310e+02 1.04983683e+01
2.270960e+02 1.04981792e+01
2.271620e+02 1.04979882e+01
2.272280e+02 1.04977984e+01
2.272940e+02 1.04976101e+01
2.273600e+02 1.04974234e+01
2.274260e+02 1.04972384e+01
2.274920e+02 1.04970555e+01
2.275570e+02 1.04968781e+01
2.276230e+02 1.04967002e+01
2.277040e+02 1.04964860e+01
2.277840e+02 1.04962805e+01
2.278240e+02 1.04961804e+01
2.278650e+02 1.04960790e+01
2.279050e+02 1.04959829e+01
2.279450e+02 1.04958894e+01
2.279850e+02 1.04957988e+01
2.280260e+02 1.04957083e+01
2.280660e+02 1.04956250e+01
2.281060e+02 1.04955461e+01
2.281460e+02 1.04954728e+01
2.281870e+02 1.04954025e+01
2.282270e+02 1.04953431e+01
2.282670e+02 1.04952928e+01
2.282940e+02 1.04952658e+01
2.283220e+02 1.04952414e+01
2.283490e+02 1.04952269e+01
2.283770e+02 1.04952167e+01
2.284040e+02 1.04952185e+01
2.284320e+02 1.04952267e+01
2.284590e+02 1.04952492e+01
2.284860e+02 1.04952844e+01
2.285140e+02 1.04953313e+01
2.285410e+02 1.04953972e+01
2.285550e+02 1.04954360e+01
2.285690e+02 1.04954791e+01
2.285830e+02 1.04955274e+01
2.285960e+02 1.04955843e+01
2.286100e+02 1.04956447e+01
2.286240e+02 1.04957106e+01
2.286370e+02 1.04957862e+01
2.286510e+02 1.04958657e+01
2.286650e+02 1.04959525e+01
2.286790e+02 1.04960470e+01
2.286920e+02 1.04961529e+01
2.287060e+02 1.04962644e+01
2.287260e+02 1.04964476e+01
2.287460e+02 1.04966508e+01
2.287660e+02 1.04968770e+01
2.287860e+02 1.04971277e+01
2.288070e+02 1.04974017e+01
2.288270e+02 1.04977071e+01
2.288470e+02 1.04980427e+01
2.288670e+02 1.04984104e+01
2.288870e+02 1.04988147e+01
2.289070e+02 1.04992531e+01
2.289270e+02 1.04997298e+01
2.289470e+02 1.05002470e+01
2.289670e+02 1.05008068e+01
2.289880e+02 1.05014082e+01
2.290080e+02 1.05020595e+01
2.290280e+02 1.05027596e+01
2.290450e+02 1.05034075e+01
2.290630e+02 1.05040915e+01
2.290800e+02 1.05048189e+01
2.290970e+02 1.05055878e+01
2.291150e+02 1.05063960e+01
2.291320e+02 1.05072509e+01
2.291500e+02 1.05081464e+01
2.291670e+02 1.05090842e+01
2.291840e+02 1.05100728e+01
2.292020e+02 1.05111039e+01
2.292190e+02 1.05121839e+01
2.292360e+02 1.05133029e+01
2.292710e+02 1.05156877e+01
2.293060e+02 1.05182436e+01
2.293460e+02 1.05214277e+01
2.293860e+02 1.05248155e+01
2.294270e+02 1.05283871e+01
2.294670e+02 1.05321170e+01
2.296280e+02 1.05477182e+01
2.296750e+02 1.05521788e+01
2.297230e+02 1.05563862e+01
2.297630e+02 1.05596815e+01
2.298030e+02 1.05626482e+01
2.298430e+02 1.05652357e+01
2.298840e+02 1.05673865e+01
2.299240e+02 1.05690642e+01
2.299640e+02 1.05702173e+01
2.299940e+02 1.05707281e+01
2.300240e+02 1.05709264e+01
2.300380e+02 1.05709111e+01
2.300430e+02 1.05708898e+01
2.300580e+02 1.05707731e+01
2.300730e+02 1.05705782e+01
2.301030e+02 1.05699553e+01
2.301250e+02 1.05692917e+01
2.301480e+02 1.05684630e+01
2.301910e+02 1.05664176e+01
2.302220e+02 1.05645732e+01
2.302540e+02 1.05624605e+01
2.302890e+02 1.05597888e+01
2.303240e+02 1.05568522e+01
2.303670e+02 1.05529491e+01
2.304110e+02 1.05487779e+01
2.304730e+02 1.05424136e+01
2.305360e+02 1.05358971e+01
2.305790e+02 1.05314443e+01
2.306230e+02 1.05270853e+01
2.306660e+02 1.05228805e+01
2.307090e+02 1.05188711e+01
2.307310e+02 1.05169412e+01
2.307520e+02 1.05150845e+01
