Si-30(n,g) ENDFB-8.0
Energy(eV) XS(b)
4.62500 0.00792263
5.00000 0.00762026
5.31250 0.00739322
5.62500 0.00718491
5.93750 0.00699329
6.25000 0.00681624
6.87500 0.00649911
7.50000 0.00622253
8.12500 0.00597854
8.75000 0.00576161
9.37500 0.00556675
10.0000 0.00539007
10.6250 0.00522923
11.2500 0.00508201
11.8750 0.00494658
12.5000 0.00482145
13.7500 0.00459732
15.0000 0.00440186
16.2500 0.00422943
17.5000 0.00407604
18.7500 0.00393827
20.0000 0.00381336
21.8750 0.00364654
23.7500 0.00349999
25.6250 0.00336985
27.5000 0.00325340
29.3750 0.00314831
31.2500 0.00305270
33.1250 0.00296535
35.0000 0.00288513
38.7500 0.00274256
42.5000 0.00261935
46.2500 0.00251147
50.0000 0.00241605
53.1250 0.00234440
56.2500 0.00227877
59.3750 0.00221842
62.5000 0.00216266
68.7500 0.00206282
75.0000 0.00197578
81.2500 0.00189903
87.5000 0.00183073
93.7500 0.00176942
100.000 0.00171394
106.250 0.00166346
112.500 0.00161728
118.750 0.00157482
125.000 0.00153561
137.500 0.00146544
150.000 0.00140432
162.500 0.00135048
175.000 0.00130260
187.500 0.00125967
200.000 0.00122087
218.750 0.00116915
237.500 0.00112382
256.250 0.00108369
275.000 0.00104787
293.750 0.00101566
312.500 0.000986489
331.250 0.000959951
350.000 0.000935688
387.500 0.000892882
425.000 0.000856302
462.500 0.000824697
500.000 0.000797161
531.250 0.000776824
562.500 0.000758523
625.000 0.000727117
687.500 0.000701490
750.000 0.000680670
812.500 0.000664010
875.000 0.000651109
937.500 0.000641736
1000.00 0.000635819
1062.50 0.000633454
1156.25 0.000637682
1250.00 0.000651140
1312.50 0.000667622
1375.00 0.000691414
1437.50 0.000724616
1500.00 0.000770320
1531.25 0.000799214
1562.50 0.000833129
1593.75 0.000873048
1625.00 0.000920218
1656.25 0.000976234
1687.50 0.00104317
1718.75 0.00112374
1750.00 0.00122146
1771.49 0.00130159
1792.97 0.00139377
1814.45 0.00150107
1835.94 0.00162790
1857.42 0.00177618
1878.91 0.00195463
1900.39 0.00216939
1921.88 0.00242848
1941.41 0.00271749
1960.94 0.00307185
1970.70 0.00328024
1980.47 0.00351344
1990.24 0.00377492
2000.00 0.00407003
2009.61 0.00440023
2019.23 0.00477571
2028.84 0.00520469
2038.45 0.00570036
2048.06 0.00627524
2057.67 0.00694505
2067.29 0.00773662
2076.90 0.00867136
2081.93 0.00923635
2086.97 0.00986048
2092.00 0.0105522
2097.04 0.0113215
2102.07 0.0121806
2107.11 0.0131440
2112.14 0.0142291
2117.18 0.0154569
2121.07 0.0165203
2124.96 0.0176993
2128.85 0.0190112
2132.74 0.0204763
2136.63 0.0221192
2140.52 0.0239614
2144.41 0.0260544
2148.30 0.0284395
2150.82 0.0301638
2153.34 0.0320502
2155.85 0.0341214
2158.37 0.0364004
2160.89 0.0389181
2163.41 0.0417066
2165.92 0.0448075
2168.44 0.0482691
2170.73 0.0517792
2173.02 0.0556880
2175.31 0.0600585
2177.59 0.0649639
2179.88 0.0705001
2181.03 0.0735361
2182.17 0.0767715
2183.32 0.0802257
2184.46 0.0839124
2185.60 0.0878590
2186.75 0.0920939
2188.01 0.0971238
2189.27 0.102582
2190.53 0.108516
2191.78 0.114977
2193.04 0.122040
2194.30 0.129775
2195.56 0.138272
2196.82 0.147626
2198.08 0.157974
2199.34 0.169452
2200.60 0.182232
2201.22 0.189167
2201.85 0.196507
2202.48 0.204296
2203.11 0.212547
2203.74 0.221309
2204.37 0.230626
2205.00 0.240562
2205.63 0.251139
2206.26 0.262430
2206.89 0.274501
2207.69 0.291140
2208.49 0.309318
2209.29 0.329258
2210.09 0.351202
2210.89 0.375434
2211.69 0.402289
2212.50 0.432164
2212.90 0.448398
2213.30 0.465530
2213.93 0.494592
2214.56 0.526440
2215.19 0.561557
2215.81 0.600285
2216.44 0.643284
2217.07 0.691057
2217.39 0.717034
2217.70 0.744435
2218.02 0.773555
2218.33 0.804344
2218.62 0.834147
2218.90 0.865552
2219.19 0.898795
2219.48 0.934026
2219.76 0.971409
2220.05 1.01113
2220.33 1.05339
2220.62 1.09841
2220.91 1.14645
2221.19 1.19779
2221.48 1.25276
2221.76 1.31172
2222.05 1.37507
2222.34 1.44328
2222.62 1.51688
2222.91 1.59649
2223.22 1.69197
2223.54 1.79670
2223.85 1.91198
2224.17 2.03897
2224.48 2.18038
2224.80 2.33764
2224.95 2.42381
2225.11 2.51466
2225.27 2.61120
2225.43 2.71398
2225.58 2.82434
2225.74 2.94159
2225.90 3.06805
2226.06 3.20307
2226.21 3.34944
2226.37 3.50658
2226.53 3.67680
2226.68 3.86180
2226.84 4.06486
2227.00 4.28568
2227.16 4.52812
2227.31 4.79526
2227.47 5.09262
2227.63 5.42056
2227.79 5.78565
2227.94 6.19336
2228.05 6.50180
2228.16 6.83243
2228.27 7.19393
2228.37 7.58226
2228.48 8.00763
2228.59 8.46532
2228.69 8.96247
2228.80 9.50273
2228.91 10.0957
2229.02 10.7347
2229.12 11.4293
2229.23 12.1843
2229.34 13.0126
2229.45 13.9042
2229.55 14.8719
2229.66 15.9213
2229.74 16.7519
2229.82 17.6327
2229.90 18.5661
2229.97 19.5417
2230.05 20.5869
2230.13 21.6777
2230.21 22.8446
2230.29 24.0602
2230.37 25.3583
2230.45 26.7259
2230.53 28.1654
2230.60 29.6591
2230.68 31.2476
2230.76 32.8924
2230.84 34.6373
2230.92 36.4398
2231.07 40.1588
2231.22 44.1582
2231.37 48.4946
2231.52 53.1096
2231.67 58.0586
2231.82 63.2650
2231.97 68.7436
2232.12 74.4714
2232.28 80.7013
2232.43 87.1309
2232.75 100.387
2233.06 113.810
2233.38 126.746
2233.52 132.361
2233.66 137.656
2233.81 142.610
2233.95 147.167
2234.11 151.647
2234.26 155.516
2234.40 158.292
2234.53 160.533
2234.67 162.249
2234.80 163.395
2234.90 163.886
2235.00 164.046
2235.13 163.750
2235.27 162.890
2235.40 161.464
2235.53 159.508
2235.64 157.402
2235.76 154.928
2235.87 152.106
2235.99 148.959
2236.22 141.687
2236.45 133.447
2236.68 124.451
2236.91 114.948
2237.28 98.9518
2237.66 83.2099
2237.89 74.0070
2238.01 69.6144
2238.12 65.3657
2238.24 61.2721
2238.35 57.3426
2238.47 53.5838
2238.58 50.0009
2238.70 46.5968
2238.81 43.3730
2238.93 40.3293
2239.04 37.4640
2239.16 34.7743
2239.27 32.2564
2239.39 29.9052
2239.50 27.7335
2239.61 25.6970
2239.73 23.8086
2239.84 22.0611
2239.96 20.4471
2240.07 18.9591
2240.19 17.5893
2240.30 16.3303
2240.42 15.1745
2240.53 14.1147
2240.65 13.1439
2240.76 12.2552
2240.88 11.4422
2240.99 10.6987
2241.11 10.0189
2241.22 9.39743
2241.34 8.82909
2241.46 8.30485
2241.57 7.82934
2241.69 7.39379
2241.80 6.99447
2241.92 6.62799
2242.03 6.29122
2242.15 5.98135
2242.26 5.69579
2242.38 5.43223
2242.49 5.18856
2242.61 4.96287
2242.72 4.75347
2242.84 4.55881
2242.95 4.37752
2243.07 4.20836
2243.18 4.05022
2243.36 3.82490
2243.54 3.62043
2243.71 3.43410
2243.89 3.26454
2244.07 3.10792
2244.25 2.96360
2244.43 2.83018
2244.60 2.70715
2244.78 2.59208
2244.96 2.48484
2245.14 2.38464
2245.31 2.29134
2245.49 2.20331
2245.67 2.12104
2245.85 2.04313
2246.02 1.97008
2246.25 1.88117
2246.48 1.79842
2246.71 1.72126
2246.94 1.64916
2247.17 1.58167
2247.40 1.51840
2247.63 1.45897
2247.86 1.40308
2248.09 1.35044
2248.32 1.30079
2248.55 1.25391
2248.78 1.20959
2249.24 1.12788
2249.70 1.05437
2250.21 0.982225
2250.71 0.917389
2251.21 0.858888
2251.71 0.806010
2252.21 0.757862
2252.71 0.713972
2253.22 0.673844
2253.72 0.637124
2254.18 0.606024
2254.64 0.577172
2255.10 0.550355
2255.56 0.525382
2256.02 0.502088
2256.48 0.480323
2256.94 0.459955
2257.40 0.440868
2257.86 0.422955
2258.32 0.406122
2258.78 0.390283
2259.24 0.375361
2259.70 0.361287
2260.16 0.347996
2260.62 0.335432
2261.08 0.323543
2262.00 0.301599
2262.92 0.281832
2263.84 0.263960
2264.76 0.247749
2265.68 0.232998
2266.60 0.219535
2267.52 0.207215
2268.44 0.195913
2269.15 0.187806
2269.86 0.180199
2270.57 0.173050
2271.28 0.166324
2271.99 0.159986
2272.70 0.154007
2274.12 0.143022
2275.55 0.133166
2276.97 0.124298
2278.39 0.116292
2279.81 0.109046
2280.73 0.104712
2281.65 0.100634
2283.49 0.0931676
2285.33 0.0865085
2287.17 0.0805446
2289.01 0.0751820
2290.85 0.0703425
2292.69 0.0659599
2294.53 0.0619805
2296.54 0.0580373
2298.55 0.0544644
2300.55 0.0512151
2302.56 0.0482515
2304.57 0.0455416
2306.57 0.0430597
2308.58 0.0407819
2310.59 0.0386809
2314.27 0.0352266
2317.95 0.0322202
2321.63 0.0295886
2325.31 0.0272720
2328.99 0.0252219
2332.67 0.0233989
2336.35 0.0217705
2340.03 0.0203103
2342.70 0.0193407
2348.06 0.0176032
2353.41 0.0160956
2358.76 0.0147786
2364.11 0.0136253
2369.47 0.0126062
2376.83 0.0113836
2384.19 0.0103362
2391.55 0.00943241
2398.90 0.00864763
2406.26 0.00796078
2413.62 0.00735694
2420.98 0.00682292
2428.34 0.00634818
2440.39 0.00567804
2452.43 0.00511929
2464.47 0.00464252
2476.52 0.00423400
2488.56 0.00388128
2500.60 0.00357476
2512.64 0.00330691
2524.69 0.00307171
2544.76 0.00273874
2564.83 0.00246403
2584.90 0.00223453
2604.98 0.00204262
2625.05 0.00187664
2645.12 0.00173413
2665.19 0.00161091
2685.26 0.00150365
2725.41 0.00132686
2765.55 0.00118780
2805.70 0.00107619
2845.84 0.000986198
2885.98 0.000910498
2926.13 0.000847245
2966.27 0.000793845
3006.41 0.000748417
3092.06 0.000671427
3177.70 0.000613878
3263.34 0.000569879
3348.98 0.000535689
3434.62 0.000508887
3520.26 0.000487934
3605.90 0.000471813
3691.54 0.000459906
3862.82 0.000447842
3948.46 0.000448001
4034.10 0.000453117
4119.74 0.000464507
4205.38 0.000484433
4291.02 0.000516742
4376.66 0.000568523
4419.48 0.000605553
4462.30 0.000653375
4505.12 0.000716047
4547.94 0.000799771
4604.14 0.000958984
4632.24 0.00106935
4660.34 0.00121335
4688.44 0.00140228
4716.54 0.00165304
4744.64 0.00200207
4758.69 0.00223068
4772.74 0.00250832
4784.79 0.00279753
4796.83 0.00314751
4808.87 0.00357618
4820.92 0.00410844
4832.96 0.00478013
4845.00 0.00564293
4851.03 0.00616011
4857.05 0.00676848
4863.07 0.00747757
4869.09 0.00830937
4874.44 0.00917614
4879.79 0.0101910
4885.15 0.0113900
4890.50 0.0128196
4895.85 0.0145324
4901.20 0.0166230
4906.56 0.0192244
4909.23 0.0207646
4911.91 0.0225006
4914.92 0.0247316
4917.93 0.0273167
4920.94 0.0303352
4923.95 0.0338894
4926.96 0.0381100
4929.98 0.0431684
4932.99 0.0493151
4934.49 0.0529029
4936.00 0.0569050
4937.75 0.0621890
4939.51 0.0682505
4941.27 0.0752539
4943.02 0.0834056
4944.78 0.0929771
4946.53 0.104305
4947.41 0.110769
4948.29 0.117860
4949.17 0.125664
4950.05 0.134284
4950.97 0.144321
4951.89 0.155551
4952.81 0.168175
4953.73 0.182437
4954.65 0.198638
4955.57 0.217155
4956.49 0.238462
4957.41 0.263169
4958.03 0.282386
4958.66 0.303834
4959.29 0.327932
4959.92 0.355160
4960.54 0.386178
4961.17 0.421664
4961.80 0.462677
4962.11 0.485703
4962.42 0.510579
4962.88 0.551164
4963.34 0.597447
4963.80 0.650737
4964.03 0.680534
4964.26 0.712780
4964.49 0.747790
4964.72 0.785931
4964.95 0.827630
4965.18 0.873386
4965.41 0.923781
4965.64 0.979493
4965.87 1.04131
4966.10 1.11015
4966.28 1.16892
4966.46 1.23308
4966.64 1.30326
4966.82 1.37969
4966.99 1.46401
4967.17 1.55663
4967.35 1.65851
4967.53 1.76999
4967.70 1.89344
4967.88 2.02947
4968.06 2.17941
4968.24 2.34368
4968.42 2.52566
4968.59 2.72606
4968.77 2.94661
4968.95 3.18766
4969.06 3.35678
4969.18 3.53635
4969.29 3.72692
4969.41 3.92901
4969.52 4.14318
4969.64 4.36998
4969.75 4.60997
4969.87 4.86369
4969.98 5.13168
4970.10 5.41450
4970.21 5.71267
4970.33 6.02670
4970.44 6.35708
4970.56 6.70429
4970.67 7.06875
4970.79 7.44749
4970.90 7.84752
4971.02 8.26591
4971.13 8.70294
4971.25 9.15885
4971.48 10.1279
4971.71 11.1736
4971.94 12.2953
4972.17 13.4911
4972.40 14.7575
4972.63 16.0896
4972.86 17.4806
4973.09 18.9222
4973.55 21.9154
4974.01 24.9692
4974.47 27.9617
4974.89 30.5129
4975.09 31.6939
4975.30 32.7941
4975.53 33.9011
4975.76 34.8744
4976.01 35.7437
4976.25 36.4379
4976.42 36.8278
4976.60 37.1179
4976.77 37.3053
4976.95 37.3885
4977.00 37.3930
4977.18 37.3394
4977.35 37.1812
4977.53 36.9199
4977.70 36.5578
4977.95 35.8598
4978.21 34.9735
4978.45 33.9800
4978.68 32.8475
