Hf-176(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4110.89
1.03125E-05 4048.15
1.06250E-05 3988.19
1.09375E-05 3930.82
1.12500E-05 3875.86
1.15625E-05 3823.15
1.18750E-05 3772.53
1.21875E-05 3723.86
1.25000E-05 3677.04
1.28125E-05 3631.94
1.31250E-05 3588.46
1.34375E-05 3546.50
1.37500E-05 3505.99
1.43750E-05 3428.96
1.50000E-05 3356.79
1.54624E-05 3306.24
1.59248E-05 3257.92
1.63871E-05 3211.65
1.68495E-05 3167.30
1.68750E-05 3164.90
1.69531E-05 3157.61
1.70313E-05 3150.36
1.71875E-05 3136.02
1.75000E-05 3107.90
1.81250E-05 3053.88
1.87500E-05 3002.58
1.93750E-05 2953.78
2.00000E-05 2907.29
2.09051E-05 2843.70
2.18102E-05 2784.10
2.18750E-05 2779.98
2.20240E-05 2770.56
2.21731E-05 2761.24
2.24712E-05 2742.88
2.30673E-05 2707.23
2.36635E-05 2672.94
2.42596E-05 2639.91
2.48558E-05 2608.09
2.54519E-05 2577.38
2.66442E-05 2519.10
2.75000E-05 2479.63
2.84375E-05 2438.45
2.93750E-05 2399.25
3.03125E-05 2361.89
3.12500E-05 2326.23
3.21875E-05 2292.13
3.31250E-05 2259.50
3.40625E-05 2228.22
3.50000E-05 2198.20
3.62500E-05 2160.01
3.75000E-05 2123.75
3.87500E-05 2089.25
4.00000E-05 2056.39
4.12500E-05 2025.03
4.25000E-05 1995.06
4.43750E-05 1952.51
4.62500E-05 1912.58
4.81250E-05 1875.00
5.00000E-05 1839.56
5.22464E-05 1799.64
5.44928E-05 1762.21
5.67392E-05 1727.03
5.89856E-05 1693.88
6.07428E-05 1669.24
6.25000E-05 1645.65
6.40625E-05 1625.50
6.56250E-05 1606.06
6.71875E-05 1587.32
6.87500E-05 1569.21
7.18750E-05 1534.79
7.50000E-05 1502.54
7.75000E-05 1478.16
8.00000E-05 1454.93
8.36203E-05 1423.16
8.72406E-05 1393.39
8.75000E-05 1391.33
8.82813E-05 1385.17
8.90625E-05 1379.10
9.06250E-05 1367.19
9.37500E-05 1344.27
9.68750E-05 1322.46
0.000100000 1301.69
0.000104493 1273.48
0.000108986 1247.03
0.000113478 1222.17
0.000117971 1198.75
0.000121486 1181.34
0.000125000 1164.67
0.000128125 1150.42
0.000131250 1136.69
0.000134375 1123.45
0.000137500 1110.65
0.000143750 1086.33
0.000150000 1063.54
0.000155000 1046.32
0.000160000 1029.91
0.000167241 1007.46
0.000174481 986.425
0.000175000 984.967
0.000176563 980.619
0.000178125 976.328
0.000181250 967.913
0.000187500 951.719
0.000193750 936.317
0.000200000 921.642
0.000206827 906.379
0.000213655 891.855
0.000220482 878.011
0.000227310 864.796
0.000234137 852.164
0.000240964 840.074
0.000247792 828.487
0.000254619 817.370
0.000264810 801.584
0.000275000 786.685
0.000284358 773.715
0.000293716 761.371
0.000294336 760.574
0.000294922 759.823
0.000296489 757.825
0.000298057 755.844
0.000301192 751.927
0.000307461 744.273
0.000320000 729.647
0.000334481 713.792
0.000348962 698.935
0.000350000 697.905
0.000352344 695.598
0.000354688 693.313
0.000359375 688.812
0.000368750 680.067
0.000378125 671.651
0.000387500 663.541
0.000396875 655.722
0.000406250 648.174
0.000425000 633.837
0.000443750 620.419
0.000462500 607.826
0.000481250 595.978
0.000500000 584.803
0.000515625 575.960
0.000531250 567.511
0.000546875 559.427
0.000562500 551.682
0.000578125 544.254
0.000593750 537.121
0.000609375 530.265
0.000625000 523.668
0.000640000 517.563
0.000667500 506.911
0.000695000 496.898
0.000722500 487.463
0.000750000 478.552
0.000781250 469.004
0.000812500 460.012
0.000843750 451.524
0.000875000 443.496
0.000906250 435.887
0.000937500 428.662
0.000968750 421.790
0.00100000 415.243
0.00103125 408.996
0.00106250 403.027
0.00109375 397.315
0.00112500 391.843
0.00115625 386.595
0.00118750 381.556
0.00121875 376.712
0.00125000 372.050
0.00128000 367.737
0.00133500 360.211
0.00139000 353.136
0.00144500 346.469
0.00150000 340.173
0.00156250 333.425
0.00162500 327.071
0.00168750 321.074
0.00175000 315.401
0.00181250 310.024
0.00187500 304.918
0.00193750 300.061
0.00200000 295.434
0.00207000 290.503
0.00214000 285.816
0.00221000 281.353
0.00228000 277.098
0.00235000 273.034
0.00242000 269.148
0.00249000 265.427
0.00256000 261.859
0.00256250 261.735
0.00256836 261.443
0.00257422 261.153
0.00259619 260.072
