83-Bi_n-tot
> 83-Bi-209:1.000000
6.718750e-05 1.74045000e+01
6.875000e-05 1.72587000e+01
7.187500e-05 1.69830000e+01
7.500000e-05 1.67264000e+01
7.812500e-05 1.64870000e+01
8.125000e-05 1.62631000e+01
8.437500e-05 1.60531000e+01
8.750000e-05 1.58558000e+01
9.062500e-05 1.56699000e+01
9.375000e-05 1.54946000e+01
9.687500e-05 1.53289000e+01
1.000000e-04 1.51721000e+01
1.031250e-04 1.50233000e+01
1.062500e-04 1.48821000e+01
1.093750e-04 1.47478000e+01
1.125000e-04 1.46200000e+01
1.156250e-04 1.44981000e+01
1.187500e-04 1.43817000e+01
1.218750e-04 1.42706000e+01
1.250000e-04 1.41643000e+01
1.281250e-04 1.40625000e+01
1.312500e-04 1.39650000e+01
1.343750e-04 1.38714000e+01
1.375000e-04 1.37816000e+01
1.437500e-04 1.36122000e+01
1.500000e-04 1.34554000e+01
1.562500e-04 1.33098000e+01
1.625000e-04 1.31741000e+01
1.687500e-04 1.30475000e+01
1.750000e-04 1.29289000e+01
1.812500e-04 1.28178000e+01
1.875000e-04 1.27134000e+01
1.937500e-04 1.26151000e+01
2.000000e-04 1.25224000e+01
2.093750e-04 1.23928000e+01
2.187500e-04 1.22735000e+01
2.281250e-04 1.21632000e+01
2.375000e-04 1.20609000e+01
2.468750e-04 1.19659000e+01
2.562500e-04 1.18773000e+01
2.656250e-04 1.17946000e+01
2.750000e-04 1.17171000e+01
2.843750e-04 1.16445000e+01
2.937500e-04 1.15762000e+01
3.031250e-04 1.15120000e+01
3.125000e-04 1.14513000e+01
3.218750e-04 1.13940000e+01
3.312500e-04 1.13398000e+01
3.406250e-04 1.12885000e+01
3.500000e-04 1.12397000e+01
3.593750e-04 1.11934000e+01
3.687500e-04 1.11493000e+01
3.781250e-04 1.11074000e+01
3.875000e-04 1.10673000e+01
3.968750e-04 1.10291000e+01
4.062500e-04 1.09926000e+01
4.250000e-04 1.09242000e+01
4.437500e-04 1.08614000e+01
4.625000e-04 1.08035000e+01
4.812500e-04 1.07500000e+01
5.000000e-04 1.07004000e+01
5.156250e-04 1.06617000e+01
5.312500e-04 1.06252000e+01
5.468750e-04 1.05907000e+01
5.625000e-04 1.05581000e+01
5.781250e-04 1.05272000e+01
5.937500e-04 1.04979000e+01
6.093750e-04 1.04700000e+01
6.250000e-04 1.04435000e+01
6.406250e-04 1.04182000e+01
6.562500e-04 1.03942000e+01
6.718750e-04 1.03712000e+01
6.875000e-04 1.03492000e+01
7.187500e-04 1.03080000e+01
7.500000e-04 1.02702000e+01
7.812500e-04 1.02353000e+01
8.125000e-04 1.02030000e+01
8.437500e-04 1.01730000e+01
8.750000e-04 1.01451000e+01
9.062500e-04 1.01191000e+01
9.375000e-04 1.00947000e+01
9.687500e-04 1.00719000e+01
1.000000e-03 1.00505000e+01
1.031250e-03 1.00303000e+01
1.062500e-03 1.00113000e+01
1.093750e-03 9.99329000e+00
1.125000e-03 9.97628000e+00
1.156250e-03 9.96016000e+00
1.187500e-03 9.94486000e+00
1.218750e-03 9.93032000e+00
1.250000e-03 9.91648000e+00
1.281250e-03 9.90329000e+00
1.312500e-03 9.89071000e+00
1.343750e-03 9.87869000e+00
1.375000e-03 9.86720000e+00
1.437500e-03 9.84567000e+00
1.500000e-03 9.82587000e+00
1.562500e-03 9.80759000e+00
1.625000e-03 9.79066000e+00
1.687500e-03 9.77495000e+00
1.750000e-03 9.76031000e+00
1.812500e-03 9.74664000e+00
1.875000e-03 9.73384000e+00
1.937500e-03 9.72184000e+00
2.000000e-03 9.71056000e+00
2.093750e-03 9.69485000e+00
2.187500e-03 9.68042000e+00
2.281250e-03 9.66714000e+00
2.375000e-03 9.65485000e+00
2.468750e-03 9.64346000e+00
2.562500e-03 9.63286000e+00
2.656250e-03 9.62298000e+00
2.750000e-03 9.61374000e+00
2.843750e-03 9.60508000e+00
2.937500e-03 9.59694000e+00
3.031250e-03 9.58929000e+00
3.125000e-03 9.58207000e+00
3.218750e-03 9.57525000e+00
3.312500e-03 9.56880000e+00
3.406250e-03 9.56268000e+00
3.500000e-03 9.55688000e+00
3.593750e-03 9.55136000e+00
3.687500e-03 9.54611000e+00
3.781250e-03 9.54110000e+00
3.875000e-03 9.53632000e+00
3.968750e-03 9.53176000e+00
4.062500e-03 9.52740000e+00
4.250000e-03 9.51921000e+00
4.437500e-03 9.51168000e+00
4.625000e-03 9.50473000e+00
4.812500e-03 9.49828000e+00
5.000000e-03 9.49230000e+00
5.156250e-03 9.48762000e+00
5.312500e-03 9.48320000e+00
5.468750e-03 9.47902000e+00
5.625000e-03 9.47505000e+00
5.781250e-03 9.47129000e+00
5.937500e-03 9.46771000e+00
6.093750e-03 9.46430000e+00
