Os-186(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 3278.74
1.03125E-05 3228.68
1.06250E-05 3180.85
1.09375E-05 3135.08
1.12500E-05 3091.23
1.15625E-05 3049.17
1.18750E-05 3008.78
1.21875E-05 2969.96
1.25000E-05 2932.60
1.28125E-05 2896.61
1.31250E-05 2861.92
1.34375E-05 2828.45
1.37500E-05 2796.12
1.43750E-05 2734.66
1.50000E-05 2677.08
1.54624E-05 2636.75
1.59248E-05 2598.19
1.63871E-05 2561.27
1.68495E-05 2525.89
1.68750E-05 2523.98
1.69531E-05 2518.16
1.70313E-05 2512.37
1.71875E-05 2500.93
1.75000E-05 2478.50
1.81250E-05 2435.39
1.87500E-05 2394.46
1.93750E-05 2355.52
2.00000E-05 2318.42
2.06427E-05 2282.05
2.12854E-05 2247.33
2.19281E-05 2214.15
2.25709E-05 2182.40
2.32136E-05 2151.97
2.38563E-05 2122.79
2.44990E-05 2094.76
2.51417E-05 2067.81
2.63209E-05 2020.96
2.75000E-05 1977.16
2.84375E-05 1944.30
2.93750E-05 1913.02
3.03125E-05 1883.20
3.12500E-05 1854.74
3.21875E-05 1827.53
3.31250E-05 1801.48
3.40625E-05 1776.52
3.50000E-05 1752.57
3.62500E-05 1722.08
3.75000E-05 1693.14
3.87500E-05 1665.61
4.00000E-05 1639.38
4.12500E-05 1614.35
4.25000E-05 1590.43
4.43750E-05 1556.47
4.62500E-05 1524.59
4.81250E-05 1494.59
5.00000E-05 1466.30
5.22464E-05 1434.43
5.44928E-05 1404.56
5.67392E-05 1376.47
5.89856E-05 1350.01
6.07428E-05 1330.34
6.25000E-05 1311.50
6.40625E-05 1295.41
6.56250E-05 1279.90
6.71875E-05 1264.93
6.87500E-05 1250.47
7.18750E-05 1222.98
7.50000E-05 1197.23
7.75000E-05 1177.77
8.00000E-05 1159.22
8.36203E-05 1133.85
8.72406E-05 1110.07
8.75000E-05 1108.42
8.82813E-05 1103.51
8.90625E-05 1098.66
9.06250E-05 1089.15
9.37500E-05 1070.84
9.68750E-05 1053.43
0.000100000 1036.84
0.000104493 1014.30
0.000108986 993.177
0.000113478 973.318
0.000117971 954.605
0.000121486 940.695
0.000125000 927.377
0.000128125 915.998
0.000131250 905.028
0.000134375 894.443
0.000137500 884.220
0.000143750 864.785
0.000150000 846.577
0.000155000 832.811
0.000160000 819.696
0.000167241 801.756
0.000174481 784.945
0.000175000 783.780
0.000176563 780.304
0.000178125 776.874
0.000181250 770.148
0.000187500 757.204
0.000193750 744.891
0.000200000 733.160
0.000206827 720.958
0.000213655 709.346
0.000220482 698.277
0.000227310 687.711
0.000234137 677.611
0.000240964 667.943
0.000247792 658.677
0.000254619 649.786
0.000264810 637.162
0.000275000 625.245
0.000284358 614.871
0.000293716 604.997
0.000294336 604.360
0.000294922 603.759
0.000296489 602.161
0.000298057 600.576
0.000301192 597.443
0.000307461 591.320
0.000320000 579.620
0.000334481 566.935
0.000348962 555.047
0.000350000 554.224
0.000352344 552.378
0.000354688 550.550
0.000359375 546.947
0.000368750 539.950
0.000378125 533.215
0.000387500 526.726
0.000396875 520.468
0.000406250 514.428
0.000425000 502.953
0.000443750 492.213
0.000462500 482.133
0.000481250 472.648
0.000500000 463.702
0.000515625 456.623
0.000531250 449.858
0.000546875 443.386
0.000562500 437.185
0.000578125 431.237
0.000593750 425.525
0.000609375 420.035
0.000625000 414.752
0.000640000 409.863
0.000667500 401.332
0.000695000 393.313
0.000722500 385.755
0.000750000 378.618
0.000781250 370.969
0.000812500 363.766
0.000843750 356.967
0.000875000 350.535
0.000906250 344.439
0.000937500 338.650
0.000968750 333.144
0.00100000 327.898
0.00103125 322.892
0.00106250 318.109
0.00109375 313.532
0.00112500 309.148
0.00115625 304.942
0.00118750 300.904
0.00121875 297.021
0.00125000 293.286
0.00128000 289.829
0.00133500 283.797
0.00139000 278.126
0.00144500 272.783
0.00150000 267.736
0.00156250 262.328
0.00162500 257.235
0.00168750 252.427
0.00175000 247.879
0.00181250 243.569
0.00187500 239.476
0.00193750 235.583
0.00200000 231.874
0.00207000 227.920
0.00214000 224.163
0.00221000 220.585
0.00228000 217.173
0.00235000 213.915
0.00242000 210.800
0.00249000 207.816
0.00256000 204.956
0.00256250 204.856
0.00256836 204.623
0.00257422 204.390
0.00259619 203.523
0.00261817 202.668
0.00266211 200.989
0.00275000 197.752
0.00284375 194.466
0.00293750 191.339
0.00303125 188.358
0.00312500 185.512
0.00321875 182.791
0.00331250 180.187
0.00340625 177.691
0.00350000 175.297
0.00359375 172.996
0.00368750 170.784
0.00378125 168.654
0.00387500 166.603
0.00396875 164.624
0.00406250 162.715
0.00425000 159.087
0.00443750 155.692
0.00462500 152.505
0.00481250 149.507
0.00500000 146.679
0.00512000 144.951
0.00526125 142.993
0.00540250 141.113
0.00554375 139.305
0.00568500 137.565
0.00582625 135.888
0.00596750 134.272
0.00610875 132.712
0.00625000 131.205
0.00640625 129.596
0.00656250 128.045
0.00671875 126.549
0.00687500 125.104
0.00718750 122.357
0.00750000 119.783
0.00781250 117.365
0.00812500 115.088
0.00843750 112.939
0.00875000 110.906
0.00906250 108.980
0.00937500 107.150
0.00968750 105.410
0.0100000 103.752
0.0103125 102.170
0.0106250 100.659
0.0109375 99.2124
0.0112500 97.8269
0.0115625 96.4980
0.0118750 95.2219
0.0121875 93.9953
0.0125000 92.8150
0.0128125 91.6781
0.0131250 90.5821
0.0134375 89.5245
0.0137500 88.5033
0.0143750 86.5616
0.0150000 84.7427
0.0156250 83.0340
