Hg-201(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 246.730
1.03125E-05 242.963
1.06250E-05 239.363
1.09375E-05 235.919
1.12500E-05 232.619
1.15625E-05 229.454
1.18750E-05 226.415
1.21875E-05 223.493
1.25000E-05 220.682
1.28125E-05 217.974
1.31250E-05 215.363
1.34375E-05 212.845
1.37500E-05 210.412
1.43750E-05 205.787
1.50000E-05 201.454
1.56250E-05 197.384
1.62500E-05 193.551
1.68750E-05 189.933
1.75000E-05 186.510
1.81250E-05 183.266
1.87500E-05 180.186
1.93750E-05 177.256
2.00000E-05 174.464
2.09375E-05 170.514
2.18750E-05 166.820
2.28125E-05 163.356
2.37500E-05 160.099
2.46875E-05 157.030
2.56250E-05 154.131
2.65625E-05 151.387
2.75000E-05 148.784
2.84375E-05 146.311
2.93750E-05 143.957
3.03125E-05 141.713
3.12500E-05 139.571
3.21875E-05 137.524
3.31250E-05 135.564
3.40625E-05 133.685
3.50000E-05 131.883
3.59375E-05 130.151
3.68750E-05 128.486
3.78125E-05 126.883
3.87500E-05 125.339
3.96875E-05 123.850
4.06250E-05 122.412
4.25000E-05 119.682
4.43750E-05 117.126
4.62500E-05 114.727
4.81250E-05 112.470
5.00000E-05 110.341
5.15625E-05 108.656
5.31250E-05 107.046
5.46875E-05 105.506
5.62500E-05 104.030
5.78125E-05 102.615
5.93750E-05 101.256
6.09375E-05 99.9491
6.25000E-05 98.6918
6.40625E-05 97.4809
6.56250E-05 96.3134
6.71875E-05 95.1869
6.87500E-05 94.0990
7.18750E-05 92.0306
7.50000E-05 90.0929
7.81250E-05 88.2726
8.12500E-05 86.5584
8.43750E-05 84.9404
8.75000E-05 83.4098
9.06250E-05 81.9591
9.37500E-05 80.5815
9.68750E-05 79.2711
0.000100000 78.0227
0.000103125 76.8314
0.000106250 75.6931
0.000109375 74.6039
0.000112500 73.5605
0.000115625 72.5596
0.000118750 71.5985
0.000121875 70.6746
0.000125000 69.7856
0.000128125 68.9293
0.000131250 68.1037
0.000134375 67.3072
0.000137500 66.5379
0.000143750 65.0754
0.000150000 63.7052
0.000156250 62.4181
0.000162500 61.2059
0.000168750 60.0618
0.000175000 58.9795
0.000181250 57.9537
0.000187500 56.9796
0.000193750 56.0530
0.000200000 55.1702
0.000209375 53.9209
0.000218750 52.7528
0.000228125 51.6575
0.000237500 50.6276
0.000246875 49.6570
0.000256250 48.7402
0.000265625 47.8723
0.000275000 47.0492
0.000284375 46.2672
0.000293750 45.5229
0.000303125 44.8134
0.000312500 44.1361
0.000321875 43.4885
0.000331250 42.8687
0.000340625 42.2746
0.000350000 41.7046
0.000359375 41.1570
0.000368750 40.6305
0.000378125 40.1236
0.000387500 39.6353
0.000396875 39.1643
0.000406250 38.7098
0.000425000 37.8463
0.000443750 37.0380
0.000462500 36.2795
0.000481250 35.5657
0.000500000 34.8925
0.000515625 34.3597
0.000531250 33.8506
0.000546875 33.3635
0.000562500 32.8969
0.000578125 32.4493
0.000593750 32.0195
0.000609375 31.6063
0.000625000 31.2087
0.000640625 30.8257
0.000656250 30.4565
0.000671875 30.1003
0.000687500 29.7563
0.000718750 29.1022
0.000750000 28.4894
0.000781250 27.9138
0.000812500 27.3718
0.000843750 26.8601
0.000875000 26.3761
0.000906250 25.9173
0.000937500 25.4817
0.000968750 25.0673
0.00100000 24.6725
0.00103125 24.2958
0.00106250 23.9358
0.00109375 23.5914
0.00112500 23.2615
0.00115625 22.9450
0.00118750 22.6410
0.00121875 22.3489
0.00125000 22.0677
0.00128125 21.7970
0.00131250 21.5359
0.00134375 21.2840
0.00137500 21.0407
0.00143750 20.5782
0.00150000 20.1450
0.00156250 19.7379
0.00162500 19.3546
0.00168750 18.9928
0.00175000 18.6505
0.00181250 18.3261
0.00187500 18.0181
0.00193750 17.7251
0.00200000 17.4459
0.00209375 17.0508
0.00218750 16.6814
0.00228125 16.3350
0.00237500 16.0093
0.00246875 15.7023
0.00256250 15.4124
0.00265625 15.1379
0.00275000 14.8776
0.00284375 14.6303
0.00293750 14.3949
0.00303125 14.1705
0.00312500 13.9563
0.00321875 13.7515
0.00331250 13.5555
0.00340625 13.3676
0.00350000 13.1873
0.00359375 13.0142
0.00368750 12.8476
0.00378125 12.6874
0.00387500 12.5329
0.00396875 12.3840
0.00406250 12.2402
0.00425000 11.9671
0.00443750 11.7115
0.00462500 11.4716
0.00481250 11.2459
0.00500000 11.0330
0.00515625 10.8645
0.00531250 10.7035
0.00546875 10.5494
0.00562500 10.4019
0.00578125 10.2603
0.00593750 10.1244
0.00609375 9.99370
0.00625000 9.86797
0.00640625 9.74686
0.00656250 9.63011
0.00671875 9.51746
0.00687500 9.40866
0.00718750 9.20182
0.00750000 9.00803
0.00781250 8.82598
0.00812500 8.65453
0.00843750 8.49269
0.00875000 8.33959
0.00906250 8.19447
0.00937500 8.05667
0.00968750 7.92558
0.0100000 7.80070
0.0103125 7.68153
0.0106250 7.56767
0.0109375 7.45872
0.0112500 7.35435
0.0115625 7.25424
0.0118750 7.15812
0.0121875 7.06572
0.0125000 6.97681
0.0128125 6.89118
0.0131250 6.80863
0.0134375 6.72897
0.0137500 6.65205
0.0143750 6.50579
0.0150000 6.36876
0.0156250 6.24002
0.0162500 6.11876
0.0168750 6.00430
0.0175000 5.89601
0.0181250 5.79338
0.0187500 5.69591
0.0193750 5.60320
0.0200000 5.51487
0.0206625 5.42566
0.0213250 5.34063
0.0219875 5.25948
0.0226500 5.18191
0.0233125 5.10768
0.0239750 5.03654
0.0246375 4.96829
0.0253000 4.90275
0.0264578 4.79416
0.0276156 4.69248
0.0287734 4.59700
0.0299313 4.50713
0.0310891 4.42235
0.0322469 4.34218
0.0334047 4.26621
0.0345625 4.19409
0.0355274 4.13669
0.0364922 4.08157
0.0374570 4.02859
0.0384219 3.97760
0.0393867 3.92849
0.0403516 3.88116
0.0413164 3.83549
0.0422813 3.79139
0.0442109 3.70756
0.0461406 3.62904
0.0480703 3.55531
0.0500000 3.48588
0.0515625 3.43254
0.0531250 3.38157
0.0546875 3.33281
0.0562500 3.28608
0.0578125 3.24127
0.0593750 3.19823
0.0609375 3.15687
0.0625000 3.11707
0.0640625 3.07874
0.0656250 3.04180
0.0671875 3.00616
0.0687500 2.97175
0.0718750 2.90630
0.0750000 2.84496
0.0781250 2.78730
0.0812500 2.73299
0.0843750 2.68173
0.0875000 2.63323
0.0906250 2.58726
0.0937500 2.54361
0.0968750 2.50209
0.100000 2.46252
0.103125 2.42477
0.106250 2.38870
0.109375 2.35418
0.112500 2.32110
0.115625 2.28938
0.118750 2.25891
0.121875 2.22963
0.125000 2.20145
0.128125 2.17431
0.131250 2.14815
0.134375 2.12293
0.137500 2.09857
0.143750 2.05225
0.150000 2.00881
0.156250 1.96797
0.162500 1.92951
0.168750 1.89320
0.175000 1.85885
