58-Ce_n-tot
> 58-Ce-136:0.001850
> 58-Ce-138:0.002510
> 58-Ce-140:0.884500
> 58-Ce-142:0.111140
2.341370e-04 6.02512075e+02
2.375000e-04 5.98173921e+02
2.409640e-04 5.93962623e+02
2.468750e-04 5.86776515e+02
2.477920e-04 5.85723563e+02
2.546190e-04 5.77884503e+02
2.562500e-04 5.76011744e+02
2.648100e-04 5.66707638e+02
2.656250e-04 5.65821806e+02
2.750000e-04 5.56158948e+02
2.843580e-04 5.46994638e+02
2.843750e-04 5.46977990e+02
2.937160e-04 5.38273115e+02
2.937500e-04 5.38241430e+02
2.943360e-04 5.37720838e+02
2.949220e-04 5.37200246e+02
2.964890e-04 5.35808152e+02
2.980570e-04 5.34415174e+02
3.011920e-04 5.31630116e+02
3.031250e-04 5.29912896e+02
3.074610e-04 5.26236048e+02
3.125000e-04 5.21963126e+02
3.200000e-04 5.15884282e+02
3.218750e-04 5.14364598e+02
3.312500e-04 5.07090314e+02
3.344810e-04 5.04687612e+02
3.406250e-04 5.00118773e+02
3.489620e-04 4.94170041e+02
3.500000e-04 4.93429401e+02
3.523440e-04 4.91822898e+02
3.546880e-04 4.90216401e+02
3.593750e-04 4.87004104e+02
3.687500e-04 4.80825913e+02
3.781250e-04 4.74880107e+02
3.875000e-04 4.69150764e+02
3.968750e-04 4.63625474e+02
4.062500e-04 4.58293876e+02
4.250000e-04 4.48164698e+02
4.437500e-04 4.38684818e+02
4.625000e-04 4.29788592e+02
4.812500e-04 4.21418067e+02
5.000000e-04 4.13523608e+02
5.156250e-04 4.07277013e+02
5.312500e-04 4.01308080e+02
5.468750e-04 3.95597461e+02
5.625000e-04 3.90127036e+02
5.781250e-04 3.84879826e+02
5.937500e-04 3.79841081e+02
6.093750e-04 3.74998323e+02
6.250000e-04 3.70337976e+02
6.400000e-04 3.66029347e+02
6.406250e-04 3.65849823e+02
6.562500e-04 3.61522561e+02
6.675000e-04 3.58516999e+02
6.718750e-04 3.57348190e+02
6.875000e-04 3.53316572e+02
6.950000e-04 3.51477064e+02
7.187500e-04 3.45652055e+02
7.225000e-04 3.44790344e+02
7.500000e-04 3.38471237e+02
7.812500e-04 3.31727601e+02
8.125000e-04 3.25377005e+02
8.437500e-04 3.19382062e+02
8.750000e-04 3.13712138e+02
9.062500e-04 3.08337825e+02
9.375000e-04 3.03235285e+02
9.687500e-04 2.98381879e+02
1.000000e-03 2.93758350e+02
1.031250e-03 2.89346577e+02
1.062500e-03 2.85130702e+02
1.093750e-03 2.81097132e+02
1.125000e-03 2.77233388e+02
1.156250e-03 2.73527034e+02
1.187500e-03 2.69967876e+02
1.218750e-03 2.66546842e+02
1.250000e-03 2.63254876e+02
1.280000e-03 2.60210885e+02
1.281250e-03 2.60084053e+02
1.312500e-03 2.57027569e+02
1.335000e-03 2.54904315e+02
1.343750e-03 2.54078619e+02
1.375000e-03 2.51230442e+02
1.390000e-03 2.49930946e+02
1.437500e-03 2.45815946e+02
1.445000e-03 2.45207222e+02
1.500000e-03 2.40743316e+02
1.562500e-03 2.35977475e+02
1.625000e-03 2.31490076e+02
1.687500e-03 2.27255077e+02
1.750000e-03 2.23248718e+02
1.812500e-03 2.19450638e+02
1.875000e-03 2.15844950e+02
1.937500e-03 2.12415804e+02
2.000000e-03 2.09147392e+02
2.070000e-03 2.05694206e+02
2.093750e-03 2.04522606e+02
2.140000e-03 2.02389534e+02
2.187500e-03 2.00198842e+02
2.210000e-03 1.99225766e+02
2.280000e-03 1.96198459e+02
2.281250e-03 1.96144401e+02
2.350000e-03 1.93348738e+02
2.375000e-03 1.92332146e+02
2.420000e-03 1.90607621e+02
2.468750e-03 1.88739409e+02
2.490000e-03 1.87970191e+02
2.560000e-03 1.85436326e+02
2.562500e-03 1.85345832e+02
2.568360e-03 1.85145026e+02
2.574220e-03 1.84944220e+02
2.596190e-03 1.84191370e+02
2.618170e-03 1.83438181e+02
2.656250e-03 1.82133300e+02
2.662110e-03 1.81942820e+02
2.750000e-03 1.79085977e+02
2.843750e-03 1.76191401e+02
2.937500e-03 1.73435997e+02
3.031250e-03 1.70809574e+02
3.125000e-03 1.68301962e+02
3.218750e-03 1.65905209e+02
3.312500e-03 1.63611409e+02
3.406250e-03 1.61411541e+02
3.500000e-03 1.59301043e+02
3.593750e-03 1.57274247e+02
3.687500e-03 1.55324395e+02
3.781250e-03 1.53448078e+02
3.875000e-03 1.51639640e+02
3.968750e-03 1.49896794e+02
4.062500e-03 1.48213920e+02
4.250000e-03 1.45015621e+02
4.437500e-03 1.42023182e+02
4.625000e-03 1.39214009e+02
4.812500e-03 1.36571103e+02
5.000000e-03 1.34077528e+02
5.120000e-03 1.32561991e+02
5.156250e-03 1.32104178e+02
5.261250e-03 1.30837359e+02
5.312500e-03 1.30219038e+02
5.402500e-03 1.29179463e+02
5.468750e-03 1.28414230e+02
5.543750e-03 1.27584828e+02
5.625000e-03 1.26686319e+02
5.685000e-03 1.26049300e+02
5.781250e-03 1.25027426e+02
5.826250e-03 1.24568875e+02
5.937500e-03 1.23435246e+02
5.967500e-03 1.23141274e+02
6.093750e-03 1.21904157e+02
6.108750e-03 1.21762815e+02
6.250000e-03 1.20431857e+02
6.406250e-03 1.19012740e+02
6.562500e-03 1.17644513e+02
6.718750e-03 1.16323804e+02
6.875000e-03 1.15049326e+02
7.187500e-03 1.12625028e+02
7.500000e-03 1.10353526e+02
7.812500e-03 1.08219430e+02
8.125000e-03 1.06209289e+02
8.437500e-03 1.04311674e+02
8.750000e-03 1.02516291e+02
9.062500e-03 1.00814317e+02
9.375000e-03 9.91979526e+01
9.687500e-03 9.76603011e+01
1.000000e-02 9.61950205e+01
1.031250e-02 9.47966845e+01
1.062500e-02 9.34603207e+01
1.093750e-02 9.21816241e+01
1.125000e-02 9.09563066e+01
1.156250e-02 8.97809712e+01
1.187500e-02 8.86522191e+01
1.218750e-02 8.75670044e+01
1.250000e-02 8.65226047e+01
1.281250e-02 8.55165476e+01
1.312500e-02 8.45464442e+01
1.343750e-02 8.36103781e+01
1.375000e-02 8.27061922e+01
1.437500e-02 8.09866999e+01
1.500000e-02 7.93753098e+01
1.562500e-02 7.78609302e+01
1.625000e-02 7.64344028e+01
1.687500e-02 7.50872557e+01
1.750000e-02 7.38125811e+01
1.812500e-02 7.26039351e+01
1.875000e-02 7.14560027e+01
1.937500e-02 7.03635803e+01
2.000000e-02 6.93225004e+01
2.066250e-02 6.82706797e+01
2.132500e-02 6.72679333e+01
2.198750e-02 6.63105209e+01
2.265000e-02 6.53951644e+01
2.331250e-02 6.45188174e+01
2.397500e-02 6.36787580e+01
2.463750e-02 6.28726157e+01
2.530000e-02 6.20981309e+01
2.611300e-02 6.11943104e+01
2.636130e-02 6.09182763e+01
2.645780e-02 6.08171411e+01
2.692600e-02 6.03269927e+01
2.742270e-02 5.98070149e+01
2.761560e-02 5.96161662e+01
2.773910e-02 5.94941098e+01
2.848400e-02 5.87579257e+01
2.855210e-02 5.86941954e+01
2.877340e-02 5.84870979e+01
2.936510e-02 5.79339273e+01
2.954530e-02 5.77654633e+01
2.993130e-02 5.74231070e+01
3.017810e-02 5.72044221e+01
3.060670e-02 5.68246517e+01
