66-Dy_n-g
> 66-Dy-156:0.000600
> 66-Dy-158:0.001000
> 66-Dy-160:0.023400
> 66-Dy-161:0.189100
> 66-Dy-162:0.255100
> 66-Dy-163:0.249000
> 66-Dy-164:0.281800
3.344810e-04 2.92300866e+03
3.406250e-04 2.89633010e+03
3.489620e-04 2.86159181e+03
3.500000e-04 2.85726684e+03
3.523440e-04 2.84788452e+03
3.546880e-04 2.83850230e+03
3.593750e-04 2.81974207e+03
3.687500e-04 2.78365888e+03
3.781250e-04 2.74892514e+03
3.875000e-04 2.71545809e+03
3.968750e-04 2.68318554e+03
4.062500e-04 2.65203583e+03
4.250000e-04 2.59285706e+03
4.437500e-04 2.53747055e+03
4.625000e-04 2.48548634e+03
4.812500e-04 2.43657205e+03
5.000000e-04 2.39043194e+03
5.156250e-04 2.35392079e+03
5.312500e-04 2.31903451e+03
5.468750e-04 2.28565305e+03
5.625000e-04 2.25366986e+03
5.781250e-04 2.22299598e+03
5.937500e-04 2.19353806e+03
6.093750e-04 2.16521953e+03
6.250000e-04 2.13797221e+03
6.400000e-04 2.11277746e+03
6.406250e-04 2.11172772e+03
6.562500e-04 2.08642520e+03
6.675000e-04 2.06884499e+03
6.718750e-04 2.06200861e+03
6.875000e-04 2.03843349e+03
6.950000e-04 2.02767423e+03
7.187500e-04 1.99360504e+03
7.225000e-04 1.98856518e+03
7.500000e-04 1.95160811e+03
7.812500e-04 1.91215551e+03
8.125000e-04 1.87500439e+03
8.437500e-04 1.83993411e+03
8.750000e-04 1.80675854e+03
9.062500e-04 1.77531526e+03
9.375000e-04 1.74545689e+03
9.687500e-04 1.71705548e+03
1.000000e-03 1.68999585e+03
1.031250e-03 1.66417150e+03
1.062500e-03 1.63950005e+03
1.093750e-03 1.61589145e+03
1.125000e-03 1.59327303e+03
1.156250e-03 1.57157712e+03
1.187500e-03 1.55074413e+03
1.218750e-03 1.53071655e+03
1.250000e-03 1.51144430e+03
1.280000e-03 1.49362567e+03
1.281250e-03 1.49288326e+03
1.312500e-03 1.47498877e+03
1.335000e-03 1.46255523e+03
1.343750e-03 1.45772022e+03
1.375000e-03 1.44104347e+03
1.390000e-03 1.43343369e+03
1.437500e-03 1.40933735e+03
1.445000e-03 1.40577277e+03
1.500000e-03 1.37963385e+03
1.562500e-03 1.35172990e+03
1.625000e-03 1.32545001e+03
1.687500e-03 1.30064496e+03
1.750000e-03 1.27718138e+03
1.812500e-03 1.25493902e+03
1.875000e-03 1.23381958e+03
1.937500e-03 1.21372780e+03
2.000000e-03 1.19458461e+03
2.070000e-03 1.17435783e+03
2.093750e-03 1.16749548e+03
2.140000e-03 1.15499905e+03
2.187500e-03 1.14216545e+03
2.210000e-03 1.13646432e+03
2.280000e-03 1.11872825e+03
2.281250e-03 1.11841155e+03
2.350000e-03 1.10203368e+03
2.375000e-03 1.09607832e+03
2.420000e-03 1.08597486e+03
2.468750e-03 1.07502986e+03
2.490000e-03 1.07052225e+03
2.560000e-03 1.05567418e+03
2.562500e-03 1.05514390e+03
2.568360e-03 1.05396743e+03
2.574220e-03 1.05279096e+03
2.596190e-03 1.04838024e+03
2.618170e-03 1.04396756e+03
2.656250e-03 1.03632279e+03
2.662110e-03 1.03520686e+03
2.750000e-03 1.01847040e+03
2.843750e-03 1.00150659e+03
2.937500e-03 9.85361669e+02
3.031250e-03 9.69973718e+02
3.125000e-03 9.55279428e+02
3.218750e-03 9.41231935e+02
3.312500e-03 9.27786871e+02
3.406250e-03 9.14898899e+02
3.500000e-03 9.02533543e+02
3.593750e-03 8.90652872e+02
3.687500e-03 8.79230288e+02
3.781250e-03 8.68232382e+02
3.875000e-03 8.57635358e+02
3.968750e-03 8.47417544e+02
4.062500e-03 8.37556012e+02
4.250000e-03 8.18816563e+02
4.437500e-03 8.01277101e+02
4.625000e-03 7.84816477e+02
4.812500e-03 7.69323238e+02
5.000000e-03 7.54711090e+02
5.120000e-03 7.45828299e+02
5.156250e-03 7.43145044e+02
5.261250e-03 7.35719885e+02
5.312500e-03 7.32095828e+02
5.402500e-03 7.26005450e+02
5.468750e-03 7.21522408e+02
5.543750e-03 7.16659747e+02
5.625000e-03 7.11392042e+02
5.685000e-03 7.07659460e+02
5.781250e-03 7.01671974e+02
5.826250e-03 6.98984500e+02
5.937500e-03 6.92340682e+02
5.967500e-03 6.90617770e+02
6.093750e-03 6.83367409e+02
6.108750e-03 6.82539014e+02
6.250000e-03 6.74738534e+02
6.406250e-03 6.66420894e+02
6.562500e-03 6.58404460e+02
6.718750e-03 6.50667259e+02
6.875000e-03 6.43195442e+02
7.187500e-03 6.28990720e+02
7.500000e-03 6.15678144e+02
7.812500e-03 6.03174562e+02
8.125000e-03 5.91394078e+02
8.437500e-03 5.80274902e+02
8.750000e-03 5.69755277e+02
9.062500e-03 5.59783675e+02
9.375000e-03 5.50311822e+02
9.687500e-03 5.41303259e+02
1.000000e-02 5.32718754e+02
1.031250e-02 5.24526580e+02
1.062500e-02 5.16698544e+02
1.093750e-02 5.09207360e+02
1.125000e-02 5.02030199e+02
1.156250e-02 4.95145690e+02
1.187500e-02 4.88534004e+02
1.218750e-02 4.82178497e+02
1.250000e-02 4.76061828e+02
1.281250e-02 4.70170302e+02
1.312500e-02 4.64489792e+02
1.343750e-02 4.59007999e+02
1.375000e-02 4.53714044e+02
1.437500e-02 4.43646717e+02
1.500000e-02 4.34212819e+02
1.562500e-02 4.25348010e+02
1.625000e-02 4.16997614e+02
1.687500e-02 4.09113630e+02
1.750000e-02 4.01653679e+02
1.812500e-02 3.94581335e+02
1.875000e-02 3.87864238e+02
1.937500e-02 3.81473751e+02
2.000000e-02 3.75384388e+02
2.066250e-02 3.69231941e+02
2.132500e-02 3.63367858e+02
2.198750e-02 3.57769446e+02
2.265000e-02 3.52417688e+02
2.331250e-02 3.47294787e+02
2.397500e-02 3.42384773e+02
2.463750e-02 3.37673553e+02
2.530000e-02 3.33147676e+02
2.611300e-02 3.27874784e+02
2.636130e-02 3.26264445e+02
2.645780e-02 3.25655469e+02
2.692600e-02 3.22804193e+02
2.742270e-02 3.19779478e+02
2.761560e-02 3.18635265e+02
2.773910e-02 3.17927207e+02
2.848400e-02 3.13656666e+02
2.855210e-02 3.13276074e+02
2.877340e-02 3.12039337e+02
2.936510e-02 3.08838821e+02
2.954530e-02 3.07864152e+02
2.993130e-02 3.05827128e+02
3.017810e-02 3.04564672e+02
3.060670e-02 3.02372336e+02
3.099110e-02 3.00452487e+02
3.108910e-02 2.99963052e+02
3.166800e-02 2.97157303e+02
3.180420e-02 2.96512240e+02
3.224690e-02 2.94415640e+02
3.272930e-02 2.92195851e+02
3.311380e-02 2.90465786e+02
3.340470e-02 2.89156945e+02
3.379060e-02 2.87468022e+02
3.442340e-02 2.84756710e+02
3.456250e-02 2.84160748e+02
3.480370e-02 2.83152360e+02
3.552740e-02 2.80187125e+02
3.573310e-02 2.79362309e+02
3.581680e-02 2.79026705e+02
3.649220e-02 2.76370757e+02
3.682990e-02 2.75070400e+02
3.704270e-02 2.74266415e+02
3.745700e-02 2.72701210e+02
3.784300e-02 2.71272505e+02
3.835240e-02 2.69421344e+02
3.842190e-02 2.69168792e+02
3.885610e-02 2.67622402e+02
3.938670e-02 2.65766298e+02
3.966200e-02 2.64821890e+02
3.986920e-02 2.64111128e+02
4.035160e-02 2.62484795e+02
4.088220e-02 2.60731021e+02
4.097160e-02 2.60440543e+02
4.131640e-02 2.59320271e+02
4.189530e-02 2.57471590e+02
4.228130e-02 2.56259170e+02
4.290840e-02 2.54343469e+02
4.392150e-02 2.51298979e+02
4.421090e-02 2.50442759e+02
4.493460e-02 2.48375494e+02
4.594770e-02 2.45526422e+02
4.614060e-02 2.44995840e+02
4.797380e-02 2.40121516e+02
4.807030e-02 2.39872196e+02
5.000000e-02 2.35046165e+02
5.060000e-02 2.33622847e+02
5.156250e-02 2.31339691e+02
5.279380e-02 2.28547440e+02
5.312500e-02 2.27796411e+02
5.468750e-02 2.24405021e+02
5.498750e-02 2.23780982e+02
5.625000e-02 2.21154964e+02
5.718130e-02 2.19296380e+02
5.781250e-02 2.18036768e+02
5.937500e-02 2.15041351e+02
5.952570e-02 2.14763558e+02
5.989750e-02 2.14078202e+02
6.026930e-02 2.13392852e+02
6.093750e-02 2.12161155e+02
6.101290e-02 2.12027390e+02
6.250000e-02 2.09389251e+02
6.406250e-02 2.06729776e+02
6.484380e-02 2.05425607e+02
6.562500e-02 2.04153782e+02
6.718750e-02 2.01666884e+02
6.875000e-02 1.99267152e+02
6.953130e-02 1.98102852e+02
7.031250e-02 1.96965735e+02
7.168340e-02 1.94970456e+02
7.187500e-02 1.94691607e+02
7.461680e-02 1.90935091e+02
7.500000e-02 1.90410089e+02
7.656250e-02 1.88397041e+02
7.812500e-02 1.86384050e+02
8.052350e-02 1.83471726e+02
8.125000e-02 1.82589635e+02
8.401180e-02 1.79422233e+02
8.437500e-02 1.79005718e+02
8.750000e-02 1.75613747e+02
9.019390e-02 1.72840663e+02
9.062500e-02 1.72396911e+02
9.288780e-02 1.70184219e+02
9.375000e-02 1.69341135e+02
9.687500e-02 1.66432808e+02
1.000000e-01 1.63660746e+02
1.012000e-01 1.62644584e+02
1.031250e-01 1.61014534e+02
1.034900e-01 1.60719075e+02
1.057800e-01 1.58865432e+02
1.062500e-01 1.58485009e+02
1.093750e-01 1.56063826e+02
1.103590e-01 1.55333036e+02
1.125000e-01 1.53743052e+02
1.156250e-01 1.51516202e+02
1.187500e-01 1.49377532e+02
1.190510e-01 1.49179411e+02
1.197950e-01 1.48689703e+02
1.205390e-01 1.48200002e+02
1.218750e-01 1.47320660e+02
1.220260e-01 1.47225011e+02
1.250000e-01 1.45341225e+02
1.280290e-01 1.43493144e+02
1.281250e-01 1.43434574e+02
1.310590e-01 1.41708189e+02
1.312500e-01 1.41595808e+02
1.340880e-01 1.39989815e+02
1.343750e-01 1.39827412e+02
1.371170e-01 1.38318689e+02
1.375000e-01 1.38107960e+02
1.401460e-01 1.36716945e+02
1.406250e-01 1.36465143e+02
1.431750e-01 1.35145718e+02
1.437500e-01 1.34848213e+02
1.462050e-01 1.33639142e+02
1.468750e-01 1.33309185e+02
1.492340e-01 1.32164663e+02
1.500000e-01 1.31793031e+02
1.531250e-01 1.30357322e+02
1.562500e-01 1.28921677e+02
1.610470e-01 1.26844646e+02
1.625000e-01 1.26215547e+02
1.656250e-01 1.24937782e+02
1.687500e-01 1.23660078e+02
1.705170e-01 1.22976572e+02
1.750000e-01 1.21242556e+02
1.803880e-01 1.19267117e+02
1.812500e-01 1.18951104e+02
1.857760e-01 1.17375257e+02
1.875000e-01 1.16775037e+02
1.906250e-01 1.15740254e+02
1.937500e-01 1.14705530e+02
1.968750e-01 1.13719605e+02
2.000000e-01 1.12733740e+02
2.054150e-01 1.11113281e+02
2.062500e-01 1.10863433e+02
2.082030e-01 1.10287566e+02
2.093750e-01 1.09951729e+02
2.108290e-01 1.09540450e+02
2.125000e-01 1.09067849e+02
2.162440e-01 1.08024358e+02
2.164060e-01 1.07979212e+02
2.187500e-01 1.07343693e+02
2.216580e-01 1.06575923e+02
2.246090e-01 1.05796910e+02
2.250000e-01 1.05696423e+02
2.270720e-01 1.05171253e+02
2.281250e-01 1.04904401e+02
2.312500e-01 1.04121929e+02
2.324870e-01 1.03816275e+02
2.328130e-01 1.03735736e+02
2.375000e-01 1.02607523e+02
2.379010e-01 1.02513321e+02
2.410160e-01 1.01781681e+02
2.433160e-01 1.01254610e+02
2.437500e-01 1.01155169e+02
2.465640e-01 1.00518584e+02
2.468750e-01 1.00448238e+02
2.492190e-01 9.99238743e+01
2.498130e-01 9.97941160e+01
2.500000e-01 9.97532716e+01
2.530620e-01 9.90932729e+01
2.562500e-01 9.84062114e+01
2.563100e-01 9.83935926e+01
2.574220e-01 9.81597600e+01
2.593750e-01 9.77586890e+01
2.595590e-01 9.77217933e+01
2.625000e-01 9.71321566e+01
2.628080e-01 9.70729462e+01
2.640630e-01 9.68317257e+01
2.656250e-01 9.65482726e+01
2.660560e-01 9.64809981e+01
2.671880e-01 9.63043437e+01
