Ni-58(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 401.821
1.03125E-05 395.729
1.06250E-05 389.908
1.09375E-05 384.339
1.12500E-05 379.004
1.15625E-05 373.887
1.18750E-05 368.975
1.21875E-05 364.253
1.25000E-05 359.709
1.28125E-05 355.334
1.31250E-05 351.116
1.34375E-05 347.046
1.37500E-05 343.117
1.43750E-05 335.647
1.50000E-05 328.651
1.56250E-05 322.080
1.62500E-05 315.893
1.68750E-05 310.054
1.75000E-05 304.532
1.81250E-05 299.300
1.87500E-05 294.332
1.93750E-05 289.608
2.00000E-05 285.108
2.09375E-05 278.741
2.18750E-05 272.790
2.28125E-05 267.211
2.37500E-05 261.968
2.46875E-05 257.028
2.56250E-05 252.363
2.65625E-05 247.949
2.75000E-05 243.763
2.84375E-05 239.788
2.93750E-05 236.006
3.03125E-05 232.401
3.12500E-05 228.962
3.21875E-05 225.674
3.31250E-05 222.529
3.40625E-05 219.514
3.50000E-05 216.623
3.59375E-05 213.847
3.68750E-05 211.178
3.78125E-05 208.609
3.87500E-05 206.136
3.96875E-05 203.751
4.06250E-05 201.450
4.25000E-05 197.080
4.43750E-05 192.993
4.62500E-05 189.159
4.81250E-05 185.554
5.00000E-05 182.156
5.15625E-05 179.468
5.31250E-05 176.902
5.46875E-05 174.447
5.62500E-05 172.097
5.78125E-05 169.843
5.93750E-05 167.680
6.09375E-05 165.602
6.25000E-05 163.604
6.40625E-05 161.680
6.56250E-05 159.826
6.71875E-05 158.038
6.87500E-05 156.313
7.18750E-05 153.034
7.50000E-05 149.966
7.81250E-05 147.086
8.12500E-05 144.377
8.43750E-05 141.823
8.75000E-05 139.409
9.06250E-05 137.123
9.37500E-05 134.955
9.68750E-05 132.894
0.000100000 130.933
0.000103125 129.063
0.000106250 127.279
0.000109375 125.573
0.000112500 123.940
0.000115625 122.375
0.000118750 120.874
0.000121875 119.433
0.000125000 118.047
0.000128125 116.714
0.000131250 115.429
0.000134375 114.191
0.000137500 112.997
0.000143750 110.729
0.000150000 108.608
0.000156250 106.620
0.000162500 104.751
0.000168750 102.990
0.000175000 101.327
0.000181250 99.7545
0.000187500 98.2635
0.000193750 96.8478
0.000200000 95.5015
0.000209375 93.6004
0.000218750 91.8275
0.000228125 90.1695
0.000237500 88.6146
0.000246875 87.1530
0.000256250 85.7759
0.000265625 84.4756
0.000275000 83.2455
0.000284375 82.0797
0.000293750 80.9728
0.000303125 79.9203
0.000312500 78.9179
0.000321875 77.9620
0.000331250 77.0491
0.000340625 76.1762
0.000350000 75.3406
0.000359375 74.5397
0.000368750 73.7713
0.000378125 73.0334
0.000387500 72.3240
0.000396875 71.6415
0.000406250 70.9841
0.000425000 69.7393
0.000443750 68.5793
0.000462500 67.4952
0.000481250 66.4793
0.000500000 65.5250
0.000515625 64.7726
0.000531250 64.0560
0.000546875 63.3726
0.000562500 62.7199
0.000578125 62.0958
0.000593750 61.4985
0.000609375 60.9259
0.000625000 60.3767
0.000640625 59.8492
0.000656250 59.3422
0.000671875 58.8544
0.000687500 58.3847
0.000718750 57.4953
0.000750000 56.6666
0.000781250 55.8922
0.000812500 55.1668
0.000843750 54.4854
0.000875000 53.8441
0.000906250 53.2390
0.000937500 52.6672
0.000968750 52.1257
0.00100000 51.6120
0.00103125 51.1239
0.00106250 50.6595
0.00109375 50.2169
0.00112500 49.7946
0.00115625 49.3910
0.00118750 49.0049
0.00121875 48.6352
0.00125000 48.2806
0.00128125 47.9403
0.00131250 47.6133
0.00134375 47.2989
0.00137500 46.9962
0.00143750 46.4234
0.00150000 45.8900
0.00156250 45.3918
0.00162500 44.9252
0.00168750 44.4871
0.00175000 44.0747
0.00181250 43.6858
0.00187500 43.3182
0.00193750 42.9700
0.00200000 42.6397
0.00209375 42.1747
0.00218750 41.7424
0.00228125 41.3393
0.00237500 40.9623
0.00246875 40.6087
0.00256250 40.2762
0.00265625 39.9629
0.00275000 39.6671
0.00284375 39.3871
0.00293750 39.1217
0.00303125 38.8697
0.00312500 38.6299
0.00321875 38.4015
0.00331250 38.1835
0.00340625 37.9753
0.00350000 37.7761
0.00359375 37.5853
0.00368750 37.4024
0.00378125 37.2268
0.00387500 37.0580
0.00396875 36.8957
0.00406250 36.7394
0.00425000 36.4435
0.00443750 36.1679
0.00462500 35.9102
0.00481250 35.6687
0.00500000 35.4418
0.00515625 35.2629
0.00531250 35.0923
0.00546875 34.9296
0.00562500 34.7741
0.00578125 34.6254
0.00593750 34.4829
0.00609375 34.3462
0.00625000 34.2150
0.00640625 34.0889
0.00656250 33.9676
0.00671875 33.8507
0.00687500 33.7381
0.00718750 33.5246
0.00750000 33.3253
0.00781250 33.1388
0.00812500 32.9636
0.00843750 32.7988
0.00875000 32.6433
0.00906250 32.4963
0.00937500 32.3571
0.00968750 32.2250
0.0100000 32.0995
0.0103125 31.9799
0.0106250 31.8659
0.0109375 31.7571
0.0112500 31.6530
0.0115625 31.5534
0.0118750 31.4579
0.0121875 31.3663
0.0125000 31.2782
0.0128125 31.1936
0.0131250 31.1121
0.0134375 31.0336
0.0137500 30.9579
0.0143750 30.8142
0.0150000 30.6800
0.0156250 30.5543
0.0162500 30.4361
0.0168750 30.3248
0.0175000 30.2198
0.0181250 30.1204
0.0187500 30.0262
0.0193750 29.9368
0.0200000 29.8517
0.0206625 29.7659
0.0213250 29.6843
0.0219875 29.6066
0.0226500 29.5324
0.0233125 29.4615
0.0239750 29.3936
0.0246375 29.3286
0.0253000 29.2662
0.0259008 29.2118
0.0265016 29.1593
0.0277031 29.0596
0.0289047 28.9664
0.0301063 28.8790
0.0313078 28.7969
0.0325094 28.7194
0.0337109 28.6463
0.0349125 28.5770
0.0358555 28.5252
0.0367984 28.4754
0.0377414 28.4276
0.0386844 28.3816
0.0396274 28.3372
0.0405703 28.2945
0.0424563 28.2134
0.0443422 28.1377
0.0462281 28.0668
0.0481141 28.0001
0.0500000 27.9374
0.0520125 27.8743
0.0540250 27.8149
0.0560375 27.7588
0.0580500 27.7057
0.0600625 27.6554
0.0620750 27.6075
0.0640875 27.5620
0.0661000 27.5186
0.0676750 27.4861
0.0692500 27.4546
0.0724000 27.3949
0.0750750 27.3473
0.0777500 27.3022
0.0804250 27.2593
0.0831000 27.2186
0.0852125 27.1879
0.0873250 27.1583
0.0894375 27.1297
0.0915500 27.1022
0.0957750 27.0499
0.100000 27.0011
0.102521 26.9734
0.105042 26.9468
0.107562 26.9211
0.110083 26.8963
0.115124 26.8492
0.120166 26.8052
0.125207 26.7638
0.130249 26.7250
0.135290 26.6883
0.140331 26.6537
0.144061 26.6293
0.147790 26.6058
0.151519 26.5832
0.155249 26.5615
0.158978 26.5405
0.162707 26.5202
0.170166 26.4818
0.177624 26.4458
0.185083 26.4121
0.192542 26.3803
0.200000 26.3504
0.204841 26.3318
0.209682 26.3139
0.219364 26.2800
0.229047 26.2482
0.238729 26.2184
0.248411 26.1904
0.258093 26.1640
0.267775 26.1391
0.277458 26.1154
0.284479 26.0991
0.291500 26.0833
0.298522 26.0681
0.305543 26.0535
0.319586 26.0256
0.333629 25.9995
0.347672 25.9751
0.361714 25.9521
0.375757 25.9304
0.389800 25.9098
0.403575 25.8908
0.417350 25.8727
0.431125 25.8555
0.444900 25.8391
0.458675 25.8235
0.472450 25.8085
0.500000 25.7805
0.543587 25.7405
0.587174 25.7051
0.630761 25.6734
0.674348 25.6449
0.717934 25.6190
0.761521 25.5954
0.805108 25.5737
0.848695 25.5538
0.924348 25.5225
1.00000 25.4948
1.07578 25.4701
1.15156 25.4478
1.22734 25.4277
1.30311 25.4093
1.37889 25.3924
1.45467 25.3768
1.60623 25.3490
1.70467 25.3330
1.80311 25.3183
2.00000 25.2920
2.11203 25.2788
2.22406 25.2665
2.44812 25.2445
2.67217 25.2252
2.89623 25.2081
3.13372 25.1919
3.37121 25.1775
3.60870 25.1644
3.84619 25.1524
4.08368 25.1415
4.32117 25.1314
4.55866 25.1221
4.79615 25.1134
5.18756 25.1003
5.57897 25.0884
5.97038 25.0776
6.36179 25.0678
6.75320 25.0587
7.14460 25.0502
7.53601 25.0424
7.92742 25.0350
8.44557 25.0259
8.96371 25.0174
10.0000 25.0022
10.8048 24.9916
11.6096 24.9819
12.4144 24.9728
13.2192 24.9644
14.0239 24.9565
14.8287 24.9490
16.4383 24.9353
17.3287 24.9282
18.2192 24.9214
20.0000 24.9087
21.5671 24.8982
23.1343 24.8884
24.7014 24.8790
26.2685 24.8701
27.8357 24.8615
29.4028 24.8532
30.9699 24.8451
32.5371 24.8373
34.7199 24.8268
36.9028 24.8167
39.0857 24.8068
41.2685 24.7972
43.4514 24.7878
45.6343 24.7786
50.0000 24.7607
54.3523 24.7434
58.7045 24.7266
63.0568 24.7101
67.4090 24.6940
71.7613 24.6781
76.1135 24.6625
80.4658 24.6471
84.8180 24.6318
92.4090 24.6056
100.000 24.5797
108.486 24.5512
116.971 24.5230
125.457 24.4951
133.942 24.4675
142.428 24.4401
150.913 24.4128
159.399 24.3858
167.884 24.3589
179.876 24.3211
191.868 24.2836
200.000 24.2583
215.121 24.2114
233.818 24.1539
252.516 24.0968
271.214 24.0401
289.911 23.9837
308.609 23.9277
327.307 23.8719
346.004 23.8164
364.702 23.7612
398.527 23.6619
432.351 23.5634
466.176 23.4657
500.000 23.3686
540.625 23.2530
581.249 23.1383
621.873 23.0245
662.498 22.9116
703.122 22.7996
743.747 22.6884
784.371 22.5780
