Pr-141(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 593.141
1.03125E-05 584.092
1.06250E-05 575.445
1.09375E-05 567.172
1.12500E-05 559.246
1.15625E-05 551.643
1.18750E-05 544.343
1.21875E-05 537.326
1.25000E-05 530.573
1.28125E-05 524.069
1.31250E-05 517.799
1.34375E-05 511.749
1.37500E-05 505.907
1.43750E-05 494.799
1.50000E-05 484.392
1.56250E-05 474.617
1.62500E-05 465.412
1.68750E-05 456.723
1.75000E-05 448.504
1.81250E-05 440.714
1.87500E-05 433.317
1.93750E-05 426.281
2.00000E-05 419.578
2.09375E-05 410.092
2.18750E-05 401.223
2.28125E-05 392.906
2.37500E-05 385.087
2.46875E-05 377.719
2.56250E-05 370.758
2.65625E-05 364.170
2.75000E-05 357.922
2.84375E-05 351.985
2.93750E-05 346.335
3.03125E-05 340.950
3.12500E-05 335.809
3.21875E-05 330.894
3.31250E-05 326.190
3.40625E-05 321.681
3.50000E-05 317.355
3.59375E-05 313.200
3.68750E-05 309.204
3.78125E-05 305.357
3.87500E-05 301.652
3.96875E-05 298.078
4.06250E-05 294.629
4.25000E-05 288.078
4.43750E-05 281.946
4.62500E-05 276.191
4.81250E-05 270.777
5.00000E-05 265.670
5.15625E-05 261.629
5.31250E-05 257.768
5.46875E-05 254.074
5.62500E-05 250.535
5.78125E-05 247.140
5.93750E-05 243.881
6.09375E-05 240.748
6.25000E-05 237.734
6.40625E-05 234.830
6.56250E-05 232.031
6.71875E-05 229.331
6.87500E-05 226.723
7.18750E-05 221.765
7.50000E-05 217.121
7.81250E-05 212.758
8.12500E-05 208.650
8.43750E-05 204.773
8.75000E-05 201.106
9.06250E-05 197.631
9.37500E-05 194.331
9.68750E-05 191.193
0.000100000 188.203
0.000103125 185.350
0.000106250 182.624
0.000109375 180.016
0.000112500 177.518
0.000115625 175.122
0.000118750 172.822
0.000121875 170.610
0.000125000 168.483
0.000128125 166.434
0.000131250 164.458
0.000134375 162.552
0.000137500 160.712
0.000143750 157.213
0.000150000 153.936
0.000156250 150.858
0.000162500 147.960
0.000168750 145.224
0.000175000 142.637
0.000181250 140.186
0.000187500 137.858
0.000193750 135.644
0.000200000 133.535
0.000209375 130.551
0.000218750 127.762
0.000228125 125.146
0.000237500 122.688
0.000246875 120.372
0.000256250 118.184
0.000265625 116.113
0.000275000 114.150
0.000284375 112.284
0.000293750 110.510
0.000303125 108.818
0.000312500 107.203
0.000321875 105.660
0.000331250 104.183
0.000340625 102.767
0.000350000 101.409
0.000359375 100.104
0.000368750 98.8502
0.000378125 97.6431
0.000387500 96.4803
0.000396875 95.3590
0.000406250 94.2769
0.000425000 92.2214
0.000443750 90.2981
0.000462500 88.4934
0.000481250 86.7956
0.000500000 85.1945
0.000515625 83.9277
0.000531250 82.7175
0.000546875 81.5596
0.000562500 80.4505
0.000578125 79.3868
0.000593750 78.3656
0.000609375 77.3840
0.000625000 76.4395
0.000640625 75.5300
0.000656250 74.6532
0.000671875 73.8073
0.000687500 72.9905
0.000718750 71.4378
0.000750000 69.9834
0.000781250 68.6175
0.000812500 67.3314
0.000843750 66.1177
0.000875000 64.9697
0.000906250 63.8819
0.000937500 62.8490
0.000968750 61.8667
0.00100000 60.9309
0.00103125 60.0381
0.00106250 59.1851
0.00109375 58.3690
0.00112500 57.5872
0.00115625 56.8375
0.00118750 56.1176
0.00121875 55.4256
0.00125000 54.7599
0.00128125 54.1187
0.00131250 53.5005
0.00134375 52.9042
0.00137500 52.3283
0.00143750 51.2335
0.00150000 50.2081
0.00156250 49.2449
0.00162500 48.3380
0.00168750 47.4820
0.00175000 46.6724
0.00181250 45.9051
0.00187500 45.1766
0.00193750 44.4837
0.00200000 43.8236
0.00209375 42.8896
0.00218750 42.0163
0.00228125 41.1976
0.00237500 40.4279
0.00246875 39.7025
0.00256250 39.0174
0.00265625 38.3689
0.00275000 37.7540
0.00284375 37.1698
0.00293750 36.6138
0.00303125 36.0838
0.00312500 35.5779
0.00321875 35.0943
0.00331250 34.6314
0.00340625 34.1878
0.00350000 33.7622
0.00359375 33.3533
0.00368750 32.9602
0.00378125 32.5818
0.00387500 32.2172
0.00396875 31.8657
0.00406250 31.5264
0.00425000 30.8818
0.00443750 30.2786
0.00462500 29.7124
0.00481250 29.1798
0.00500000 28.6774
0.00515625 28.2799
0.00531250 27.9001
0.00546875 27.5366
0.00562500 27.1885
0.00578125 26.8546
0.00593750 26.5339
0.00609375 26.2257
0.00625000 25.9291
0.00640625 25.6435
0.00656250 25.3681
0.00671875 25.1024
0.00687500 24.8458
0.00718750 24.3580
0.00750000 23.9010
0.00781250 23.4717
0.00812500 23.0674
0.00843750 22.6858
0.00875000 22.3248
0.00906250 21.9827
0.00937500 21.6578
0.00968750 21.3488
0.0100000 21.0544
0.0103125 20.7735
0.0106250 20.5051
0.0109375 20.2483
0.0112500 20.0023
0.0115625 19.7663
0.0118750 19.5397
0.0121875 19.3219
0.0125000 19.1123
0.0128125 18.9104
0.0131250 18.7158
0.0134375 18.5281
0.0137500 18.3467
0.0143750 18.0020
0.0150000 17.6790
0.0156250 17.3755
0.0162500 17.0897
0.0168750 16.8199
0.0175000 16.5647
0.0181250 16.3228
0.0187500 16.0931
0.0193750 15.8746
0.0200000 15.6664
0.0206625 15.4561
0.0213250 15.2557
0.0219875 15.0644
0.0226500 14.8815
0.0233125 14.7066
0.0239750 14.5389
0.0246375 14.3780
0.0253000 14.2235
0.0264578 13.9675
0.0276156 13.7278
0.0287734 13.5027
0.0299313 13.2908
0.0310891 13.0909
0.0322469 12.9018
0.0334047 12.7226
0.0345625 12.5525
0.0355274 12.4171
0.0364922 12.2871
0.0374570 12.1622
0.0384219 12.0419
0.0393867 11.9261
0.0403516 11.8144
0.0413164 11.7067
0.0422813 11.6026
0.0442109 11.4048
0.0461406 11.2196
0.0480703 11.0455
0.0500000 10.8817
0.0515625 10.7558
0.0531250 10.6354
0.0546875 10.5203
0.0562500 10.4099
0.0578125 10.3041
0.0593750 10.2025
0.0609375 10.1048
0.0625000 10.0107
0.0640625 9.92019
0.0656250 9.83289
0.0671875 9.74866
0.0687500 9.66731
0.0718750 9.51258
0.0750000 9.36753
0.0781250 9.23119
0.0812500 9.10272
0.0843750 8.98142
0.0875000 8.86664
0.0906250 8.75781
0.0937500 8.65444
0.0968750 8.55609
0.100000 8.46236
0.103125 8.37289
0.106250 8.28737
0.109375 8.20552
0.112500 8.12708
0.115625 8.05182
0.118750 7.97952
0.121875 7.91001
0.125000 7.84310
0.128125 7.77865
0.131250 7.71652
0.134375 7.65657
0.137500 7.59866
0.143750 7.48849
0.150000 7.38512
0.156250 7.28791
0.162500 7.19628
0.168750 7.10973
0.175000 7.02780
0.181250 6.95010
0.187500 6.87625
0.193750 6.80596
0.200000 6.73895
0.204688 6.69073
0.209375 6.64413
0.218750 6.55538
0.228125 6.47198
0.237500 6.39346
0.246875 6.31936
0.256250 6.24928
0.265625 6.18287
0.275000 6.11982
0.284375 6.05983
0.293750 6.00268
0.303125 5.94813
0.312500 5.89600
0.321875 5.84610
0.331250 5.79827
0.340625 5.75238
0.350000 5.70829
0.359375 5.66588
0.368750 5.62505
0.378125 5.58571
0.387500 5.54776
0.396875 5.51115
0.406250 5.47580
0.425000 5.40849
0.443750 5.34521
0.462500 5.28566
0.500000 5.17653
0.531250 5.09419
0.562500 5.01828
0.593750 4.94815
0.625000 4.88306
0.687500 4.76568
0.750000 4.66236
0.812500 4.57038
0.875000 4.48787
0.937500 4.41306
1.00000 4.34456
1.06250 4.28161
1.12500 4.22345
1.18750 4.16945
1.25000 4.11908
1.37500 4.02762
1.50000 3.94636
1.62500 3.87334
1.75000 3.80721
1.87500 3.74673
2.00000 3.69088
2.18750 3.61466
2.37500 3.54596
2.56250 3.48339
2.75000 3.42601
2.93750 3.37296
3.12500 3.32355
3.31250 3.27735
3.50000 3.23397
3.68750 3.19307
3.87500 3.15437
4.06250 3.11764
4.25000 3.08267
4.62500 3.01738
5.00000 2.95743
5.31250 2.91093
5.62500 2.86711
5.93750 2.82570
6.25000 2.78644
6.56250 2.74910
6.87500 2.71350
7.18750 2.67947
7.50000 2.64689
7.81250 2.61562
8.12500 2.58556
8.75000 2.52876
9.37500 2.47583
10.0000 2.42624
10.6250 2.37961
11.2500 2.33562
11.8750 2.29399
12.5000 2.25448
13.1250 2.21690
13.7500 2.18106
14.3750 2.14683
15.0000 2.11407
15.6250 2.08266
16.2500 2.05251
16.8750 2.02352
17.5000 1.99561
18.1250 1.96871
18.7500 1.94276
19.3750 1.91768
20.0000 1.89345
20.9375 1.85855
21.8750 1.82524
22.8125 1.79341
23.7500 1.76294
24.6875 1.73372
25.6250 1.70567
26.5625 1.67870
27.5000 1.65274
28.4375 1.62771
29.3750 1.60357
30.3125 1.58024
31.2500 1.55768
32.1875 1.53585
33.1250 1.51471
35.0000 1.47430
36.8750 1.43616
38.7500 1.40006
40.6250 1.36579
42.5000 1.33316
44.3750 1.30202
46.2500 1.27221
48.1250 1.24362
50.0000 1.21613
51.9227 1.18901
53.8454 1.16281
55.7681 1.13743
57.6908 1.11277
58.6522 1.10062
59.6135 1.08875
61.5362 1.06527
63.4589 1.04225
65.3816 1.01961
66.5490 1.00599
67.7163 0.992433
68.8837 0.978904
70.0510 0.965368
70.6347 0.958589
71.2184 0.951792
71.8020 0.944981
72.3857 0.938148
72.9694 0.931285
73.5531 0.924393
74.1367 0.917472
74.7204 0.910523
75.2011 0.904784
75.6818 0.899039
76.1624 0.893300
76.6431 0.887583
77.1238 0.881923
77.3641 0.879127
77.6045 0.876365
77.8448 0.873645
78.0851 0.870981
78.3255 0.868387
78.5658 0.865882
78.8061 0.863490
79.0465 0.861240
79.2868 0.859164
79.5272 0.857309
79.7675 0.855746
80.0078 0.854552
80.1280 0.854123
80.2482 0.853825
80.3683 0.853676
80.4885 0.853697
80.6688 0.854099
80.8490 0.855031
81.0293 0.856612
81.1194 0.857692
81.2095 0.858994
81.2997 0.860543
81.3898 0.862368
81.4799 0.864501
81.5700 0.866979
81.6602 0.869841
81.7503 0.873135
81.8404 0.876917
81.9305 0.881255
82.0250 0.886482
82.1194 0.892510
82.2138 0.899458
82.3082 0.907462
82.4026 0.916691
82.4970 0.927343
82.5915 0.939657
82.6859 0.953923
82.7760 0.969688
82.8661 0.987930
82.9112 0.998120
82.9563 1.00911
83.0013 1.02096
83.0464 1.03378
83.0915 1.04764
83.1365 1.06265
83.1816 1.07893
83.2266 1.09660
83.2717 1.11582
83.3168 1.13675
83.3618 1.15958
83.4069 1.18454
83.4541 1.21324
83.5013 1.24489
83.5485 1.27987
83.5957 1.31862
83.6429 1.36169
83.6901 1.40969
83.7374 1.46336
83.7846 1.52356
83.8318 1.59138
83.8554 1.62855
83.8790 1.66810
83.9026 1.71027
83.9262 1.75527
83.9498 1.80337
83.9734 1.85483
83.9970 1.90999
84.0206 1.96918
84.0442 2.03285
84.0678 2.10138
84.0914 2.17536
84.1150 2.25532
84.1386 2.34198
84.1622 2.43607
84.1923 2.56810
84.2223 2.71587
84.2524 2.88218
84.2674 2.97334
84.2824 3.07050
84.2974 3.17426
84.3124 3.28528
84.3275 3.40434
84.3425 3.53233
84.3575 3.67031
84.3725 3.81949
84.3875 3.98130
84.4026 4.15745
84.4144 4.30732
84.4262 4.46828
84.4380 4.64178
84.4498 4.82931
84.4616 5.03280
84.4734 5.25390
84.4852 5.49508
84.4970 5.75902
84.5088 6.04901
84.5206 6.36810
84.5324 6.72056
84.5442 7.11103
84.5560 7.54518
84.5678 8.02832
84.5796 8.56766
84.5914 9.17095
84.6000 9.65532
84.6086 10.1813
84.6172 10.7535
84.6257 11.3762
84.6322 11.8796
84.6386 12.4163
84.6451 12.9885
84.6515 13.5986
84.6579 14.2491
84.6644 14.9426
84.6708 15.6817
84.6772 16.4682
84.6837 17.3075
84.6901 18.2014
84.6966 19.1533
84.7030 20.1648
84.7094 21.2425
84.7159 22.3885
84.7223 23.6065
84.7287 24.8982
84.7347 26.1553
84.7406 27.4801
84.7465 28.8778
84.7524 30.3514
84.7583 31.9041
84.7642 33.5390
84.7701 35.2593
84.7760 37.0681
84.7819 38.9718
84.7878 40.9671
84.7937 43.0600
84.7996 45.2537
84.8055 47.5508
84.8114 49.9543
84.8173 52.4668
84.8232 55.0908
84.8296 58.0850
84.8360 61.2177
84.8425 64.4914
84.8489 67.9029
84.8554 71.4647
84.8618 75.1673
84.8682 79.0231
84.8747 83.0209
84.8865 90.7488
84.8983 98.9644
84.9101 107.671
84.9219 116.838
84.9337 126.446
84.9455 136.463
84.9573 146.849
84.9691 157.555
84.9809 168.532
84.9927 179.698
85.0163 202.326
85.0399 224.798
85.0635 246.367
85.0785 259.262
85.0935 271.272
85.1053 279.959
85.1171 287.889
85.1289 294.977
85.1407 301.146
85.1533 306.615
85.1658 310.904
85.1816 314.544
85.1974 316.150
85.2000 316.218
85.2026 316.228
85.2112 315.864
85.2197 314.896
85.2368 311.179
85.2494 306.986
85.2619 301.617
85.2714 296.829
85.2808 291.451
85.2998 279.059
85.3196 264.058
85.3394 247.427
85.3592 229.626
