19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
1.625000e-04 3.11691496e+01
1.687500e-04 3.06004855e+01
1.750000e-04 3.00628233e+01
1.812500e-04 2.95534034e+01
1.875000e-04 2.90698594e+01
1.937500e-04 2.86101318e+01
2.000000e-04 2.81723474e+01
2.093750e-04 2.75530717e+01
2.187500e-04 2.69743365e+01
2.281250e-04 2.64320089e+01
2.375000e-04 2.59224563e+01
2.468750e-04 2.54425123e+01
2.562500e-04 2.49894375e+01
2.656250e-04 2.45607657e+01
2.750000e-04 2.41544303e+01
2.843750e-04 2.37686584e+01
2.937500e-04 2.34016836e+01
3.031250e-04 2.30520261e+01
3.125000e-04 2.27185061e+01
3.218750e-04 2.23997438e+01
3.312500e-04 2.20948593e+01
3.406250e-04 2.18027595e+01
3.500000e-04 2.15226644e+01
3.593750e-04 2.12537876e+01
3.687500e-04 2.09953359e+01
3.781250e-04 2.07466360e+01
3.875000e-04 2.05071746e+01
3.968750e-04 2.02764718e+01
4.062500e-04 2.00538345e+01
4.250000e-04 1.96311962e+01
4.437500e-04 1.92360070e+01
4.625000e-04 1.88656005e+01
4.812500e-04 1.85173372e+01
5.000000e-04 1.81891441e+01
5.156250e-04 1.79296799e+01
5.312500e-04 1.76820204e+01
5.468750e-04 1.74451859e+01
5.625000e-04 1.72184831e+01
5.781250e-04 1.70012188e+01
5.937500e-04 1.67927132e+01
6.093750e-04 1.65923729e+01
6.250000e-04 1.63998048e+01
6.406250e-04 1.62145087e+01
6.562500e-04 1.60360050e+01
6.718750e-04 1.58637935e+01
6.875000e-04 1.56976811e+01
7.187500e-04 1.53820803e+01
7.500000e-04 1.50869363e+01
7.812500e-04 1.48099826e+01
8.125000e-04 1.45495529e+01
8.437500e-04 1.43039809e+01
8.750000e-04 1.40720667e+01
9.062500e-04 1.38524504e+01
9.375000e-04 1.36442390e+01
9.687500e-04 1.34463526e+01
1.000000e-03 1.32580114e+01
1.031250e-03 1.30786086e+01
1.062500e-03 1.29072712e+01
1.093750e-03 1.27435059e+01
1.125000e-03 1.25868127e+01
1.156250e-03 1.24367118e+01
1.187500e-03 1.22926093e+01
1.218750e-03 1.21543038e+01
1.250000e-03 1.20213088e+01
1.281250e-03 1.18934202e+01
1.312500e-03 1.17701569e+01
1.343750e-03 1.16513176e+01
1.375000e-03 1.15367015e+01
1.437500e-03 1.13190687e+01
1.500000e-03 1.11154923e+01
1.562500e-03 1.09244992e+01
1.625000e-03 1.07450000e+01
1.687500e-03 1.05758185e+01
1.750000e-03 1.04159748e+01
1.812500e-03 1.02646802e+01
1.875000e-03 1.01212437e+01
1.937500e-03 9.98497992e+00
2.000000e-03 9.85528038e+00
2.093750e-03 9.67202847e+00
2.187500e-03 9.50097713e+00
2.281250e-03 9.34083992e+00
2.375000e-03 9.19050569e+00
2.468750e-03 9.04903058e+00
2.562500e-03 8.91558009e+00
2.656250e-03 8.78942632e+00
2.750000e-03 8.66993139e+00
2.843750e-03 8.55652473e+00
2.937500e-03 8.44872509e+00
3.031250e-03 8.34608054e+00
3.125000e-03 8.24818848e+00
3.218750e-03 8.15470498e+00
3.312500e-03 8.06530542e+00
3.406250e-03 7.97970519e+00
3.500000e-03 7.89763966e+00
3.593750e-03 7.81888221e+00
3.687500e-03 7.74320755e+00
3.781250e-03 7.67041904e+00
3.875000e-03 7.60034870e+00
3.968750e-03 7.53282124e+00
4.062500e-03 7.46769868e+00
4.250000e-03 7.34410770e+00
4.437500e-03 7.22858460e+00
4.625000e-03 7.12029419e+00
4.812500e-03 7.01851128e+00
5.000000e-03 6.92262461e+00
5.156250e-03 6.84681687e+00
5.312500e-03 6.77443316e+00
5.468750e-03 6.70523888e+00
5.625000e-03 6.63899738e+00
5.781250e-03 6.57550339e+00
5.937500e-03 6.51457025e+00
6.093750e-03 6.45604067e+00
6.250000e-03 6.39975734e+00
6.406250e-03 6.34558363e+00
6.562500e-03 6.29338155e+00
6.718750e-03 6.24304379e+00
6.875000e-03 6.19446171e+00
7.187500e-03 6.10216263e+00
7.500000e-03 6.01577913e+00
7.812500e-03 5.93471130e+00
8.125000e-03 5.85843058e+00
8.437500e-03 5.78649438e+00
8.750000e-03 5.71851009e+00
9.062500e-03 5.65410648e+00
9.375000e-03 5.59300758e+00
9.687500e-03 5.53492810e+00
1.000000e-02 5.47962477e+00
1.031250e-02 5.42688096e+00
1.062500e-02 5.37652003e+00
1.093750e-02 5.32836468e+00
1.125000e-02 5.28224894e+00
1.156250e-02 5.23803618e+00
1.187500e-02 5.19560707e+00
1.218750e-02 5.15483566e+00
1.250000e-02 5.11562260e+00
1.281250e-02 5.07787061e+00
1.312500e-02 5.04149102e+00
1.343750e-02 5.00640585e+00
1.375000e-02 4.97253578e+00
1.437500e-02 4.90816967e+00
1.500000e-02 4.84791076e+00
1.562500e-02 4.79134715e+00
1.625000e-02 4.73811622e+00
1.687500e-02 4.68789539e+00
1.750000e-02 4.64040936e+00
1.812500e-02 4.59543218e+00
1.875000e-02 4.55274856e+00
1.937500e-02 4.51216320e+00
2.000000e-02 4.47350813e+00
2.066250e-02 4.43448181e+00
2.132500e-02 4.39730712e+00
2.198750e-02 4.36184811e+00
2.265000e-02 4.32795746e+00
2.331250e-02 4.29554584e+00
2.397500e-02 4.26448731e+00
2.463750e-02 4.23471252e+00
2.530000e-02 4.20611350e+00
2.645780e-02 4.15877286e+00
2.761560e-02 4.11446029e+00
2.877340e-02 4.07287186e+00
2.993130e-02 4.03373294e+00
3.108910e-02 3.99682825e+00
3.224690e-02 3.96193318e+00
3.340470e-02 3.92888907e+00
3.456250e-02 3.89752130e+00
3.552740e-02 3.87257891e+00
3.649220e-02 3.84862768e+00
3.745700e-02 3.82561625e+00
3.842190e-02 3.80348665e+00
3.938670e-02 3.78217955e+00
