Ba-135(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 153.876
1.03125E-05 151.533
1.06250E-05 149.294
1.09375E-05 147.152
1.12500E-05 145.100
1.15625E-05 143.131
1.18750E-05 141.241
1.21875E-05 139.425
1.25000E-05 137.677
1.28125E-05 135.993
1.31250E-05 134.370
1.34375E-05 132.804
1.37500E-05 131.291
1.43750E-05 128.416
1.50000E-05 125.723
1.56250E-05 123.193
1.62500E-05 120.811
1.68750E-05 118.562
1.75000E-05 116.435
1.81250E-05 114.420
1.87500E-05 112.506
1.93750E-05 110.686
2.00000E-05 108.951
2.09375E-05 106.498
2.18750E-05 104.203
2.28125E-05 102.052
2.37500E-05 100.030
2.46875E-05 98.1247
2.56250E-05 96.3249
2.65625E-05 94.6214
2.75000E-05 93.0060
2.84375E-05 91.4714
2.93750E-05 90.0109
3.03125E-05 88.6190
3.12500E-05 87.2903
3.21875E-05 86.0202
3.31250E-05 84.8046
3.40625E-05 83.6396
3.50000E-05 82.5219
3.59375E-05 81.4484
3.68750E-05 80.4161
3.78125E-05 79.4227
3.87500E-05 78.4656
3.96875E-05 77.5427
4.06250E-05 76.6521
4.25000E-05 74.9603
4.43750E-05 73.3773
4.62500E-05 71.8919
4.81250E-05 70.4944
5.00000E-05 69.1767
5.15625E-05 68.1341
5.31250E-05 67.1380
5.46875E-05 66.1852
5.62500E-05 65.2724
5.78125E-05 64.3971
5.93750E-05 63.5568
6.09375E-05 62.7491
6.25000E-05 61.9720
6.40625E-05 61.2236
6.56250E-05 60.5023
6.71875E-05 59.8064
6.87500E-05 59.1345
7.18750E-05 57.8573
7.50000E-05 56.6613
7.81250E-05 55.5381
8.12500E-05 54.4807
8.43750E-05 53.4829
8.75000E-05 52.5394
9.06250E-05 51.6455
9.37500E-05 50.7968
9.68750E-05 49.9899
0.000100000 49.2213
0.000103125 48.4882
0.000106250 47.7879
0.000109375 47.1180
0.000112500 46.4764
0.000115625 45.8612
0.000118750 45.2706
0.000121875 44.7031
0.000125000 44.1571
0.000128125 43.6314
0.000131250 43.1248
0.000134375 42.6360
0.000137500 42.1642
0.000143750 41.2675
0.000150000 40.4279
0.000156250 39.6396
0.000162500 38.8976
0.000168750 38.1977
0.000175000 37.5359
0.000181250 36.9090
0.000187500 36.3140
0.000193750 35.7484
0.000200000 35.2097
0.000209375 34.4478
0.000218750 33.7360
0.000228125 33.0689
0.000237500 32.4422
0.000246875 31.8520
0.000256250 31.2947
0.000265625 30.7676
0.000275000 30.2680
0.000284375 29.7936
0.000293750 29.3424
0.000303125 28.9124
0.000312500 28.5023
0.000321875 28.1104
0.000331250 27.7354
0.000340625 27.3762
0.000350000 27.0318
0.000359375 26.7010
0.000368750 26.3832
0.000378125 26.0773
0.000387500 25.7828
0.000396875 25.4989
0.000406250 25.2250
0.000425000 24.7050
0.000443750 24.2188
0.000462500 23.7627
0.000481250 23.3340
0.000500000 22.9299
0.000515625 22.6103
0.000531250 22.3051
0.000546875 22.0133
0.000562500 21.7338
0.000578125 21.4659
0.000593750 21.2088
0.000609375 20.9618
0.000625000 20.7242
0.000640625 20.4954
0.000656250 20.2750
0.000671875 20.0624
0.000687500 19.8571
0.000718750 19.4672
0.000750000 19.1022
0.000781250 18.7595
0.000812500 18.4371
0.000843750 18.1329
0.000875000 17.8454
0.000906250 17.5730
0.000937500 17.3145
0.000968750 17.0688
0.00100000 16.8348
0.00103125 16.6117
0.00106250 16.3985
0.00109375 16.1947
0.00112500 15.9995
0.00115625 15.8123
0.00118750 15.6327
0.00121875 15.4600
0.00125000 15.2940
0.00128125 15.1341
0.00131250 14.9800
0.00134375 14.8314
0.00137500 14.6880
0.00143750 14.4153
0.00150000 14.1600
0.00156250 13.9204
0.00162500 13.6948
0.00168750 13.4819
0.00175000 13.2807
0.00181250 13.0901
0.00187500 12.9091
0.00193750 12.7371
0.00200000 12.5732
0.00209375 12.3414
0.00218750 12.1248
0.00228125 11.9218
0.00237500 11.7310
0.00246875 11.5513
0.00256250 11.3815
0.00265625 11.2209
0.00275000 11.0687
0.00284375 10.9241
0.00293750 10.7865
0.00303125 10.6554
0.00312500 10.5303
0.00321875 10.4107
0.00331250 10.2962
0.00340625 10.1866
0.00350000 10.0814
0.00359375 9.98038
0.00368750 9.88326
0.00378125 9.78979
0.00387500 9.69976
0.00396875 9.61295
0.00406250 9.52918
0.00425000 9.37009
0.00443750 9.22124
0.00462500 9.08159
0.00481250 8.95022
0.00500000 8.82635
0.00515625 8.72836
0.00531250 8.63474
0.00546875 8.54518
0.00562500 8.45940
0.00578125 8.37714
0.00593750 8.29817
0.00609375 8.22226
0.00625000 8.14923
0.00640625 8.07891
0.00656250 8.01112
0.00671875 7.94572
0.00687500 7.88257
0.00718750 7.76254
0.00750000 7.65011
0.00781250 7.54453
0.00812500 7.44512
0.00843750 7.35131
0.00875000 7.26258
0.00906250 7.17851
0.00937500 7.09868
0.00968750 7.02277
0.0100000 6.95046
0.0103125 6.88147
0.0106250 6.81556
0.0109375 6.75250
0.0112500 6.69211
0.0115625 6.63419
0.0118750 6.57858
0.0121875 6.52513
0.0125000 6.47371
0.0128125 6.42419
0.0131250 6.37645
0.0134375 6.33040
0.0137500 6.28592
0.0143750 6.20138
0.0150000 6.12220
0.0156250 6.04782
0.0162500 5.97779
0.0168750 5.91169
0.0175000 5.84917
0.0181250 5.78992
0.0187500 5.73366
0.0193750 5.68016
0.0200000 5.62919
0.0206625 5.57772
0.0213250 5.52867
0.0219875 5.48186
0.0226500 5.43713
0.0233125 5.39432
0.0239750 5.35331
0.0246375 5.31396
0.0253000 5.27618
0.0264578 5.21360
0.0276156 5.15501
0.0287734 5.10000
0.0299313 5.04824
0.0310891 4.99940
0.0322469 4.95323
0.0334047 4.90948
0.0345625 4.86796
0.0355274 4.83491
0.0364922 4.80319
0.0374570 4.77269
0.0384219 4.74336
0.0393867 4.71510
0.0403516 4.68787
0.0413164 4.66160
0.0422813 4.63623
0.0442109 4.58802
0.0461406 4.54287
0.0480703 4.50047
0.0500000 4.46056
0.0515625 4.42990
0.0531250 4.40061
0.0546875 4.37259
0.0562500 4.34574
0.0578125 4.31999
0.0593750 4.29527
0.0609375 4.27151
0.0625000 4.24866
0.0640625 4.22664
0.0656250 4.20543
0.0671875 4.18496
0.0687500 4.16520
0.0718750 4.12762
0.0750000 4.09241
0.0781250 4.05933
0.0812500 4.02817
0.0843750 3.99876
0.0875000 3.97094
0.0906250 3.94457
0.0937500 3.91954
0.0968750 3.89573
0.100000 3.87305
0.103125 3.85140
0.106250 3.83073
0.109375 3.81094
0.112500 3.79199
0.115625 3.77381
0.118750 3.75636
0.121875 3.73958
0.125000 3.72344
0.128125 3.70790
0.131250 3.69292
0.134375 3.67847
0.137500 3.66452
0.143750 3.63799
0.150000 3.61313
0.156250 3.58976
0.162500 3.56775
0.168750 3.54697
0.175000 3.52732
0.181250 3.50870
0.187500 3.49102
0.193750 3.47421
0.200000 3.45820
0.209375 3.43554
0.218750 3.41434
0.228125 3.39444
0.237500 3.37574
0.246875 3.35812
0.256250 3.34146
0.265625 3.32570
0.275000 3.31075
0.284375 3.29655
0.293750 3.28303
0.303125 3.27014
0.312500 3.25783
0.321875 3.24606
0.331250 3.23480
0.340625 3.22400
0.350000 3.21364
0.359375 3.20368
0.368750 3.19411
0.378125 3.18489
0.387500 3.17601
0.396875 3.16746
0.406250 3.15920
0.425000 3.14351
0.443750 3.12879
0.462500 3.11497
0.500000 3.08972
0.531250 3.07075
0.562500 3.05331
0.593750 3.03726
0.625000 3.02242
0.687500 2.99579
0.750000 2.97251
0.812500 2.95192
0.875000 2.93357
0.937500 2.91704
1.00000 2.90200
1.06250 2.88827
1.12500 2.87565
1.25000 2.85320
1.37500 2.83375
1.50000 2.81665
1.62500 2.80144
1.75000 2.78779
1.87500 2.77542
2.00000 2.76409
2.18750 2.74876
2.37500 2.73508
2.56250 2.72273
2.75000 2.71149
2.93750 2.70116
3.12500 2.69160
3.31250 2.68269
3.50000 2.67435
3.87500 2.65909
4.25000 2.64537
4.62500 2.63284
5.00000 2.62128
5.31250 2.61226
5.62500 2.60369
6.25000 2.58770
6.87500 2.57291
7.50000 2.55905
8.12500 2.54592
8.75000 2.53338
9.37500 2.52131
10.0000 2.50964
10.6250 2.49829
11.2500 2.48724
11.8750 2.47644
12.5000 2.46589
13.1250 2.45558
13.7500 2.44552
14.3750 2.43573
15.0000 2.42628
15.6250 2.41722
16.2500 2.40869
16.8750 2.40084
17.1875 2.39724
17.5000 2.39393
17.8125 2.39094
18.1250 2.38836
18.4375 2.38626
18.7500 2.38474
19.0625 2.38394
19.3750 2.38402
19.6875 2.38522
20.0000 2.38777
20.2247 2.39066
20.4494 2.39471
20.6741 2.40010
20.8988 2.40714
21.1235 2.41621
21.2359 2.42166
21.3482 2.42782
21.4606 2.43477
21.5730 2.44262
21.6853 2.45149
21.7977 2.46152
21.9202 2.47390
22.0428 2.48805
22.1654 2.50438
22.2879 2.52322
22.4105 2.54500
22.5331 2.57025
22.5943 2.58440
22.6556 2.59968
22.7169 2.61622
22.7782 2.63414
22.8701 2.66393
22.9620 2.69772
23.0540 2.73621
23.1459 2.78024
23.1919 2.80464
23.2378 2.83081
23.2838 2.85891
23.3297 2.88914
23.3757 2.92173
23.4217 2.95694
23.4676 2.99504
23.5136 3.03636
23.5698 3.09174
23.6259 3.15318
23.6821 3.22156
23.7383 3.29790
23.7945 3.38349
23.8506 3.47982
23.8787 3.53258
23.9068 3.58874
23.9349 3.64860
23.9630 3.71246
24.0090 3.82664
24.0549 3.95438
24.1009 4.09789
24.1239 4.17636
24.1468 4.25982
24.1698 4.34871
24.1928 4.44346
24.2158 4.54461
24.2388 4.65277
24.2618 4.76861
24.2847 4.89287
