67-Ho_n-tot
> 67-Ho-165:1.000000
1.000000e-05 3.29760000e+03
1.031250e-05 3.24728000e+03
1.062500e-05 3.19919000e+03
1.093750e-05 3.15318000e+03
1.125000e-05 3.10910000e+03
1.156250e-05 3.06683000e+03
1.187500e-05 3.02623000e+03
1.218750e-05 2.98720000e+03
1.250000e-05 2.94965000e+03
1.281250e-05 2.91348000e+03
1.312500e-05 2.87861000e+03
1.343750e-05 2.84496000e+03
1.375000e-05 2.81247000e+03
1.437500e-05 2.75069000e+03
1.500000e-05 2.69281000e+03
1.562500e-05 2.63845000e+03
1.625000e-05 2.58725000e+03
1.687500e-05 2.53893000e+03
1.750000e-05 2.49322000e+03
1.812500e-05 2.44989000e+03
1.875000e-05 2.40875000e+03
1.937500e-05 2.36962000e+03
2.000000e-05 2.33233000e+03
2.093750e-05 2.27957000e+03
2.187500e-05 2.23024000e+03
2.281250e-05 2.18398000e+03
2.375000e-05 2.14049000e+03
2.468750e-05 2.09951000e+03
2.562500e-05 2.06079000e+03
2.656250e-05 2.02414000e+03
2.750000e-05 1.98939000e+03
2.843750e-05 1.95636000e+03
2.937500e-05 1.92494000e+03
3.031250e-05 1.89498000e+03
3.125000e-05 1.86638000e+03
3.218750e-05 1.83904000e+03
3.312500e-05 1.81287000e+03
3.406250e-05 1.78779000e+03
3.500000e-05 1.76372000e+03
3.593750e-05 1.74060000e+03
3.687500e-05 1.71837000e+03
3.781250e-05 1.69698000e+03
3.875000e-05 1.67636000e+03
3.968750e-05 1.65648000e+03
4.062500e-05 1.63729000e+03
4.250000e-05 1.60084000e+03
4.437500e-05 1.56673000e+03
4.625000e-05 1.53471000e+03
4.812500e-05 1.50458000e+03
5.000000e-05 1.47617000e+03
5.156250e-05 1.45368000e+03
5.312500e-05 1.43220000e+03
5.468750e-05 1.41164000e+03
5.625000e-05 1.39195000e+03
5.781250e-05 1.37306000e+03
5.937500e-05 1.35492000e+03
6.093750e-05 1.33749000e+03
6.250000e-05 1.32071000e+03
6.406250e-05 1.30455000e+03
6.562500e-05 1.28898000e+03
6.718750e-05 1.27395000e+03
6.875000e-05 1.25943000e+03
7.187500e-05 1.23184000e+03
7.500000e-05 1.20599000e+03
7.812500e-05 1.18171000e+03
8.125000e-05 1.15884000e+03
8.437500e-05 1.13726000e+03
8.750000e-05 1.11685000e+03
9.062500e-05 1.09750000e+03
9.375000e-05 1.07913000e+03
9.687500e-05 1.06166000e+03
1.000000e-04 1.04501000e+03
1.031250e-04 1.02913000e+03
1.062500e-04 1.01395000e+03
1.093750e-04 9.99428000e+02
1.125000e-04 9.85517000e+02
1.156250e-04 9.72175000e+02
1.187500e-04 9.59364000e+02
1.218750e-04 9.47049000e+02
1.250000e-04 9.35200000e+02
1.281250e-04 9.23787000e+02
1.312500e-04 9.12785000e+02
1.343750e-04 9.02170000e+02
1.375000e-04 8.91919000e+02
1.437500e-04 8.72430000e+02
1.500000e-04 8.54175000e+02
1.562500e-04 8.37028000e+02
1.625000e-04 8.20881000e+02
1.687500e-04 8.05641000e+02
1.750000e-04 7.91226000e+02
1.812500e-04 7.77565000e+02
1.875000e-04 7.64593000e+02
1.937500e-04 7.52256000e+02
2.000000e-04 7.40502000e+02
2.093750e-04 7.23870000e+02
2.187500e-04 7.08320000e+02
2.281250e-04 6.93741000e+02
2.375000e-04 6.80036000e+02
2.468750e-04 6.67120000e+02
2.562500e-04 6.54920000e+02
2.656250e-04 6.43374000e+02
2.750000e-04 6.32424000e+02
2.843750e-04 6.22021000e+02
2.937500e-04 6.12121000e+02
3.031250e-04 6.02685000e+02
3.125000e-04 5.93678000e+02
3.218750e-04 5.85067000e+02
3.312500e-04 5.76826000e+02
3.406250e-04 5.68928000e+02
