>,78-Pt-195:0.337827
>,78-Pt-196:0.252120
>,78-Pt-198:0.073606
9.062500e-04,2.07663915e+02
9.375000e-04,2.04307066e+02
9.687490e-04,2.01114123e+02
9.687500e-04,2.01114025e+02
9.999990e-04,1.98072595e+02
1.000000e-03,1.98072305e+02
1.000010e-03,1.98071883e+02
1.000020e-03,1.98070854e+02
1.000030e-03,1.98069574e+02
1.000060e-03,1.98066565e+02
1.000120e-03,1.98060876e+02
1.000250e-03,1.98049302e+02
1.000490e-03,1.98026141e+02
1.000980e-03,1.97980027e+02
1.001950e-03,1.97887591e+02
1.003910e-03,1.97703313e+02
1.011600e-03,1.96982232e+02
1.019290e-03,1.96268196e+02
1.031250e-03,1.95174116e+02
1.034670e-03,1.94862628e+02
1.046880e-03,1.93782107e+02
1.062500e-03,1.92402864e+02
1.065430e-03,1.92145232e+02
1.093750e-03,1.89747706e+02
1.096190e-03,1.89542413e+02
1.125000e-03,1.87206616e+02
1.126950e-03,1.87049144e+02
1.140630e-03,1.85983307e+02
1.156250e-03,1.84768772e+02
1.157720e-03,1.84654913e+02
1.187500e-03,1.82426831e+02
1.188480e-03,1.82353866e+02
1.189210e-03,1.82301330e+02
1.193010e-03,1.82027858e+02
1.196810e-03,1.81754434e+02
1.204410e-03,1.81207717e+02
1.218750e-03,1.80176592e+02
1.219240e-03,1.80141487e+02
1.219600e-03,1.80116536e+02
1.250000e-03,1.78011523e+02
1.281250e-03,1.75927467e+02
1.296880e-03,1.74921423e+02
1.312500e-03,1.73917804e+02
1.343750e-03,1.71977897e+02
1.375000e-03,1.70106222e+02
1.390630e-03,1.69214792e+02
1.437500e-03,1.66546129e+02
1.439690e-03,1.66429177e+02
1.447230e-03,1.66026580e+02
1.454770e-03,1.65624092e+02
1.469840e-03,1.64819937e+02
1.500000e-03,1.63211793e+02
1.562500e-03,1.60080071e+02
1.625000e-03,1.57130757e+02
1.687500e-03,1.54347195e+02
1.750000e-03,1.51714477e+02
1.812500e-03,1.49219195e+02
1.875000e-03,1.46850185e+02
1.937500e-03,1.44596641e+02
2.000000e-03,1.42450052e+02
2.076170e-03,1.39977918e+02
2.089300e-03,1.39552532e+02
2.093750e-03,1.39412505e+02
2.104000e-03,1.39093765e+02
2.114260e-03,1.38776728e+02
2.134770e-03,1.38149235e+02
2.152340e-03,1.37621377e+02
2.175780e-03,1.36918394e+02
2.187500e-03,1.36579586e+02
2.193600e-03,1.36404327e+02
2.210990e-03,1.35904713e+02
2.228380e-03,1.35405120e+02
2.228520e-03,1.35401098e+02
2.257810e-03,1.34561090e+02
2.263150e-03,1.34415070e+02
2.281250e-03,1.33920191e+02
2.304690e-03,1.33282983e+02
2.332700e-03,1.32522781e+02
2.339840e-03,1.32329027e+02
2.375000e-03,1.31417634e+02
2.380860e-03,1.31266565e+02
2.402250e-03,1.30716005e+02
2.421880e-03,1.30210819e+02
2.457030e-03,1.29345435e+02
2.468750e-03,1.29057333e+02
2.471800e-03,1.28982749e+02
2.503910e-03,1.28197650e+02
2.533200e-03,1.27511654e+02
2.541350e-03,1.27321058e+02
2.562500e-03,1.26826513e+02
2.585940e-03,1.26281167e+02
2.609380e-03,1.25758009e+02
2.610900e-03,1.25724132e+02
2.656250e-03,1.24713514e+02
2.667970e-03,1.24453590e+02
2.679690e-03,1.24203967e+02
2.680450e-03,1.24187801e+02
2.750000e-03,1.22708603e+02
2.820170e-03,1.21286169e+02
2.843750e-03,1.20808230e+02
2.890330e-03,1.19909678e+02
2.937500e-03,1.18999859e+02
2.960490e-03,1.18577067e+02
3.030660e-03,1.17286781e+02
3.031250e-03,1.17275934e+02
3.125000e-03,1.15630640e+02
3.170990e-03,1.14858815e+02
3.218750e-03,1.14057457e+02
3.311310e-03,1.12570857e+02
3.312500e-03,1.12551747e+02
3.324220e-03,1.12371343e+02
3.368170e-03,1.11694861e+02
3.406250e-03,1.11108762e+02
3.412110e-03,1.11022208e+02
3.500000e-03,1.09724180e+02
3.593750e-03,1.08394471e+02
3.687500e-03,1.07115511e+02
3.781250e-03,1.05884648e+02
3.875000e-03,1.04698733e+02
3.968750e-03,1.03554945e+02
4.062500e-03,1.02451245e+02
4.250000e-03,1.00354824e+02
