35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
4.062500e-03 1.68262052e+01
4.250000e-03 1.64508518e+01
4.437500e-03 1.60995208e+01
4.625000e-03 1.57697654e+01
4.812500e-03 1.54595480e+01
5.000000e-03 1.51668703e+01
5.156250e-03 1.49352879e+01
5.312500e-03 1.47140015e+01
5.468750e-03 1.45022697e+01
5.625000e-03 1.42994263e+01
5.781250e-03 1.41049069e+01
5.937500e-03 1.39180599e+01
6.093750e-03 1.37384469e+01
6.250000e-03 1.35656291e+01
6.406250e-03 1.33991876e+01
6.562500e-03 1.32386936e+01
6.718750e-03 1.30838345e+01
6.875000e-03 1.29343026e+01
7.187500e-03 1.26499636e+01
7.500000e-03 1.23836291e+01
7.812500e-03 1.21334120e+01
8.125000e-03 1.18977331e+01
8.437500e-03 1.16753370e+01
8.750000e-03 1.14649521e+01
9.062500e-03 1.12654934e+01
9.375000e-03 1.10761293e+01
9.687500e-03 1.08960220e+01
1.000000e-02 1.07243794e+01
1.031250e-02 1.05606318e+01
1.062500e-02 1.04041786e+01
1.093750e-02 1.02544700e+01
1.125000e-02 1.01110116e+01
1.156250e-02 9.97344020e+00
1.187500e-02 9.84131710e+00
1.218750e-02 9.71434446e+00
1.250000e-02 9.59214913e+00
1.281250e-02 9.47443327e+00
1.312500e-02 9.36094480e+00
1.343750e-02 9.25148728e+00
1.375000e-02 9.14572699e+00
1.437500e-02 8.94471996e+00
1.500000e-02 8.75635430e+00
1.562500e-02 8.57943514e+00
1.625000e-02 8.41281199e+00
1.687500e-02 8.25551109e+00
1.750000e-02 8.10672553e+00
1.812500e-02 7.96571884e+00
1.875000e-02 7.83176932e+00
1.937500e-02 7.70442352e+00
2.000000e-02 7.58303015e+00
2.066250e-02 7.46046658e+00
2.132500e-02 7.34361323e+00
2.198750e-02 7.23209201e+00
2.265000e-02 7.12552482e+00
2.331250e-02 7.02350258e+00
2.397500e-02 6.92576335e+00
2.463750e-02 6.83200438e+00
2.530000e-02 6.74192785e+00
2.645780e-02 6.59276912e+00
2.761560e-02 6.45306361e+00
2.877340e-02 6.32192413e+00
2.993130e-02 6.19844734e+00
3.108910e-02 6.08191676e+00
3.224690e-02 5.97174248e+00
3.340470e-02 5.86735433e+00
3.456250e-02 5.76824296e+00
3.552740e-02 5.68937551e+00
3.649220e-02 5.61365086e+00
3.745700e-02 5.54086723e+00
3.842190e-02 5.47083789e+00
3.938670e-02 5.40339145e+00
4.035160e-02 5.33837640e+00
4.131640e-02 5.27564671e+00
4.228130e-02 5.21507607e+00
4.421090e-02 5.09993776e+00
4.614060e-02 4.99209405e+00
4.807030e-02 4.89081829e+00
5.000000e-02 4.79546497e+00
5.156250e-02 4.72220706e+00
5.312500e-02 4.65220799e+00
5.468750e-02 4.58523063e+00
5.625000e-02 4.52107317e+00
5.781250e-02 4.45953383e+00
5.937500e-02 4.40044616e+00
6.093750e-02 4.34364890e+00
6.250000e-02 4.28900549e+00
6.406250e-02 4.23637495e+00
6.562500e-02 4.18563617e+00
6.718750e-02 4.13668313e+00
6.875000e-02 4.08941499e+00
7.187500e-02 3.99952490e+00
7.500000e-02 3.91529984e+00
7.812500e-02 3.83616470e+00
8.125000e-02 3.76162533e+00
8.437500e-02 3.69125281e+00
8.750000e-02 3.62468890e+00
9.062500e-02 3.56159562e+00
9.375000e-02 3.50168063e+00
9.687500e-02 3.44469638e+00
1.000000e-01 3.39040107e+00
1.031250e-01 3.33859263e+00
1.062500e-01 3.28908955e+00
1.093750e-01 3.24172552e+00
1.125000e-01 3.19634393e+00
1.156250e-01 3.15281878e+00
1.187500e-01 3.11102894e+00
1.218750e-01 3.07086345e+00
1.250000e-01 3.03221642e+00
1.281250e-01 2.99499208e+00
1.312500e-01 2.95911454e+00
1.343750e-01 2.92450818e+00
1.375000e-01 2.89108738e+00
1.437500e-01 2.82753390e+00
1.500000e-01 2.76797625e+00
