32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
7.187500e-04 2.42422450e+01
7.500000e-04 2.38767562e+01
7.812500e-04 2.35347606e+01
8.125000e-04 2.32139092e+01
8.437500e-04 2.29121857e+01
8.750000e-04 2.26278243e+01
9.062500e-04 2.23591972e+01
9.375000e-04 2.21049693e+01
9.687500e-04 2.18639476e+01
1.000000e-03 2.16350414e+01
1.031250e-03 2.14172657e+01
1.062500e-03 2.12098132e+01
1.093750e-03 2.10118402e+01
1.125000e-03 2.08226789e+01
1.156250e-03 2.06417773e+01
1.187500e-03 2.04685102e+01
1.218750e-03 2.03023650e+01
1.250000e-03 2.01428776e+01
1.281250e-03 1.99896166e+01
1.312500e-03 1.98421981e+01
1.343750e-03 1.97003107e+01
1.375000e-03 1.95635704e+01
1.437500e-03 1.93043805e+01
1.500000e-03 1.90625767e+01
1.562500e-03 1.88362633e+01
1.625000e-03 1.86239298e+01
1.687500e-03 1.84241741e+01
1.750000e-03 1.82358797e+01
1.812500e-03 1.80579229e+01
1.875000e-03 1.78894708e+01
1.937500e-03 1.77296915e+01
2.000000e-03 1.75778692e+01
2.093750e-03 1.73637305e+01
2.187500e-03 1.71642191e+01
2.281250e-03 1.69778147e+01
2.375000e-03 1.68031347e+01
2.468750e-03 1.66390062e+01
2.562500e-03 1.64844153e+01
2.656250e-03 1.63384898e+01
2.750000e-03 1.62004610e+01
2.843750e-03 1.60696333e+01
2.937500e-03 1.59454485e+01
3.031250e-03 1.58273394e+01
3.125000e-03 1.57148325e+01
3.218750e-03 1.56074795e+01
3.312500e-03 1.55049451e+01
3.406250e-03 1.54068668e+01
3.500000e-03 1.53129196e+01
3.593750e-03 1.52228537e+01
3.687500e-03 1.51363662e+01
3.781250e-03 1.50532629e+01
3.875000e-03 1.49733317e+01
3.968750e-03 1.48963544e+01
4.062500e-03 1.48221772e+01
4.250000e-03 1.46815878e+01
4.437500e-03 1.45503150e+01
4.625000e-03 1.44274362e+01
4.812500e-03 1.43120926e+01
5.000000e-03 1.42035777e+01
5.156250e-03 1.41178407e+01
5.312500e-03 1.40360907e+01
5.468750e-03 1.39579562e+01
5.625000e-03 1.38832425e+01
5.781250e-03 1.38116756e+01
5.937500e-03 1.37430744e+01
6.093750e-03 1.36771896e+01
6.250000e-03 1.36138893e+01
6.406250e-03 1.35530062e+01
6.562500e-03 1.34943615e+01
6.718750e-03 1.34378750e+01
6.875000e-03 1.33833638e+01
7.187500e-03 1.32799065e+01
7.500000e-03 1.31832010e+01
7.812500e-03 1.30925084e+01
8.125000e-03 1.30073097e+01
8.437500e-03 1.29269894e+01
8.750000e-03 1.28511492e+01
9.062500e-03 1.27793687e+01
9.375000e-03 1.27113126e+01
9.687500e-03 1.26466797e+01
1.000000e-02 1.25852078e+01
1.031250e-02 1.25265902e+01
1.062500e-02 1.24706924e+01
1.093750e-02 1.24172351e+01
1.125000e-02 1.23660921e+01
1.156250e-02 1.23170640e+01
1.187500e-02 1.22700762e+01
1.218750e-02 1.22249414e+01
1.250000e-02 1.21815329e+01
1.281250e-02 1.21397753e+01
1.312500e-02 1.20995729e+01
1.343750e-02 1.20607867e+01
1.375000e-02 1.20233845e+01
1.437500e-02 1.19523461e+01
1.500000e-02 1.18858685e+01
1.562500e-02 1.18235210e+01
1.625000e-02 1.17648994e+01
1.687500e-02 1.17096211e+01
1.750000e-02 1.16573884e+01
1.812500e-02 1.16079507e+01
1.875000e-02 1.15610395e+01
1.937500e-02 1.15164749e+01
2.000000e-02 1.14740581e+01
2.066250e-02 1.14312572e+01
2.132500e-02 1.13904911e+01
2.198750e-02 1.13516373e+01
2.265000e-02 1.13145193e+01
2.331250e-02 1.12790303e+01
2.397500e-02 1.12450460e+01
2.463750e-02 1.12124608e+01
2.530000e-02 1.11812065e+01
2.645780e-02 1.11294610e+01
2.761560e-02 1.10810739e+01
2.877340e-02 1.10356723e+01
2.993130e-02 1.09929860e+01
3.108910e-02 1.09527545e+01
3.224690e-02 1.09147357e+01
3.340470e-02 1.08787293e+01
3.456250e-02 1.08446028e+01
3.552740e-02 1.08174358e+01
3.649220e-02 1.07913911e+01
3.745700e-02 1.07663546e+01
