Th-232(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.0875000 338.926
0.0906250 333.246
0.0937500 327.853
0.0968750 322.724
0.100000 317.836
0.103125 313.173
0.106250 308.717
0.109375 304.454
0.112500 300.370
0.115625 296.452
0.118750 292.690
0.121875 289.074
0.125000 285.594
0.128125 282.243
0.131250 279.014
0.134375 275.900
0.137500 272.894
0.143750 267.178
0.150000 261.816
0.156250 256.776
0.162500 252.031
0.168750 247.551
0.175000 243.314
0.181250 239.298
0.187500 235.485
0.193750 231.861
0.200000 228.410
0.209375 223.525
0.218750 218.953
0.228125 214.664
0.237500 210.632
0.246875 206.832
0.256250 203.243
0.265625 199.845
0.275000 196.623
0.284375 193.562
0.293750 190.648
0.303125 187.871
0.312500 185.219
0.321875 182.685
0.331250 180.259
0.340625 177.934
0.350000 175.702
0.359375 173.559
0.368750 171.498
0.378125 169.514
0.387500 167.603
0.396875 165.762
0.406250 163.988
0.425000 160.614
0.443750 157.450
0.462500 154.480
0.500000 149.050
0.537500 144.211
0.575000 139.853
0.593750 137.830
0.603125 136.866
0.612500 136.239
0.617188 136.650
0.619531 137.370
0.621875 138.691
0.623047 139.661
0.624219 140.892
0.625391 142.431
0.626563 144.327
0.627734 146.634
0.628906 149.409
0.630078 152.706
0.631250 156.584
0.632422 161.095
0.633594 166.290
0.634766 172.210
0.635938 178.890
0.637109 186.354
0.638281 194.610
0.639453 203.656
0.640625 213.471
0.641797 224.019
0.642969 235.247
0.644141 247.085
0.645313 259.448
0.647656 285.348
0.650000 312.044
0.650000 312.046
0.650342 315.947
0.650684 319.841
0.651367 327.595
0.652735 342.882
0.655469 371.947
0.656836 385.407
0.658203 397.982
0.659571 409.579
0.660938 420.136
0.662305 429.621
0.663672 438.030
0.665039 445.383
0.666406 451.724
0.669141 461.622
0.671875 468.332
0.674610 472.543
0.677344 474.912
0.682813 476.254
0.693750 473.861
0.737500 460.116
0.781250 447.479
0.825000 435.862
0.912500 415.188
1.00000 397.370
1.10355 380.062
1.20711 365.053
1.31066 351.829
1.41421 340.063
1.56066 325.328
1.70711 312.482
1.85355 301.161
2.00000 291.088
2.12500 283.252
2.25000 276.053
2.50000 263.288
2.75000 252.282
3.00000 242.657
3.25000 234.038
3.50000 226.353
3.75000 219.442
4.00000 213.175
4.25000 207.464
4.50000 202.230
4.75000 197.412
5.00000 192.952
5.25000 188.751
5.50000 184.835
5.75000 181.176
6.00000 177.747
6.25000 174.525
6.50000 171.489
6.75000 168.623
7.00000 165.910
7.75000 158.460
8.50000 152.015
9.25000 146.370
10.0000 141.372
11.0355 135.208
12.0711 129.862
13.1066 125.171
14.1421 121.010
15.6066 115.741
17.0711 111.167
18.5355 107.148
20.0000 103.584
21.2500 100.853
22.5000 98.3542
23.7500 96.0579
25.0000 93.9379
27.5000 90.1447
30.0000 86.8409
32.5000 83.9069
35.0000 81.2977
37.5000 78.9574
40.0000 76.8419
42.5000 74.9184
45.0000 73.1595
47.5000 71.5431
50.0000 70.0509
52.5000 68.6560
55.0000 67.3585
57.5000 66.1480
60.0000 65.0150
62.5000 63.9517
65.0000 62.9512
67.5000 62.0078
70.0000 61.1161
73.7500 59.8557
77.5000 58.6891
85.0000 56.5957
92.5000 54.7666
100.000 53.1509
110.355 51.2204
120.711 49.5509
131.066 48.0890
141.421 46.7950
148.743 45.9171
156.066 45.1018
170.711 43.6331
185.355 42.3437
200.000 41.2003
212.500 40.3338
225.000 39.5422
237.500 38.8154
250.000 38.1450
275.000 36.9469
300.000 35.9050
325.000 34.9736
350.000 34.1463
375.000 33.4051
400.000 32.7361
425.000 32.1283
450.000 31.5731
475.000 31.0633
500.000 30.5931
525.000 30.1507
550.000 29.7395
575.000 29.3561
600.000 28.9975
625.000 28.6611
650.000 28.3448
675.000 28.0466
700.000 27.7649
737.500 27.3650
775.000 26.9952
850.000 26.3320
925.000 25.7529
1000.00 25.2416
1062.50 24.8516
1125.00 24.4951
1187.50 24.1678
1250.00 23.8658
1312.50 23.5859
1375.00 23.3258
1500.00 22.8559
1625.00 22.4421
1750.00 22.0742
1875.00 21.7442
2000.00 21.4460
2125.00 21.1704
2250.00 20.9183
2375.00 20.6864
2500.00 20.4722
2625.00 20.2736
2750.00 20.0886
3000.00 19.7540
3250.00 19.4569
3500.00 19.1919
3750.00 18.9534
4000.00 18.7372
4250.00 18.5400
4500.00 18.3592
4750.00 18.1925
5000.00 18.0382
5250.00 17.8947
5500.00 17.7607
5750.00 17.6350
6000.00 17.5170
6250.00 17.4058
6500.00 17.3008
6750.00 17.2013
7000.00 17.1070
7582.82 16.9069
8165.64 16.7270
8748.45 16.5640
9331.27 16.4154
9331.28 16.4154
10000.0 16.2531
10625.0 16.1200
11250.0 15.9969
11875.0 15.8823
12500.0 15.7753
13125.0 15.6751
13750.0 15.5809
14375.0 15.4921
15000.0 15.4082
15625.0 15.3287
16250.0 15.2532
16875.0 15.1814
17500.0 15.1129
18750.0 14.9850
20000.0 14.8676
21122.1 14.7684
22244.2 14.6756
23366.2 14.5884
24488.3 14.5063
24488.3 14.5063
25866.2 14.4057
27244.2 14.3139
28622.1 14.2299
30000.0 14.1528
32008.1 14.0360
34016.1 13.9287
36024.2 13.8296
38032.2 13.7377
38032.2 13.7377
39528.2 13.6681
41024.2 13.6024
42520.1 13.5403
44016.1 13.4814
47008.1 13.3725
50000.0 13.2741
52500.0 13.1819
55000.0 13.0955
57500.0 13.0145
60000.0 12.9383
62500.0 12.8664
65000.0 12.7986
67500.0 12.7344
70000.0 12.6736
73997.3 12.5653
73997.3 12.5653
76568.7 12.4991
77964.9 12.4642
82565.3 12.3509
87165.6 12.2510
93398.2 12.1184
99630.7 12.0005
100000 11.9936
105490 11.8686
110980 11.7548
115490 11.6636
120000 11.5788
127866 11.4378
133933 11.3347
140000 11.2394
147500 11.1232
155000 11.0162
162500 10.9174
170000 10.8260
177263 10.7380
184526 10.6560
184526 10.6560
192263 10.5705
200000 10.4916
200909 10.4799
208020 10.3906
208020 10.3906
218758 10.2614
229495 10.1424
229495 10.1424
232488 10.1101
232489 10.1101
241244 10.0178
250000 9.93106
262500 9.80832
275000 9.69546
287500 9.59145
300000 9.49538
312500 9.37949
325000 9.27017
337500 9.16683
350000 9.06897
375000 8.88789
400000 8.72388
425000 8.56128
450000 8.41606
475000 8.28591
500000 8.16890
525000 8.04172
550000 7.92376
575000 7.81401
600000 7.71164
625000 7.60913
650000 7.51434
675000 7.42653
700000 7.34506
750000 7.20985
800000 7.08916
850000 6.97356
900000 6.87085
950000 6.77010
1.00000E+06 6.68126
1.10000E+06 6.56771
1.20000E+06 6.49473
1.30000E+06 6.46916
1.40000E+06 6.44557
1.50000E+06 6.46912
1.60000E+06 6.49123
1.70000E+06 6.54643
1.80000E+06 6.59890
1.90000E+06 6.67270
2.00000E+06 6.74347
2.07500E+06 6.80508
2.15000E+06 6.86658
2.22500E+06 6.92796
2.30000E+06 6.98920
2.40000E+06 7.07125
2.50000E+06 7.15289
2.55000E+06 7.19002
2.60000E+06 7.22707
2.70000E+06 7.30093
2.77500E+06 7.35071
2.85000E+06 7.40036
2.92500E+06 7.44985
3.00000E+06 7.49917
3.06250E+06 7.51481
3.12500E+06 7.53054
3.18750E+06 7.54633
3.25000E+06 7.56217
3.31250E+06 7.57804
3.37500E+06 7.59393
3.43750E+06 7.60982
3.50000E+06 7.62571
3.56250E+06 7.63966
3.62500E+06 7.65362
3.68750E+06 7.66758
3.75000E+06 7.68152
3.81250E+06 7.69545
3.87500E+06 7.70936
3.93750E+06 7.72322
4.00000E+06 7.73705
4.06250E+06 7.71876
4.12500E+06 7.70083
4.18750E+06 7.68322
4.25000E+06 7.66593
4.31250E+06 7.64894
4.37500E+06 7.63223
4.43750E+06 7.61579
4.50000E+06 7.59961
4.56250E+06 7.58357
4.62500E+06 7.56782
4.68750E+06 7.55235
4.75000E+06 7.53714
