Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000118750 14.3950
0.000121875 14.2092
0.000125000 14.0305
0.000128125 13.8583
0.000131250 13.6923
0.000134375 13.5322
0.000137500 13.3775
0.000143750 13.0835
0.000150000 12.8080
0.000156250 12.5492
0.000162500 12.3055
0.000168750 12.0755
0.000175000 11.8579
0.000181250 11.6517
0.000187500 11.4558
0.000193750 11.2695
0.000200000 11.0921
0.000209375 10.8409
0.000218750 10.6060
0.000228125 10.3858
0.000237500 10.1788
0.000246875 9.98361
0.000256250 9.79928
0.000265625 9.62480
0.000275000 9.45932
0.000284375 9.30208
0.000293750 9.15244
0.000303125 9.00980
0.000312500 8.87362
0.000321875 8.74343
0.000331250 8.61882
0.000340625 8.49938
0.000350000 8.38478
0.000359375 8.27469
0.000368750 8.16882
0.000378125 8.06692
0.000387500 7.96873
0.000396875 7.87405
0.000406250 7.78267
0.000425000 7.60905
0.000443750 7.44656
0.000462500 7.29405
0.000481250 7.15055
0.000500000 7.01519
0.000515625 6.90808
0.000531250 6.80573
0.000546875 6.70780
0.000562500 6.61398
0.000578125 6.52399
0.000593750 6.43757
0.000609375 6.35450
0.000625000 6.27456
0.000640625 6.19757
0.000656250 6.12335
0.000671875 6.05172
0.000687500 5.98256
0.000718750 5.85105
0.000750000 5.72786
0.000781250 5.61213
0.000812500 5.50314
0.000843750 5.40027
0.000875000 5.30296
0.000906250 5.21072
0.000937500 5.12314
0.000968750 5.03983
0.00100000 4.96045
0.00103125 4.88472
0.00106250 4.81234
0.00109375 4.74310
0.00112500 4.67675
0.00115625 4.61312
0.00118750 4.55201
0.00121875 4.49327
0.00125000 4.43675
0.00128125 4.38231
0.00131250 4.32982
0.00134375 4.27918
0.00137500 4.23027
0.00143750 4.13728
0.00150000 4.05016
0.00156250 3.96833
0.00162500 3.89126
0.00168750 3.81852
0.00175000 3.74971
0.00181250 3.68448
0.00187500 3.62255
0.00193750 3.56364
0.00200000 3.50751
0.00209375 3.42808
0.00218750 3.35381
0.00228125 3.28416
0.00237500 3.21869
0.00246875 3.15697
0.00256250 3.09868
0.00265625 3.04350
0.00275000 2.99116
0.00284375 2.94144
0.00293750 2.89411
0.00303125 2.84900
0.00312500 2.80594
0.00321875 2.76476
0.00331250 2.72535
0.00340625 2.68758
0.00350000 2.65134
0.00359375 2.61652
0.00368750 2.58304
0.00378125 2.55081
0.00387500 2.51976
0.00396875 2.48982
0.00406250 2.46092
0.00425000 2.40601
0.00443750 2.35462
0.00462500 2.30639
0.00481250 2.26101
0.00500000 2.21820
0.00515625 2.18433
0.00531250 2.15196
0.00546875 2.12099
0.00562500 2.09132
0.00578125 2.06286
0.00593750 2.03553
0.00609375 2.00926
0.00625000 1.98398
0.00640625 1.95963
0.00656250 1.93615
0.00671875 1.91350
0.00687500 1.89163
0.00718750 1.85004
0.00750000 1.81107
0.00781250 1.77447
0.00812500 1.74000
0.00843750 1.70746
0.00875000 1.67668
0.00906250 1.64751
0.00937500 1.61981
0.00968750 1.59346
0.0100000 1.56835
0.0103125 1.54439
0.0106250 1.52150
0.0109375 1.49960
0.0112500 1.47862
0.0115625 1.45849
0.0118750 1.43916
0.0121875 1.42059
0.0125000 1.40271
0.0128125 1.38549
0.0131250 1.36889
0.0134375 1.35288
0.0137500 1.33741
0.0143750 1.30800
0.0150000 1.28045
0.0156250 1.25456
0.0162500 1.23018
0.0168750 1.20717
0.0175000 1.18540
0.0181250 1.16477
0.0187500 1.14518
0.0193750 1.12654
0.0200000 1.10878
0.0206625 1.09084
0.0213250 1.07375
0.0219875 1.05743
0.0226500 1.04184
0.0233125 1.02691
0.0239750 1.01261
0.0246375 0.998890
0.0253000 0.985712
0.0264578 0.963881
0.0276156 0.943440
0.0287734 0.924246
0.0299313 0.906178
0.0310891 0.889130
0.0322469 0.873009
0.0334047 0.857733
0.0345625 0.843230
0.0355274 0.831689
0.0364922 0.820607
0.0374570 0.809955
0.0384219 0.799705
0.0393867 0.789834
0.0403516 0.780318
0.0413164 0.771137
0.0422813 0.762271
0.0442109 0.745418
0.0461406 0.729633
0.0480703 0.714808
0.0500000 0.700850
0.0515625 0.690126
0.0531250 0.679879
0.0546875 0.670074
0.0562500 0.660681
0.0578125 0.651672
0.0593750 0.643021
0.0609375 0.634705
0.0625000 0.626704
0.0640625 0.618999
0.0656250 0.611571
0.0671875 0.604404
0.0687500 0.597482
0.0718750 0.584322
0.0750000 0.571989
0.0781250 0.560399
0.0812500 0.549481
0.0843750 0.539175
0.0875000 0.529425
0.0906250 0.520183
0.0937500 0.511407
0.0968750 0.503058
0.100000 0.495104
0.103125 0.487514
0.106250 0.480261
0.109375 0.473321
0.112500 0.466672
0.115625 0.460294
0.118750 0.454169
0.121875 0.448282
0.125000 0.442617
0.128125 0.437162
0.131250 0.431903
0.134375 0.426831
0.137500 0.421932
0.143750 0.412617
0.150000 0.403883
0.156250 0.395675
0.162500 0.387943
0.168750 0.380643
0.175000 0.373737
0.181250 0.367192
0.187500 0.360978
0.193750 0.355068
0.200000 0.349439
0.209375 0.341471
0.218750 0.334014
0.228125 0.327018
0.237500 0.320439
0.246875 0.314238
0.256250 0.308379
