21-Sc_n-g
>  21-Sc-45:1.000000
4.560850e+02 2.44955000e-01
4.561880e+02 2.54033000e-01
4.562910e+02 2.63853000e-01
4.563940e+02 2.74491000e-01
4.564740e+02 2.83308000e-01
4.565530e+02 2.92726000e-01
4.566330e+02 3.02802000e-01
4.567120e+02 3.13587000e-01
4.567910e+02 3.25185000e-01
4.568710e+02 3.37665000e-01
4.569500e+02 3.51124000e-01
4.570290e+02 3.65654000e-01
4.571090e+02 3.81417000e-01
4.571880e+02 3.98542000e-01
4.572680e+02 4.17198000e-01
4.573470e+02 4.37550000e-01
4.574260e+02 4.59877000e-01
4.575060e+02 4.84413000e-01
4.575850e+02 5.11461000e-01
4.576640e+02 5.41332000e-01
4.577520e+02 5.77999000e-01
4.577950e+02 5.98028000e-01
4.578390e+02 6.19239000e-01
4.578830e+02 6.41822000e-01
4.579260e+02 6.65776000e-01
4.579700e+02 6.91317000e-01
4.580140e+02 7.18446000e-01
4.580570e+02 7.47411000e-01
4.581010e+02 7.78210000e-01
4.581450e+02 8.11126000e-01
4.581880e+02 8.46156000e-01
4.582320e+02 8.83617000e-01
4.582750e+02 9.23502000e-01
4.583190e+02 9.66167000e-01
4.583630e+02 1.01160000e+00
4.584060e+02 1.06018000e+00
4.584500e+02 1.11189000e+00
4.584940e+02 1.16716000e+00
4.585370e+02 1.22594000e+00
4.585810e+02 1.28870000e+00
4.586250e+02 1.35535000e+00
4.586680e+02 1.42640000e+00
4.587120e+02 1.50171000e+00
4.587560e+02 1.58183000e+00
4.587990e+02 1.66657000e+00
4.588430e+02 1.75647000e+00
4.588870e+02 1.85129000e+00
4.589300e+02 1.95159000e+00
4.589740e+02 2.05702000e+00
4.590180e+02 2.16814000e+00
4.590610e+02 2.28450000e+00
4.591090e+02 2.41811000e+00
4.591560e+02 2.55797000e+00
4.592040e+02 2.70428000e+00
4.592520e+02 2.85687000e+00
4.593470e+02 3.18027000e+00
4.594420e+02 3.52476000e+00
4.595300e+02 3.85644000e+00
4.596170e+02 4.19825000e+00
4.597910e+02 4.89230000e+00
4.598790e+02 5.23395000e+00
4.599670e+02 5.56086000e+00
4.600550e+02 5.86626000e+00
4.601420e+02 6.14197000e+00
4.601960e+02 6.29189000e+00
4.602490e+02 6.42666000e+00
4.603020e+02 6.54522000e+00
4.603550e+02 6.64635000e+00
4.604080e+02 6.72914000e+00
4.604610e+02 6.79239000e+00
4.605140e+02 6.83560000e+00
4.605670e+02 6.85831000e+00
4.606000e+02 6.86198000e+00
4.606530e+02 6.85115000e+00
4.607060e+02 6.81966000e+00
4.607590e+02 6.76786000e+00
4.608130e+02 6.69630000e+00
4.608660e+02 6.60557000e+00
4.609190e+02 6.49696000e+00
4.609720e+02 6.37146000e+00
4.610250e+02 6.23034000e+00
4.611260e+02 5.92562000e+00
4.612260e+02 5.58094000e+00
4.613260e+02 5.20678000e+00
4.614270e+02 4.81507000e+00
4.616360e+02 3.98805000e+00
4.617400e+02 3.58862000e+00
4.618450e+02 3.20897000e+00
4.618970e+02 3.02837000e+00
4.619490e+02 2.85464000e+00
4.620010e+02 2.68818000e+00
4.620530e+02 2.52927000e+00
4.621060e+02 2.37809000e+00
4.621580e+02 2.23476000e+00
4.622100e+02 2.09927000e+00
4.622620e+02 1.97156000e+00
4.623050e+02 1.87257000e+00
4.623480e+02 1.77884000e+00
4.623900e+02 1.69002000e+00
4.624330e+02 1.60598000e+00
4.624760e+02 1.52655000e+00
4.625180e+02 1.45157000e+00
4.625610e+02 1.38087000e+00
4.626040e+02 1.31428000e+00
4.626470e+02 1.25146000e+00
4.626890e+02 1.19252000e+00
4.627320e+02 1.13711000e+00
4.627750e+02 1.08507000e+00
4.628170e+02 1.03619000e+00
4.628600e+02 9.90308000e-01
4.629030e+02 9.47240000e-01
4.629460e+02 9.06817000e-01
4.629980e+02 8.60673000e-01
4.630500e+02 8.18046000e-01
4.631020e+02 7.78575000e-01
4.631540e+02 7.42007000e-01
4.632070e+02 7.08108000e-01
4.632590e+02 6.76656000e-01
4.633110e+02 6.47450000e-01
4.633630e+02 6.20302000e-01
4.634150e+02 5.95039000e-01
4.634680e+02 5.71502000e-01
4.635200e+02 5.49548000e-01
4.635720e+02 5.29043000e-01
4.636240e+02 5.09868000e-01
4.636760e+02 4.91911000e-01
4.637290e+02 4.75074000e-01
4.637810e+02 4.59265000e-01
4.638620e+02 4.36660000e-01
4.639420e+02 4.16048000e-01
4.640230e+02 3.97196000e-01
4.641040e+02 3.79925000e-01
4.641840e+02 3.64018000e-01
4.642650e+02 3.49348000e-01
4.643460e+02 3.35785000e-01
4.644260e+02 3.23231000e-01
4.645070e+02 3.11556000e-01
4.645880e+02 3.00688000e-01
4.646680e+02 2.90554000e-01
4.647490e+02 2.81096000e-01
4.649100e+02 2.63922000e-01
4.650720e+02 2.48789000e-01
4.651760e+02 2.39916000e-01
4.652810e+02 2.31696000e-01
4.653850e+02 2.24057000e-01
4.654890e+02 2.16945000e-01
4.656980e+02 2.04112000e-01
4.659070e+02 1.92871000e-01
4.661160e+02 1.82965000e-01
4.663250e+02 1.74187000e-01
4.665330e+02 1.66369000e-01
4.667420e+02 1.59373000e-01
4.669420e+02 1.53355000e-01
4.671410e+02 1.47903000e-01
4.673400e+02 1.42944000e-01
4.675390e+02 1.38419000e-01
4.677390e+02 1.34276000e-01
4.679380e+02 1.30475000e-01
4.681370e+02 1.26978000e-01
4.683370e+02 1.23752000e-01
4.687350e+02 1.18008000e-01
4.691340e+02 1.13062000e-01
4.695330e+02 1.08771000e-01
4.699310e+02 1.05025000e-01
4.702350e+02 1.02478000e-01
4.707290e+02 9.88154000e-02
4.712220e+02 9.56432000e-02
4.717160e+02 9.28734000e-02
4.722090e+02 9.04411000e-02
4.727030e+02 8.82924000e-02
4.731960e+02 8.63845000e-02
4.736900e+02 8.46807000e-02
4.741830e+02 8.31525000e-02
4.751700e+02 8.05325000e-02
4.761580e+02 7.83773000e-02
4.771450e+02 7.65596000e-02
4.781320e+02 7.50073000e-02
4.794990e+02 7.32060000e-02
4.808650e+02 7.17138000e-02
4.822320e+02 7.04574000e-02
4.835990e+02 6.93970000e-02
4.863320e+02 6.76289000e-02
4.890660e+02 6.62231000e-02
4.945330e+02 6.40906000e-02
5.000000e+02 6.24427000e-02
5.078130e+02 6.05654000e-02
5.156250e+02 5.89916000e-02
5.234380e+02 5.75993000e-02
5.312500e+02 5.63278000e-02
