78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
1.375000e-03 1.61153391e+02
1.390630e-03 1.60266572e+02
1.437500e-03 1.57611716e+02
1.439690e-03 1.57495361e+02
1.447230e-03 1.57094805e+02
1.454770e-03 1.56694359e+02
1.469840e-03 1.55894286e+02
1.500000e-03 1.54294309e+02
1.562500e-03 1.51177766e+02
1.625000e-03 1.48242955e+02
1.687500e-03 1.45472604e+02
1.750000e-03 1.42852347e+02
1.812500e-03 1.40368370e+02
1.875000e-03 1.38010195e+02
1.937500e-03 1.35766528e+02
2.000000e-03 1.33629079e+02
2.076170e-03 1.31167545e+02
2.089300e-03 1.30743984e+02
2.093750e-03 1.30604653e+02
2.104000e-03 1.30287271e+02
2.114260e-03 1.29971670e+02
2.134770e-03 1.29346565e+02
2.152340e-03 1.28820926e+02
2.175780e-03 1.28120907e+02
2.187500e-03 1.27783592e+02
2.193600e-03 1.27609075e+02
2.210990e-03 1.27111571e+02
2.228380e-03 1.26614084e+02
2.228520e-03 1.26610079e+02
2.257810e-03 1.25773599e+02
2.263150e-03 1.25628164e+02
2.281250e-03 1.25135257e+02
2.304690e-03 1.24500501e+02
2.332700e-03 1.23743224e+02
2.339840e-03 1.23550212e+02
2.375000e-03 1.22642683e+02
2.380860e-03 1.22492237e+02
2.402250e-03 1.21943955e+02
2.421880e-03 1.21440847e+02
2.457030e-03 1.20578969e+02
2.468750e-03 1.20292033e+02
2.471800e-03 1.20217741e+02
2.503910e-03 1.19435700e+02
2.533200e-03 1.18752259e+02
2.541350e-03 1.18562375e+02
2.562500e-03 1.18069667e+02
2.585940e-03 1.17526280e+02
2.609380e-03 1.17005176e+02
2.610900e-03 1.16971432e+02
2.656250e-03 1.15964760e+02
2.667970e-03 1.15705822e+02
2.679690e-03 1.15457102e+02
2.680450e-03 1.15440995e+02
2.750000e-03 1.13967121e+02
2.820170e-03 1.12550048e+02
2.843750e-03 1.12073902e+02
2.890330e-03 1.11178491e+02
2.937500e-03 1.10271832e+02
2.960490e-03 1.09850530e+02
3.030660e-03 1.08564762e+02
3.031250e-03 1.08553953e+02
3.125000e-03 1.06914156e+02
3.170990e-03 1.06145279e+02
3.218750e-03 1.05346960e+02
3.311310e-03 1.03865366e+02
3.312500e-03 1.03846319e+02
3.324220e-03 1.03666543e+02
3.368170e-03 1.02992404e+02
3.406250e-03 1.02408335e+02
3.412110e-03 1.02322062e+02
3.500000e-03 1.01028226e+02
3.593750e-03 9.97023877e+01
3.687500e-03 9.84279283e+01
3.781250e-03 9.72009052e+01
3.875000e-03 9.60186918e+01
3.968750e-03 9.48785324e+01
4.062500e-03 9.37783385e+01
4.250000e-03 9.16880794e+01
4.437500e-03 8.97314463e+01
4.625000e-03 8.78955360e+01
4.812500e-03 8.61677321e+01
5.000000e-03 8.45381193e+01
5.156250e-03 8.32484448e+01
5.312500e-03 8.20162554e+01
5.468750e-03 8.08372898e+01
5.625000e-03 7.97080343e+01
