Os-187(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4292.94
1.03125E-05 4227.46
1.06250E-05 4164.88
1.09375E-05 4105.01
1.12500E-05 4047.65
1.15625E-05 3992.64
1.18750E-05 3939.81
1.21875E-05 3889.03
1.25000E-05 3840.16
1.28125E-05 3793.09
1.31250E-05 3747.72
1.34375E-05 3703.94
1.37500E-05 3661.66
1.43750E-05 3581.27
1.50000E-05 3505.97
1.56250E-05 3435.23
1.62500E-05 3368.61
1.68750E-05 3305.74
1.75000E-05 3246.26
1.81250E-05 3189.89
1.87500E-05 3136.36
1.93750E-05 3085.45
2.00000E-05 3036.94
2.09375E-05 2968.30
2.18750E-05 2904.11
2.28125E-05 2843.93
2.37500E-05 2787.35
2.46875E-05 2734.03
2.56250E-05 2683.67
2.65625E-05 2635.99
2.75000E-05 2590.78
2.84375E-05 2547.82
2.93750E-05 2506.94
3.03125E-05 2467.97
3.12500E-05 2430.77
3.21875E-05 2395.21
3.31250E-05 2361.17
3.40625E-05 2328.54
3.50000E-05 2297.24
3.59375E-05 2267.17
3.68750E-05 2238.26
3.78125E-05 2210.43
3.87500E-05 2183.61
3.96875E-05 2157.76
4.06250E-05 2132.80
4.25000E-05 2085.39
4.43750E-05 2041.03
4.62500E-05 1999.39
4.81250E-05 1960.21
5.00000E-05 1923.26
5.15625E-05 1894.02
5.31250E-05 1866.09
5.46875E-05 1839.36
5.62500E-05 1813.75
5.78125E-05 1789.19
5.93750E-05 1765.61
6.09375E-05 1742.94
6.25000E-05 1721.13
6.40625E-05 1700.13
6.56250E-05 1679.87
6.71875E-05 1660.34
6.87500E-05 1641.47
7.18750E-05 1605.60
7.50000E-05 1571.99
7.81250E-05 1540.43
8.12500E-05 1510.71
8.43750E-05 1482.66
8.75000E-05 1456.13
9.06250E-05 1430.99
9.37500E-05 1407.12
9.68750E-05 1384.41
0.000100000 1362.78
0.000103125 1342.14
0.000106250 1322.42
0.000109375 1303.55
0.000112500 1285.48
0.000115625 1268.14
0.000118750 1251.50
0.000121875 1235.50
0.000125000 1220.11
0.000128125 1205.28
0.000131250 1190.99
0.000134375 1177.20
0.000137500 1163.89
0.000143750 1138.58
0.000150000 1114.87
0.000156250 1092.60
0.000162500 1071.63
0.000168750 1051.84
0.000175000 1033.13
0.000181250 1015.39
0.000187500 998.549
