Gd-158(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 9.72397E+06
1.03250E-05 9.56976E+06
1.06500E-05 9.42266E+06
1.09750E-05 9.28214E+06
1.13000E-05 9.14773E+06
1.16250E-05 9.01900E+06
1.19500E-05 8.89556E+06
1.22750E-05 8.77705E+06
1.26000E-05 8.66316E+06
1.30000E-05 8.52889E+06
1.34000E-05 8.40068E+06
1.38000E-05 8.27809E+06
1.42000E-05 8.16072E+06
1.46000E-05 8.04820E+06
1.50000E-05 7.94022E+06
1.54000E-05 7.83647E+06
1.58000E-05 7.73669E+06
1.63250E-05 7.61133E+06
1.68500E-05 7.49188E+06
1.73750E-05 7.37789E+06
1.79000E-05 7.26895E+06
1.84250E-05 7.16470E+06
1.89500E-05 7.06481E+06
1.94750E-05 6.96899E+06
2.00000E-05 6.87697E+06
2.06375E-05 6.76999E+06
2.12750E-05 6.66786E+06
2.19125E-05 6.57021E+06
2.25500E-05 6.47674E+06
2.31875E-05 6.38715E+06
2.38250E-05 6.30118E+06
2.44625E-05 6.21860E+06
2.51000E-05 6.13918E+06
2.59125E-05 6.04224E+06
2.67250E-05 5.94976E+06
2.75375E-05 5.86141E+06
2.83500E-05 5.77688E+06
2.91625E-05 5.69591E+06
2.99750E-05 5.61825E+06
3.07875E-05 5.54369E+06
3.16000E-05 5.47203E+06
3.26250E-05 5.38547E+06
3.36500E-05 5.30290E+06
3.46750E-05 5.22402E+06
3.57000E-05 5.14856E+06
3.67250E-05 5.07629E+06
3.77500E-05 5.00698E+06
3.87750E-05 4.94044E+06
3.98000E-05 4.87648E+06
4.10750E-05 4.80030E+06
4.23500E-05 4.72758E+06
4.36250E-05 4.65808E+06
4.49000E-05 4.59156E+06
4.61750E-05 4.52781E+06
4.74500E-05 4.46666E+06
4.87250E-05 4.40792E+06
5.00000E-05 4.35144E+06
5.01000E-05 4.34710E+06
5.05063E-05 4.32961E+06
5.09125E-05 4.31233E+06
5.17250E-05 4.27838E+06
5.33500E-05 4.21283E+06
5.49750E-05 4.15021E+06
5.66000E-05 4.09030E+06
5.82250E-05 4.03292E+06
5.98500E-05 3.97790E+06
6.14750E-05 3.92507E+06
6.31000E-05 3.87430E+06
6.51375E-05 3.81335E+06
6.71750E-05 3.75519E+06
6.92125E-05 3.69963E+06
7.12500E-05 3.64646E+06
7.32875E-05 3.59553E+06
7.53250E-05 3.54668E+06
7.73625E-05 3.49978E+06
7.94000E-05 3.45470E+06
8.19750E-05 3.40014E+06
8.45500E-05 3.34810E+06
8.71250E-05 3.29839E+06
8.97000E-05 3.25083E+06
9.22750E-05 3.20528E+06
9.48500E-05 3.16160E+06
9.74250E-05 3.11967E+06
0.000100000 3.07937E+06
0.000103250 3.03067E+06
0.000106500 2.98422E+06
0.000109750 2.93986E+06
0.000113000 2.89742E+06
0.000116250 2.85678E+06
0.000119500 2.81781E+06
0.000122750 2.78040E+06
0.000126000 2.74445E+06
0.000130000 2.70206E+06
0.000134000 2.66160E+06
0.000138000 2.62291E+06
0.000142000 2.58586E+06
0.000146000 2.55036E+06
0.000150000 2.51628E+06
0.000154000 2.48354E+06
0.000158000 2.45206E+06
0.000163250 2.41251E+06
0.000168500 2.37483E+06
0.000173750 2.33887E+06
0.000179000 2.30450E+06
0.000184250 2.27162E+06
0.000189500 2.24012E+06
0.000194750 2.20990E+06
0.000200000 2.18089E+06
0.000206375 2.14715E+06
0.000212750 2.11495E+06
0.000219125 2.08417E+06
0.000225500 2.05471E+06
0.000231875 2.02647E+06
0.000238250 1.99938E+06
0.000244625 1.97335E+06
0.000251000 1.94833E+06
0.000259125 1.91778E+06
0.000267250 1.88865E+06
0.000275375 1.86082E+06
0.000283500 1.83419E+06
0.000291625 1.80869E+06
0.000299750 1.78424E+06
0.000307875 1.76077E+06
