63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
1.343750e-03 6.55060108e+04
1.375000e-03 6.47295207e+04
1.437500e-03 6.32524389e+04
1.500000e-03 6.18675823e+04
1.562500e-03 6.05655594e+04
1.625000e-03 5.93385263e+04
1.687500e-03 5.81793480e+04
1.750000e-03 5.70820372e+04
1.812500e-03 5.60411721e+04
1.875000e-03 5.50519741e+04
1.937500e-03 5.41103736e+04
2.000000e-03 5.32126009e+04
2.046880e-03 5.25659593e+04
2.093750e-03 5.19408317e+04
2.164060e-03 5.10449743e+04
2.187500e-03 5.07522271e+04
2.234380e-03 5.01879504e+04
2.281250e-03 4.96345961e+04
2.304690e-03 4.93673855e+04
2.375000e-03 4.85809759e+04
2.468750e-03 4.75884999e+04
2.539060e-03 4.68826107e+04
2.562500e-03 4.66512631e+04
2.609380e-03 4.62028436e+04
2.656250e-03 4.57618548e+04
2.679690e-03 4.55478378e+04
2.750000e-03 4.49162529e+04
2.843750e-03 4.41130536e+04
2.937500e-03 4.33478514e+04
3.031250e-03 4.26177288e+04
3.125000e-03 4.19198726e+04
3.171250e-03 4.15889336e+04
3.218750e-03 4.12532061e+04
3.253440e-03 4.10139863e+04
3.312500e-03 4.06130341e+04
3.335630e-03 4.04597411e+04
3.406250e-03 3.99987524e+04
3.417810e-03 3.99250229e+04
3.500000e-03 3.94085888e+04
3.593750e-03 3.88415550e+04
3.687500e-03 3.82956784e+04
3.781250e-03 3.77697548e+04
3.875000e-03 3.72625275e+04
3.968750e-03 3.67728879e+04
4.062500e-03 3.62998358e+04
4.156250e-03 3.58424104e+04
4.250000e-03 3.53998117e+04
4.437500e-03 3.45558766e+04
4.625000e-03 3.37621955e+04
4.812500e-03 3.30139944e+04
5.000000e-03 3.23070036e+04
5.156250e-03 3.17466398e+04
5.312500e-03 3.12103464e+04
5.468750e-03 3.06964148e+04
5.625000e-03 3.02033405e+04
5.781250e-03 2.97297625e+04
5.937500e-03 2.92743287e+04
6.093750e-03 2.88358781e+04
6.250000e-03 2.84134064e+04
6.406250e-03 2.80080191e+04
