Ti-47(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 109.116
1.03125E-05 107.455
1.06250E-05 105.868
1.09375E-05 104.349
1.12500E-05 102.895
1.15625E-05 101.499
1.18750E-05 100.160
1.21875E-05 98.8717
1.25000E-05 97.6325
1.28125E-05 96.4390
1.31250E-05 95.2884
1.34375E-05 94.1783
1.37500E-05 93.1062
1.43750E-05 91.0681
1.50000E-05 89.1590
1.56250E-05 87.3657
1.62500E-05 85.6771
1.68750E-05 84.0833
1.75000E-05 82.5758
1.81250E-05 81.1471
1.87500E-05 79.7906
1.93750E-05 78.5004
2.00000E-05 77.2712
2.09375E-05 75.5319
2.18750E-05 73.9059
2.28125E-05 72.3814
2.37500E-05 70.9483
2.46875E-05 69.5978
2.56250E-05 68.3222
2.65625E-05 67.1150
2.75000E-05 65.9702
2.84375E-05 64.8826
2.93750E-05 63.8477
3.03125E-05 62.8613
3.12500E-05 61.9198
3.21875E-05 61.0198
3.31250E-05 60.1584
3.40625E-05 59.3329
3.50000E-05 58.5410
3.59375E-05 57.7803
3.68750E-05 57.0489
3.78125E-05 56.3450
3.87500E-05 55.6669
3.96875E-05 55.0131
4.06250E-05 54.3821
4.25000E-05 53.1835
4.43750E-05 52.0621
4.62500E-05 51.0099
4.81250E-05 50.0200
5.00000E-05 49.0866
5.15625E-05 48.3481
5.31250E-05 47.6427
5.46875E-05 46.9678
5.62500E-05 46.3214
5.78125E-05 45.7016
5.93750E-05 45.1064
6.09375E-05 44.5345
6.25000E-05 43.9843
6.40625E-05 43.4544
6.56250E-05 42.9437
6.71875E-05 42.4510
6.87500E-05 41.9753
7.18750E-05 41.0712
7.50000E-05 40.2246
7.81250E-05 39.4296
8.12500E-05 38.6813
8.43750E-05 37.9752
8.75000E-05 37.3076
9.06250E-05 36.6752
9.37500E-05 36.0748
9.68750E-05 35.5040
0.000100000 34.9604
0.000103125 34.4420
0.000106250 33.9467
0.000109375 33.4731
0.000112500 33.0195
0.000115625 32.5847
0.000118750 32.1672
0.000121875 31.7661
0.000125000 31.3804
0.000128125 31.0089
0.000131250 30.6510
0.000134375 30.3057
0.000137500 29.9725
0.000143750 29.3392
0.000150000 28.7465
0.000156250 28.1901
0.000162500 27.6666
0.000168750 27.1728
0.000175000 26.7061
0.000181250 26.2641
0.000187500 25.8448
0.000193750 25.4462
0.000200000 25.0667
0.000209375 24.5302
0.000218750 24.0291
0.000228125 23.5598
0.000237500 23.1191
0.000246875 22.7042
0.000256250 22.3127
0.000265625 21.9425
0.000275000 21.5918
0.000284375 21.2590
0.000293750 20.9426
0.000303125 20.6413
0.000312500 20.3539
0.000321875 20.0795
0.000331250 19.8171
0.000340625 19.5659
0.000350000 19.3251
0.000359375 19.0940
0.000368750 18.8720
0.000378125 18.6585
0.000387500 18.4530
0.000396875 18.2551
0.000406250 18.0642
0.000425000 17.7021
0.000443750 17.3638
0.000462500 17.0469
0.000481250 16.7493
0.000500000 16.4690
0.000515625 16.2477
0.000531250 16.0364
0.000546875 15.8346
0.000562500 15.6415
0.000578125 15.4566
0.000593750 15.2793
0.000609375 15.1090
0.000625000 14.9454
0.000640625 14.7881
0.000656250 14.6366
0.000671875 14.4906
0.000687500 14.3498
0.000718750 14.0825
0.000750000 13.8328
0.000781250 13.5988
0.000812500 13.3789
0.000843750 13.1719
0.000875000 12.9764
0.000906250 12.7916
0.000937500 12.6165
0.000968750 12.4502
0.00100000 12.2921
0.00103125 12.1416
0.00106250 11.9980
0.00109375 11.8609
0.00112500 11.7298
0.00115625 11.6042
0.00118750 11.4839
0.00121875 11.3684
0.00125000 11.2574
0.00128125 11.1507
0.00131250 11.0480
0.00134375 10.9491
0.00137500 10.8537
0.00143750 10.6727
0.00150000 10.5036
0.00156250 10.3453
0.00162500 10.1965
0.00168750 10.0564
0.00175000 9.92419
0.00181250 9.79918
0.00187500 9.68074
0.00193750 9.56831
0.00200000 9.46142
0.00209375 9.31051
0.00218750 9.16980
0.00228125 9.03820
0.00237500 8.91478
0.00246875 8.79874
0.00256250 8.68937
0.00265625 8.58607
0.00275000 8.48830
0.00284375 8.39558
0.00293750 8.30750
0.00303125 8.22369
0.00312500 8.14382
0.00321875 8.06759
0.00331250 7.99473
0.00340625 7.92501
0.00350000 7.85820
0.00359375 7.79412
0.00368750 7.73258
0.00378125 7.67342
0.00387500 7.61649
0.00396875 7.56165
0.00406250 7.50879
0.00425000 7.40853
0.00443750 7.31489
0.00462500 7.22718
0.00481250 7.14480
0.00500000 7.06723
0.00515625 7.00595
0.00531250 6.94747
0.00546875 6.89159
0.00562500 6.83811
0.00578125 6.78688
0.00593750 6.73774
0.00609375 6.69056
0.00625000 6.64520
0.00640625 6.60155
0.00656250 6.55952
0.00671875 6.51900
0.00687500 6.47990
0.00718750 6.40566
0.00750000 6.33623
0.00781250 6.27110
0.00812500 6.20986
0.00843750 6.15214
0.00875000 6.09760
0.00906250 6.04598
0.00937500 5.99701
0.00968750 5.95049
0.0100000 5.90621
0.0103125 5.86400
0.0106250 5.82371
0.0109375 5.78519
0.0112500 5.74832
0.0115625 5.71299
0.0118750 5.67909
0.0121875 5.64653
0.0125000 5.61522
0.0128125 5.58508
0.0131250 5.55605
0.0134375 5.52806
0.0137500 5.50104
0.0143750 5.44972
0.0150000 5.40170
0.0156250 5.35664
0.0162500 5.31425
0.0168750 5.27428
0.0175000 5.23650
0.0181250 5.20073
0.0187500 5.16678
0.0193750 5.13452
0.0200000 5.10381
0.0206625 5.07281
0.0213250 5.04329
0.0219875 5.01513
0.0226500 4.98824
0.0233125 4.96252
0.0239750 4.93789
0.0246375 4.91427
0.0253000 4.89160
0.0264578 4.85407
0.0276156 4.81896
0.0287734 4.78603
0.0299313 4.75504
0.0310891 4.72583
0.0322469 4.69822
0.0334047 4.67208
0.0345625 4.64728
0.0355274 4.62756
0.0364922 4.60863
0.0374570 4.59044
0.0384219 4.57295
0.0393867 4.55612
0.0403516 4.53990
0.0413164 4.52425
0.0422813 4.50915
0.0442109 4.48046
0.0461406 4.45361
0.0480703 4.42841
0.0500000 4.40470
0.0515625 4.38649
0.0531250 4.36910
0.0546875 4.35247
0.0562500 4.33654
0.0578125 4.32127
0.0593750 4.30662
0.0609375 4.29253
0.0625000 4.27899
0.0640625 4.26595
0.0656250 4.25338
0.0671875 4.24125
0.0687500 4.22955
0.0718750 4.20730
0.0750000 4.18647
0.0781250 4.16691
0.0812500 4.14850
0.0843750 4.13112
0.0875000 4.11469
0.0906250 4.09912
0.0937500 4.08435
0.0968750 4.07030
0.100000 4.05691
0.103125 4.04415
0.106250 4.03196
0.109375 4.02029
0.112500 4.00913
0.115625 3.99841
0.118750 3.98813
0.121875 3.97825
0.125000 3.96875
0.128125 3.95960
0.131250 3.95078
0.134375 3.94228
0.137500 3.93406
0.143750 3.91845
0.150000 3.90383
0.156250 3.89009
0.162500 3.87716
0.168750 3.86495
0.175000 3.85341
0.181250 3.84247
0.187500 3.83209
0.193750 3.82223
0.200000 3.81283
0.209375 3.79953
0.218750 3.78709
0.228125 3.77543
0.237500 3.76447
0.246875 3.75414
0.256250 3.74439
0.265625 3.73516
0.275000 3.72641
0.284375 3.71809
0.293750 3.71018
0.303125 3.70264
0.312500 3.69544
0.321875 3.68856
0.331250 3.68198
0.340625 3.67567
0.350000 3.66962
0.359375 3.66380
0.368750 3.65821
0.378125 3.65283
0.387500 3.64765
0.396875 3.64266
0.406250 3.63784
0.425000 3.62869
0.443750 3.62011
0.462500 3.61207
0.500000 3.59737
0.531250 3.58634
0.562500 3.57622
0.593750 3.56691
0.625000 3.55830
0.687500 3.54289
0.750000 3.52945
0.812500 3.51759
0.875000 3.50705
0.937500 3.49758
1.00000 3.48899
1.06250 3.48116
1.12500 3.47399
1.18750 3.46739
1.25000 3.46129
1.37500 3.45036
1.50000 3.44082
1.62500 3.43239
1.75000 3.42490
1.87500 3.41815
2.00000 3.41202
2.18750 3.40381
