Zn-70(n,g) ENDFB-8.0
Energy(eV) XS(b)
9687.50 6.59504E-05
9843.75 7.43566E-05
10000.0 8.69090E-05
10124.9 0.000102660
10187.4 0.000113701
10249.8 0.000128109
10312.3 0.000148453
10343.5 0.000161137
10374.7 0.000177576
10406.0 0.000196473
10437.2 0.000221391
10468.4 0.000251525
10499.7 0.000292295
10524.6 0.000335449
10549.6 0.000391900
10574.6 0.000467904
10599.6 0.000573175
10613.6 0.000651694
10627.7 0.000750775
10641.8 0.000877568
10655.8 0.00104298
10669.9 0.00126468
10683.9 0.00157062
10690.9 0.00176436
10698.0 0.00200546
10705.0 0.00230297
10712.0 0.00267455
10717.5 0.00303269
10722.9 0.00346966
10728.4 0.00401012
10733.9 0.00468180
10739.3 0.00555535
10744.8 0.00670375
10750.3 0.00826030
10753.0 0.00925178
10755.7 0.0104356
10758.3 0.0117542
10760.8 0.0133370
10763.4 0.0152645
10765.9 0.0176459
10768.4 0.0206622
10771.0 0.0245389
10773.5 0.0296343
10776.0 0.0364961
10778.2 0.0444469
10780.3 0.0553556
10781.4 0.0625126
10782.5 0.0711252
10783.5 0.0817442
10784.6 0.0951000
10785.3 0.104847
10785.9 0.116143
10786.5 0.129866
10787.2 0.146347
10787.8 0.167321
10788.1 0.179981
10788.4 0.194044
10788.7 0.210852
10789.1 0.230556
10789.4 0.253888
10789.7 0.280828
10789.9 0.300968
10790.1 0.322466
10790.3 0.347959
10790.5 0.375296
10790.7 0.407835
10790.9 0.442830
10791.1 0.484572
10791.3 0.529518
10791.5 0.583150
10791.6 0.640875
10791.8 0.709667
10792.0 0.783559
10792.2 0.871375
10792.4 0.965374
10792.5 1.01935
10792.6 1.07663
10792.8 1.19516
10793.0 1.29117
10793.1 1.38736
10793.2 1.49897
10793.4 1.61045
10793.5 1.73936
10793.6 1.86768
10793.8 2.01554
10793.9 2.16218
10794.0 2.33051
10794.2 2.49678
10794.3 2.68687
10794.4 2.87384
10794.6 3.08667
10794.7 3.29509
10794.8 3.51397
10795.0 3.74334
10795.1 4.02098
10795.3 4.31235
10795.4 4.61718
10795.6 4.91345
10795.7 5.24298
10795.8 5.56123
10796.1 6.25025
10796.4 6.92226
10796.7 7.61587
10797.2 9.00395
10797.5 9.88136
10797.9 10.7195
10798.2 11.3400
10798.4 11.9067
10798.7 12.4074
10799.0 12.8308
10799.1 13.0533
10799.3 13.2392
10799.5 13.4158
10799.7 13.5312
10799.9 13.5734
10800.0 13.5874
10800.2 13.5638
10800.4 13.4989
10800.6 13.3462
10800.8 13.1327
10801.0 12.8567
10801.2 12.5389
10801.5 12.1540
10801.7 11.7422
10802.0 11.0670
10802.3 10.3284
10802.7 9.23544
10803.1 8.13538
10803.6 7.02139
10803.8 6.49388
10804.0 5.98251
10804.2 5.51344
10804.4 5.08620
10804.6 4.65758
10804.8 4.27171
10805.0 3.88892
10805.2 3.54801
10805.3 3.22947
10805.5 2.93322
10805.7 2.72902
10805.8 2.53655
10806.0 2.35556
10806.1 2.19751
10806.2 2.03777
10806.4 1.89883
10806.5 1.75893
10806.6 1.63771
10806.8 1.51609
10806.9 1.41106
10807.0 1.30604
10807.2 1.21564
10807.3 1.12551
10807.4 1.04814
10807.6 0.971204
10807.7 0.905329
10807.8 0.853511
10807.9 0.805078
10808.0 0.759836
10808.1 0.721317
10808.2 0.681653
10808.4 0.644653
10808.6 0.580823
10808.8 0.522547
10809.0 0.474099
10809.2 0.431761
10809.4 0.394741
10809.6 0.360896
10809.8 0.332656
10810.1 0.307837
10810.3 0.285967
10810.5 0.265770
10810.7 0.248716
10810.9 0.233526
10811.1 0.219942
10811.5 0.198239
10811.9 0.180193
10812.3 0.164963
10812.7 0.152240
10813.1 0.140905
10813.4 0.130976
10814.2 0.114554
10815.0 0.101142
10815.8 0.0902345
10816.5 0.0809822
10817.3 0.0732371
10818.8 0.0612640
10820.3 0.0521330
10821.7 0.0449430
10823.2 0.0391682
10824.7 0.0344250
10826.2 0.0305291
10829.1 0.0245108
10832.0 0.0201244
10835.0 0.0168346
10837.9 0.0142932
10840.9 0.0122943
10843.8 0.0106859
10846.8 0.00938109
10849.7 0.00830140
10852.7 0.00740546
10856.1 0.00654480
10859.5 0.00582667
10866.3 0.00470165
10873.1 0.00387854
10879.9 0.00325864
10884.9 0.00289869
10889.9 0.00260127
10899.8 0.00213113
10909.7 0.00177976
10919.6 0.00151286
10929.6 0.00130538
10944.4 0.00107180
10959.3 0.000901089
10973.0 0.000785593
10986.6 0.000690734
11000.3 0.000613453
11013.9 0.000553608
11041.2 0.000461473
11068.5 0.000398257
11095.8 0.000351916
11123.1 0.000318365
11150.3 0.000293447
11177.6 0.000274622
11217.3 0.000255772
11257.0 0.000244073
11336.4 0.000235520
11391.0 0.000238290
11445.5 0.000247026
11500.1 0.000261696
11554.7 0.000283033
11604.3 0.000309626
11653.9 0.000344803
11703.5 0.000392336
11753.1 0.000457149
11780.4 0.000503999
11807.7 0.000562071
11835.0 0.000635688
11862.3 0.000731882
11889.6 0.000863061
11903.2 0.000948231
11916.8 0.00105237
11930.5 0.00118202
11944.1 0.00134868
11957.8 0.00156954
11971.4 0.00187421
11978.9 0.00209548
11986.3 0.00237348
11993.7 0.00272824
12001.2 0.00318391
12008.6 0.00380844
12016.1 0.00470421
12019.8 0.00530314
12023.5 0.00604745
12027.2 0.00698595
12030.9 0.00818479
12033.6 0.00926276
12036.2 0.0106032
12038.9 0.0123073
12041.5 0.0144951
12044.1 0.0173905
12046.8 0.0213178
12048.1 0.0238580
12049.4 0.0269226
12050.7 0.0306701
12052.0 0.0352865
12053.1 0.0400397
12054.2 0.0458554
12055.3 0.0532642
12056.4 0.0628219
12057.5 0.0760209
12058.0 0.0846539
12058.5 0.0954248
12059.1 0.109585
12059.6 0.128139
12059.9 0.139830
12060.2 0.153625
12060.4 0.170000
12060.7 0.189536
12061.0 0.211984
12061.2 0.237630
12061.5 0.268040
12061.7 0.304110
12062.0 0.348733
12062.2 0.399688
12062.5 0.459871
12062.6 0.495294
12062.7 0.530748
12062.9 0.572358
12063.0 0.617534
12063.1 0.666525
12063.2 0.715357
12063.4 0.772416
12063.5 0.829152
12063.6 0.895281
12063.7 0.960864
12063.9 1.03710
12064.0 1.11249
12064.1 1.19986
12064.2 1.28602
12064.4 1.38556
12064.5 1.48340
12064.6 1.59608
12064.7 1.70646
12064.9 1.84322
12065.0 1.98880
12065.2 2.14343
12065.3 2.29528
12065.4 2.46784
12065.6 2.63655
12065.7 2.82741
12065.8 3.01316
12066.0 3.22232
12066.1 3.42490
12066.4 3.87066
12066.6 4.34835
12066.9 4.85481
12067.2 5.50658
12067.6 6.18483
12068.2 7.56896
12068.7 8.44285
12068.9 8.84782
12069.1 9.23234
12069.3 9.67338
12069.6 10.0538
12069.8 10.3352
12070.0 10.5780
12070.3 10.8361
12070.5 10.9882
12070.7 11.0569
12070.8 11.1009
12071.0 11.1209
12071.3 11.0859
12071.4 11.0317
12071.5 10.9590
12071.8 10.7516
12072.0 10.5765
12072.2 10.3828
12072.4 10.1222
12072.6 9.84436
12072.9 9.30057
12073.2 8.71245
12073.5 8.20156
12073.7 7.67035
12074.3 6.58044
12074.6 5.76938
12075.0 4.98880
12075.2 4.60629
12075.4 4.25647
12075.6 3.90403
12075.8 3.58534
12076.0 3.29868
12076.2 3.02733
12076.4 2.77159
12076.5 2.53157
12076.7 2.30723
12076.9 2.09837
12077.1 1.90467
12077.2 1.73528
12077.4 1.56976
12077.6 1.41791
12077.8 1.27906
12078.0 1.15254
12078.1 1.03761
12078.3 0.933533
12078.5 0.839562
12078.7 0.759420
12078.9 0.674993
12079.1 0.603815
12079.3 0.537497
12079.5 0.481875
12079.7 0.430291
12079.8 0.387205
12080.0 0.347387
12080.2 0.314223
12080.4 0.283642
12080.6 0.258209
12080.8 0.234771
12081.0 0.215276
12081.2 0.197291
12081.4 0.182302
12081.8 0.156835
12082.2 0.136983
12082.6 0.121316
12083.0 0.108763
12083.4 0.0985359
12084.1 0.0829112
12084.9 0.0714750
12085.9 0.0607003
12086.9 0.0525524
12087.8 0.0460310
12088.8 0.0407950
12090.8 0.0328133
12092.7 0.0271067
12094.7 0.0228674
12096.6 0.0196211
12098.6 0.0170773
12100.5 0.0150589
12103.1 0.0129432
12105.7 0.0113162
12108.3 0.0100309
12110.9 0.00899790
12116.1 0.00746137
12121.3 0.00641408
12126.5 0.00567759
12131.7 0.00515315
12136.9 0.00477646
12142.1 0.00450940
12152.5 0.00420581
12162.8 0.00411937
12174.3 0.00420836
12185.7 0.00446221
12197.1 0.00488057
12202.9 0.00515799
12208.6 0.00548654
12216.9 0.00607232
12225.2 0.00681143
12229.4 0.00725086
12233.5 0.00774522
12237.7 0.00830683
12241.8 0.00894264
12247.5 0.00996657
12253.2 0.0111996
12256.1 0.0119141
12259.0 0.0127053
12261.8 0.0135843
12264.7 0.0145605
12268.1 0.0158697
12271.4 0.0173740
12274.8 0.0191154
12278.2 0.0211461
12281.6 0.0235408
12284.9 0.0263584
12288.3 0.0297053
12290.0 0.0316303
12291.7 0.0337438
12293.8 0.0366767
12295.9 0.0400164
12296.9 0.0418626
12297.9 0.0438419
12299.0 0.0459675
12300.0 0.0482315
12301.0 0.0505474
12301.5 0.0517693
12302.0 0.0530105
12302.4 0.0543248
12302.9 0.0556893
12303.4 0.0571065
12303.9 0.0585486
12304.3 0.0598880
12304.8 0.0612415
12305.2 0.0626420
12305.6 0.0640916
12306.0 0.0655925
12306.4 0.0671474
12306.9 0.0687586
12307.3 0.0704291
12308.0 0.0734390
12308.7 0.0766016
12309.4 0.0800237
12310.1 0.0836294
12310.9 0.0875424
12311.6 0.0916782
12312.3 0.0961809
12313.0 0.100956
12313.7 0.106173
12314.4 0.111726
12314.8 0.114711
12315.1 0.117817
12315.5 0.121052
12315.9 0.124327
12316.2 0.127837
12316.6 0.131498
12316.9 0.135320
12317.3 0.139198
12317.6 0.143364
12318.0 0.147720
12318.4 0.152279
12318.7 0.156917
12319.2 0.163777
12319.7 0.171097
12320.2 0.178922
12320.7 0.187120
12320.9 0.191615
12321.2 0.196086
12321.4 0.200714
12321.6 0.205509
12321.9 0.210689
12322.1 0.215848
12322.4 0.221199
12322.6 0.226752
12323.0 0.235481
12323.3 0.244724
12323.7 0.254520
12324.0 0.264618
12324.4 0.275641
12324.8 0.287364
12325.1 0.299845
12325.5 0.312768
12325.8 0.326940
12326.2 0.342085
12326.5 0.358287
12326.9 0.375144
12327.3 0.393723
12327.6 0.413674
12328.0 0.435125
12328.3 0.457550
12328.7 0.482380
12329.0 0.509165
12329.4 0.538085
12329.8 0.568436
12329.9 0.584965
12330.1 0.602156
12330.5 0.637584
12330.6 0.656890
12330.8 0.676973
12331.2 0.718369
12331.4 0.740926
12331.5 0.764385
12331.7 0.788780
12331.9 0.814142
12332.1 0.840504
12332.3 0.867895
12332.6 0.924221
12333.0 0.986560
12333.3 1.05357
12333.7 1.12540
12334.0 1.19998
12334.4 1.28160
12334.8 1.36817
12335.1 1.45955
12335.5 1.55277
12335.8 1.65280
12336.2 1.75654
12336.5 1.86333
12336.9 1.96931
12337.3 2.10114
12337.7 2.22992
12338.6 2.48214
12339.0 2.60070
12339.4 2.70742
12339.9 2.80281
12340.3 2.88466
12340.7 2.95238
12341.1 3.00207
12341.6 3.03239
12342.0 3.04251
12342.3 3.03777
12342.6 3.02377
12343.1 2.98189
12343.5 2.91754
12344.0 2.83275
12344.5 2.73248
12344.9 2.61532
12345.4 2.48650
12345.9 2.34936
12346.3 2.21019
12347.2 1.92838
12347.7 1.79050
12348.2 1.65720
12348.6 1.52989
12349.1 1.40959
12349.5 1.29697
12350.0 1.19458
12350.5 1.09594
12350.9 1.00749
12351.4 0.925064
12351.9 0.851771
12352.3 0.783915
12352.8 0.723852
12353.2 0.669531
12353.7 0.620422
12354.2 0.575102
12354.6 0.535014
12355.1 0.497954
12355.6 0.465090
12356.0 0.434616
12356.5 0.407497
12357.0 0.382768
12357.4 0.360171
12358.1 0.330201
12358.8 0.303776
12359.5 0.280373
12360.1 0.259848
12360.8 0.241228
12361.5 0.224769
12362.2 0.209725
12362.8 0.196331
12363.8 0.179768
12364.7 0.165216
12365.6 0.152363
12366.5 0.140957
12367.5 0.130787
12368.4 0.121683
12369.3 0.113500
12370.3 0.106118
12371.2 0.0994359
12372.1 0.0933683
12373.1 0.0878421
12374.0 0.0828469
12374.9 0.0782208
12375.8 0.0739742
12377.7 0.0664997
12379.5 0.0600769
12381.4 0.0545444
12383.3 0.0497441
12385.1 0.0455527
12387.0 0.0418722
12388.8 0.0386231
12390.7 0.0357405
12392.6 0.0331843
12394.4 0.0308833
12396.3 0.0288156
12398.1 0.0269507
12400.0 0.0252715
12403.7 0.0223419
12407.4 0.0199050
12410.3 0.0182820
12413.2 0.0168585
12416.0 0.0155984
12418.9 0.0144758
12424.6 0.0125693
12430.4 0.0110226
12434.1 0.0101713
12437.8 0.00941756
12445.3 0.00814933
12452.7 0.00712869
12460.1 0.00629535
12468.2 0.00554929
12476.3 0.00493511
12484.4 0.00442403
12492.5 0.00399581
12507.4 0.00336686
12522.3 0.00289033
12537.1 0.00252169
12552.0 0.00223192
12568.2 0.00198266
12584.4 0.00178650
12600.6 0.00163105
12616.9 0.00150850
12641.2 0.00137127
12665.5 0.00127952
12689.8 0.00122506
12714.1 0.00120406
12743.9 0.00122321
12773.6 0.00129709
12803.3 0.00144090
12818.2 0.00154814
12833.0 0.00168637
12852.0 0.00192283
12870.9 0.00225202
12885.8 0.00260923
12900.6 0.00309280
12915.5 0.00376616
12922.9 0.00420537
12930.3 0.00473855
12939.1 0.00552860
12947.9 0.00655326
12956.7 0.00792941
12965.5 0.00982382
12971.6 0.0115890
12977.6 0.0139013
12983.7 0.0170067
12989.8 0.0213218
12993.5 0.0248565
12997.2 0.0293597
13000.9 0.0352557
13002.8 0.0389052
13004.7 0.0431367
13006.7 0.0486413
13008.7 0.0552954
13010.7 0.0634488
13011.8 0.0682093
13012.8 0.0735382
13013.7 0.0790294
13014.6 0.0851736
13015.6 0.0920803
13016.5 0.0998838
13017.4 0.108750
13018.3 0.118886
13019.3 0.130555
13020.2 0.144095
13020.8 0.153157
13021.3 0.163137
13021.9 0.174172
13022.4 0.186423
13023.0 0.200088
13023.5 0.215408
13024.1 0.232682
13024.6 0.251908
13025.1 0.270819
13025.5 0.291666
13026.0 0.315816
13026.5 0.342802
13026.7 0.358426
13026.9 0.374531
13027.2 0.391863
13027.4 0.410553
13027.6 0.430750
13027.8 0.452621
13028.1 0.476351
13028.3 0.502150
13028.5 0.527711
13028.7 0.554019
13028.9 0.582436
13029.1 0.613165
13029.3 0.646431
13029.5 0.682477
13029.7 0.721567
13029.9 0.763985
13030.1 0.810039
13030.3 0.860054
13030.5 0.914380
13030.7 0.973386
13030.9 1.03746
13031.1 1.10701
13031.3 1.18245
13031.5 1.26423
13031.8 1.37134
13032.0 1.48385
13032.2 1.60670
13032.4 1.74056
13032.7 1.88605
13032.9 2.04376
13033.1 2.21421
13033.4 2.39783
13033.6 2.60384
13033.8 2.81527
13034.1 3.04048
13034.3 3.27933
13034.5 3.54280
13034.8 3.80838
13035.0 4.08603
13035.2 4.37476
13035.6 4.81921
13035.9 5.28019
13036.6 6.21221
13037.0 6.85864
13037.5 7.45976
13037.7 7.74125
13038.0 8.00613
13038.2 8.25153
13038.4 8.47473
13038.8 8.75117
13039.1 8.96431
13039.4 9.11837
13039.7 9.20972
13040.0 9.23647
13040.3 9.20142
13040.7 9.10170
13041.0 8.93364
13041.3 8.71138
13041.5 8.50944
13041.8 8.29020
13042.0 8.03735
13042.2 7.77476
13042.7 7.22762
13043.1 6.63890
13043.8 5.67996
13044.2 5.20986
13044.5 4.75116
13044.9 4.18402
13045.2 3.91455
13045.4 3.65579
13045.6 3.40848
13045.8 3.17316
13046.0 2.95019
13046.3 2.73977
13046.5 2.53325
13046.7 2.34848
13046.9 2.17599
13047.1 2.01546
13047.4 1.86650
13047.6 1.72864
13047.8 1.60137
13048.0 1.48413
13048.2 1.38104
13048.4 1.29041
13048.6 1.20668
13048.8 1.12940
13049.0 1.05814
13049.2 0.992482
13049.4 0.932005
13049.6 0.876319
13049.8 0.825050
13050.0 0.777842
13050.2 0.734364
13050.4 0.694303
13050.6 0.657367
13050.8 0.623287
13051.0 0.591814
13051.2 0.562719
13051.5 0.531926
13051.7 0.504886
13051.9 0.479972
13052.1 0.456978
13052.3 0.435717
13052.6 0.416023
13052.8 0.397745
13053.0 0.380750
13053.2 0.364224
13053.5 0.349494
13053.9 0.322818
13054.3 0.299332
13054.8 0.278519
13055.3 0.256413
13055.8 0.237356
13056.3 0.220474
13056.9 0.205429
13057.4 0.191950
13057.9 0.179815
13058.4 0.168843
13058.9 0.158885
13059.8 0.143839
13060.7 0.131030
13061.6 0.119786
13062.5 0.110067
13063.4 0.101419
13064.3 0.0938542
13065.1 0.0871218
13066.0 0.0811025
13067.0 0.0751764
13067.9 0.0699402
13069.9 0.0609698
13071.8 0.0536484
13073.7 0.0476198
13075.5 0.0429319
13077.3 0.0389337
13079.0 0.0354583
13080.8 0.0324512
