Ir-193(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 67485.3
1.03125E-05 66455.1
1.06250E-05 65470.7
1.09375E-05 64528.7
1.12500E-05 63626.3
1.15625E-05 62760.7
1.18750E-05 61929.6
1.21875E-05 61130.6
1.25000E-05 60361.7
1.28125E-05 59621.2
1.31250E-05 58907.3
1.34375E-05 58218.4
1.37500E-05 57553.1
1.43750E-05 56288.3
1.50000E-05 55103.4
1.56091E-05 54017.9
1.62181E-05 52994.1
1.62500E-05 52942.1
1.63281E-05 52815.3
1.64063E-05 52689.4
1.65625E-05 52440.3
1.68750E-05 51952.6
1.75000E-05 51016.7
1.81250E-05 50129.6
1.87500E-05 49287.2
1.93750E-05 48485.9
2.00000E-05 47722.5
2.09375E-05 46642.2
2.18750E-05 45632.0
2.28125E-05 44684.8
2.37500E-05 43794.3
2.46875E-05 42955.0
2.56250E-05 42162.2
2.65625E-05 41411.7
2.75000E-05 40700.0
2.84375E-05 40023.7
2.93750E-05 39380.1
3.03125E-05 38766.6
3.12500E-05 38180.9
3.21875E-05 37621.0
3.31250E-05 37085.0
3.40625E-05 36571.4
3.50000E-05 36078.5
3.59375E-05 35605.0
3.68750E-05 35149.7
3.78125E-05 34711.4
3.87500E-05 34289.2
3.96875E-05 33882.0
4.06250E-05 33489.0
4.25000E-05 32742.3
4.43750E-05 32043.5
4.62500E-05 31387.6
4.81250E-05 30770.5
5.00000E-05 30188.4
5.15625E-05 29727.8
5.31250E-05 29287.7
5.46875E-05 28866.6
5.62500E-05 28463.1
5.78125E-05 28076.1
5.93750E-05 27704.5
6.09375E-05 27347.3
6.25000E-05 27003.6
6.40625E-05 26672.5
6.56250E-05 26353.4
6.71875E-05 26045.4
6.87500E-05 25748.0
7.18750E-05 25182.6
7.50000E-05 24652.8
7.81250E-05 24155.3
8.12500E-05 23686.7
8.14763E-05 23653.8
8.22293E-05 23545.4
8.29822E-05 23438.4
8.44882E-05 23228.8
8.75000E-05 22826.0
9.06250E-05 22429.5
9.37500E-05 22052.9
9.68750E-05 21694.8
0.000100000 21353.5
0.000103125 21028.0
0.000106250 20716.8
0.000109375 20419.2
0.000112500 20134.0
0.000115625 19860.4
0.000118750 19597.8
0.000121875 19345.3
0.000125000 19102.4
0.000128125 18868.4
0.000131250 18642.8
0.000134375 18425.1
0.000137500 18214.9
0.000143750 17815.3
0.000150000 17440.9
0.000156250 17089.2
0.000162500 16758.0
0.000168750 16445.5
0.000175000 16149.8
0.000181250 15869.5
0.000187500 15603.5
0.000193750 15350.4
0.000200000 15109.2
0.000209375 14768.0
0.000218750 14449.0
0.000228125 14149.8
0.000237500 13868.6
0.000246875 13603.6
0.000256250 13353.2
0.000265625 13116.3
0.000275000 12891.6
0.000284375 12678.1
0.000293750 12474.9
0.000303125 12281.2
0.000312500 12096.3
0.000321875 11919.6
0.000331250 11750.4
0.000340625 11588.3
0.000350000 11432.8
0.000359375 11283.4
0.000368750 11139.7
0.000378125 11001.4
0.000387500 10868.2
0.000396875 10739.7
0.000406250 10615.7
0.000425000 10380.2
0.000443750 10159.8
0.000462500 9952.89
0.000481250 9758.28
0.000500000 9574.73
0.000515585 9429.87
0.000531171 9291.44
0.000546756 9158.98
0.000562341 9032.09
0.000564453 9015.30
0.000572022 8955.90
0.000579590 8897.68
0.000594727 8784.58
0.000609863 8675.74
0.000625000 8570.88
0.000640625 8466.58
0.000656250 8366.03
0.000671875 8269.02
0.000687500 8175.34
0.000718750 7997.27
0.000750000 7830.47
0.000781250 7673.82
0.000812500 7526.33
0.000843750 7387.14
0.000875000 7255.50
0.000906250 7130.75
0.000937500 7012.32
0.000968750 6899.69
0.00100000 6792.40
0.00103125 6690.05
0.00106250 6592.27
0.00109375 6498.72
0.00112500 6409.13
0.00115625 6323.20
0.00118750 6240.71
0.00121875 6161.43
0.00125000 6085.15
0.00128125 6011.70
0.00131250 5940.90
0.00134375 5872.60
0.00137500 5806.66
0.00143750 5681.32
0.00150000 5563.95
0.00156250 5453.73
0.00162500 5349.98
0.00168750 5252.09
0.00175000 5159.53
0.00181250 5071.84
0.00187500 4988.60
0.00193750 4909.46
0.00200000 4834.09
0.00209375 4727.48
0.00218750 4627.86
0.00228125 4534.51
0.00237500 4446.79
0.00246875 4364.18
0.00256250 4286.19
0.00265625 4212.41
0.00275000 4142.48
0.00282017 4092.48
0.00289033 4044.32
0.00296049 3997.92
0.00303066 3953.15
0.00317099 3868.19
0.00331131 3788.76
0.00332422 3781.71
0.00336817 3758.02
0.00341211 3734.80
0.00350000 3689.70
0.00359375 3643.46
0.00368750 3599.02
0.00378125 3556.28
0.00387500 3515.12
0.00396875 3475.46
0.00406250 3437.20
0.00425000 3364.60
0.00443750 3296.74
0.00462500 3233.14
0.00481250 3173.37
0.00500000 3117.08
0.00515625 3072.60
0.00531250 3030.14
0.00546875 2989.56
0.00562500 2950.74
0.00578125 2913.54
0.00593750 2877.87
0.00609375 2843.62
0.00625000 2810.70
0.00640625 2779.03
0.00656250 2748.54
0.00687500 2690.82
0.00718750 2637.03
0.00750000 2586.78
0.00781250 2539.69
0.00812500 2495.46
0.00843750 2453.82
0.00875000 2414.53
0.00906250 2377.40
0.00937500 2342.24
0.00968750 2308.89
0.0100000 2277.20
0.0103125 2247.05
0.0106250 2218.33
0.0109375 2190.93
0.0112500 2164.76
0.0115625 2139.73
0.0118750 2115.77
0.0121875 2092.81
0.0125000 2070.78
0.0128125 2049.63
0.0131250 2029.31
0.0137500 1990.95
0.0143750 1955.36
0.0150000 1922.24
0.0156250 1891.34
0.0162500 1862.45
0.0168750 1835.38
0.0175000 1809.96
0.0181250 1786.06
0.0187500 1763.54
0.0193750 1742.30
0.0200000 1722.22
0.0206625 1702.13
0.0213250 1683.16
0.0219875 1665.22
0.0226500 1648.25
0.0233125 1632.18
0.0239750 1616.94
0.0246375 1602.48
0.0253000 1588.74
0.0262649 1569.95
0.0272297 1552.47
0.0281945 1536.21
0.0291594 1521.06
0.0301242 1506.93
0.0310891 1493.74
0.0320539 1481.43
0.0330188 1469.93
0.0343479 1455.33
0.0356770 1442.05
0.0370061 1429.97
0.0383352 1419.00
0.0396643 1409.05
0.0409934 1400.06
0.0423225 1391.95
0.0436516 1384.67
0.0438250 1383.78
0.0442109 1381.84
0.0445969 1379.97
0.0453688 1376.41
0.0469125 1370.01
0.0484563 1364.51
0.0500000 1359.87
0.0515625 1355.98
0.0531250 1352.87
0.0546875 1350.49
0.0562500 1348.82
0.0578125 1347.83
0.0593750 1347.48
0.0609375 1347.76
0.0625000 1348.64
0.0640625 1350.11
0.0656250 1352.15
0.0671875 1354.74
0.0687500 1357.87
0.0718750 1365.73
0.0750000 1375.65
0.0781250 1387.60
0.0812500 1401.56
0.0843750 1417.55
0.0875000 1435.59
0.0906250 1455.68
0.0937500 1477.90
0.0968750 1502.30
0.100000 1528.98
0.102734 1554.26
0.105469 1581.40
0.108203 1610.51
0.110938 1641.68
0.113672 1675.03
0.116406 1710.66
0.119141 1748.70
0.121875 1789.30
0.123438 1813.70
0.125000 1839.03
0.126875 1870.68
0.128750 1903.76
0.130625 1938.34
0.132500 1974.48
0.134375 2012.27
0.136250 2051.76
0.138125 2093.06
0.140000 2136.24
0.141250 2166.12
0.142500 2196.91
0.143750 2228.63
0.145000 2261.34
0.146250 2295.04
0.147500 2329.79
0.148750 2365.62
0.150000 2402.56
0.152149 2468.77
0.154297 2538.60
0.156445 2612.27
0.158594 2690.00
0.159668 2730.48
0.160742 2772.07
0.161817 2814.80
0.162891 2858.71
0.163965 2903.85
0.165039 2950.23
0.166113 2997.91
0.167188 3046.92
0.169141 3139.57
0.170117 3187.68
0.171094 3237.00
0.172070 3287.59
0.173047 3339.46
0.174024 3392.67
0.175000 3447.23
0.175977 3503.18
0.176953 3560.56
0.177930 3619.41
0.178906 3679.74
0.179883 3741.61
0.180859 3805.04
0.181836 3870.07
0.182813 3936.73
0.183789 4005.06
0.184766 4075.08
0.185742 4146.84
0.186719 4220.34
0.187695 4295.64
0.188672 4372.74
0.189649 4451.69
0.190625 4532.49
0.191797 4631.93
0.192969 4734.11
0.194141 4839.03
0.195313 4946.70
0.196484 5057.15
0.197656 5170.34
0.198828 5286.25
0.200000 5404.84
0.200941 5501.94
0.201881 5600.70
0.202822 5701.06
0.203762 5802.99
0.205644 6011.26
0.207525 6224.86
0.209406 6443.03
0.211287 6664.77
0.213168 6888.87
0.215049 7113.92
0.217137 7362.77
0.219224 7608.26
0.221311 7847.58
0.223398 8077.61
0.224441 8188.15
0.225485 8295.11
0.226528 8398.09
0.227572 8496.63
0.228616 8590.34
0.229659 8678.76
0.230703 8761.50
0.231746 8838.16
0.232937 8917.75
0.234129 8988.37
0.235320 9049.55
