Mg-26(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1.92704
1.03125E-05 1.89762
1.06250E-05 1.86951
1.09375E-05 1.84261
1.12500E-05 1.81683
1.15625E-05 1.79211
1.18750E-05 1.76838
1.21875E-05 1.74556
1.25000E-05 1.72360
1.28125E-05 1.70245
1.31250E-05 1.68206
1.34375E-05 1.66239
1.37500E-05 1.64339
1.43750E-05 1.60727
1.50000E-05 1.57342
1.56250E-05 1.54164
1.62500E-05 1.51170
1.68750E-05 1.48344
1.75000E-05 1.45671
1.81250E-05 1.43137
1.87500E-05 1.40731
1.93750E-05 1.38443
2.00000E-05 1.36263
2.09375E-05 1.33177
2.18750E-05 1.30292
2.28125E-05 1.27587
2.37500E-05 1.25043
2.46875E-05 1.22646
2.56250E-05 1.20381
2.65625E-05 1.18238
2.75000E-05 1.16205
2.84375E-05 1.14274
2.93750E-05 1.12435
3.03125E-05 1.10683
3.12500E-05 1.09010
3.21875E-05 1.07411
3.31250E-05 1.05880
3.40625E-05 1.04413
3.50000E-05 1.03005
3.59375E-05 1.01652
3.68750E-05 1.00352
3.78125E-05 0.991000
3.87500E-05 0.978939
3.96875E-05 0.967308
4.06250E-05 0.956081
4.25000E-05 0.934753
4.43750E-05 0.914792
4.62500E-05 0.896057
4.81250E-05 0.878428
5.00000E-05 0.861800
5.15625E-05 0.848642
5.31250E-05 0.836069
5.46875E-05 0.824038
5.62500E-05 0.812513
5.78125E-05 0.801458
5.93750E-05 0.790842
6.09375E-05 0.780637
6.25000E-05 0.770817
6.40625E-05 0.761359
6.56250E-05 0.752241
6.71875E-05 0.743442
6.87500E-05 0.734946
7.18750E-05 0.718791
7.50000E-05 0.703657
7.81250E-05 0.689440
8.12500E-05 0.676052
8.43750E-05 0.663414
8.75000E-05 0.651460
9.06250E-05 0.640129
9.37500E-05 0.629370
9.68750E-05 0.619135
0.000100000 0.609385
0.000103125 0.600081
0.000106250 0.591190
0.000109375 0.582683
0.000112500 0.574533
0.000115625 0.566716
0.000118750 0.559210
0.000121875 0.551994
0.000125000 0.545050
0.000128125 0.538362
0.000131250 0.531915
0.000134375 0.525693
0.000137500 0.519685
0.000143750 0.508262
0.000150000 0.497561
0.000156250 0.487508
0.000162500 0.478041
0.000168750 0.469105
0.000175000 0.460652
0.000181250 0.452640
0.000187500 0.445032
0.000193750 0.437795
0.000200000 0.430900
0.000209375 0.421143
0.000218750 0.412019
0.000228125 0.403464
0.000237500 0.395421
0.000246875 0.387840
0.000256250 0.380680
0.000265625 0.373901
0.000275000 0.367473
0.000284375 0.361365
0.000293750 0.355552
0.000303125 0.350010
0.000312500 0.344720
0.000321875 0.339663
0.000331250 0.334822
0.000340625 0.330182
0.000350000 0.325730
0.000359375 0.321453
0.000368750 0.317341
0.000378125 0.313382
0.000387500 0.309568
0.000396875 0.305890
0.000406250 0.302339
0.000425000 0.295595
0.000443750 0.289283
0.000462500 0.283358
0.000481250 0.277783
0.000500000 0.272525
0.000515625 0.268364
0.000531250 0.264388
0.000546875 0.260584
0.000562500 0.256939
0.000578125 0.253443
0.000593750 0.250086
0.000609375 0.246859
0.000625000 0.243754
0.000640625 0.240763
0.000656250 0.237879
0.000671875 0.235097
0.000687500 0.232410
0.000718750 0.227302
0.000750000 0.222516
0.000781250 0.218020
0.000812500 0.213786
0.000843750 0.209790
0.000875000 0.206010
0.000906250 0.202427
0.000937500 0.199024
0.000968750 0.195788
0.00100000 0.192704
0.00103125 0.189762
0.00106250 0.186951
0.00109375 0.184261
0.00112500 0.181683
0.00115625 0.179211
0.00118750 0.176838
0.00121875 0.174556
0.00125000 0.172360
0.00128125 0.170245
0.00131250 0.168206
0.00134375 0.166239
0.00137500 0.164339
0.00143750 0.160726
0.00150000 0.157342
0.00156250 0.154163
0.00162500 0.151170
0.00168750 0.148344
0.00175000 0.145671
0.00181250 0.143137
0.00187500 0.140731
0.00193750 0.138443
0.00200000 0.136262
0.00209375 0.133177
0.00218750 0.130292
0.00228125 0.127586
0.00237500 0.125043
0.00246875 0.122646
0.00256250 0.120381
0.00265625 0.118238
0.00275000 0.116205
0.00284375 0.114273
0.00293750 0.112435
0.00303125 0.110683
0.00312500 0.109010
0.00321875 0.107411
0.00331250 0.105880
0.00340625 0.104412
0.00350000 0.103005
0.00359375 0.101652
0.00368750 0.100352
0.00378125 0.0990997
0.00387500 0.0978936
0.00396875 0.0967305
0.00406250 0.0956078
0.00425000 0.0934750
0.00443750 0.0914789
0.00462500 0.0896054
0.00481250 0.0878425
0.00500000 0.0861797
0.00515625 0.0848639
0.00531250 0.0836066
0.00546875 0.0824035
0.00562500 0.0812509
0.00578125 0.0801454
0.00593750 0.0790839
0.00609375 0.0780634
0.00625000 0.0770814
0.00640625 0.0761356
0.00656250 0.0752237
0.00671875 0.0743439
0.00687500 0.0734942
0.00718750 0.0718787
0.00750000 0.0703653
0.00781250 0.0689437
0.00812500 0.0676048
0.00843750 0.0663411
0.00875000 0.0651456
0.00906250 0.0640126
0.00937500 0.0629366
0.00968750 0.0619132
0.0100000 0.0609381
0.0103125 0.0600077
0.0106250 0.0591187
0.0109375 0.0582680
0.0112500 0.0574530
0.0115625 0.0566713
0.0118750 0.0559207
0.0121875 0.0551991
0.0125000 0.0545047
0.0128125 0.0538359
0.0131250 0.0531912
0.0134375 0.0525690
0.0137500 0.0519682
0.0143750 0.0508259
0.0150000 0.0497557
0.0156250 0.0487505
0.0162500 0.0478037
0.0168750 0.0469101
0.0175000 0.0460648
0.0181250 0.0452636
0.0187500 0.0445027
0.0193750 0.0437791
0.0200000 0.0430896
0.0206625 0.0423931
0.0213250 0.0417294
0.0219875 0.0410959
0.0226500 0.0404904
0.0233125 0.0399109
0.0239750 0.0393556
0.0246375 0.0388229
0.0253000 0.0383113
0.0264578 0.0374636
0.0276156 0.0366699
0.0287734 0.0359246
0.0299313 0.0352230
0.0310891 0.0345609
0.0322469 0.0339349
0.0334047 0.0333416
0.0345625 0.0327785
0.0355274 0.0323303
0.0364922 0.0319001
0.0374570 0.0314865
0.0384219 0.0310887
0.0393867 0.0307055
0.0403516 0.0303362
0.0413164 0.0299799
0.0422813 0.0296358
0.0442109 0.0289817
0.0461406 0.0283692
0.0480703 0.0277939
0.0500000 0.0272522
0.0515625 0.0268361
0.0531250 0.0264384
0.0546875 0.0260580
0.0562500 0.0256935
0.0578125 0.0253439
0.0593750 0.0250083
0.0609375 0.0246856
0.0625000 0.0243751
0.0640625 0.0240761
0.0656250 0.0237878
0.0671875 0.0235096
0.0687500 0.0232409
0.0718750 0.0227301
0.0750000 0.0222516
0.0781250 0.0218021
0.0812500 0.0213787
0.0843750 0.0209790
0.0875000 0.0206009
0.0906250 0.0202425
0.0937500 0.0199022
0.0968750 0.0195785
0.100000 0.0192701
0.103125 0.0189758
0.106250 0.0186947
0.109375 0.0184256
0.112500 0.0181679
0.115625 0.0179207
0.118750 0.0176833
0.121875 0.0174552
0.125000 0.0172357
0.128125 0.0170242
0.131250 0.0168204
0.134375 0.0166237
0.137500 0.0164338
0.143750 0.0160727
0.150000 0.0157343
0.156250 0.0154165
0.162500 0.0151171
0.168750 0.0148345
0.175000 0.0145671
0.181250 0.0143138
0.187500 0.0140732
0.193750 0.0138444
0.200000 0.0136264
0.209375 0.0133179
0.218750 0.0130294
0.228125 0.0127589
0.237500 0.0125044
0.246875 0.0122646
0.256250 0.0120381
0.265625 0.0118237
0.275000 0.0116204
0.284375 0.0114271
0.293750 0.0112433
0.303125 0.0110680
0.312500 0.0109007
0.321875 0.0107407
0.331250 0.0105876
0.340625 0.0104409
0.350000 0.0103001
0.359375 0.0101649
0.368750 0.0100349
0.378125 0.00990985
0.387500 0.00978934
0.406250 0.00956093
0.425000 0.00934772
0.443750 0.00914810
0.462500 0.00896079
0.500000 0.00861855
0.531250 0.00836147
0.562500 0.00812587
0.593750 0.00790900
0.625000 0.00770860
0.687500 0.00734964
0.750000 0.00703658
0.812500 0.00676049
0.875000 0.00651511
0.937500 0.00629463
1.00000 0.00609462
1.06250 0.00591247
1.12500 0.00574574
1.18750 0.00559236
1.25000 0.00545065
1.37500 0.00519682
1.50000 0.00497545
1.62500 0.00478017
1.75000 0.00460670
1.87500 0.00445084
2.00000 0.00430914
2.18750 0.00411997
2.37500 0.00395389
2.56250 0.00380641
2.75000 0.00367465
2.93750 0.00355568
3.12500 0.00344724
3.31250 0.00334815
3.50000 0.00325714
3.87500 0.00309538
4.25000 0.00295555
4.62500 0.00283309
5.00000 0.00272488
5.31250 0.00264361
5.62500 0.00256904
5.93750 0.00250045
6.25000 0.00243706
6.87500 0.00232353
7.50000 0.00222451
8.12500 0.00213715
8.75000 0.00205948
9.37500 0.00198971
10.0000 0.00192644
10.6250 0.00186883
11.2500 0.00181610
11.8750 0.00176759
12.5000 0.00172277
13.7500 0.00164247
15.0000 0.00157244
16.2500 0.00151065
17.5000 0.00145568
18.7500 0.00140631
20.0000 0.00136153
21.8750 0.00130171
23.7500 0.00124916
25.6250 0.00120248
27.5000 0.00116071
29.3750 0.00112300
31.2500 0.00108869
33.1250 0.00105733
35.0000 0.00102852
38.7500 0.000977318
42.5000 0.000933044
46.2500 0.000894266
50.0000 0.000859951
53.1250 0.000834177
56.2500 0.000810558
62.5000 0.000768747
68.7500 0.000732767
75.0000 0.000701377
81.2500 0.000673676
87.5000 0.000649008
93.7500 0.000626844
100.000 0.000606772
112.500 0.000571756
125.000 0.000542119
137.500 0.000516609
150.000 0.000494348
162.500 0.000474697
175.000 0.000457190
200.000 0.000427205
218.750 0.000408153
237.500 0.000391395
256.250 0.000376500
275.000 0.000363150
312.500 0.000340122
350.000 0.000320869
387.500 0.000304459
425.000 0.000290252
462.500 0.000277792
500.000 0.000266747
562.500 0.000250826
