He-3(n,g) ENDFB-8.0
0.000209375 0.000604318
0.000218750 0.000591227
0.000228125 0.000578951
0.000237500 0.000567409
0.000246875 0.000556531
0.000256250 0.000546256
0.000265625 0.000536530
0.000275000 0.000527305
0.000284375 0.000518541
0.000293750 0.000510199
0.000303125 0.000502247
0.000312500 0.000494656
0.000321875 0.000487399
0.000331250 0.000480453
0.000340625 0.000473795
0.000350000 0.000467407
0.000359375 0.000461270
0.000368750 0.000455368
0.000378125 0.000449688
0.000387500 0.000444215
0.000396875 0.000438937
0.000406250 0.000433843
0.000425000 0.000424165
0.000443750 0.000415107
0.000462500 0.000406606
0.000481250 0.000398606
0.000500000 0.000391061
0.000515625 0.000385090
0.000531250 0.000379385
0.000546875 0.000373926
0.000562500 0.000368696
0.000578125 0.000363680
0.000593750 0.000358863
0.000609375 0.000354232
0.000625000 0.000349776
0.000640625 0.000345484
0.000656250 0.000341347
0.000671875 0.000337354
0.000687500 0.000333499
0.000718750 0.000326168
0.000750000 0.000319301
0.000781250 0.000312850
0.000812500 0.000306775
0.000843750 0.000301040
0.000875000 0.000295616
0.000906250 0.000290474
0.000937500 0.000285592
0.000968750 0.000280948
0.00100000 0.000276524
0.00103125 0.000272302
0.00106250 0.000268267
0.00109375 0.000264407
0.00112500 0.000260709
0.00115625 0.000257162
0.00118750 0.000253756
0.00121875 0.000250482
0.00125000 0.000247331
0.00128125 0.000244296
0.00131250 0.000241370
0.00134375 0.000238547
0.00137500 0.000235821
0.00143750 0.000230638
0.00150000 0.000225782
0.00156250 0.000221220
0.00162500 0.000216925
0.00168750 0.000212870
0.00175000 0.000209034
0.00181250 0.000205399
0.00187500 0.000201946
0.00193750 0.000198663
0.00200000 0.000195534
0.00209375 0.000191106
0.00218750 0.000186967
0.00228125 0.000183085
0.00237500 0.000179435
0.00246875 0.000175995
0.00256250 0.000172746
0.00265625 0.000169670
0.00275000 0.000166753
0.00284375 0.000163982
0.00293750 0.000161344
0.00303125 0.000158830
0.00312500 0.000156429
0.00321875 0.000154135
0.00331250 0.000151938
0.00340625 0.000149833
0.00350000 0.000147812
0.00359375 0.000145872
0.00368750 0.000144006
0.00378125 0.000142210
0.00387500 0.000140479
0.00396875 0.000138810
0.00406250 0.000137199
0.00425000 0.000134139
0.00443750 0.000131275
0.00462500 0.000128586
0.00481250 0.000126057
0.00500000 0.000123671
0.00515625 0.000121783
0.00531250 0.000119979
0.00546875 0.000118253
0.00562500 0.000116599
0.00578125 0.000115013
0.00593750 0.000113490
0.00609375 0.000112025
0.00625000 0.000110616
0.00640625 0.000109259
0.00656250 0.000107951
0.00671875 0.000106688
0.00687500 0.000105469
0.00718750 0.000103151
0.00750000 0.000100980
0.00781250 9.89400E-05
0.00812500 9.70190E-05
0.00843750 9.52058E-05
0.00875000 9.34906E-05
0.00906250 9.18648E-05
0.00937500 9.03211E-05
0.00968750 8.88527E-05
0.0100000 8.74537E-05
0.0103125 8.61187E-05
0.0106250 8.48431E-05
0.0109375 8.36226E-05
0.0112500 8.24533E-05
0.0115625 8.13317E-05
0.0118750 8.02547E-05
0.0121875 7.92194E-05
0.0125000 7.82232E-05
0.0128125 7.72636E-05
0.0131250 7.63385E-05
0.0134375 7.54459E-05
0.0137500 7.45839E-05
0.0143750 7.29450E-05
0.0150000 7.14097E-05
0.0156250 6.99674E-05
0.0162500 6.86091E-05
0.0168750 6.73271E-05
0.0175000 6.61143E-05
0.0181250 6.49649E-05
0.0187500 6.38734E-05
0.0193750 6.28352E-05
0.0200000 6.18460E-05
0.0206625 6.08469E-05
0.0213250 5.98947E-05
0.0219875 5.89858E-05
0.0226500 5.81172E-05
0.0233125 5.72859E-05
0.0239750 5.64892E-05
0.0246375 5.57249E-05
0.0253000 5.49909E-05
0.0264578 5.37748E-05
0.0276156 5.26361E-05
0.0287734 5.15669E-05
0.0299313 5.05603E-05
0.0310891 4.96104E-05
0.0322469 4.87123E-05
0.0334047 4.78612E-05
0.0345625 4.70533E-05
0.0355274 4.64104E-05
0.0364922 4.57932E-05
0.0374570 4.52000E-05
0.0384219 4.46293E-05
0.0393867 4.40797E-05
0.0403516 4.35500E-05
0.0413164 4.30389E-05
0.0422813 4.25455E-05
0.0442109 4.16074E-05
0.0461406 4.07289E-05
0.0480703 3.99039E-05
0.0500000 3.91271E-05
0.0515625 3.85304E-05
0.0531250 3.79602E-05
0.0546875 3.74147E-05
0.0562500 3.68920E-05
0.0578125 3.63907E-05
0.0593750 3.59094E-05
0.0609375 3.54467E-05
0.0625000 3.50015E-05
0.0640625 3.45727E-05
0.0656250 3.41593E-05
0.0671875 3.37604E-05
0.0687500 3.33753E-05
0.0718750 3.26430E-05
0.0750000 3.19571E-05
0.0781250 3.13129E-05
0.0812500 3.07062E-05
0.0843750 3.01336E-05
0.0875000 2.95921E-05
0.0906250 2.90789E-05
0.0937500 2.85916E-05
0.0968750 2.81281E-05
0.100000 2.76866E-05
0.103125 2.72654E-05
0.106250 2.68629E-05
0.109375 2.64778E-05
0.112500 2.61090E-05
0.115625 2.57552E-05
0.118750 2.54155E-05
0.121875 2.50890E-05
0.125000 2.47748E-05
0.128125 2.44722E-05
0.131250 2.41806E-05
0.134375 2.38991E-05
0.137500 2.36273E-05
0.143750 2.31107E-05
0.150000 2.26267E-05
0.156250 2.21720E-05
0.162500 2.17438E-05
0.168750 2.13397E-05
0.175000 2.09574E-05
0.181250 2.05950E-05
0.187500 2.02509E-05
0.193750 1.99235E-05
0.200000 1.96116E-05
0.209375 1.91702E-05
0.218750 1.87574E-05
0.228125 1.83703E-05
0.237500 1.80063E-05
0.246875 1.76631E-05
0.256250 1.73390E-05
0.265625 1.70321E-05
0.275000 1.67411E-05
0.284375 1.64645E-05
0.293750 1.62013E-05
0.303125 1.59504E-05
0.312500 1.57108E-05
0.321875 1.54818E-05
0.331250 1.52625E-05
0.340625 1.50524E-05
0.350000 1.48508E-05
0.359375 1.46571E-05
0.368750 1.44708E-05
0.378125 1.42915E-05
0.387500 1.41188E-05
0.396875 1.39522E-05
0.406250 1.37914E-05
0.425000 1.34859E-05
0.443750 1.31999E-05
0.462500 1.29315E-05
0.500000 1.24406E-05
0.531250 1.20718E-05
0.562500 1.17342E-05
0.593750 1.14235E-05
0.625000 1.11363E-05
0.687500 1.06216E-05
0.750000 1.01723E-05
0.812500 9.77568E-06
0.875000 9.42256E-06
0.937500 9.10594E-06
1.00000 8.82031E-06
1.06250 8.56111E-06
1.12500 8.32455E-06
1.18750 8.10740E-06
1.25000 7.90694E-06
1.37500 7.54764E-06
1.50000 7.23353E-06
1.62500 6.95595E-06
1.75000 6.70876E-06
1.87500 6.48744E-06
2.00000 6.28843E-06
2.18750 6.02452E-06
2.37500 5.79341E-06
2.56250 5.58807E-06
2.75000 5.40382E-06
2.93750 5.23727E-06
3.12500 5.08581E-06
3.31250 4.94747E-06
3.50000 4.82051E-06
3.87500 4.59396E-06
4.25000 4.39682E-06
4.62500 4.22403E-06
5.00000 4.07286E-06
5.31250 3.96204E-06
5.62500 3.86203E-06
5.93750 3.77034E-06
6.25000 3.68571E-06
6.87500 3.53315E-06
7.50000 3.39882E-06
8.12500 3.27977E-06
8.75000 3.17329E-06
9.37500 3.07799E-06
10.0000 2.99980E-06
10.6250 2.94505E-06
11.2500 2.89941E-06
11.8750 2.85453E-06
12.5000 2.80967E-06
13.7500 2.71996E-06
15.0000 2.63028E-06
16.2500 2.54061E-06
17.5000 2.45096E-06
18.7500 2.36150E-06
20.0000 2.28491E-06
21.8750 2.23943E-06
23.7500 2.20602E-06
25.6250 2.17262E-06
27.5000 2.13922E-06
29.3750 2.10583E-06
31.2500 2.07244E-06
33.1250 2.03906E-06
35.0000 2.00568E-06
38.7500 1.93891E-06
42.5000 1.87216E-06
46.2500 1.80541E-06
50.0000 1.74428E-06
53.1250 1.72934E-06
56.2500 1.71971E-06
59.3750 1.71007E-06
62.5000 1.70044E-06
68.7500 1.68118E-06
75.0000 1.66192E-06
81.2500 1.64266E-06
87.5000 1.62341E-06
93.7500 1.60415E-06
100.000 1.58675E-06
106.250 1.58736E-06
112.500 1.58975E-06
118.750 1.59214E-06
125.000 1.59453E-06
137.500 1.59931E-06
150.000 1.60409E-06
162.500 1.60887E-06
175.000 1.61365E-06
187.500 1.61844E-06
200.000 1.62383E-06
212.500 1.63810E-06
225.000 1.65297E-06
237.500 1.66784E-06
250.000 1.68271E-06
275.000 1.71244E-06
300.000 1.74217E-06
325.000 1.77191E-06
350.000 1.80164E-06
375.000 1.83138E-06
400.000 1.86112E-06
425.000 1.89085E-06
450.000 1.92059E-06
475.000 1.95032E-06
500.000 1.97994E-06
525.000 2.00724E-06
550.000 2.03443E-06
575.000 2.06162E-06
600.000 2.08880E-06
650.000 2.14318E-06
700.000 2.19755E-06
750.000 2.25192E-06
800.000 2.30630E-06
850.000 2.36067E-06
900.000 2.41504E-06
950.000 2.46942E-06
1000.00 2.52339E-06
1050.00 2.56629E-06
1100.00 2.60879E-06
1150.00 2.65129E-06
1200.00 2.69379E-06
1250.00 2.73630E-06
1300.00 2.77880E-06
1350.00 2.82130E-06
1400.00 2.86380E-06
1475.00 2.92756E-06
1550.00 2.99131E-06
1700.00 3.11882E-06
1850.00 3.24633E-06
2000.00 3.37323E-06
2100.00 3.43303E-06
2200.00 3.49223E-06
2300.00 3.55143E-06
2400.00 3.61063E-06
2550.00 3.69943E-06
2700.00 3.78823E-06
2850.00 3.87702E-06
3000.00 3.96582E-06
3250.00 4.11382E-06
3500.00 4.26182E-06
3750.00 4.40982E-06
4000.00 4.55782E-06
4250.00 4.70582E-06
4500.00 4.85382E-06
4750.00 5.00182E-06
5000.00 5.14914E-06
5250.00 5.25219E-06
5500.00 5.35457E-06
5750.00 5.45695E-06
6000.00 5.55933E-06
6250.00 5.66170E-06
6500.00 5.76408E-06
6750.00 5.86646E-06
7000.00 5.96884E-06
7500.00 6.17360E-06
8000.00 6.37835E-06
8500.00 6.58311E-06
9000.00 6.78787E-06
9500.00 6.99262E-06
10000.0 7.19676E-06
10500.0 7.34351E-06
11000.0 7.48964E-06
11500.0 7.63577E-06
12000.0 7.78190E-06
12750.0 8.00110E-06
13500.0 8.22030E-06
14250.0 8.43949E-06
15000.0 8.65869E-06
16000.0 8.95096E-06
17000.0 9.24322E-06
18500.0 9.68161E-06
20000.0 1.01193E-05
21000.0 1.03150E-05
22000.0 1.05100E-05
23500.0 1.08025E-05
25000.0 1.10950E-05
26000.0 1.12900E-05
27000.0 1.14850E-05
28500.0 1.17775E-05
30000.0 1.20700E-05
32000.0 1.24600E-05
33500.0 1.27525E-05
35000.0 1.30450E-05
37500.0 1.35325E-05
40000.0 1.40200E-05
42500.0 1.45075E-05
45000.0 1.49950E-05
47500.0 1.54825E-05
50000.0 1.59693E-05
52500.0 1.63025E-05
55000.0 1.66350E-05
57500.0 1.69675E-05
60000.0 1.73000E-05
62500.0 1.76325E-05
65000.0 1.79650E-05
67500.0 1.82975E-05
70000.0 1.86300E-05
75000.0 1.92950E-05
80000.0 1.99600E-05
85000.0 2.06250E-05
90000.0 2.12900E-05
95000.0 2.19550E-05
100000 2.26194E-05
105000 2.30960E-05
110000 2.35720E-05
115000 2.40480E-05
120000 2.45240E-05
125000 2.50000E-05
130000 2.54760E-05
135000 2.59520E-05
140000 2.64280E-05
150000 2.73800E-05
160000 2.83320E-05
170000 2.92840E-05
180000 3.02360E-05
190000 3.11880E-05
200000 3.21395E-05
212500 3.30688E-05
225000 3.39975E-05
250000 3.58550E-05
275000 3.77125E-05
300000 3.95697E-05
325000 4.11575E-05
350000 4.27450E-05
375000 4.43325E-05
400000 4.59198E-05
425000 4.73350E-05
450000 4.87500E-05
475000 5.01650E-05
500000 5.15798E-05
525000 5.28650E-05
550000 5.41500E-05
575000 5.54350E-05
600000 5.67198E-05
625000 5.79025E-05
650000 5.90850E-05
675000 6.02675E-05
700000 6.14498E-05
750000 6.36300E-05
800000 6.58099E-05
850000 6.78250E-05
900000 6.98398E-05
950000 7.16950E-05
1.00000E+06 7.35498E-05
1.10000E+06 7.67950E-05
1.20000E+06 8.00400E-05
1.30000E+06 8.26550E-05
1.40000E+06 8.52700E-05
1.50000E+06 8.72550E-05
1.60000E+06 8.92400E-05
1.70000E+06 9.06100E-05
1.80000E+06 9.19800E-05
1.90000E+06 9.27700E-05
2.00000E+06 9.35600E-05
2.20000E+06 9.40900E-05
2.30000E+06 9.39000E-05
2.40000E+06 9.37100E-05
2.50000E+06 9.31550E-05
2.60000E+06 9.26000E-05
2.70000E+06 9.17500E-05
2.80000E+06 9.09000E-05
3.00000E+06 8.87900E-05
3.12500E+06 8.72175E-05
3.25000E+06 8.56450E-05
3.37500E+06 8.40725E-05
3.50000E+06 8.25000E-05
3.62500E+06 8.08525E-05
3.75000E+06 7.92050E-05
3.87500E+06 7.75575E-05
4.00000E+06 7.59100E-05
4.18130E+06 7.37126E-05
4.36260E+06 7.15152E-05
4.36261E+06 7.15152E-05
4.38000E+06 7.13044E-05
4.38750E+06 7.12135E-05
4.39500E+06 7.11226E-05
4.40250E+06 7.10317E-05
4.41000E+06 7.09408E-05
4.41750E+06 7.08499E-05
4.42500E+06 7.07590E-05
4.43250E+06 7.06681E-05
4.44000E+06 7.05772E-05
4.44750E+06 7.04863E-05
4.45500E+06 7.03954E-05
4.46250E+06 7.03045E-05
4.47000E+06 7.02136E-05
4.47750E+06 7.01227E-05
4.48500E+06 7.00318E-05
4.49250E+06 6.99409E-05
4.50000E+06 6.98500E-05
4.51563E+06 6.96863E-05
4.53125E+06 6.95225E-05
4.54688E+06 6.93588E-05
4.56250E+06 6.91950E-05
4.57813E+06 6.90313E-05
4.59375E+06 6.88675E-05
4.60938E+06 6.87038E-05
4.62500E+06 6.85400E-05
4.64063E+06 6.83763E-05
4.65625E+06 6.82125E-05
4.67188E+06 6.80488E-05
4.68750E+06 6.78850E-05
4.70313E+06 6.77213E-05
4.71875E+06 6.75575E-05
4.73438E+06 6.73938E-05
4.75000E+06 6.72300E-05
4.76563E+06 6.70663E-05
4.78125E+06 6.69025E-05
4.79688E+06 6.67388E-05
4.81250E+06 6.65750E-05
4.82813E+06 6.64113E-05
4.84375E+06 6.62475E-05
4.85938E+06 6.60838E-05
4.87500E+06 6.59200E-05
4.89063E+06 6.57563E-05
4.90625E+06 6.55925E-05
4.92188E+06 6.54288E-05
4.93750E+06 6.52650E-05
4.95313E+06 6.51013E-05
4.96875E+06 6.49375E-05
4.98438E+06 6.47738E-05
5.00000E+06 6.46100E-05
5.06250E+06 6.40975E-05
5.12500E+06 6.35850E-05
5.18750E+06 6.30725E-05
5.25000E+06 6.25600E-05
5.31250E+06 6.20475E-05
5.37500E+06 6.15350E-05
5.43750E+06 6.10225E-05
5.50000E+06 6.05100E-05
5.62500E+06 5.94850E-05
5.75000E+06 5.84600E-05
5.87500E+06 5.74350E-05
6.00000E+06 5.64100E-05
6.25000E+06 5.49525E-05
6.50000E+06 5.34950E-05
6.75000E+06 5.20375E-05
7.00000E+06 5.05800E-05
7.25000E+06 4.95225E-05
7.50000E+06 4.84650E-05
7.75000E+06 4.74075E-05
8.00000E+06 4.63500E-05
8.25000E+06 4.55575E-05
8.50000E+06 4.47650E-05
9.00000E+06 4.31800E-05
9.50000E+06 4.19550E-05
1.00000E+07 4.07300E-05
1.05000E+07 3.97650E-05
1.10000E+07 3.88000E-05
1.15000E+07 3.80250E-05
1.20000E+07 3.72500E-05
1.25000E+07 3.65950E-05
1.30000E+07 3.59400E-05
1.35000E+07 3.53700E-05
1.40000E+07 3.48000E-05
1.45000E+07 3.42750E-05
1.50000E+07 3.37500E-05
1.55000E+07 3.32500E-05
1.60000E+07 3.27500E-05
1.70000E+07 3.17600E-05
1.75000E+07 3.12550E-05
1.80000E+07 3.07500E-05
1.85000E+07 3.02300E-05
1.90000E+07 2.97100E-05
1.95000E+07 2.91650E-05
2.00000E+07 2.86200E-05
