He-3(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 0.00276520
1.03125E-05 0.00272298
1.06250E-05 0.00268264
1.09375E-05 0.00264404
1.12500E-05 0.00260706
1.15625E-05 0.00257159
1.18750E-05 0.00253752
1.21875E-05 0.00250478
1.25000E-05 0.00247327
1.28125E-05 0.00244293
1.31250E-05 0.00241367
1.34375E-05 0.00238544
1.37500E-05 0.00235817
1.43750E-05 0.00230634
1.50000E-05 0.00225778
1.56250E-05 0.00221216
1.62500E-05 0.00216920
1.68750E-05 0.00212865
1.75000E-05 0.00209030
1.81250E-05 0.00205394
1.87500E-05 0.00201942
1.93750E-05 0.00198658
2.00000E-05 0.00195529
2.09375E-05 0.00191102
2.18750E-05 0.00186962
2.28125E-05 0.00183080
2.37500E-05 0.00179430
2.46875E-05 0.00175990
2.56250E-05 0.00172741
2.65625E-05 0.00169665
2.75000E-05 0.00166748
2.84375E-05 0.00163976
2.93750E-05 0.00161339
3.03125E-05 0.00158824
3.12500E-05 0.00156424
3.21875E-05 0.00154129
3.31250E-05 0.00151932
3.40625E-05 0.00149827
3.50000E-05 0.00147806
3.59375E-05 0.00145866
3.68750E-05 0.00144000
3.78125E-05 0.00142203
3.87500E-05 0.00140473
3.96875E-05 0.00138804
4.06250E-05 0.00137193
4.25000E-05 0.00134132
4.43750E-05 0.00131268
4.62500E-05 0.00128579
4.81250E-05 0.00126050
5.00000E-05 0.00123664
5.15625E-05 0.00121776
5.31250E-05 0.00119971
5.46875E-05 0.00118245
5.62500E-05 0.00116591
5.78125E-05 0.00115005
5.93750E-05 0.00113482
6.09375E-05 0.00112017
6.25000E-05 0.00110608
6.40625E-05 0.00109251
6.56250E-05 0.00107943
6.71875E-05 0.00106680
6.87500E-05 0.00105461
7.18750E-05 0.00103143
7.50000E-05 0.00100971
7.81250E-05 0.000989310
8.12500E-05 0.000970098
8.43750E-05 0.000951964
8.75000E-05 0.000934810
9.06250E-05 0.000918551
9.37500E-05 0.000903112
9.68750E-05 0.000888427
0.000100000 0.000874435
0.000103125 0.000861084
0.000106250 0.000848327
0.000109375 0.000836120
0.000112500 0.000824425
0.000115625 0.000813208
0.000118750 0.000802437
0.000121875 0.000792082
0.000125000 0.000782119
0.000128125 0.000772522
0.000131250 0.000763270
0.000134375 0.000754342
0.000137500 0.000745721
0.000143750 0.000729330
0.000150000 0.000713974
0.000156250 0.000699548
0.000162500 0.000685964
0.000168750 0.000673141
0.000175000 0.000661011
0.000181250 0.000649515
0.000187500 0.000638598
0.000193750 0.000628213
0.000200000 0.000618320
