14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
5.156250e-04 4.71591362e+00
5.312500e-04 4.66111001e+00
5.468750e-04 4.60885293e+00
5.625000e-04 4.55894176e+00
5.781250e-04 4.51123368e+00
5.937500e-04 4.46556025e+00
6.093750e-04 4.42179852e+00
6.250000e-04 4.37982817e+00
6.406250e-04 4.33952858e+00
6.562500e-04 4.30079913e+00
6.718750e-04 4.26354872e+00
6.875000e-04 4.22768705e+00
7.187500e-04 4.15980879e+00
7.500000e-04 4.09661892e+00
7.812500e-04 4.03761494e+00
8.125000e-04 3.98237404e+00
8.437500e-04 3.93054342e+00
8.750000e-04 3.88180150e+00
9.062500e-04 3.83587472e+00
9.375000e-04 3.79250416e+00
9.687500e-04 3.75148639e+00
1.000000e-03 3.71262140e+00
1.031250e-03 3.67573781e+00
1.062500e-03 3.64068373e+00
1.093750e-03 3.60732885e+00
1.125000e-03 3.57553334e+00
1.156250e-03 3.54520500e+00
1.187500e-03 3.51622415e+00
1.218750e-03 3.48850969e+00
1.250000e-03 3.46198101e+00
1.281250e-03 3.43654826e+00
1.312500e-03 3.41216051e+00
1.343750e-03 3.38872837e+00
1.375000e-03 3.36621966e+00
1.437500e-03 3.32372521e+00
1.500000e-03 3.28427573e+00
1.562500e-03 3.24755828e+00
1.625000e-03 3.21328191e+00
1.687500e-03 3.18120522e+00
1.750000e-03 3.15111727e+00
1.812500e-03 3.12284526e+00
1.875000e-03 3.09620106e+00
1.937500e-03 3.07106264e+00
2.000000e-03 3.04729891e+00
2.093750e-03 3.01398112e+00
2.187500e-03 2.98316334e+00
2.281250e-03 2.95457181e+00
2.375000e-03 2.92796623e+00
2.468750e-03 2.90313627e+00
2.562500e-03 2.87991054e+00
2.656250e-03 2.85812857e+00
2.750000e-03 2.83765036e+00
2.843750e-03 2.81836450e+00
2.937500e-03 2.80017021e+00
3.031250e-03 2.78295889e+00
3.125000e-03 2.76666868e+00
3.218750e-03 2.75120988e+00
3.312500e-03 2.73652281e+00
3.406250e-03 2.72254652e+00
3.500000e-03 2.70924041e+00
3.593750e-03 2.69653586e+00
3.687500e-03 2.68440178e+00
3.781250e-03 2.67280772e+00
3.875000e-03 2.66169475e+00
3.968750e-03 2.65105132e+00
4.062500e-03 2.64083821e+00
4.250000e-03 2.62161217e+00
4.437500e-03 2.60380709e+00
4.625000e-03 2.58728093e+00
4.812500e-03 2.57188527e+00
5.000000e-03 2.55749916e+00
5.156250e-03 2.54621361e+00
5.312500e-03 2.53551698e+00
5.468750e-03 2.52534989e+00
5.625000e-03 2.51567281e+00
5.781250e-03 2.50645481e+00
5.937500e-03 2.49766573e+00
6.093750e-03 2.48926634e+00
6.250000e-03 2.48122695e+00
6.406250e-03 2.47353587e+00
6.562500e-03 2.46616416e+00
6.718750e-03 2.45908277e+00
6.875000e-03 2.45228952e+00
7.187500e-03 2.43946288e+00
7.500000e-03 2.42757267e+00
7.812500e-03 2.41650108e+00
8.125000e-03 2.40616702e+00
8.437500e-03 2.39650016e+00
8.750000e-03 2.38742145e+00
9.062500e-03 2.37889041e+00
9.375000e-03 2.37083861e+00
9.687500e-03 2.36324385e+00
1.000000e-02 2.35604802e+00
1.031250e-02 2.34923001e+00
1.062500e-02 2.34276030e+00
1.093750e-02 2.33659966e+00
1.125000e-02 2.33073701e+00
1.156250e-02 2.32514327e+00
1.187500e-02 2.31979813e+00
1.218750e-02 2.31468206e+00
1.250000e-02 2.30979413e+00
1.281250e-02 2.30510559e+00
1.312500e-02 2.30060564e+00
1.343750e-02 2.29628430e+00
1.375000e-02 2.29212296e+00
1.437500e-02 2.28427578e+00
1.500000e-02 2.27697612e+00
1.562500e-02 2.27017227e+00
1.625000e-02 2.26381547e+00
1.687500e-02 2.25784635e+00
1.750000e-02 2.25224474e+00
1.812500e-02 2.24696988e+00
1.875000e-02 2.24198361e+00
1.937500e-02 2.23727440e+00
2.000000e-02 2.23281301e+00
2.066250e-02 2.22832364e+00
2.132500e-02 2.22407132e+00
2.198750e-02 2.22002839e+00
2.265000e-02 2.21619234e+00
2.331250e-02 2.21253537e+00
2.397500e-02 2.20903731e+00
2.463750e-02 2.20570707e+00
2.530000e-02 2.20251575e+00
2.645780e-02 2.19726099e+00
2.761560e-02 2.19237189e+00
2.877340e-02 2.18781905e+00
2.993130e-02 2.18354482e+00
3.108910e-02 2.17954625e+00
3.224690e-02 2.17577658e+00
3.340470e-02 2.17222396e+00
3.456250e-02 2.16886948e+00
3.552740e-02 2.16620631e+00
3.649220e-02 2.16367064e+00
3.745700e-02 2.16123482e+00
3.842190e-02 2.15889744e+00
3.938670e-02 2.15665867e+00
4.035160e-02 2.15449990e+00
4.131640e-02 2.15242958e+00
4.228130e-02 2.15043817e+00
4.421090e-02 2.14666317e+00
4.614060e-02 2.14314491e+00
4.807030e-02 2.13986370e+00
5.000000e-02 2.13678984e+00
5.156250e-02 2.13443558e+00
5.312500e-02 2.13219070e+00
5.468750e-02 2.13005348e+00
5.625000e-02 2.12801518e+00
5.781250e-02 2.12606532e+00
5.937500e-02 2.12419485e+00
6.093750e-02 2.12240359e+00
6.250000e-02 2.12069048e+00
6.406250e-02 2.11903736e+00
6.562500e-02 2.11745315e+00
6.718750e-02 2.11592739e+00
6.875000e-02 2.11446132e+00
7.187500e-02 2.11167685e+00
7.500000e-02 2.10907067e+00
7.812500e-02 2.10664108e+00
8.125000e-02 2.10436931e+00
8.437500e-02 2.10222551e+00
8.750000e-02 2.10020079e+00
9.062500e-02 2.09829373e+00
9.375000e-02 2.09648528e+00
9.687500e-02 2.09477481e+00
1.000000e-01 2.09314371e+00
1.031250e-01 2.09160075e+00
1.062500e-01 2.09012655e+00
1.093750e-01 2.08871250e+00
1.125000e-01 2.08736690e+00
1.156250e-01 2.08607975e+00
1.187500e-01 2.08485228e+00
1.218750e-01 2.08366404e+00
1.250000e-01 2.08253424e+00
1.281250e-01 2.08144460e+00
1.312500e-01 2.08039371e+00
1.343750e-01 2.07938252e+00
1.375000e-01 2.07840132e+00
1.437500e-01 2.07655552e+00
1.500000e-01 2.07482815e+00
1.562500e-01 2.07321830e+00
1.625000e-01 2.07169721e+00
1.687500e-01 2.07027425e+00
1.750000e-01 2.06892067e+00
1.812500e-01 2.06764585e+00
1.875000e-01 2.06643916e+00
1.937500e-01 2.06530061e+00
2.000000e-01 2.06421206e+00
2.093750e-01 2.06267299e+00
2.187500e-01 2.06124127e+00
2.281250e-01 2.05990754e+00
2.375000e-01 2.05864318e+00
2.468750e-01 2.05746696e+00
2.562500e-01 2.05634950e+00
2.656250e-01 2.05530064e+00
2.750000e-01 2.05431100e+00
2.843750e-01 2.05336058e+00
2.937500e-01 2.05246877e+00
3.031250e-01 2.05161649e+00
3.125000e-01 2.05080343e+00
3.218750e-01 2.05002928e+00
3.312500e-01 2.04928513e+00
3.406250e-01 2.04857943e+00
3.500000e-01 2.04790342e+00
3.593750e-01 2.04724772e+00
3.687500e-01 2.04662093e+00
3.781250e-01 2.04602306e+00
3.875000e-01 2.04544549e+00
3.968750e-01 2.04488715e+00
4.062500e-01 2.04434849e+00
4.250000e-01 2.04333041e+00
4.437500e-01 2.04238077e+00
4.625000e-01 2.04148958e+00
5.000000e-01 2.03986470e+00
5.312500e-01 2.03865082e+00
5.625000e-01 2.03753538e+00
5.937500e-01 2.03651807e+00
6.250000e-01 2.03557812e+00
6.875000e-01 2.03389589e+00
7.500000e-01 2.03243760e+00
8.125000e-01 2.03114713e+00
8.750000e-01 2.03001247e+00
9.375000e-01 2.02899516e+00
1.000000e+00 2.02806677e+00
1.062500e+00 2.02722604e+00
1.125000e+00 2.02646345e+00
1.187500e+00 2.02575931e+00
1.250000e+00 2.02510485e+00
1.375000e+00 2.02395096e+00
1.500000e+00 2.02293474e+00
1.625000e+00 2.02204526e+00
1.750000e+00 2.02126345e+00
1.875000e+00 2.02055039e+00
2.000000e+00 2.01991485e+00
2.187500e+00 2.01905568e+00
2.375000e+00 2.01830387e+00
2.562500e+00 2.01763941e+00
2.750000e+00 2.01704340e+00
2.937500e+00 2.01651552e+00
3.125000e+00 2.01602765e+00
3.312500e+00 2.01557869e+00
3.500000e+00 2.01516848e+00
