45-Rh_n-g
> 45-Rh-103:1.000000
8.750000e-02 8.42788000e+01
9.062500e-02 8.32342000e+01
9.375000e-02 8.22526000e+01
9.687500e-02 8.13291000e+01
1.000000e-01 8.04591000e+01
1.031250e-01 7.96386000e+01
1.062500e-01 7.88638000e+01
1.093750e-01 7.81317000e+01
1.125000e-01 7.74393000e+01
1.156250e-01 7.67841000e+01
1.187500e-01 7.61637000e+01
1.218750e-01 7.55759000e+01
1.250000e-01 7.50185000e+01
1.312500e-01 7.39876000e+01
1.375000e-01 7.30573000e+01
1.437500e-01 7.22174000e+01
1.500000e-01 7.14592000e+01
1.562500e-01 7.07750000e+01
1.625000e-01 7.01582000e+01
1.687500e-01 6.96031000e+01
1.750000e-01 6.91044000e+01
1.812500e-01 6.86580000e+01
1.875000e-01 6.82600000e+01
1.937500e-01 6.79072000e+01
2.000000e-01 6.75965000e+01
2.058590e-01 6.73407000e+01
2.117190e-01 6.71170000e+01
2.175780e-01 6.69238000e+01
2.234380e-01 6.67594000e+01
2.351560e-01 6.65124000e+01
2.468750e-01 6.63666000e+01
2.539060e-01 6.63243000e+01
2.609380e-01 6.63142000e+01
2.679690e-01 6.63349000e+01
2.750000e-01 6.63853000e+01
2.843750e-01 6.64970000e+01
2.937500e-01 6.66577000e+01
3.031250e-01 6.68657000e+01
3.125000e-01 6.71196000e+01
3.218750e-01 6.74183000e+01
3.312500e-01 6.77608000e+01
3.406250e-01 6.81465000e+01
3.500000e-01 6.85748000e+01
3.593750e-01 6.90455000e+01
3.687500e-01 6.95584000e+01
3.781250e-01 7.01135000e+01
3.875000e-01 7.07109000e+01
3.968750e-01 7.13509000e+01
4.062500e-01 7.20340000e+01
4.156250e-01 7.27607000e+01
4.250000e-01 7.35317000e+01
4.343750e-01 7.43479000e+01
4.437500e-01 7.52102000e+01
4.531250e-01 7.61200000e+01
4.625000e-01 7.70790000e+01
4.718750e-01 7.80896000e+01
4.812500e-01 7.91541000e+01
5.000000e-01 8.14513000e+01
5.312500e-01 8.57586000e+01
5.468750e-01 8.81621000e+01
5.625000e-01 9.07660000e+01
5.781250e-01 9.35805000e+01
5.937500e-01 9.66187000e+01
6.093750e-01 9.98987000e+01
6.250000e-01 1.03442000e+02
6.406250e-01 1.07271000e+02
6.562500e-01 1.11415000e+02
6.718750e-01 1.15904000e+02
6.875000e-01 1.20772000e+02
7.031250e-01 1.26060000e+02
7.187500e-01 1.31814000e+02
7.343750e-01 1.38086000e+02
7.500000e-01 1.44936000e+02
7.656250e-01 1.52433000e+02
7.812500e-01 1.60660000e+02
7.968750e-01 1.69709000e+02
8.125000e-01 1.79691000e+02
8.281250e-01 1.90733000e+02
8.437500e-01 2.02985000e+02
8.593750e-01 2.16617000e+02
8.750000e-01 2.31844000e+02
8.857420e-01 2.43375000e+02
8.964840e-01 2.55891000e+02
9.072270e-01 2.69506000e+02
9.179690e-01 2.84346000e+02
9.287110e-01 3.00560000e+02
9.394530e-01 3.18315000e+02
9.501950e-01 3.37811000e+02
9.609380e-01 3.59276000e+02
9.707030e-01 3.80724000e+02
9.804690e-01 4.04255000e+02
9.902340e-01 4.30143000e+02
1.000000e+00 4.58706000e+02
1.007850e+00 4.83861000e+02
1.015700e+00 5.11205000e+02
1.023550e+00 5.41000000e+02
1.031400e+00 5.73529000e+02
1.039250e+00 6.09130000e+02
1.047100e+00 6.48173000e+02
1.054950e+00 6.91101000e+02
1.062800e+00 7.38403000e+02
1.068510e+00 7.75885000e+02
1.074220e+00 8.16225000e+02
1.081000e+00 8.68234000e+02
1.087780e+00 9.25182000e+02
1.094560e+00 9.87643000e+02
1.097950e+00 1.02114000e+03
1.101340e+00 1.05626000e+03
1.104730e+00 1.09310000e+03
1.108120e+00 1.13175000e+03
1.111510e+00 1.17231000e+03
1.114900e+00 1.21490000e+03
1.118290e+00 1.25961000e+03
1.121680e+00 1.30657000e+03
1.125070e+00 1.35589000e+03
1.128460e+00 1.40768000e+03
1.132390e+00 1.47093000e+03
1.136310e+00 1.53784000e+03
1.140240e+00 1.60862000e+03
1.144160e+00 1.68346000e+03
1.148090e+00 1.76252000e+03
1.152010e+00 1.84596000e+03
1.155940e+00 1.93391000e+03
1.159860e+00 2.02649000e+03
1.163620e+00 2.11957000e+03
1.167380e+00 2.21695000e+03
1.171140e+00 2.31862000e+03
1.174900e+00 2.42446000e+03
1.178660e+00 2.53434000e+03
1.182420e+00 2.64796000e+03
1.186180e+00 2.76501000e+03
1.189940e+00 2.88505000e+03
1.193260e+00 2.99308000e+03
1.196570e+00 3.10253000e+03
1.199890e+00 3.21294000e+03
1.203210e+00 3.32372000e+03
1.206520e+00 3.43422000e+03
1.209840e+00 3.54372000e+03
1.216480e+00 3.75656000e+03
1.221900e+00 3.92074000e+03
1.227330e+00 4.07169000e+03
1.232760e+00 4.20549000e+03
1.238190e+00 4.31840000e+03
1.243620e+00 4.40704000e+03
1.249040e+00 4.46864000e+03
1.254470e+00 4.50120000e+03
1.259900e+00 4.50362000e+03
1.264120e+00 4.48454000e+03
1.268340e+00 4.44749000e+03
1.272570e+00 4.39316000e+03
1.276790e+00 4.32257000e+03
1.281010e+00 4.23701000e+03
1.285230e+00 4.13800000e+03
1.289450e+00 4.02722000e+03
1.293680e+00 3.90649000e+03
1.300400e+00 3.69821000e+03
1.307120e+00 3.47669000e+03
1.313840e+00 3.24882000e+03
1.320570e+00 3.02060000e+03
1.327290e+00 2.79701000e+03
1.334010e+00 2.58185000e+03
1.340740e+00 2.37786000e+03
1.347460e+00 2.18681000e+03
1.354580e+00 1.99947000e+03
1.358140e+00 1.91173000e+03
1.361700e+00 1.82793000e+03
1.365260e+00 1.74799000e+03
1.368820e+00 1.67186000e+03
1.372380e+00 1.59939000e+03
1.375940e+00 1.53050000e+03
1.379500e+00 1.46504000e+03
1.383060e+00 1.40289000e+03
1.386630e+00 1.34389000e+03
1.390190e+00 1.28792000e+03
1.393750e+00 1.23481000e+03
1.397310e+00 1.18443000e+03
1.400870e+00 1.13663000e+03
1.404430e+00 1.09130000e+03
1.407990e+00 1.04827000e+03
1.411550e+00 1.00745000e+03
1.415110e+00 9.68688000e+02
1.418670e+00 9.31891000e+02
1.425790e+00 8.63713000e+02
1.432910e+00 8.02102000e+02
1.440030e+00 7.46330000e+02
1.447150e+00 6.95750000e+02
1.454270e+00 6.49789000e+02
1.461390e+00 6.07950000e+02
1.468520e+00 5.69776000e+02
1.475640e+00 5.34883000e+02
1.482760e+00 5.02927000e+02
1.489880e+00 4.73605000e+02
1.497000e+00 4.46649000e+02
1.504120e+00 4.21823000e+02
1.511240e+00 3.98918000e+02
1.518360e+00 3.77747000e+02
1.525160e+00 3.59003000e+02
1.531960e+00 3.41563000e+02
1.538760e+00 3.25307000e+02
1.545550e+00 3.10137000e+02
1.552350e+00 2.95958000e+02
1.559150e+00 2.82690000e+02
1.565940e+00 2.70258000e+02
1.572740e+00 2.58594000e+02
1.579540e+00 2.47638000e+02
1.586340e+00 2.37338000e+02
1.593130e+00 2.27642000e+02
1.599930e+00 2.18506000e+02
1.606730e+00 2.09888000e+02
1.613530e+00 2.01751000e+02
1.620320e+00 1.94062000e+02
1.627120e+00 1.86787000e+02
1.634240e+00 1.79580000e+02
1.641360e+00 1.72767000e+02
1.648480e+00 1.66322000e+02
1.655600e+00 1.60217000e+02
1.669850e+00 1.48941000e+02
1.684090e+00 1.38775000e+02
1.698330e+00 1.29582000e+02
1.712570e+00 1.21242000e+02
1.726810e+00 1.13656000e+02
1.741060e+00 1.06737000e+02
1.755300e+00 1.00410000e+02
1.769540e+00 9.46111000e+01
1.783780e+00 8.92837000e+01
1.798020e+00 8.43795000e+01
1.812270e+00 7.98561000e+01
1.826510e+00 7.56764000e+01
1.840750e+00 7.18072000e+01
1.854990e+00 6.82190000e+01
1.873120e+00 6.40154000e+01
1.891240e+00 6.01745000e+01
1.909370e+00 5.66558000e+01
1.927500e+00 5.34254000e+01
