Ar-38(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 126.593
1.03765E-05 124.292
1.07530E-05 122.114
1.11294E-05 120.047
1.15059E-05 118.083
1.18824E-05 116.213
1.22588E-05 114.431
1.26353E-05 112.728
1.30118E-05 111.101
1.33883E-05 109.542
1.37648E-05 108.049
1.41412E-05 106.615
1.45177E-05 105.238
1.48942E-05 103.914
1.52707E-05 102.639
1.56472E-05 101.411
1.60236E-05 100.226
1.65207E-05 98.7243
1.70177E-05 97.2894
1.75148E-05 95.9162
1.80118E-05 94.6006
1.85089E-05 93.3385
1.90059E-05 92.1265
1.95030E-05 90.9613
2.00000E-05 89.8401
2.08583E-05 87.9996
2.17165E-05 86.2699
2.25748E-05 84.6403
2.34331E-05 83.1015
2.42914E-05 81.6455
2.51496E-05 80.2651
2.60079E-05 78.9540
2.68662E-05 77.7067
2.80709E-05 76.0539
2.92756E-05 74.5049
3.04803E-05 73.0493
3.16851E-05 71.6781
3.28898E-05 70.3835
3.40945E-05 69.1587
3.52992E-05 67.9977
3.65040E-05 66.8951
3.78593E-05 65.7186
3.92146E-05 64.6043
4.05699E-05 63.5467
4.19252E-05 62.5414
4.32805E-05 61.5841
4.46359E-05 60.6713
4.59912E-05 59.7995
4.73465E-05 58.9658
4.86732E-05 58.1840
5.00000E-05 57.4339
5.13248E-05 56.7145
5.26496E-05 56.0227
5.39744E-05 55.3569
5.52992E-05 54.7154
5.66240E-05 54.0969
5.79488E-05 53.5000
6.05984E-05 52.3662
6.33091E-05 51.2819
6.60197E-05 50.2660
6.87303E-05 49.3118
7.14409E-05 48.4132
7.41515E-05 47.5652
7.68622E-05 46.7633
7.95728E-05 46.0034
8.22834E-05 45.2820
8.44980E-05 44.7191
8.67126E-05 44.1784
8.89271E-05 43.6583
9.11417E-05 43.1578
9.33563E-05 42.6755
9.55709E-05 42.2104
0.000100000 41.3281
0.000103809 40.6160
0.000107618 39.9429
0.000111427 39.3055
0.000115236 38.7008
0.000119045 38.1261
0.000122854 37.5790
0.000126663 37.0576
0.000130472 36.5597
0.000134689 36.0342
0.000138905 35.5335
0.000143122 35.0558
0.000147339 34.5994
0.000151555 34.1628
0.000155772 33.7447
0.000159988 33.3438
0.000164205 32.9589
0.000168679 32.5671
0.000173154 32.1911
0.000173478 32.1644
0.000174576 32.0747
0.000175675 31.9858
0.000177871 31.8107
0.000182265 31.4703
0.000186658 31.1426
0.000191051 30.8266
0.000191373 30.8039
0.000192451 30.7283
0.000193530 30.6534
0.000195687 30.5054
0.000200000 30.2170
0.000206971 29.7709
0.000213941 29.3479
0.000220912 28.9459
0.000227882 28.5634
0.000234852 28.1989
0.000241823 27.8511
0.000248793 27.5188
0.000255764 27.2009
0.000267209 26.7076
0.000278654 26.2468
0.000290098 25.8151
0.000301543 25.4097
0.000312988 25.0281
0.000324433 24.6682
0.000335878 24.3281
0.000347323 24.0061
0.000362984 23.5922
0.000378646 23.2060
0.000394307 22.8449
0.000409968 22.5062
0.000425630 22.1880
0.000441291 21.8882
0.000456953 21.6053
0.000472614 21.3378
0.000486307 21.1155
0.000500000 20.9033
0.000520671 20.6004
0.000541343 20.3167
0.000562014 20.0503
0.000582685 19.7997
0.000603356 19.5633
0.000624028 19.3401
0.000644699 19.1288
0.000665370 18.9286
0.000666104 18.9217
0.000668194 18.9020
0.000670285 18.8825
0.000674465 18.8437
0.000682827 18.7674
0.000699549 18.6193
0.000732995 18.3403
0.000766440 18.0819
0.000799885 17.8418
0.000818747 17.7137
0.000819574 17.7082
0.000822394 17.6895
0.000825213 17.6709
0.000830851 17.6341
0.000842128 17.5616
0.000864681 17.4216
0.000887234 17.2876
0.000909787 17.1593
0.000954894 16.9182
0.00100000 16.6956
0.00102665 16.5720
0.00105330 16.4537
0.00110659 16.2317
0.00115989 16.0272
0.00121319 15.8380
0.00124364 15.7361
0.00129665 15.5685
0.00134966 15.4122
0.00140266 15.2658
0.00145567 15.1285
0.00150868 14.9993
0.00156169 14.8775
0.00161470 14.7624
0.00166770 14.6533
0.00175078 14.4935
0.00183385 14.3456
0.00191693 14.2081
0.00200000 14.0799
0.00208857 13.9522
0.00217715 13.8327
0.00226572 13.7204
0.00235429 13.6147
0.00244286 13.5148
0.00253143 13.4201
0.00262001 13.3301
0.00270858 13.2444
0.00283387 13.1298
0.00295916 13.0220
0.00308445 12.9202
0.00320974 12.8238
0.00333504 12.7323
0.00346033 12.6451
0.00358562 12.5618
0.00371091 12.4821
0.00387205 12.3844
0.00403318 12.2915
0.00419432 12.2030
0.00435546 12.1185
0.00451659 12.0376
0.00467773 11.9602
0.00483886 11.8859
0.00500000 11.8145
0.00520510 11.7276
0.00541020 11.6448
0.00561530 11.5659
0.00582040 11.4905
0.00602550 11.4187
0.00623060 11.3500
0.00643570 11.2844
0.00664080 11.2217
0.00684320 11.1626
0.00704559 11.1061
0.00724798 11.0521
0.00745038 11.0004
0.00765277 10.9511
0.00785516 10.9039
0.00805756 10.8588
0.00825995 10.8157
0.00846235 10.7745
0.00866474 10.7352
0.00886713 10.6976
0.00906953 10.6617
0.00927192 10.6274
0.00947431 10.5947
0.00967671 10.5634
0.00987910 10.5335
0.0100000 10.5162
0.0101919 10.4898
0.0103837 10.4645
0.0105756 10.4403
0.0107675 10.4170
0.0109594 10.3948
0.0111512 10.3734
0.0113431 10.3528
0.0115350 10.3331
0.0117268 10.3142
0.0119187 10.2960
0.0121106 10.2785
0.0123024 10.2617
0.0124943 10.2455
0.0126862 10.2299
0.0130699 10.2004
0.0134102 10.1759
0.0137505 10.1528
0.0140908 10.1311
0.0144311 10.1106
0.0147714 10.0912
0.0151117 10.0727
0.0154520 10.0552
0.0157922 10.0385
0.0161325 10.0225
0.0164728 10.0072
0.0168131 9.99260
0.0171534 9.97855
0.0178340 9.95203
0.0185146 9.92735
0.0192573 9.90225
0.0200000 9.87881
0.0206625 9.85912
0.0213250 9.84048
0.0219875 9.82278
0.0226500 9.80593
0.0233125 9.78988
0.0239750 9.77457
0.0246375 9.75993
0.0253000 9.74592
0.0263794 9.72436
0.0274588 9.70422
0.0285381 9.68536
0.0296175 9.66766
0.0306969 9.65100
0.0317763 9.63529
0.0328557 9.62044
0.0339350 9.60635
0.0355542 9.58650
0.0371733 9.56801
0.0387925 9.55069
0.0404116 9.53441
0.0420308 9.51906
0.0436499 9.50456
0.0452691 9.49085
0.0468882 9.47787
0.0480840 9.46874
0.0492798 9.45996
0.0493555 9.45942
0.0495166 9.45827
0.0496778 9.45712
0.0500000 9.45485
0.0506738 9.45017
0.0513476 9.44559
0.0526951 9.43674
0.0540427 9.42827
0.0553903 9.42015
0.0567378 9.41236
0.0580854 9.40489
0.0594329 9.39771
0.0607805 9.39082
0.0634756 9.37780
0.0661707 9.36570
0.0688659 9.35441
0.0715610 9.34380
0.0749535 9.33124
0.0783460 9.31939
0.0817385 9.30814
0.0851310 9.29743
0.0885235 9.28726
0.0919160 9.27764
0.0953085 9.26859
0.0987010 9.26010
0.100000 9.25699
0.103003 9.25007
