Nd-144(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 180.791
1.03125E-05 178.031
1.06250E-05 175.393
1.09375E-05 172.869
1.12500E-05 170.451
1.15625E-05 168.132
1.18750E-05 165.905
1.21875E-05 163.764
1.25000E-05 161.704
1.28125E-05 159.720
1.31250E-05 157.807
1.34375E-05 155.962
1.37500E-05 154.179
1.43750E-05 150.790
1.50000E-05 147.615
1.56250E-05 144.633
1.62500E-05 141.824
1.68750E-05 139.173
1.75000E-05 136.665
1.81250E-05 134.288
1.87500E-05 132.031
1.93750E-05 129.884
2.00000E-05 127.839
2.06250E-05 125.887
2.12500E-05 124.022
2.18750E-05 122.237
2.25000E-05 120.527
2.31250E-05 118.887
2.37500E-05 117.313
2.43750E-05 115.799
2.50000E-05 114.342
2.60742E-05 111.962
2.71484E-05 109.725
2.82227E-05 107.616
2.92969E-05 105.625
3.03711E-05 103.740
3.14453E-05 101.953
3.25195E-05 100.255
3.35938E-05 98.6388
3.45703E-05 97.2356
3.55469E-05 95.8906
3.65234E-05 94.6000
3.75000E-05 93.3601
3.90625E-05 91.4738
4.06250E-05 89.6975
4.21875E-05 88.0207
4.37500E-05 86.4346
4.53125E-05 84.9313
4.68750E-05 83.5038
4.84375E-05 82.1459
5.00000E-05 80.8522
5.15625E-05 79.6177
5.31250E-05 78.4382
5.46875E-05 77.3095
5.62500E-05 76.2282
5.78125E-05 75.1910
5.93750E-05 74.1951
6.09375E-05 73.2377
6.25000E-05 72.3164
6.40625E-05 71.4291
6.56250E-05 70.5736
6.71875E-05 69.7481
6.87500E-05 68.9510
7.18750E-05 67.4354
7.50000E-05 66.0155
7.81250E-05 64.6818
8.12500E-05 63.4257
8.43750E-05 62.2400
8.75000E-05 61.1185
9.06250E-05 60.0555
9.37500E-05 59.0461
9.68750E-05 58.0859
0.000100000 57.1711
0.000103125 56.2982
0.000106250 55.4641
0.000109375 54.6660
0.000112500 53.9015
0.000115625 53.1681
0.000118750 52.4638
0.000121875 51.7868
0.000125000 51.1354
0.000128125 50.5079
0.000131250 49.9030
0.000134375 49.3194
0.000137500 48.7557
0.000143750 47.6840
0.000150000 46.6800
0.000156250 45.7369
0.000162500 44.8487
0.000168750 44.0103
0.000175000 43.2173
0.000181250 42.4656
0.000187500 41.7519
0.000193750 41.0729
0.000200000 40.4261
0.000209375 39.5106
0.000218750 38.6547
0.000228125 37.8521
0.000237500 37.0975
0.000246875 36.3863
0.000256250 35.7145
0.000265625 35.0786
0.000275000 34.4755
0.000284375 33.9024
0.000293750 33.3570
0.000303125 32.8371
0.000312500 32.3408
0.000321875 31.8664
0.000331250 31.4122
0.000340625 30.9769
0.000350000 30.5592
0.000359375 30.1580
0.000368750 29.7721
0.000378125 29.4007
0.000387500 29.0429
0.000396875 28.6978
0.000406250 28.3648
0.000425000 27.7320
0.000443750 27.1398
0.000462500 26.5840
0.000481250 26.0610
0.000500000 25.5677
0.000515625 25.1773
0.000531250 24.8043
0.000546875 24.4474
0.000562500 24.1054
0.000578125 23.7774
0.000593750 23.4625
0.000609375 23.1597
0.000625000 22.8684
0.000640625 22.5878
0.000656250 22.3173
0.000671875 22.0563
0.000687500 21.8042
0.000718750 21.3249
0.000750000 20.8759
0.000781250 20.4541
0.000812500 20.0569
0.000843750 19.6820
0.000875000 19.3273
0.000906250 18.9912
0.000937500 18.6720
0.000968750 18.3684
0.00100000 18.0791
0.00103125 17.8031
0.00106250 17.5393
0.00109375 17.2869
0.00112500 17.0451
0.00115625 16.8132
0.00118750 16.5905
0.00121875 16.3765
0.00125000 16.1705
0.00128125 15.9720
0.00131250 15.7808
0.00134375 15.5962
0.00137500 15.4179
0.00143750 15.0790
0.00150000 14.7616
0.00156250 14.4633
0.00162500 14.1824
0.00168750 13.9173
0.00175000 13.6665
0.00181250 13.4288
0.00187500 13.2031
0.00193750 12.9884
0.00200000 12.7839
0.00209375 12.4944
0.00218750 12.2237
0.00228125 11.9699
0.00237500 11.7312
0.00246875 11.5063
0.00256250 11.2939
0.00265625 11.0928
0.00275000 10.9020
0.00284375 10.7208
0.00293750 10.5483
0.00303125 10.3839
0.00312500 10.2270
0.00321875 10.0769
0.00331250 9.93331
0.00340625 9.79565
0.00350000 9.66356
0.00359375 9.53668
0.00368750 9.41467
0.00378125 9.29722
0.00387500 9.18406
0.00396875 9.07493
0.00406250 8.96961
0.00425000 8.76951
0.00443750 8.58223
0.00462500 8.40646
0.00481250 8.24107
0.00500000 8.08506
0.00515625 7.96162
0.00531250 7.84366
0.00546875 7.73079
0.00562500 7.62266
0.00578125 7.51894
0.00593750 7.41935
0.00609375 7.32361
0.00625000 7.23149
0.00640625 7.14276
0.00656250 7.05721
0.00671875 6.97467
0.00687500 6.89496
0.00718750 6.74340
0.00750000 6.60141
0.00781250 6.46803
0.00812500 6.34242
0.00843750 6.22384
0.00875000 6.11168
0.00906250 6.00536
0.00937500 5.90441
0.00968750 5.80838
0.0100000 5.71689
0.0103125 5.62959
0.0106250 5.54617
0.0109375 5.46636
0.0112500 5.38989
0.0115625 5.31655
0.0118750 5.24613
0.0121875 5.17844
0.0125000 5.11330
0.0128125 5.05057
0.0131250 4.99008
0.0134375 4.93172
0.0137500 4.87537
0.0143750 4.76821
0.0150000 4.66782
0.0156250 4.57351
0.0162500 4.48468
0.0168750 4.40083
0.0175000 4.32152
0.0181250 4.24633
0.0187500 4.17494
0.0193750 4.10703
0.0200000 4.04233
0.0206625 3.97697
0.0213250 3.91469
0.0219875 3.85525
0.0226500 3.79843
0.0233125 3.74406
0.0239750 3.69195
0.0246375 3.64196
0.0253000 3.59395
0.0264578 3.51442
0.0276156 3.43995
0.0287734 3.37003
0.0299313 3.30421
0.0310891 3.24211
0.0322469 3.18339
0.0334047 3.12775
0.0345625 3.07492
0.0355274 3.03288
0.0364922 2.99252
0.0374570 2.95372
0.0384219 2.91638
0.0393867 2.88043
0.0403516 2.84577
0.0413164 2.81232
0.0422813 2.78003
0.0442109 2.71865
0.0461406 2.66116
0.0480703 2.60717
0.0500000 2.55634
0.0515625 2.51729
0.0531250 2.47997
0.0546875 2.44427
0.0562500 2.41006
0.0578125 2.37725
0.0593750 2.34575
0.0609375 2.31547
0.0625000 2.28634
0.0640625 2.25829
0.0656250 2.23124
0.0671875 2.20515
0.0687500 2.17996
0.0718750 2.13205
0.0750000 2.08716
0.0781250 2.04496
0.0812500 2.00522
0.0843750 1.96771
0.0875000 1.93222
0.0906250 1.89858
0.0937500 1.86665
0.0968750 1.83627
0.100000 1.80732
0.103125 1.77970
0.106250 1.75331
0.109375 1.72806
0.112500 1.70387
0.115625 1.68067
0.118750 1.65838
0.121875 1.63697
0.125000 1.61636
0.128125 1.59652
0.131250 1.57739
0.134375 1.55894
0.137500 1.54113
0.143750 1.50726
0.150000 1.47550
0.156250 1.44566
0.162500 1.41755
0.168750 1.39101
0.175000 1.36591
0.181250 1.34212
0.187500 1.31954
0.193750 1.29806
0.200000 1.27761
0.209375 1.24867
0.218750 1.22158
0.228125 1.19617
0.237500 1.17228
0.246875 1.14977
0.256250 1.12850
0.265625 1.10836
0.275000 1.08927
0.284375 1.07113
0.293750 1.05386
0.303125 1.03740
0.312500 1.02169
0.321875 1.00667
0.331250 0.992288
0.340625 0.978506
0.350000 0.965281
0.359375 0.952577
0.368750 0.940361
0.378125 0.928602
0.387500 0.917275
0.396875 0.906362
0.406250 0.895840
0.425000 0.875836
0.443750 0.857079
0.462500 0.839469
0.500000 0.807328
0.531250 0.783188
0.562500 0.761032
0.593750 0.740648
0.625000 0.721812
0.687500 0.688069
0.750000 0.658635
0.812500 0.632663
0.875000 0.609582
0.937500 0.588843
1.00000 0.570019
1.06250 0.552881
1.12500 0.537190
1.18750 0.522753
1.25000 0.509412
1.37500 0.485508
1.50000 0.464653
1.62500 0.446248
1.75000 0.429878
1.87500 0.415169
2.00000 0.401814
2.18750 0.383972
2.37500 0.368292
2.56250 0.354360
2.75000 0.341892
2.93750 0.330633
3.12500 0.320379
3.31250 0.311005
3.50000 0.302391
3.87500 0.287071
4.25000 0.273815
4.62500 0.262198
5.00000 0.251914
5.31250 0.244186
5.62500 0.237099
5.93750 0.230575
6.25000 0.224544
6.87500 0.213733
7.50000 0.204294
8.12500 0.195960
8.75000 0.188535
9.37500 0.181862
10.0000 0.175814
10.6250 0.170305
11.2500 0.165259
11.8750 0.160615
12.5000 0.156323
13.7500 0.148632
15.0000 0.141922
16.2500 0.136003
17.5000 0.130735
18.7500 0.126006
20.0000 0.121728
21.8750 0.116021
23.7500 0.111018
25.6250 0.106588
27.5000 0.102636
29.3750 0.0990831
31.2500 0.0958690
33.1250 0.0929478
35.0000 0.0902809
36.8750 0.0878364
38.7500 0.0855881
40.6250 0.0835139
42.5000 0.0815950
44.3750 0.0798156
46.2500 0.0781620
48.1250 0.0766226
50.0000 0.0751867
51.5625 0.0740630
53.1250 0.0730008
54.6875 0.0719958
56.2500 0.0710443
57.8125 0.0701430
59.3750 0.0692886
60.9375 0.0684786
62.5000 0.0677103
63.9649 0.0670261
65.4297 0.0663752
