Sc-45(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0125000 38.6399
0.0128125 38.1658
0.0131250 37.7087
0.0134375 37.2676
0.0137500 36.8416
0.0143750 36.0317
0.0150000 35.2730
0.0156250 34.5603
0.0162500 33.8891
0.0168750 33.2555
0.0175000 32.6561
0.0181250 32.0880
0.0187500 31.5486
0.0193750 31.0355
0.0200000 30.5466
0.0206625 30.0528
0.0213250 29.5822
0.0219875 29.1330
0.0226500 28.7037
0.0233125 28.2928
0.0239750 27.8991
0.0246375 27.5214
0.0253000 27.1586
0.0264578 26.5576
0.0276156 25.9949
0.0287734 25.4665
0.0299313 24.9690
0.0310891 24.4997
0.0322469 24.0558
0.0334047 23.6352
0.0345625 23.2359
0.0355274 22.9182
0.0364922 22.6131
0.0374570 22.3199
0.0384219 22.0378
0.0393867 21.7661
0.0403516 21.5042
0.0413164 21.2516
0.0422813 21.0076
0.0442109 20.5438
0.0461406 20.1094
0.0480703 19.7014
0.0500000 19.3173
0.0515625 19.0222
0.0531250 18.7403
0.0546875 18.4705
0.0562500 18.2120
0.0578125 17.9641
0.0593750 17.7261
0.0609375 17.4973
0.0625000 17.2772
0.0640625 17.0651
0.0656250 16.8607
0.0671875 16.6635
0.0687500 16.4730
0.0718750 16.1108
0.0750000 15.7715
0.0781250 15.4527
0.0812500 15.1525
0.0843750 14.8690
0.0875000 14.6009
0.0906250 14.3467
0.0937500 14.1054
0.0968750 13.8758
0.100000 13.6571
0.103125 13.4483
0.106250 13.2489
0.109375 13.0581
0.112500 12.8753
0.115625 12.7000
0.118750 12.5316
0.121875 12.3698
0.125000 12.2141
0.128125 12.0642
0.131250 11.9196
0.134375 11.7801
0.137500 11.6454
0.143750 11.3894
0.150000 11.1494
0.156250 10.9239
0.162500 10.7115
0.168750 10.5110
0.175000 10.3213
0.181250 10.1416
0.187500 9.97094
0.193750 9.80864
0.200000 9.65402
0.209375 9.43518
0.218750 9.23051
0.228125 9.03853
0.237500 8.85800
0.246875 8.68785
0.256250 8.52711
0.265625 8.37497
0.275000 8.23067
0.284375 8.09356
0.293750 7.96307
0.303125 7.83868
0.312500 7.71993
0.321875 7.60640
0.331250 7.49773
0.340625 7.39357
0.350000 7.29363
0.359375 7.19763
0.368750 7.10532
0.378125 7.01648
0.387500 6.93091
0.396875 6.84842
0.406250 6.76881
0.425000 6.61754
0.443750 6.47585
0.462500 6.34283
0.500000 6.09987
0.531250 5.91735
0.562500 5.74996
0.593750 5.59590
0.625000 5.45353
0.687500 5.19848
0.750000 4.97600
0.812500 4.77971
0.875000 4.60530
0.937500 4.44855
1.00000 4.30625
1.06250 4.17667
1.12500 4.05803
1.18750 3.94887
1.25000 3.84800
1.37500 3.66726
1.50000 3.50956
1.62500 3.37039
1.75000 3.24670
1.87500 3.13554
2.00000 3.03444
2.18750 2.89941
2.37500 2.78078
2.56250 2.67536
2.75000 2.58110
2.93750 2.49596
3.12500 2.41832
3.31250 2.34733
3.50000 2.28209
3.87500 2.16603
4.25000 2.06559
4.62500 1.97753
5.00000 1.89958
5.31250 1.84099
5.62500 1.78720
5.93750 1.73767
6.25000 1.69186
6.87500 1.60969
7.50000 1.53789
8.12500 1.47443
8.75000 1.41787
9.37500 1.36699
10.0000 1.32078
10.6250 1.27864
11.2500 1.24000
11.8750 1.20439
12.5000 1.17144
13.7500 1.11225
15.0000 1.06047
16.2500 1.01463
17.5000 0.973719
18.7500 0.936857
20.0000 0.903349
21.8750 0.858431
23.7500 0.818796
25.6250 0.783455
27.5000 0.751698
29.3750 0.722926
31.2500 0.696663
33.1250 0.672581
35.0000 0.650389
36.8750 0.629847
38.7500 0.610757
42.5000 0.576294
46.2500 0.545949
50.0000 0.518964
53.1250 0.498613
56.2500 0.479905
59.3750 0.462639
62.5000 0.446637
65.6250 0.431752
68.7500 0.417859
75.0000 0.392642
81.2500 0.370311
87.5000 0.350368
93.7500 0.332413
100.000 0.316133
106.250 0.301297
112.500 0.287709
118.750 0.275209
125.000 0.263665
131.250 0.252967
137.500 0.243021
143.750 0.233747
150.000 0.225079
156.250 0.216956
162.500 0.209328
168.750 0.202151
175.000 0.195389
187.500 0.182960
200.000 0.171801
208.128 0.165140
216.255 0.158901
224.382 0.153042
232.510 0.147532
240.637 0.142340
248.765 0.137444
265.019 0.128439
281.274 0.120355
297.529 0.113068
313.784 0.106477
330.039 0.100498
342.230 0.0964136
354.421 0.0925862
366.612 0.0890005
378.803 0.0856583
390.994 0.0826688
403.185 0.0799149
409.281 0.0787349
415.376 0.0777153
421.472 0.0768641
427.567 0.0764120
432.393 0.0765208
434.806 0.0768446
437.219 0.0774470
439.632 0.0784621
440.838 0.0791921
442.044 0.0800881
443.251 0.0812528
444.457 0.0827619
445.664 0.0847196
446.267 0.0859153
446.870 0.0872883
447.505 0.0889568
448.140 0.0909033
448.775 0.0932038
449.410 0.0959450
450.045 0.0992334
450.680 0.103211
450.997 0.105517
451.315 0.108073
451.632 0.110916
451.950 0.114091
452.299 0.118035
452.648 0.122538
452.997 0.127712
453.347 0.133691
453.696 0.140653
453.871 0.144568
454.045 0.148818
454.220 0.153440
454.394 0.158481
454.569 0.163992
454.744 0.170035
454.950 0.177963
455.156 0.186872
455.363 0.196945
455.569 0.208388
455.672 0.214709
455.775 0.221479
455.879 0.228743
455.982 0.236545
456.085 0.244955
456.188 0.254033
456.291 0.263853
456.394 0.274491
456.474 0.283308
456.553 0.292726
456.633 0.302802
456.712 0.313587
456.791 0.325185
456.871 0.337665
456.950 0.351124
457.029 0.365654
457.109 0.381417
457.188 0.398542
457.268 0.417198
457.347 0.437550
457.426 0.459877
457.506 0.484413
457.585 0.511461
457.664 0.541332
457.752 0.577999
457.795 0.598028
457.839 0.619239
457.883 0.641822
457.926 0.665776
457.970 0.691317
458.014 0.718446
458.057 0.747411
458.101 0.778210
458.145 0.811126
458.188 0.846156
458.232 0.883617
458.275 0.923502
458.319 0.966167
458.363 1.01160
458.406 1.06018
458.450 1.11189
458.494 1.16716
458.537 1.22594
458.581 1.28870
458.625 1.35535
458.668 1.42640
458.712 1.50171
458.756 1.58183
458.799 1.66657
458.843 1.75647
458.887 1.85129
458.930 1.95159
458.974 2.05702
459.018 2.16814
459.061 2.28450
459.109 2.41811
459.156 2.55797
459.204 2.70428
459.252 2.85687
459.347 3.18027
459.442 3.52476
459.530 3.85644
459.617 4.19825
459.791 4.89230
459.879 5.23395
459.967 5.56086
460.055 5.86626
460.142 6.14197
460.196 6.29189
460.249 6.42666
460.302 6.54522
460.355 6.64635
460.408 6.72914
460.461 6.79239
460.514 6.83560
460.567 6.85831
460.600 6.86198
460.653 6.85115
460.706 6.81966
460.759 6.76786
460.813 6.69630
460.866 6.60557
460.919 6.49696
460.972 6.37146
461.025 6.23034
461.126 5.92562
461.226 5.58094
461.326 5.20678
461.427 4.81507
461.636 3.98805
461.740 3.58862
461.845 3.20897
461.897 3.02837
461.949 2.85464
462.001 2.68818
462.053 2.52927
462.106 2.37809
462.158 2.23476
462.210 2.09927
462.262 1.97156
462.305 1.87257
462.348 1.77884
462.390 1.69002
462.433 1.60598
462.476 1.52655
462.518 1.45157
462.561 1.38087
462.604 1.31428
462.647 1.25146
462.689 1.19252
462.732 1.13711
462.775 1.08507
462.817 1.03619
462.860 0.990308
462.903 0.947240
462.946 0.906817
462.998 0.860673
463.050 0.818046
463.102 0.778575
463.154 0.742007
463.207 0.708108
463.259 0.676656
463.311 0.647450
463.363 0.620302
463.415 0.595039
463.468 0.571502
463.520 0.549548
463.572 0.529043
463.624 0.509868
463.676 0.491911
463.729 0.475074
463.781 0.459265
463.862 0.436660
463.942 0.416048
464.023 0.397196
464.104 0.379925
464.184 0.364018
464.265 0.349348
464.346 0.335785
464.426 0.323231
464.507 0.311556
464.588 0.300688
464.668 0.290554
464.749 0.281096
464.910 0.263922
465.072 0.248789
465.176 0.239916
465.281 0.231696
465.385 0.224057
465.489 0.216945
465.698 0.204112
465.907 0.192871
466.116 0.182965
466.325 0.174187
466.533 0.166369
466.742 0.159373
466.942 0.153355
467.141 0.147903
467.340 0.142944
467.539 0.138419
467.739 0.134276
467.938 0.130475
468.137 0.126978
468.337 0.123752
468.735 0.118008
469.134 0.113062
469.533 0.108771
469.931 0.105025
470.235 0.102478
470.729 0.0988154
471.222 0.0956432
471.716 0.0928734
472.209 0.0904411
472.703 0.0882924
473.196 0.0863845
473.690 0.0846807
474.183 0.0831525
475.170 0.0805325
476.158 0.0783773
477.145 0.0765596
478.132 0.0750073
479.499 0.0732060
480.865 0.0717138
482.232 0.0704574
483.599 0.0693970
