Se-74(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2601.99
1.03125E-05 2562.27
1.06250E-05 2524.30
1.09375E-05 2487.98
1.12500E-05 2453.18
1.15625E-05 2419.81
1.18750E-05 2387.75
1.21875E-05 2356.94
1.25000E-05 2327.29
1.28125E-05 2298.74
1.31250E-05 2271.21
1.34375E-05 2244.64
1.37500E-05 2218.99
1.43750E-05 2170.21
1.50000E-05 2124.52
1.56250E-05 2081.60
1.62500E-05 2041.17
1.68750E-05 2003.02
1.75000E-05 1966.92
1.81250E-05 1932.71
1.87500E-05 1900.23
1.93750E-05 1869.33
2.00000E-05 1839.89
2.09375E-05 1798.23
2.18750E-05 1759.27
2.28125E-05 1722.74
2.37500E-05 1688.40
2.46875E-05 1656.03
2.56250E-05 1625.45
2.65625E-05 1596.51
2.75000E-05 1569.06
2.84375E-05 1542.98
2.93750E-05 1518.16
3.03125E-05 1494.50
3.12500E-05 1471.91
3.21875E-05 1450.32
3.31250E-05 1429.65
3.40625E-05 1409.84
3.50000E-05 1390.83
3.59375E-05 1372.57
3.68750E-05 1355.01
3.78125E-05 1338.10
3.87500E-05 1321.82
3.96875E-05 1306.11
4.06250E-05 1290.95
4.25000E-05 1262.15
4.43750E-05 1235.20
4.62500E-05 1209.91
4.81250E-05 1186.10
5.00000E-05 1163.65
5.15625E-05 1145.88
5.31250E-05 1128.91
5.46875E-05 1112.66
5.62500E-05 1097.10
5.78125E-05 1082.17
5.93750E-05 1067.84
6.09375E-05 1054.06
6.25000E-05 1040.80
6.40625E-05 1028.03
6.56250E-05 1015.72
6.71875E-05 1003.84
6.87500E-05 992.365
7.18750E-05 970.552
7.50000E-05 950.117
7.81250E-05 930.921
8.12500E-05 912.843
8.43750E-05 895.780
8.75000E-05 879.638
9.06250E-05 864.339
9.37500E-05 849.812
9.68750E-05 835.993
0.000100000 822.827
0.000103125 810.264
0.000106250 798.260
0.000109375 786.773
0.000112500 775.769
0.000115625 765.214
0.000118750 755.078
0.000121875 745.335
0.000125000 735.960
0.000128125 726.929
0.000131250 718.223
0.000134375 709.823
0.000137500 701.711
0.000143750 686.287
0.000150000 671.837
0.000156250 658.264
0.000162500 645.481
0.000168750 633.415
0.000175000 622.001
0.000181250 611.183
0.000187500 600.911
0.000193750 591.139
0.000200000 581.830
0.000209375 568.655
0.000218750 556.336
0.000228125 544.785
0.000237500 533.925
0.000246875 523.689
0.000256250 514.020
0.000265625 504.868
0.000275000 496.188
0.000284375 487.941
0.000293750 480.092
0.000303125 472.610
0.000312500 465.467
0.000321875 458.638
0.000331250 452.102
0.000340625 445.837
0.000350000 439.826
0.000359375 434.051
0.000368750 428.498
0.000378125 423.153
0.000387500 418.003
0.000396875 413.037
0.000406250 408.244
0.000425000 399.137
0.000443750 390.614
0.000462500 382.615
0.000481250 375.088
0.000500000 367.988
0.000515625 362.370
0.000531250 357.001
0.000546875 351.865
0.000562500 346.944
0.000578125 342.223
0.000593750 337.691
0.000609375 333.334
0.000625000 329.141
0.000640625 325.103
0.000656250 321.209
0.000671875 317.453
0.000687500 313.825
0.000718750 306.927
0.000750000 300.465
0.000781250 294.395
0.000812500 288.679
0.000843750 283.283
0.000875000 278.179
0.000906250 273.341
0.000937500 268.747
0.000968750 264.378
0.00100000 260.215
0.00103125 256.242
0.00106250 252.446
0.00109375 248.814
0.00112500 245.334
0.00115625 241.997
0.00118750 238.792
0.00121875 235.711
0.00125000 232.746
0.00128125 229.891
0.00131250 227.138
0.00134375 224.482
0.00137500 221.917
0.00143750 217.039
0.00150000 212.470
0.00156250 208.178
0.00162500 204.136
0.00168750 200.321
0.00175000 196.712
0.00181250 193.291
0.00187500 190.043
0.00193750 186.954
0.00200000 184.010
0.00209375 179.844
0.00218750 175.949
0.00228125 172.296
0.00237500 168.862
0.00246875 165.626
0.00256250 162.569
0.00265625 159.675
0.00275000 156.930
0.00284375 154.323
0.00293750 151.841
0.00303125 149.475
0.00312500 147.217
0.00321875 145.058
0.00331250 142.991
0.00340625 141.010
0.00350000 139.109
0.00359375 137.284
0.00368750 135.528
0.00378125 133.838
0.00387500 132.210
0.00396875 130.640
0.00406250 129.124
0.00425000 126.245
0.00443750 123.550
0.00462500 121.021
0.00481250 118.642
0.00500000 116.397
0.00515625 114.621
0.00531250 112.924
0.00546875 111.300
0.00562500 109.744
0.00578125 108.252
0.00593750 106.819
0.00609375 105.441
0.00625000 104.116
0.00640625 102.839
0.00656250 101.609
0.00671875 100.421
0.00687500 99.2741
0.00718750 97.0937
0.00750000 95.0510
0.00781250 93.1322
0.00812500 91.3252
0.00843750 89.6195
0.00875000 88.0061
0.00906250 86.4769
0.00937500 85.0249
0.00968750 83.6437
0.0100000 82.3278
0.0103125 81.0722
0.0106250 79.8724
0.0109375 78.7245
0.0112500 77.6248
0.0115625 76.5700
0.0118750 75.5571
0.0121875 74.5835
0.0125000 73.6467
0.0128125 72.7443
0.0131250 71.8744
0.0134375 71.0351
0.0137500 70.2245
0.0143750 68.6834
0.0150000 67.2397
0.0156250 65.8835
0.0162500 64.6063
0.0168750 63.4008
0.0175000 62.2604
0.0181250 61.1796
0.0187500 60.1533
0.0193750 59.1771
0.0200000 58.2470
0.0206625 57.3076
0.0213250 56.4124
0.0219875 55.5580
0.0226500 54.7414
0.0233125 53.9599
0.0239750 53.2110
0.0246375 52.4927
0.0253000 51.8027
0.0264578 50.6599
0.0276156 49.5899
0.0287734 48.5852
0.0299313 47.6395
0.0310891 46.7473
0.0322469 45.9036
0.0334047 45.1042
0.0345625 44.3454
0.0355274 43.7415
0.0364922 43.1618
0.0374570 42.6046
0.0384219 42.0685
0.0393867 41.5523
0.0403516 41.0547
0.0413164 40.5746
0.0422813 40.1110
0.0442109 39.2299
0.0461406 38.4048
0.0480703 37.6299
0.0500000 36.9005
0.0515625 36.3401
0.0531250 35.8048
0.0546875 35.2926
0.0562500 34.8020
0.0578125 34.3314
0.0593750 33.8797
0.0609375 33.4455
0.0625000 33.0278
0.0640625 32.6255
0.0656250 32.2377
0.0671875 31.8636
0.0687500 31.5024
0.0718750 30.8157
0.0750000 30.1723
0.0781250 29.5679
0.0812500 28.9987
0.0843750 28.4615
0.0875000 27.9534
0.0906250 27.4719
0.0937500 27.0148
0.0968750 26.5801
0.100000 26.1659
0.103125 25.7709
0.106250 25.3934
0.109375 25.0324
0.112500 24.6865
0.115625 24.3549
0.118750 24.0365
0.121875 23.7305
0.125000 23.4362
0.128125 23.1528
0.131250 22.8797
0.134375 22.6162
0.137500 22.3619
0.143750 21.8784
0.150000 21.4254
0.156250 20.9999
0.162500 20.5993
0.168750 20.2212
0.175000 19.8638
0.181250 19.5251
0.187500 19.2038
0.193750 18.8983
0.200000 18.6074
0.209375 18.1959
0.218750 17.8112
0.228125 17.4506
0.237500 17.1116
0.246875 16.7924
0.256250 16.4910
0.265625 16.2059
0.275000 15.9357
0.284375 15.6791
0.293750 15.4350
0.303125 15.2025
0.312500 14.9806
0.321875 14.7687
0.331250 14.5659
0.340625 14.3717
0.350000 14.1855
0.359375 14.0067
0.368750 13.8349
0.378125 13.6696
0.387500 13.5106
0.396875 13.3574
0.406250 13.2097
0.425000 12.9292
0.443750 12.6667
0.462500 12.4206
0.500000 11.9722
0.531250 11.6362
0.562500 11.3285
0.625000 10.7857
0.687500 10.3208
0.750000 9.91726
0.812500 9.56290
0.875000 9.24969
0.937500 8.96966
1.00000 8.71668
1.06250 8.48757
1.12500 8.27896
1.25000 7.91274
1.37500 7.60128
1.50000 7.33289
1.62500 7.09907
1.75000 6.89410
1.87500 6.71251
2.00000 6.54984
2.18750 6.33680
2.37500 6.15439
2.56250 5.99674
2.75000 5.86000
2.93750 5.74046
3.12500 5.63524
3.50000 5.46124
3.87500 5.32631
4.25000 5.22229
4.62500 5.14347
5.00000 5.08594
5.46875 5.03964
5.93750 5.01630
6.25000 5.01300
6.87500 5.03226
7.50000 5.08337
8.12500 5.16451
8.75000 5.27551
9.37500 5.41649
10.0000 5.58844
10.6250 5.79399
11.2500 6.03636
11.8750 6.31981
12.5000 6.64899
12.8125 6.83273
13.1250 7.03161
13.4375 7.24604
13.7500 7.47737
14.0625 7.72706
14.3750 7.99679
14.6875 8.28847
15.0000 8.60425
15.3125 8.94656
15.6250 9.31819
15.9375 9.72232
16.2500 10.1626
16.5625 10.6432
16.8750 11.1691
17.1875 11.7439
17.3438 12.0517
17.5000 12.3760
17.6367 12.6731
17.7734 12.9833
17.9102 13.3071
18.0469 13.6454
18.1152 13.8204
18.1836 13.9996
18.2520 14.1829
18.3203 14.3706
18.3887 14.5626
18.4570 14.7591
18.5254 14.9604
18.5938 15.1663
18.6450 15.3241
18.6963 15.4848
18.7476 15.6484
18.7988 15.8150
18.8501 15.9847
18.8757 16.0708
18.9014 16.1576
18.9270 16.2453
18.9526 16.3338
18.9783 16.4231
19.0039 16.5132
19.0308 16.6086
19.0576 16.7049
19.0845 16.8022
19.1113 16.9004
