O-17(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 0.191787
1.03125E-05 0.188859
1.06250E-05 0.186061
1.09375E-05 0.183383
1.12500E-05 0.180819
1.15625E-05 0.178358
1.18750E-05 0.175996
1.21875E-05 0.173725
1.25000E-05 0.171540
1.28125E-05 0.169435
1.31250E-05 0.167406
1.34375E-05 0.165448
1.37500E-05 0.163557
1.43750E-05 0.159962
1.50000E-05 0.156594
1.54625E-05 0.154234
1.59249E-05 0.151979
1.63874E-05 0.149819
1.68498E-05 0.147749
1.68750E-05 0.147638
1.69531E-05 0.147298
1.70313E-05 0.146960
1.71875E-05 0.146290
1.75000E-05 0.144978
1.81250E-05 0.142457
1.87500E-05 0.140062
1.93750E-05 0.137785
2.00000E-05 0.135615
2.08306E-05 0.132884
2.16611E-05 0.130311
2.24917E-05 0.127883
2.33222E-05 0.125585
2.41528E-05 0.123407
2.49833E-05 0.121339
2.58139E-05 0.119371
2.66444E-05 0.117495
2.75000E-05 0.115653
2.84375E-05 0.113731
2.93750E-05 0.111902
3.03125E-05 0.110158
3.12500E-05 0.108493
3.21875E-05 0.106901
3.31250E-05 0.105378
3.40625E-05 0.103917
3.50000E-05 0.102516
3.62500E-05 0.100733
3.75000E-05 0.0990403
3.87500E-05 0.0974299
4.00000E-05 0.0958956
4.12500E-05 0.0944315
4.25000E-05 0.0930326
4.43750E-05 0.0910460
4.62500E-05 0.0891815
4.81250E-05 0.0874271
5.00000E-05 0.0857723
5.15625E-05 0.0844628
5.31250E-05 0.0832115
5.46875E-05 0.0820143
5.62500E-05 0.0808673
5.78125E-05 0.0797671
5.93750E-05 0.0787106
6.09375E-05 0.0776950
6.25000E-05 0.0767178
6.40625E-05 0.0757765
6.56250E-05 0.0748691
6.71875E-05 0.0739935
6.87500E-05 0.0731479
7.18750E-05 0.0715402
7.50000E-05 0.0700341
7.75000E-05 0.0688954
8.00000E-05 0.0678105
8.37500E-05 0.0662751
8.75000E-05 0.0648396
9.06250E-05 0.0637120
9.37500E-05 0.0626413
9.68750E-05 0.0616228
0.000100000 0.0606524
0.000103125 0.0597265
0.000106250 0.0588418
0.000109375 0.0579952
0.000112500 0.0571842
0.000115625 0.0564063
0.000118750 0.0556593
0.000121875 0.0549412
0.000125000 0.0542502
0.000128125 0.0535847
0.000131250 0.0529430
0.000134375 0.0523239
0.000137500 0.0517260
0.000143750 0.0505893
0.000150000 0.0495243
0.000155000 0.0487192
0.000160000 0.0479521
0.000167500 0.0468665
0.000175000 0.0458515
0.000181250 0.0450542
0.000187500 0.0442971
0.000193750 0.0435770
0.000200000 0.0428909
0.000208203 0.0420377
0.000216406 0.0412335
