Pt-192(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 7974.38
1.03125E-05 7852.65
1.06250E-05 7736.33
1.09375E-05 7625.03
1.12500E-05 7518.40
1.15625E-05 7416.12
1.18750E-05 7317.91
1.21875E-05 7223.50
1.25000E-05 7132.66
1.28125E-05 7045.15
1.31250E-05 6960.80
1.34375E-05 6879.40
1.37500E-05 6800.79
1.43750E-05 6651.34
1.50000E-05 6511.33
1.56250E-05 6379.81
1.62500E-05 6255.96
1.68750E-05 6139.04
1.75000E-05 6028.45
1.81250E-05 5923.64
1.87500E-05 5824.10
1.93750E-05 5729.43
2.00000E-05 5639.22
2.09375E-05 5511.57
2.18750E-05 5392.22
2.28125E-05 5280.30
2.37500E-05 5175.07
2.46875E-05 5075.90
2.56250E-05 4982.22
2.65625E-05 4893.55
2.75000E-05 4809.45
2.84375E-05 4729.55
2.93750E-05 4653.50
3.03125E-05 4581.01
3.12500E-05 4511.81
3.21875E-05 4445.65
3.31250E-05 4382.33
3.40625E-05 4321.63
3.50000E-05 4263.39
3.59375E-05 4207.45
3.68750E-05 4153.65
3.78125E-05 4101.87
3.87500E-05 4051.98
3.96875E-05 4003.87
4.06250E-05 3957.43
4.25000E-05 3869.21
4.43750E-05 3786.64
4.62500E-05 3709.15
4.81250E-05 3636.23
5.00000E-05 3567.45
5.15625E-05 3513.03
5.31250E-05 3461.03
5.46875E-05 3411.27
5.62500E-05 3363.60
5.78125E-05 3317.87
5.93750E-05 3273.97
6.09375E-05 3231.76
6.25000E-05 3191.15
6.40625E-05 3152.03
6.56250E-05 3114.32
6.71875E-05 3077.93
6.87500E-05 3042.79
7.18750E-05 2975.99
7.50000E-05 2913.40
7.81250E-05 2854.60
8.12500E-05 2799.24
8.43750E-05 2746.98
8.75000E-05 2697.54
9.06250E-05 2650.69
9.37500E-05 2606.20
9.68750E-05 2563.88
0.000100000 2523.56
0.000103125 2485.09
0.000106250 2448.33
0.000109375 2413.16
0.000112500 2379.46
0.000115625 2347.14
0.000118750 2316.11
0.000121875 2286.27
0.000125000 2257.56
0.000128125 2229.91
0.000131250 2203.26
0.000134375 2177.54
0.000137500 2152.70
0.000143750 2105.47
0.000150000 2061.24
