Li-7(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0549798 0.0308130
0.0571696 0.0302172
0.0593595 0.0296548
0.0593750 0.0296509
0.0594238 0.0296387
0.0594727 0.0296265
0.0595703 0.0296022
0.0597656 0.0295539
0.0601563 0.0294578
0.0609375 0.0292684
0.0625000 0.0289003
0.0640625 0.0285457
0.0656250 0.0282039
0.0671875 0.0278741
0.0687500 0.0275556
0.0718750 0.0269501
0.0750000 0.0263827
0.0773438 0.0259800
0.0796875 0.0255952
0.0820313 0.0252269
0.0843750 0.0248741
0.0844963 0.0248563
0.0848718 0.0248012
0.0852472 0.0247466
0.0859982 0.0246383
0.0875000 0.0244260
0.0906250 0.0240012
0.0937500 0.0235978
0.0968750 0.0232141
0.100000 0.0228486
0.103125 0.0224997
0.106250 0.0221664
0.109375 0.0218474
0.112500 0.0215418
0.115625 0.0212487
0.118750 0.0209673
0.121875 0.0206967
0.125000 0.0204364
0.128125 0.0201856
0.131250 0.0199438
0.134375 0.0197105
0.137500 0.0194852
0.143750 0.0190569
0.150000 0.0186556
0.154624 0.0183745
0.159248 0.0181058
0.163871 0.0178485
0.168495 0.0176019
0.168750 0.0175885
0.169531 0.0175480
0.170313 0.0175077
0.171875 0.0174279
0.175000 0.0172715
0.181250 0.0169711
0.187500 0.0166857
0.193750 0.0164143
0.200000 0.0161557
0.208305 0.0158303
0.216610 0.0155238
0.224916 0.0152344
0.233221 0.0149606
0.241526 0.0147011
0.249831 0.0144547
0.258136 0.0142202
0.266441 0.0139968
0.275000 0.0137773
0.284375 0.0135482
0.293750 0.0133303
0.303125 0.0131225
0.312500 0.0129241
0.321875 0.0127345
0.331250 0.0125530
0.340625 0.0123790
0.350000 0.0122121
0.362500 0.0119996
0.375000 0.0117979
0.387500 0.0116060
0.400000 0.0114231
0.412500 0.0112486
0.425000 0.0110819
0.443750 0.0108451
0.462500 0.0106229
0.500000 0.0102167
0.531250 0.00991182
0.562500 0.00963261
0.593750 0.00937561
0.625000 0.00913804
0.687500 0.00871259
0.750000 0.00834160
0.800000 0.00807661
0.875000 0.00772275
0.937500 0.00746103
1.00000 0.00722416
1.06250 0.00700833
1.12500 0.00681062
1.18750 0.00662879
1.25000 0.00646105
1.37500 0.00616117
1.50000 0.00589871
1.59248 0.00572451
1.68495 0.00556527
1.68750 0.00556107
1.69531 0.00554827
1.70313 0.00553555
1.71875 0.00551038
1.75000 0.00546107
1.87500 0.00527618
2.00000 0.00510870
2.16610 0.00490874
2.33221 0.00473035
2.49831 0.00457028
2.66441 0.00442617
2.75000 0.00435715
2.93750 0.00421570
3.12500 0.00408668
3.31250 0.00396927
3.50000 0.00386187
3.75000 0.00373111
4.00000 0.00361266
4.25000 0.00350475
4.62500 0.00335934
5.00000 0.00323069
5.31250 0.00313468
5.62500 0.00304712
5.93750 0.00296532
6.25000 0.00288987
6.87500 0.00275562
7.50000 0.00263847
8.00000 0.00255435
8.75000 0.00244274
9.37500 0.00235992
10.0000 0.00228495
10.6250 0.00221684
11.2500 0.00215418
11.8750 0.00209652
12.5000 0.00204333
13.1250 0.00199413
13.7500 0.00194907
15.0000 0.00186552
15.9248 0.00181030
16.8495 0.00175996
16.8750 0.00175865
17.5000 0.00172738
18.7500 0.00166866
20.0000 0.00161550
21.6610 0.00155230
23.3221 0.00149590
24.9831 0.00144521
26.6441 0.00139953
27.5000 0.00137818
29.3750 0.00133296
31.2500 0.00129234
33.1250 0.00125506
35.0000 0.00122143
37.5000 0.00117984
40.0000 0.00114217
42.5000 0.00110834
46.2500 0.00106225
50.0000 0.00102147
53.1250 0.000990982
56.2500 0.000963736
59.3750 0.000937406
62.5000 0.000913769
68.7500 0.000871310
75.0000 0.000834228
80.0000 0.000807488
87.5000 0.000772429
93.7500 0.000746108
100.000 0.000722106
112.500 0.000676589
125.000 0.000637737
137.500 0.000604768
150.000 0.000576339
162.500 0.000550959
175.000 0.000528760
187.500 0.000508747
200.000 0.000490704
216.610 0.000469400
233.221 0.000450457
249.831 0.000433468
266.441 0.000418152
275.000 0.000410913
293.750 0.000396310
312.500 0.000382696
350.000 0.000359267
400.000 0.000333393
425.000 0.000322497
462.500 0.000307569
500.000 0.000294402
562.500 0.000275684
625.000 0.000260023
687.500 0.000246484
688.576 0.000246271
692.415 0.000245531
696.254 0.000244809
703.932 0.000243365
719.288 0.000240477
750.000 0.000234863
800.000 0.000226513
875.000 0.000215615
1000.00 0.000200067
1125.00 0.000193085
1250.00 0.000187166
1500.00 0.000177043
1750.00 0.000169059
2000.00 0.000162339
2181.02 0.000158159
2187.50 0.000158021
2205.08 0.000157655
2222.66 0.000157290
2257.81 0.000156560
2328.13 0.000155099
2468.75 0.000152484
2750.00 0.000147546
3125.00 0.000141960
3500.00 0.000137220
4000.00 0.000131765
4250.00 0.000129420
5000.00 0.000123307
5935.36 0.000117005
5937.50 0.000116993
6250.00 0.000115225
7500.00 0.000109111
8000.00 0.000106950
8750.00 0.000104142
10000.0 9.99910E-05
11250.0 9.29551E-05
12500.0 8.69742E-05
15000.0 7.76259E-05
17500.0 7.05060E-05
20000.0 6.47887E-05
23322.1 5.88615E-05
26644.1 5.41360E-05
27500.0 5.30905E-05
29375.0 5.09310E-05
31250.0 4.90131E-05
31676.3 4.85777E-05
33125.0 4.72504E-05
33578.9 4.68354E-05
35000.0 4.56790E-05
36649.1 4.43385E-05
36875.0 4.41784E-05
38750.0 4.28557E-05
40000.0 4.19745E-05
40625.0 4.15815E-05
42294.9 4.05334E-05
42500.0 4.04179E-05
42935.8 4.01736E-05
43371.6 3.99293E-05
44243.2 3.94408E-05
45986.3 3.84642E-05
46250.0 3.83346E-05
47187.5 3.78760E-05
48125.0 3.74173E-05
50000.0 3.65007E-05
52500.0 3.55169E-05
53025.5 3.53105E-05
55000.0 3.45979E-05
55822.7 3.43014E-05
57500.0 3.37594E-05
60000.0 3.29520E-05
62500.0 3.21977E-05
65000.0 3.14837E-05
65340.6 3.13867E-05
67500.0 3.08241E-05
70000.0 3.02042E-05
74152.3 2.92251E-05
75000.0 2.90473E-05
80000.0 2.80004E-05
84589.7 2.72180E-05
85000.0 2.71549E-05
90000.0 2.63880E-05
95000.0 2.56760E-05
100000 2.50003E-05
105000 2.44729E-05
110000 2.39589E-05
115000 2.34851E-05
120000 2.30536E-05
125000 2.26310E-05
130000 2.22370E-05
135000 2.18685E-05
140000 2.15013E-05
150000 2.17637E-05
160000 2.20242E-05
170000 2.22621E-05
180000 2.25018E-05
190000 2.40000E-05
200000 2.55014E-05
210000 2.79237E-05
220000 3.04289E-05
230000 3.29982E-05
