Nd-143(n,tot) ENDFB-8.0
Energy(eV) XS(b)
57.3293 7.45631
57.3709 7.17992
57.4126 6.92036
57.4543 6.67639
57.4960 6.44674
57.5377 6.23031
57.5794 6.02605
57.6210 5.83315
57.7044 5.47803
57.7878 5.15920
57.8711 4.87191
57.9228 4.70799
57.9744 4.55379
58.0260 4.40852
58.0776 4.27155
58.1809 4.01998
58.2841 3.79471
58.3874 3.59208
58.4906 3.40913
58.5939 3.24342
58.6971 3.09286
58.8169 2.93472
58.9368 2.79217
59.0566 2.66319
59.1764 2.54607
59.2962 2.43939
59.4160 2.34193
59.5358 2.25266
59.6556 2.17074
59.7700 2.09865
59.8844 2.03181
59.9987 1.96962
60.1131 1.91168
60.2275 1.85764
60.3418 1.80714
60.4562 1.75989
60.5706 1.71559
60.6849 1.67400
60.7993 1.63487
60.9137 1.59802
61.0280 1.56325
61.2568 1.49933
61.4855 1.44198
61.6271 1.40935
61.7687 1.37869
61.9103 1.34982
62.0519 1.32260
62.3351 1.27255
62.6183 1.22763
62.9015 1.18710
63.1847 1.15051
63.4679 1.11694
63.7511 1.08613
63.9999 1.06111
64.2486 1.03778
64.4974 1.01595
64.7462 0.995486
64.9950 0.976245
65.2438 0.958105
65.7414 0.924746
66.2390 0.894721
66.7366 0.867530
67.2342 0.842680
67.7318 0.819868
68.1292 0.802893
68.1292 0.802892
68.1293 0.802889
68.1294 0.802886
68.1295 0.802880
68.1298 0.802868
68.1304 0.802843
68.1316 0.802795
68.1339 0.802698
68.1386 0.802504
68.1479 0.802116
68.1667 0.801342
68.2084 0.799627
68.2502 0.797924
68.3337 0.794559
68.5007 0.787975
68.8346 0.775346
69.5026 0.751705
70.1706 0.730032
70.8385 0.710150
71.5065 0.691850
72.1745 0.674964
72.8424 0.659357
73.5104 0.644919
74.4877 0.625757
75.4649 0.609013
76.4422 0.593620
77.4195 0.580390
78.3967 0.568866
79.3740 0.559003
80.3513 0.550735
81.3285 0.544151
81.9345 0.541123
82.0860 0.540403
82.1617 0.540044
82.2374 0.539689
82.2753 0.539513
82.3132 0.539340
82.3510 0.539170
82.3889 0.539003
82.4647 0.538682
82.5404 0.538380
82.5632 0.538293
82.6316 0.538043
82.7169 0.537749
82.8022 0.537471
82.8875 0.537207
82.9728 0.536957
83.3139 0.536095
83.9963 0.534956
84.6787 0.534656
85.3610 0.535230
86.3195 0.537577
87.2780 0.541728
88.2365 0.547804
89.1950 0.555938
90.1535 0.566159
91.1120 0.578692
92.0706 0.593649
93.0291 0.611163
93.9004 0.629556
94.7718 0.650434
95.6432 0.673947
96.5145 0.700357
97.3859 0.729963
98.2573 0.763002
99.1286 0.799745
99.2376 0.804599
99.3465 0.809545
99.4009 0.812058
99.4282 0.813325
99.4554 0.814600
99.4826 0.815885
99.5099 0.817179
99.5371 0.818486
99.5643 0.819808
99.5916 0.821148
99.6188 0.822510
99.6460 0.823899
99.6732 0.825321
99.7005 0.826781
99.7277 0.828285
99.7549 0.829839
99.7822 0.831446
99.8094 0.833110
99.8366 0.834832
99.8911 0.838445
99.9455 0.842249
100.000 0.846169
100.106 0.853795
100.198 0.859935
100.289 0.865538
100.380 0.870718
100.471 0.875671
100.654 0.885447
100.836 0.895409
101.566 0.937345
102.295 0.983105
103.025 1.03313
103.755 1.08780
104.485 1.14710
105.214 1.21271
105.944 1.28483
106.528 1.34776
107.111 1.41582
107.695 1.48958
108.279 1.56966
108.863 1.65678
109.446 1.75178
110.030 1.85567
110.614 1.96954
111.198 2.09481
111.781 2.23303
112.365 2.38617
112.657 2.46904
112.949 2.55651
113.241 2.64899
113.533 2.74688
113.825 2.85063
114.116 2.96067
114.408 3.07765
114.700 3.20213
114.992 3.33485
115.284 3.47650
115.655 3.67124
116.027 3.88404
116.398 4.11692
116.770 4.37199
117.141 4.65475
117.513 4.96840
117.884 5.31754
118.070 5.50714
118.256 5.70787
118.545 6.04536
118.835 6.41608
119.124 6.82502
119.414 7.27747
119.703 7.78043
119.993 8.34152
120.138 8.64694
120.283 8.97066
120.427 9.31422
120.572 9.67918
120.729 10.1022
120.808 10.3249
120.886 10.5557
120.965 10.7953
121.043 11.0437
121.200 11.5691
121.297 11.9140
121.394 12.2752
121.491 12.6539
121.588 13.0505
121.782 13.9056
121.976 14.8520
122.170 15.9048
122.267 16.4756
122.364 17.0785
122.461 17.7173
122.558 18.3939
122.655 19.1133
122.752 19.8778
122.881 20.9758
123.010 22.1727
123.140 23.4802
123.269 24.9127
123.398 26.4865
123.528 28.2211
123.657 30.1393
123.786 32.2664
123.915 34.6381
123.980 35.9279
124.045 37.2914
124.109 38.7390
124.174 40.2730
124.239 41.9056
124.303 43.6399
124.368 45.4904
124.433 47.4615
124.497 49.5706
124.562 51.8236
124.627 54.2415
124.691 56.8325
124.756 59.6226
124.820 62.6234
124.891 66.1759
124.962 70.0417
125.032 74.2655
125.103 78.8937
125.173 83.9875
125.244 89.5955
125.314 95.7984
125.385 102.684
125.449 109.693
125.514 117.448
125.579 126.088
125.611 130.770
125.643 135.724
125.676 140.986
125.708 146.549
125.740 152.455
125.773 158.732
125.805 165.413
125.837 172.534
125.869 180.134
125.902 188.258
125.952 201.986
125.977 209.433
126.002 217.276
126.027 225.612
126.052 234.448
126.077 243.827
126.102 253.752
126.127 264.355
126.152 275.653
126.177 287.710
126.201 300.544
126.226 314.336
126.251 329.125
126.276 345.011
126.301 362.035
126.334 386.190
126.366 412.820
126.398 442.363
126.431 475.253
126.447 493.165
126.463 512.117
126.479 532.187
126.495 553.324
126.512 575.882
126.528 599.679
126.544 625.115
126.560 651.988
126.576 680.754
126.592 711.380
126.609 744.006
126.625 778.558
126.641 815.618
126.657 854.892
126.673 897.040
126.689 941.716
126.705 989.660
126.722 1040.80
126.738 1095.32
126.754 1153.04
126.770 1214.89
126.786 1280.29
126.802 1350.23
126.819 1424.03
126.839 1524.93
126.860 1633.38
126.880 1749.60
126.901 1873.13
126.921 2005.22
126.942 2144.52
126.963 2292.22
126.983 2446.52
127.015 2704.05
127.048 2974.83
127.112 3541.43
127.156 3921.36
127.199 4281.77
127.221 4449.20
127.242 4603.93
127.264 4745.09
127.286 4869.21
127.314 5005.47
127.343 5105.18
127.371 5165.94
127.400 5185.94
127.423 5171.65
127.447 5130.18
127.470 5062.38
127.493 4970.04
127.516 4854.16
127.540 4717.93
127.563 4562.67
127.586 4392.47
127.627 4059.90
127.669 3704.33
127.751 2981.79
127.793 2632.77
127.814 2467.27
127.835 2309.54
127.856 2158.64
127.877 2015.72
127.898 1880.97
127.919 1755.05
127.940 1636.71
127.961 1526.41
127.982 1423.91
128.003 1329.33
128.024 1241.42
