Xe-128(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.812500 5.68066
0.875000 5.65864
0.937500 5.63886
1.00000 5.62092
1.06250 5.60459
1.12500 5.58966
1.25000 5.56327
1.37500 5.54062
1.50000 5.52095
1.62500 5.50368
1.75000 5.48844
1.87500 5.47487
2.00000 5.46269
2.16406 5.44859
2.32813 5.43634
2.49219 5.42567
2.65625 5.41642
2.75000 5.41175
2.93750 5.40356
3.12500 5.39684
3.31250 5.39154
3.50000 5.38764
3.68750 5.38513
3.87500 5.38405
4.06250 5.38447
4.25000 5.38648
4.43750 5.39022
4.62500 5.39587
4.81250 5.40364
5.00000 5.41378
5.17934 5.42606
5.35869 5.44127
5.53803 5.45982
5.71737 5.48228
5.80704 5.49524
5.89671 5.50942
5.98638 5.52507
6.07605 5.54215
6.16573 5.56092
6.25540 5.58131
6.34507 5.60393
6.43474 5.62885
6.53857 5.66087
6.64240 5.69671
6.74623 5.73691
6.85006 5.78211
6.95389 5.83303
7.05772 5.89058
7.16155 5.95582
7.26538 6.03004
7.35977 6.10663
7.45416 6.19336
7.50135 6.24106
7.54855 6.29197
7.59574 6.34638
7.64294 6.40458
7.69013 6.46693
7.73733 6.53379
7.78452 6.60561
7.83172 6.68282
7.87892 6.76588
7.92611 6.85529
7.97331 6.95181
8.02050 7.05641
8.07242 7.18191
8.12433 7.31951
8.17625 7.47068
8.22816 7.63719
8.28008 7.82113
8.33199 8.02494
8.38391 8.25149
8.43582 8.50421
8.48773 8.78719
8.51369 8.94153
8.53965 9.10535
8.56561 9.27942
8.59156 9.46461
8.61752 9.66186
8.64348 9.87223
8.66944 10.0969
8.69539 10.3371
8.72135 10.5944
8.74731 10.8703
8.77327 11.1666
8.79922 11.4854
8.82518 11.8288
8.85114 12.1994
8.87946 12.6382
8.90777 13.1175
8.93609 13.6425
8.96441 14.2192
8.99272 14.8547
9.02104 15.5568
9.04936 16.3353
9.07768 17.2012
9.10363 18.0835
9.12959 19.0632
9.15555 20.1550
9.16853 20.7484
9.18151 21.3767
9.19448 22.0429
9.20746 22.7499
9.22044 23.5011
9.23342 24.3003
9.24640 25.1517
9.25938 26.0599
9.27236 27.0301
9.28534 28.0679
9.30421 29.7120
9.32309 31.5363
9.34197 33.5682
9.35141 34.6721
9.36085 35.8410
9.37029 37.0799
9.37973 38.3949
9.38917 39.7922
9.39860 41.2790
9.40804 42.8632
9.41748 44.5538
9.42692 46.3606
9.43636 48.2946
9.44934 51.1849
9.46232 54.3770
9.47530 57.9154
9.48828 61.8530
9.49477 63.9916
9.50125 66.2548
9.50774 68.6535
9.51423 71.1985
9.52072 73.9030
9.52721 76.7804
9.53370 79.8466
9.54019 83.1192
9.54639 86.4543
9.55258 90.0143
9.55877 93.8219
9.56497 97.9004
9.57116 102.279
9.57736 106.987
9.58355 112.060
9.58975 117.539
9.59594 123.471
9.60213 129.905
9.60833 136.903
9.61452 144.531
9.62072 152.867
9.62691 161.997
9.63311 172.021
9.63620 177.402
9.63930 183.050
9.64255 189.272
9.64579 195.824
9.64904 202.728
9.65228 210.003
9.65552 217.678
9.65877 225.775
9.66201 234.320
9.66526 243.338
9.66850 252.864
9.67175 262.925
9.67499 273.552
9.67824 284.774
9.68148 296.633
9.68473 309.156
9.68797 322.386
9.69122 336.352
9.69358 346.999
9.69594 358.073
9.69830 369.587
9.70065 381.551
9.70301 393.991
9.70537 406.916
9.70773 420.342
9.71009 434.275
9.71334 454.308
9.71658 475.377
9.71983 497.516
9.72307 520.752
9.72632 545.128
9.72956 570.666
9.73281 597.390
9.73605 625.312
9.73826 645.061
9.74048 665.373
9.74269 686.262
9.74490 707.727
9.74711 729.780
9.74933 752.400
9.75154 775.594
9.75375 799.358
9.75699 835.241
9.76024 872.303
9.76348 910.536
9.76673 949.876
9.76997 990.299
9.77322 1031.73
9.77646 1074.11
9.77971 1117.34
9.78472 1185.68
9.78974 1255.49
9.79475 1326.39
9.79976 1397.88
9.80625 1490.45
9.81274 1581.92
9.81923 1670.97
9.82572 1756.22
9.83516 1870.56
9.83988 1922.26
9.84460 1969.62
9.85271 2039.59
9.85677 2068.58
9.86083 2093.27
9.86488 2113.47
9.86894 2129.01
9.87299 2139.77
9.87705 2145.67
9.88000 2146.88
9.88738 2138.56
9.89475 2114.28
9.89909 2092.77
9.90343 2066.17
9.90777 2034.70
9.91211 1998.67
9.91645 1958.38
9.92079 1914.20
9.92514 1866.49
9.92948 1815.66
9.93573 1737.69
9.94199 1655.33
9.94824 1569.81
9.95450 1482.33
9.96133 1386.02
9.96815 1290.12
9.97498 1195.86
9.98180 1104.29
9.99090 987.868
9.99545 932.540
10.0000 879.334
10.0067 804.861
10.0134 735.580
10.0202 671.380
10.0235 641.224
10.0269 612.434
10.0302 584.821
10.0336 558.453
10.0369 533.301
10.0403 509.408
10.0437 486.596
10.0470 464.906
10.0504 444.299
10.0537 424.793
10.0571 406.232
10.0604 388.636
10.0638 371.964
10.0672 356.219
10.0705 341.268
10.0739 327.119
10.0772 313.730
10.0806 301.101
10.0839 289.119
10.0873 277.784
10.0907 267.062
10.0940 256.947
10.0974 247.347
10.1007 238.287
10.1041 229.684
10.1074 221.559
10.1123 210.458
10.1172 200.207
10.1221 190.691
10.1270 181.884
10.1319 173.689
10.1367 166.086
10.1416 159.005
10.1465 152.403
10.1514 146.226
10.1563 140.462
10.1612 135.064
10.1660 130.001
10.1709 125.236
10.1758 120.765
10.1807 116.554
10.1856 112.583
10.1923 107.474
10.1990 102.748
10.2057 98.3552
10.2124 94.2746
10.2191 90.4654
10.2259 86.9132
10.2326 83.5898
10.2393 80.4750
10.2460 77.5470
10.2527 74.7984
10.2594 72.2107
10.2661 69.7709
10.2728 67.4645
10.2796 65.2878
10.2930 61.2767
10.3064 57.6665
10.3198 54.4067
10.3333 51.4522
10.3467 48.7653
10.3601 46.3139
10.3736 44.0706
10.3870 42.0122
10.4004 40.1197
10.4132 38.4493
10.4260 36.8997
10.4389 35.4594
10.4517 34.1190
10.4645 32.8675
10.4773 31.6979
10.4901 30.6031
10.5029 29.5775
10.5158 28.6138
10.5286 27.7078
10.5414 26.8549
10.5542 26.0517
10.5670 25.2930
10.5798 24.5769
10.5927 23.8989
10.6055 23.2575
10.6189 22.6210
10.6323 22.0185
10.6592 20.9064
10.6861 19.9043
10.7129 18.9983
10.7398 18.1757
10.7666 17.4270
10.7935 16.7430
10.8203 16.1168
10.8374 15.7453
10.8545 15.3931
10.8887 14.7413
10.9229 14.1522
10.9570 13.6180
10.9912 13.1318
11.0254 12.6879
11.0596 12.2813
11.0938 11.9079
11.1206 11.6353
11.1475 11.3795
11.1743 11.1392
11.2012 10.9132
11.2280 10.7002
11.2549 10.4993
11.2818 10.3096
11.3086 10.1303
11.3355 9.96047
11.3623 9.79965
11.4160 9.50225
11.4697 9.23367
11.5234 8.99024
11.5772 8.76883
11.6309 8.56687
11.6846 8.38207
11.7383 8.21250
11.7920 8.05649
11.8457 7.91262
11.8994 7.77963
11.9531 7.65648
12.0215 7.51255
12.0899 7.38121
12.1582 7.26077
12.2266 7.15006
12.2949 7.04812
12.3633 6.95404
12.4317 6.86700
12.5000 6.78632
12.5537 6.72694
12.6074 6.67083
12.6611 6.61773
12.7149 6.56743
12.7686 6.51972
12.8223 6.47442
12.9297 6.39040
13.0371 6.31420
13.1445 6.24483
13.2520 6.18146
13.3594 6.12338
13.4863 6.06075
13.6133 6.00382
13.7402 5.95189
13.8672 5.90434
13.9942 5.86071
14.1211 5.82065
14.2481 5.78349
14.3750 5.74901
14.5313 5.70991
14.6875 5.67406
14.8438 5.64109
15.0000 5.61065
15.1074 5.59106
15.2149 5.57245
15.3223 5.55475
15.4297 5.53790
15.6445 5.50651
15.8594 5.47785
16.0742 5.45156
16.2891 5.42736
16.5039 5.40500
16.7188 5.38425
16.9141 5.36665
17.1094 5.35012
17.3047 5.33456
17.5000 5.31992
17.8125 5.29810
18.1250 5.27798
18.4375 5.25941
18.7500 5.24217
19.0625 5.22611
19.3750 5.21109
19.6875 5.19699
20.0000 5.18370
20.2930 5.17191
20.5859 5.16080
20.8789 5.15011
21.1719 5.13997
21.4649 5.13018
21.7578 5.12085
22.3438 5.10323
22.9297 5.08690
23.5156 5.07165
24.1016 5.05732
24.6875 5.04379
25.3906 5.02853
26.0938 5.01412
26.7969 5.00051
27.5000 4.98757
28.4375 4.97124
29.3750 4.95582
30.3125 4.94119
31.2500 4.92726
32.1875 4.91394
33.1250 4.90116
34.0625 4.88888
35.0000 4.87705
35.9375 4.86561
36.8750 4.85454
37.8125 4.84381
38.7500 4.83340
39.6875 4.82327
40.6250 4.81342
42.5000 4.79445
44.3750 4.77635
46.2500 4.75905
48.1250 4.74245
50.0000 4.72648
51.5625 4.71363
53.1250 4.70115
54.6875 4.68901
56.2500 4.67721
57.8125 4.66572
59.3750 4.65451
60.9375 4.64357
62.5000 4.63290
65.6250 4.61226
68.7500 4.59249
71.8750 4.57350
75.0000 4.55524
78.1250 4.53763
81.2500 4.52061
84.3750 4.50414
87.5000 4.48817
90.6250 4.47265
93.7500 4.45756
96.8750 4.44285
100.000 4.42849
103.125 4.41446
106.250 4.40073
109.375 4.38727
112.500 4.37405
115.625 4.36106
118.750 4.34827
121.875 4.33566
125.000 4.32321
128.125 4.31090
131.250 4.29871
134.375 4.28662
137.500 4.27462
140.625 4.26267
143.750 4.25077
146.875 4.23889
150.000 4.22702
153.125 4.21512
156.250 4.20319
160.938 4.18515
165.625 4.16689
170.313 4.14828
175.000 4.12925
178.125 4.11624
181.250 4.10291
184.375 4.08922
187.500 4.07511
190.625 4.06049
193.750 4.04528
195.313 4.03743
196.875 4.02937
198.438 4.02111
200.000 4.01261
202.028 4.00120
204.055 3.98932
206.083 3.97691
208.111 3.96385
209.125 3.95708
210.139 3.95008
211.152 3.94292
212.166 3.93552
213.180 3.92786
214.194 3.91998
215.208 3.91182
216.222 3.90337
217.284 3.89414
218.346 3.88451
219.408 3.87444
220.470 3.86390
221.532 3.85283
222.594 3.84117
223.656 3.82886
224.719 3.81583
225.588 3.80455
226.457 3.79267
227.326 3.78013
228.195 3.76685
229.064 3.75273
229.498 3.74534
229.933 3.73771
230.367 3.72985
230.802 3.72169
231.236 3.71323
231.671 3.70446
232.202 3.69329
232.733 3.68159
233.264 3.66930
233.795 3.65639
234.326 3.64280
234.857 3.62845
235.388 3.61329
235.919 3.59724
236.402 3.58179
236.885 3.56546
237.126 3.55693
237.368 3.54815
237.609 3.53911
237.850 3.52979
238.092 3.52018
238.333 3.51025
238.575 3.50001
238.816 3.48944
239.057 3.47851
239.299 3.46723
239.540 3.45556
239.781 3.44348
240.047 3.42968
240.313 3.41533
240.578 3.40039
240.844 3.38485
241.109 3.36866
241.375 3.35180
241.640 3.33423
241.906 3.31591
242.171 3.29681
242.304 3.28696
242.437 3.27691
242.570 3.26664
242.702 3.25617
242.835 3.24549
242.968 3.23459
243.101 3.22348
243.233 3.21215
243.366 3.20062
243.499 3.18889
243.632 3.17695
243.764 3.16483
243.897 3.15252
244.030 3.14007
244.175 3.12631
244.320 3.11242
244.465 3.09844
244.609 3.08444
244.754 3.07046
244.899 3.05663
245.044 3.04306
245.189 3.02988
245.321 3.01830
245.454 3.00740
245.587 2.99741
245.720 2.98860
245.786 2.98475
245.853 2.98133
245.919 2.97841
245.985 2.97606
246.052 2.97434
246.118 2.97334
246.184 2.97316
246.251 2.97391
246.353 2.97717
246.456 2.98349
246.559 2.99351
246.610 3.00017
246.661 3.00807
246.712 3.01736
246.764 3.02819
246.815 3.04071
246.866 3.05514
246.918 3.07167
246.969 3.09056
247.020 3.11207
247.072 3.13652
247.138 3.17312
247.204 3.21615
247.271 3.26667
247.337 3.32590
247.403 3.39556
247.470 3.47752
247.503 3.52382
247.536 3.57413
247.569 3.62883
247.603 3.68817
247.636 3.75301
247.669 3.82374
247.702 3.90102
247.735 3.98555
247.769 4.07822
247.802 4.17999
247.835 4.29204
247.868 4.41575
247.901 4.55277
247.935 4.70510
247.968 4.87515
248.001 5.06593
248.034 5.28114
248.067 5.52544
248.101 5.80466
248.134 6.12518
248.152 6.32262
248.170 6.53617
248.188 6.76894
248.206 7.02331
248.224 7.30196
248.242 7.60796
248.260 7.94478
248.279 8.31637
248.297 8.72721
248.315 9.18236
248.333 9.68751
248.342 9.96236
248.351 10.2491
248.360 10.5550
248.369 10.8743
248.378 11.2152
248.387 11.5712
248.396 11.9515
248.405 12.3489
248.414 12.7735
248.423 13.2173
248.432 13.6916
248.441 14.1876
248.451 14.7177
248.460 15.2721
248.469 15.8647
248.478 16.4843
248.487 17.1466
248.496 17.8391
248.505 18.5792
248.514 19.3528
248.523 20.1793
248.532 21.0429
248.541 21.9653
248.550 22.9286
248.559 23.9570
248.568 25.0306
248.578 26.2796
248.588 27.5899
248.598 28.9775
248.607 30.4465
248.617 32.0007
248.627 33.6445
248.637 35.3820
248.647 37.2177
248.655 38.8524
248.663 40.5635
248.672 42.3538
248.680 44.2261
248.688 46.1833
248.696 48.2283
248.705 50.3639
248.713 52.5659
248.721 54.9192
248.730 57.3448
248.738 59.8728
248.746 62.5063
248.755 65.2483
248.763 68.1015
248.771 71.0688
248.779 74.1531
248.788 77.3572
248.796 80.6837
248.804 84.1352
248.813 87.7143
248.829 95.2651
248.846 103.304
248.862 111.944
248.879 121.152
248.896 130.938
248.912 141.311
248.929 152.274
248.945 163.827
248.962 175.966
248.979 188.681
248.995 201.958
249.012 215.778
249.028 230.114
249.045 244.846
249.061 260.115
249.078 275.791
249.111 308.162
249.145 341.601
249.178 375.361
249.211 408.821
249.244 441.412
249.277 472.609
249.310 501.402
249.333 519.395
249.356 535.699
249.389 556.270
249.405 564.957
249.422 572.476
249.441 579.716
249.461 585.200
249.480 588.979
249.500 590.882
249.504 591.041
249.517 591.027
249.530 590.217
249.555 586.229
249.574 581.449
249.592 575.157
249.610 567.665
249.627 558.906
249.656 541.880
249.685 521.962
249.720 494.125
249.755 463.371
249.791 430.372
249.826 396.059
249.893 329.881
249.927 297.706
249.961 266.787
249.978 251.141
249.996 236.085
250.014 221.486
250.031 207.542
250.049 194.119
250.066 181.386
250.084 169.279
250.102 157.803
250.124 144.052
250.135 137.589
250.147 131.377
250.158 125.413
250.169 119.695
250.180 114.217
250.191 108.974
250.203 103.920
250.214 99.1367
250.225 94.5736
250.236 90.2245
250.247 86.0833
250.259 82.1435
250.270 78.3986
250.281 74.8419
250.299 69.5883
250.316 64.7870
250.334 60.3808
250.352 56.3435
250.369 52.6296
250.387 49.2559
250.404 46.1765
250.422 43.3683
250.440 40.7955
250.457 38.4663
250.475 36.3458
250.493 34.4157
250.510 32.6492
250.528 31.0503
250.545 29.5938
250.563 28.2661
250.581 27.0482
250.598 25.9424
250.616 24.9312
250.634 24.0049
250.651 23.1506
250.669 22.3700
250.686 21.6513
250.704 20.9881
250.722 20.3715
250.739 19.8033
250.757 19.2756
250.775 18.7842
250.792 18.3231
250.810 17.8944
250.827 17.4924
250.845 17.1147
250.877 16.4812
250.909 15.9113
250.941 15.3921
250.973 14.9194
251.005 14.4840
251.037 14.0837
251.069 13.7118
251.101 13.3671
251.134 13.0447
251.166 12.7441
251.198 12.4613
