Recomputed-Ag_n-g
> 47-Ag-109:0.481610
> 47-Ag-107:0.518390
5.781250e-04 4.14359855e+02
5.937500e-04 4.08872606e+02
6.093750e-04 4.03597639e+02
6.250000e-04 3.98522175e+02
6.406250e-04 3.93633324e+02
6.562500e-04 3.88920342e+02
6.718750e-04 3.84372860e+02
6.875000e-04 3.79980987e+02
7.187500e-04 3.71631176e+02
7.500000e-04 3.63808865e+02
7.812500e-04 3.56460345e+02
8.125000e-04 3.49540833e+02
8.437500e-04 3.43008919e+02
8.750000e-04 3.36830671e+02
9.062500e-04 3.30974013e+02
9.375000e-04 3.25413386e+02
9.687500e-04 3.20123640e+02
1.000000e-03 3.15084069e+02
1.031250e-03 3.10275522e+02
1.062500e-03 3.05680739e+02
1.093750e-03 3.01283939e+02
1.125000e-03 2.97071826e+02
1.156250e-03 2.93032102e+02
1.187500e-03 2.89152468e+02
1.218750e-03 2.85423036e+02
1.250000e-03 2.81834952e+02
1.281250e-03 2.78377882e+02
1.312500e-03 2.75045936e+02
1.343750e-03 2.71830706e+02
1.375000e-03 2.68725784e+02
1.437500e-03 2.62821825e+02
1.500000e-03 2.57292202e+02
1.562500e-03 2.52096985e+02
1.625000e-03 2.47204688e+02
1.687500e-03 2.42586718e+02
1.750000e-03 2.38217958e+02
1.812500e-03 2.34077742e+02
1.875000e-03 2.30146362e+02
1.937500e-03 2.26406559e+02
2.000000e-03 2.22843588e+02
2.093750e-03 2.17801536e+02
2.187500e-03 2.13087518e+02
2.281250e-03 2.08667012e+02
2.375000e-03 2.04510535e+02
2.468750e-03 2.00593898e+02
2.562500e-03 1.96893987e+02
2.656250e-03 1.93391579e+02
2.750000e-03 1.90070413e+02
2.843750e-03 1.86914745e+02
2.937500e-03 1.83910760e+02
3.031250e-03 1.81048161e+02
3.125000e-03 1.78315057e+02
3.218750e-03 1.75702150e+02
3.312500e-03 1.73201552e+02
3.406250e-03 1.70804372e+02
3.500000e-03 1.68504721e+02
3.593750e-03 1.66295191e+02
3.687500e-03 1.64171063e+02
3.781250e-03 1.62125705e+02
3.875000e-03 1.60155741e+02
3.968750e-03 1.58255918e+02
4.062500e-03 1.56421998e+02
4.250000e-03 1.52938311e+02
4.437500e-03 1.49678032e+02
4.625000e-03 1.46618649e+02
4.812500e-03 1.43739493e+02
5.000000e-03 1.41023665e+02
5.156250e-03 1.38875282e+02
5.312500e-03 1.36822205e+02
5.468750e-03 1.34857546e+02
5.625000e-03 1.32975480e+02
5.781250e-03 1.31170445e+02
5.937500e-03 1.29437461e+02
6.093750e-03 1.27771226e+02
6.250000e-03 1.26167982e+02
6.406250e-03 1.24623649e+02
6.562500e-03 1.23135210e+02
6.718750e-03 1.21698739e+02
6.875000e-03 1.20311911e+02
7.187500e-03 1.17674936e+02
7.500000e-03 1.15204735e+02
7.812500e-03 1.12884408e+02
8.125000e-03 1.10698851e+02
8.437500e-03 1.08636419e+02
8.750000e-03 1.06685879e+02
9.062500e-03 1.04836625e+02
9.375000e-03 1.03081040e+02
9.687500e-03 1.01411063e+02
1.000000e-02 9.98201843e+01
1.031250e-02 9.83022538e+01
1.062500e-02 9.68521379e+01
1.093750e-02 9.54645323e+01
1.125000e-02 9.41355774e+01
1.156250e-02 9.28607615e+01
1.187500e-02 9.16364842e+01
1.218750e-02 9.04597824e+01
1.250000e-02 8.93278483e+01
1.281250e-02 8.82373927e+01
1.312500e-02 8.71866228e+01
1.343750e-02 8.61725085e+01
1.375000e-02 8.51928794e+01
1.437500e-02 8.33313205e+01
1.500000e-02 8.15875295e+01
1.562500e-02 7.99495869e+01
1.625000e-02 7.84070024e+01
1.687500e-02 7.69508196e+01
1.750000e-02 7.55736823e+01
1.812500e-02 7.42687007e+01
1.875000e-02 7.30296224e+01
1.937500e-02 7.18514173e+01
2.000000e-02 7.07287809e+01
2.066250e-02 6.95947137e+01
2.132500e-02 6.85142782e+01
2.198750e-02 6.74832479e+01
2.265000e-02 6.64979261e+01
2.331250e-02 6.55551125e+01
2.397500e-02 6.46517512e+01
2.463750e-02 6.37852308e+01
2.530000e-02 6.29531437e+01
2.645780e-02 6.15749736e+01
2.761560e-02 6.02848721e+01
2.877340e-02 5.90738271e+01
2.993130e-02 5.79341044e+01
3.108910e-02 5.68590552e+01
3.224690e-02 5.58427195e+01
3.340470e-02 5.48799748e+01
3.456250e-02 5.39661426e+01
3.552740e-02 5.32391706e+01
3.649220e-02 5.25412573e+01
3.745700e-02 5.18705839e+01
3.842190e-02 5.12253761e+01
3.938670e-02 5.06041597e+01
4.035160e-02 5.00054013e+01
4.131640e-02 4.94278747e+01
4.228130e-02 4.88703465e+01
4.421090e-02 4.78108034e+01
4.614060e-02 4.68188897e+01
4.807030e-02 4.58878119e+01
5.000000e-02 4.50115585e+01
5.156250e-02 4.43386891e+01
5.312500e-02 4.36959155e+01
5.468750e-02 4.30812225e+01
5.625000e-02 4.24924879e+01
5.781250e-02 4.19280855e+01
5.937500e-02 4.13863928e+01
6.093750e-02 4.08659283e+01
6.250000e-02 4.03653178e+01
6.406250e-02 3.98834759e+01
6.562500e-02 3.94190728e+01
6.718750e-02 3.89764451e+01
6.875000e-02 3.85386903e+01
7.187500e-02 3.77168361e+01
7.500000e-02 3.69471948e+01
7.812500e-02 3.62246029e+01
8.125000e-02 3.55445672e+01
8.437500e-02 3.49031060e+01
8.750000e-02 3.42968670e+01
9.062500e-02 3.37226462e+01
9.375000e-02 3.31778877e+01
9.687500e-02 3.26601246e+01
1.000000e-01 3.21671901e+01
1.031250e-01 3.16972653e+01
1.062500e-01 3.12486205e+01
1.093750e-01 3.08196334e+01
1.125000e-01 3.04090703e+01
1.156250e-01 3.00155535e+01
1.187500e-01 2.96380458e+01
1.218750e-01 2.92755656e+01
1.250000e-01 2.89271757e+01
1.281250e-01 2.85919391e+01
1.312500e-01 2.82691186e+01
1.343750e-01 2.79615854e+01
1.375000e-01 2.76575254e+01
1.437500e-01 2.70870773e+01
1.500000e-01 2.65532848e+01
1.562500e-01 2.60526476e+01
1.625000e-01 2.55820172e+01
1.687500e-01 2.51386303e+01
1.750000e-01 2.47200312e+01
1.812500e-01 2.43239938e+01
1.875000e-01 2.39487992e+01
1.937500e-01 2.35927214e+01
2.000000e-01 2.32542825e+01
2.046880e-01 2.30140086e+01
2.093750e-01 2.27765678e+01
2.187500e-01 2.23310824e+01
2.281250e-01 2.19144703e+01
2.375000e-01 2.15240239e+01
2.468750e-01 2.11572280e+01
2.562500e-01 2.08119196e+01
2.656250e-01 2.04861724e+01
2.750000e-01 2.01783640e+01
