>,08-O-18:0.002050
1.000000e-05,9.62184389e-03
1.093100e-05,9.20335526e-03
1.193400e-05,8.80803199e-03
1.250000e-05,8.61040936e-03
1.287000e-05,8.48158110e-03
1.386700e-05,8.17111506e-03
1.480800e-05,7.90706997e-03
1.500000e-05,7.85817372e-03
1.580100e-05,7.65483952e-03
1.674400e-05,7.43635078e-03
1.773400e-05,7.22584184e-03
1.958900e-05,6.87487471e-03
2.000000e-05,6.80373435e-03
2.160100e-05,6.54714736e-03
2.346900e-05,6.28135558e-03
2.546900e-05,6.02957791e-03
2.734500e-05,5.81873248e-03
2.750000e-05,5.80304416e-03
2.933600e-05,5.61798018e-03
3.122000e-05,5.44590923e-03
3.320300e-05,5.28071167e-03
3.500000e-05,5.14321740e-03
3.501200e-05,5.14230193e-03
3.690200e-05,5.00900541e-03
3.887600e-05,4.88021897e-03
4.093700e-05,4.75573136e-03
4.250000e-05,4.67058499e-03
4.466500e-05,4.55293870e-03
4.867200e-05,4.36147729e-03
5.000000e-05,4.30310697e-03
5.242000e-05,4.20272332e-03
5.640600e-05,4.05158035e-03
6.017000e-05,3.92273720e-03
6.250000e-05,3.85024072e-03
6.414100e-05,3.79932506e-03
6.791600e-05,3.69228493e-03
7.187500e-05,3.58913994e-03
7.500000e-05,3.51657846e-03
7.929500e-05,3.41716471e-03
8.734300e-05,3.25602394e-03
9.481500e-05,3.12501948e-03
1.000000e-04,3.04279213e-03
1.028100e-04,3.00097190e-03
1.103200e-04,2.89709734e-03
1.182800e-04,2.79789821e-03
1.250000e-04,2.72193413e-03
1.258200e-04,2.71268999e-03
1.337500e-04,2.63110667e-03
1.485500e-04,2.49655285e-03
1.500000e-04,2.48525631e-03
1.646900e-04,2.37119163e-03
1.796000e-04,2.27065301e-03
1.956200e-04,2.17559303e-03
2.000000e-04,2.15159314e-03
2.106200e-04,2.09674381e-03
2.265600e-04,2.02171679e-03
2.416200e-04,1.95770715e-03
2.575000e-04,1.89633918e-03
2.719400e-04,1.84521226e-03
2.750000e-04,1.83521870e-03
2.870500e-04,1.79602463e-03
3.193800e-04,1.70272427e-03
3.491700e-04,1.62840270e-03
3.500000e-04,1.62658668e-03
3.812500e-04,1.55843419e-03
4.112200e-04,1.50055115e-03
4.250000e-04,1.47675003e-03
4.431300e-04,1.44551382e-03
4.732200e-04,1.39881162e-03
5.000000e-04,1.36080509e-03
5.050000e-04,1.35405855e-03
5.640500e-04,1.28127017e-03
5.956700e-04,1.24678912e-03
6.250000e-04,1.21727344e-03
6.287500e-04,1.21351007e-03
6.883100e-04,1.15985479e-03
7.500000e-04,1.11121693e-03
7.525000e-04,1.10925169e-03
8.124100e-04,1.06762401e-03
8.762500e-04,1.02801981e-03
9.364200e-04,9.94425138e-04
1.000000e-03,9.62243291e-04
1.091500e-03,9.21074591e-04
1.189800e-03,8.82207390e-04
1.250000e-03,8.61081006e-04
1.281800e-03,8.49946705e-04
1.379700e-03,8.19242726e-04
1.472100e-03,7.93094367e-04
1.500000e-03,7.85919047e-04
1.569500e-03,7.68108394e-04
1.759400e-03,7.25499025e-04
1.941500e-03,6.90609016e-04
2.000000e-03,6.80415125e-04
2.139100e-03,6.57957235e-04
2.322500e-03,6.31465521e-04
2.518800e-03,6.06352535e-04
2.703000e-03,5.85296593e-04
2.750000e-03,5.80673922e-04
3.083400e-03,5.48022612e-04
3.278100e-03,5.31494732e-04
3.500000e-03,5.14849400e-04
3.641300e-03,5.04283656e-04
4.037500e-03,4.78909990e-04
4.250000e-03,4.67092414e-04
4.403600e-03,4.58567641e-04
4.796900e-03,4.39363884e-04
5.000000e-03,4.30337128e-04
5.556300e-03,4.08249336e-04
6.250000e-03,3.85099048e-04
6.315600e-03,3.82914548e-04
7.500000e-03,3.52302016e-04
7.803600e-03,3.44479841e-04
9.327400e-03,3.15094859e-04
1.000000e-02,3.04297941e-04
1.163100e-02,2.82172370e-04
1.250000e-02,2.72551875e-04
1.315000e-02,2.65372417e-04
1.500000e-02,2.49402289e-04
1.618800e-02,2.39181225e-04
1.922500e-02,2.19474915e-04
2.000000e-02,2.15172596e-04
2.374100e-02,1.97501554e-04
2.530000e-02,1.91312584e-04
2.756000e-02,1.83301218e-04
3.147500e-02,1.72336599e-04
3.467000e-02,1.63408568e-04
3.765000e-02,1.57010622e-04
3.935500e-02,1.53362321e-04
4.853700e-02,1.38081038e-04
5.000000e-02,1.36040144e-04
5.793800e-02,1.26374794e-04
6.250000e-02,1.22148421e-04
7.215100e-02,1.13229583e-04
7.500000e-02,1.11266205e-04
8.607550e-02,1.03662268e-04
1.000000e-01,9.61601246e-05
1.002600e-01,9.60359675e-05
1.190000e-01,8.81808422e-05
1.250000e-01,8.62867792e-05
1.468700e-01,7.94006442e-05
1.500000e-01,7.86286518e-05
1.656300e-01,7.47879780e-05
2.000000e-01,6.80770498e-05
2.127100e-01,6.60222791e-05
2.501900e-01,6.08951475e-05
2.750000e-01,5.83038937e-05
3.059300e-01,5.50865386e-05
3.500000e-01,5.16650945e-05
3.710900e-01,5.00339764e-05
4.362500e-01,4.61616048e-05
5.000000e-01,4.31240334e-05
5.114100e-01,4.26430577e-05
6.250000e-01,3.85917025e-05
7.469900e-01,3.53062175e-05
7.500000e-01,3.52457465e-05
9.283100e-01,3.16845820e-05
1.000000e+00,3.05298610e-05
1.050500e+00,2.98028970e-05
1.356900e+00,2.62900923e-05
1.500000e+00,2.50860044e-05
1.600900e+00,2.42412162e-05
1.963800e+00,2.19300274e-05
2.000000e+00,2.17341682e-05
2.203000e+00,2.07295627e-05
2.750000e+00,1.86280957e-05
2.812000e+00,1.83907326e-05
3.500000e+00,1.66284226e-05
3.790300e+00,1.58875287e-05
4.528800e+00,1.45601340e-05
5.000000e+00,1.38691787e-05
5.976100e+00,1.27511646e-05
6.954400e+00,1.18699533e-05
7.500000e+00,1.14875933e-05
8.432500e+00,1.08375716e-05
1.000000e+01,9.99883634e-06
1.038400e+01,9.83289436e-06
1.233600e+01,9.10780495e-06
1.428800e+01,8.53055542e-06
1.500000e+01,8.37058027e-06
1.810400e+01,7.67725385e-06
2.000000e+01,7.34379008e-06
2.014400e+01,7.32207496e-06
2.179200e+01,7.08810764e-06
2.750000e+01,6.44441516e-06
2.795100e+01,6.39374606e-06
3.162280e+01,6.07545525e-06
3.185500e+01,6.05965490e-06
3.500000e+01,5.87604636e-06
3.966300e+01,5.60518824e-06
4.258300e+01,5.46536594e-06
4.747000e+01,5.25816861e-06
5.000000e+01,5.16178256e-06
6.308500e+01,4.79632147e-06
6.337500e+01,4.78936373e-06
7.071070e+01,4.62625874e-06
7.500000e+01,4.56330245e-06
7.870100e+01,4.50941678e-06
8.416700e+01,4.43785007e-06
9.431600e+01,4.31917332e-06
1.000000e+02,4.25930021e-06
1.049600e+02,4.21995457e-06
1.099300e+02,4.18273273e-06
1.255500e+02,4.07747838e-06
1.257500e+02,4.07623079e-06
1.414210e+02,3.98549581e-06
1.465400e+02,3.97368670e-06
1.500000e+02,3.96612760e-06
1.567800e+02,3.95159729e-06
1.673300e+02,3.93051068e-06
1.880100e+02,3.89318146e-06
1.881200e+02,3.89299515e-06
2.000000e+02,3.87352292e-06
2.089200e+02,3.86860770e-06
2.192400e+02,3.86319919e-06
2.297100e+02,3.85795444e-06
2.504700e+02,3.84830990e-06
2.505000e+02,3.84829876e-06
2.712900e+02,3.83949100e-06
2.750000e+02,3.83804208e-06
2.920800e+02,3.83159877e-06
3.128800e+02,3.82437413e-06
3.129300e+02,3.82436287e-06
3.162280e+02,3.82326117e-06
3.336700e+02,3.84325614e-06
3.500000e+02,3.86104151e-06
3.544600e+02,3.86594040e-06
3.752500e+02,3.88761907e-06
3.753900e+02,3.88776643e-06
3.960400e+02,3.90827024e-06
3.976360e+02,3.90981050e-06
4.168300e+02,3.94523168e-06
4.376200e+02,3.98212328e-06
4.584200e+02,4.01765803e-06
4.792100e+02,4.05190608e-06
5.000000e+02,4.08497700e-06
5.003100e+02,4.08528341e-06
6.252300e+02,4.19811430e-06
7.071070e+02,4.26164955e-06
7.500000e+02,4.32282740e-06
7.501600e+02,4.32305620e-06
8.750800e+02,4.48768522e-06
1.000000e+03,4.63532563e-06
1.250000e+03,4.93666810e-06
1.414210e+03,5.11166407e-06
1.500000e+03,5.23358137e-06
2.000000e+03,5.87287209e-06
2.429200e+03,6.29472003e-06
2.500000e+03,6.35904847e-06
2.750000e+03,6.57095761e-06
3.000000e+03,6.78297078e-06
3.162280e+03,6.91067288e-06
3.500000e+03,7.25357630e-06
3.858400e+03,7.61758089e-06
4.000000e+03,7.75290169e-06
5.000000e+03,8.64591508e-06
5.287600e+03,8.85062873e-06
6.250000e+03,9.49080934e-06
6.716700e+03,9.78059738e-06
7.071070e+03,9.99268503e-06
7.500000e+03,1.02975266e-05
8.145900e+03,1.07409461e-05
8.750000e+03,1.11403792e-05
9.575100e+03,1.16646738e-05
1.000000e+04,1.19258715e-05
1.100400e+04,1.24356421e-05
1.243300e+04,1.31181548e-05
1.250000e+04,1.31490736e-05
1.386300e+04,1.37585700e-05
1.414210e+04,1.38791519e-05
1.500000e+04,1.43158133e-05
1.529200e+04,1.44617439e-05
1.672100e+04,1.51577803e-05
1.815000e+04,1.58263835e-05
1.957900e+04,1.64708455e-05
2.000000e+04,1.66563735e-05
2.100900e+04,1.70624575e-05
2.243800e+04,1.76209590e-05
2.386700e+04,1.81620031e-05
2.500000e+04,1.85795558e-05
2.529600e+04,1.86869863e-05
2.672500e+04,1.91974049e-05
2.750000e+04,1.94668939e-05
2.815500e+04,1.96946637e-05
2.958400e+04,2.01791631e-05
3.000000e+04,2.03180189e-05
3.101300e+04,2.06531880e-05
3.244200e+04,2.11167384e-05
3.387100e+04,2.15704129e-05
3.500000e+04,2.19215146e-05
3.530000e+04,2.20148119e-05
3.673000e+04,2.24507382e-05
3.815900e+04,2.28781853e-05
3.958800e+04,2.32977516e-05
4.000000e+04,2.34173568e-05
4.101700e+04,2.37100393e-05
4.244600e+04,2.41152459e-05
4.387600e+04,2.45140680e-05
