Yb-174(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 778.386
1.03125E-05 766.501
1.06250E-05 755.145
1.09375E-05 744.279
1.12500E-05 733.869
1.15625E-05 723.884
1.18750E-05 714.296
1.21875E-05 705.079
1.25000E-05 696.209
1.28125E-05 687.667
1.31250E-05 679.431
1.34375E-05 671.484
1.37500E-05 663.810
1.43750E-05 649.219
1.50000E-05 635.549
1.56250E-05 622.709
1.62500E-05 610.616
1.68750E-05 599.202
1.75000E-05 588.404
1.81250E-05 578.171
1.87500E-05 568.453
1.93750E-05 559.209
2.00000E-05 550.402
2.09375E-05 537.939
2.18750E-05 526.285
2.28125E-05 515.358
2.37500E-05 505.084
2.46875E-05 495.401
2.56250E-05 486.254
2.65625E-05 477.596
2.75000E-05 469.385
2.84375E-05 461.583
2.93750E-05 454.157
3.03125E-05 447.079
3.12500E-05 440.322
3.21875E-05 433.862
3.31250E-05 427.678
3.40625E-05 421.752
3.50000E-05 416.065
3.59375E-05 410.602
3.68750E-05 405.349
3.78125E-05 400.293
3.87500E-05 395.421
3.96875E-05 390.723
4.06250E-05 386.188
4.25000E-05 377.573
4.43750E-05 369.510
4.62500E-05 361.943
4.81250E-05 354.822
5.00000E-05 348.105
5.15625E-05 342.790
5.31250E-05 337.712
5.46875E-05 332.852
5.62500E-05 328.197
5.78125E-05 323.732
5.93750E-05 319.444
6.09375E-05 315.322
6.25000E-05 311.355
6.40625E-05 307.535
6.56250E-05 303.852
6.71875E-05 300.298
6.87500E-05 296.866
7.18750E-05 290.340
7.50000E-05 284.227
7.81250E-05 278.485
8.12500E-05 273.077
8.43750E-05 267.972
8.75000E-05 263.143
9.06250E-05 258.567
9.37500E-05 254.221
9.68750E-05 250.087
0.000100000 246.148
0.000103125 242.390
0.000106250 238.799
0.000109375 235.363
0.000112500 232.071
0.000115625 228.913
0.000118750 225.881
0.000121875 222.967
0.000125000 220.162
0.000128125 217.461
0.000131250 214.856
0.000134375 212.343
0.000137500 209.916
0.000143750 205.302
0.000150000 200.980
0.000156250 196.919
0.000162500 193.095
0.000168750 189.486
0.000175000 186.071
0.000181250 182.835
0.000187500 179.762
0.000193750 176.839
0.000200000 174.054
0.000209375 170.113
0.000218750 166.428
0.000228125 162.972
0.000237500 159.723
0.000246875 156.661
0.000256250 153.769
0.000265625 151.031
0.000275000 148.434
0.000284375 145.967
0.000293750 143.619
0.000303125 141.381
0.000312500 139.244
0.000321875 137.201
0.000331250 135.246
0.000340625 133.372
0.000350000 131.573
0.000359375 129.846
0.000368750 128.185
0.000378125 126.586
0.000387500 125.045
0.000396875 123.560
0.000406250 122.126
0.000425000 119.401
0.000443750 116.852
0.000462500 114.459
0.000481250 112.207
0.000500000 110.083
0.000515625 108.402
0.000531250 106.797
0.000546875 105.260
0.000562500 103.788
0.000578125 102.376
0.000593750 101.020
0.000609375 99.7162
0.000625000 98.4620
0.000640625 97.2539
0.000656250 96.0892
0.000671875 94.9654
0.000687500 93.8802
0.000718750 91.8168
0.000750000 89.8838
0.000781250 88.0679
0.000812500 86.3578
0.000843750 84.7437
0.000875000 83.2168
0.000906250 81.7696
0.000937500 80.3954
0.000968750 79.0882
0.00100000 77.8428
0.00103125 76.6545
0.00106250 75.5190
0.00109375 74.4325
0.00112500 73.3915
0.00115625 72.3931
0.00118750 71.4344
0.00121875 70.5127
0.00125000 69.6259
0.00128125 68.7717
0.00131250 67.9482
0.00134375 67.1536
0.00137500 66.3862
0.00143750 64.9273
0.00150000 63.5605
0.00156250 62.2765
0.00162500 61.0674
0.00168750 59.9261
0.00175000 58.8464
0.00181250 57.8232
0.00187500 56.8515
0.00193750 55.9272
0.00200000 55.0466
0.00209375 53.8003
0.00218750 52.6351
0.00228125 51.5424
0.00237500 50.5151
0.00246875 49.5469
0.00256250 48.6323
0.00265625 47.7666
0.00275000 46.9455
0.00284375 46.1654
0.00293750 45.4230
0.00303125 44.7152
0.00312500 44.0396
0.00321875 43.3937
0.00331250 42.7754
0.00340625 42.1829
0.00350000 41.6143
0.00359375 41.0681
0.00368750 40.5429
0.00378125 40.0374
0.00387500 39.5503
0.00396875 39.0806
0.00406250 38.6272
0.00425000 37.7659
0.00443750 36.9598
0.00462500 36.2032
0.00481250 35.4913
0.00500000 34.8198
0.00515625 34.2885
0.00531250 33.7808
0.00546875 33.2950
0.00562500 32.8296
0.00578125 32.3832
0.00593750 31.9546
0.00609375 31.5425
0.00625000 31.1460
0.00640625 30.7641
0.00656250 30.3960
0.00671875 30.0407
0.00687500 29.6977
0.00718750 29.0454
0.00750000 28.4344
0.00781250 27.8604
0.00812500 27.3198
0.00843750 26.8096
0.00875000 26.3269
0.00906250 25.8694
0.00937500 25.4349
0.00968750 25.0217
0.0100000 24.6280
0.0103125 24.2524
0.0106250 23.8934
0.0109375 23.5500
0.0112500 23.2210
0.0115625 22.9055
0.0118750 22.6025
0.0121875 22.3112
0.0125000 22.0310
0.0128125 21.7611
0.0131250 21.5009
0.0134375 21.2498
0.0137500 21.0074
0.0143750 20.5464
0.0150000 20.1146
0.0156250 19.7089
0.0162500 19.3268
0.0168750 18.9662
0.0175000 18.6250
0.0181250 18.3016
0.0187500 17.9946
0.0193750 17.7025
0.0200000 17.4243
0.0206625 17.1432
0.0213250 16.8754
0.0219875 16.6198
0.0226500 16.3755
0.0233125 16.1417
0.0239750 15.9177
0.0246375 15.7028
0.0253000 15.4964
0.0264578 15.1545
0.0276156 14.8344
0.0287734 14.5338
0.0299313 14.2509
0.0310891 13.9840
0.0322469 13.7317
0.0334047 13.4926
0.0345625 13.2657
0.0355274 13.0851
0.0364922 12.9116
0.0374570 12.7449
0.0384219 12.5846
0.0393867 12.4301
0.0403516 12.2812
0.0413164 12.1376
0.0422813 11.9989
0.0442109 11.7353
0.0461406 11.4884
0.0480703 11.2566
0.0500000 11.0384
0.0515625 10.8708
0.0531250 10.7107
0.0546875 10.5574
0.0562500 10.4106
0.0578125 10.2699
0.0593750 10.1347
0.0609375 10.0048
0.0625000 9.87985
0.0640625 9.75952
0.0656250 9.64354
0.0671875 9.53167
0.0687500 9.42366
0.0718750 9.21829
0.0750000 9.02585
0.0781250 8.84503
0.0812500 8.67475
0.0843750 8.51404
0.0875000 8.36205
0.0906250 8.21802
0.0937500 8.08129
0.0968750 7.95125
0.100000 7.82739
0.103125 7.70922
0.106250 7.59633
0.109375 7.48834
0.112500 7.38490
0.115625 7.28570
0.118750 7.19047
0.121875 7.09894
0.125000 7.01089
0.128125 6.92613
0.131250 6.84445
0.134375 6.76570
0.137500 6.68968
0.143750 6.54515
0.150000 6.40968
0.156250 6.28242
0.162500 6.16261
0.168750 6.04957
0.175000 5.94269
0.181250 5.84144
0.187500 5.74535
0.193750 5.65404
0.200000 5.56714
0.209375 5.44419
0.218750 5.32920
0.228125 5.22141
0.237500 5.12014
0.246875 5.02476
0.256250 4.93474
0.265625 4.84958
0.275000 4.76888
0.284375 4.69226
0.293750 4.61940
0.303125 4.54999
0.312500 4.48378
0.321875 4.42054
0.331250 4.36005
0.340625 4.30211
0.350000 4.24657
0.359375 4.19326
0.368750 4.14203
0.378125 4.09277
0.387500 4.04535
0.396875 3.99971
0.406250 3.95576
0.425000 3.87229
0.443750 3.79415
0.462500 3.72094
0.500000 3.58768
0.531250 3.48798
0.562500 3.39677
0.593750 3.31317
0.625000 3.23620
0.687500 3.09913
0.750000 2.98058
0.812500 2.87694
0.875000 2.78577
0.937500 2.70476
1.00000 2.63210
1.06250 2.56682
1.12500 2.50793
1.18750 2.45460
1.25000 2.40620
1.37500 2.32208
1.50000 2.25224
1.62500 2.19437
1.75000 2.14704
1.87500 2.10899
2.00000 2.07925
2.15437 2.05418
2.30874 2.04200
2.42452 2.04198
2.54029 2.04901
2.65607 2.06651
2.77184 2.09515
2.88762 2.13750
2.94551 2.16479
3.00340 2.19688
3.06129 2.23454
3.11917 2.27856
3.17706 2.32990
3.23495 2.38930
3.28802 2.45265
3.34108 2.52652
3.39414 2.61238
3.44721 2.71259
3.50027 2.83016
3.52681 2.89662
3.55334 2.96895
3.57987 3.04782
3.60640 3.13401
3.63293 3.22840
3.65947 3.33199
3.69082 3.46785
3.72218 3.62022
3.75353 3.79201
3.78489 3.98719
3.81625 4.21014
3.83192 4.33357
3.84760 4.46597
3.86328 4.60821
3.87896 4.76129
3.89464 4.92632
3.91031 5.10458
3.93202 5.37599
3.95373 5.68005
3.97544 6.02218
3.99715 6.40892
4.00800 6.62145
4.01886 6.84827
4.02971 7.09071
4.04056 7.35028
4.05142 7.62869
4.06227 7.92786
4.07313 8.24994
4.08398 8.59737
4.09725 9.06049
4.11051 9.57132
4.12378 10.1367
4.13704 10.7646
4.15031 11.4648
4.16358 12.2489
4.17021 12.6766
4.17684 13.1308
4.18348 13.6137
4.19011 14.1278
4.20157 15.0974
4.20729 15.6254
4.21302 16.1852
4.21875 16.7795
4.22448 17.4112
4.23021 18.0836
4.23594 18.8002
4.24167 19.5652
4.24739 20.3830
4.25312 21.2588
4.25885 22.1981
4.26458 23.2077
4.27031 24.2944
4.27604 25.4670
4.28176 26.7343
4.28840 28.3348
4.29503 30.0966
4.30166 32.0425
4.30830 34.1993
4.31493 36.5992
4.32156 39.2806
4.32488 40.7412
4.32820 42.2896
4.33151 43.9341
4.33483 45.6817
4.33815 47.5421
4.34146 49.5240
4.34478 51.6391
4.34809 53.8979
4.35141 56.3144
4.35473 58.9014
4.35804 61.6759
4.36136 64.6531
4.36468 67.8531
4.36799 71.2941
4.37131 74.9999
4.37463 78.9917
4.37794 83.2971
4.38126 87.9404
4.38458 92.9528
4.38789 98.3614
4.39181 105.311
4.39573 112.911
4.39965 121.219
4.40357 130.287
4.40749 140.169
4.41141 150.911
4.41533 162.561
4.41925 175.148
4.42257 186.554
4.42588 198.654
4.42920 211.453
4.43251 224.934
4.43583 239.082
4.43915 253.856
4.44578 285.092
4.45302 321.159
4.46025 358.298
4.46705 392.978
4.47385 426.117
4.47725 441.666
4.48065 456.294
4.48405 469.820
4.48744 482.075
4.49026 491.163
4.49308 499.178
4.49590 506.051
4.49872 511.712
4.50154 516.109
4.50436 519.198
4.50718 520.950
4.51000 521.346
4.51345 519.988
4.51689 516.622
4.52034 511.302
4.52379 504.104
4.52723 495.135
4.53068 484.522
4.53412 472.414
4.53757 458.973
4.54133 442.995
4.54509 425.884
4.55030 400.751
4.55550 374.545
4.56071 347.861
4.56592 321.257
4.57339 284.163
4.57712 266.393
4.58086 249.293
4.58459 232.935
4.58833 217.387
4.59206 202.681
4.59579 188.846
4.59821 180.356
4.60063 172.235
4.60304 164.471
4.60546 157.066
4.60788 150.007
4.61029 143.290
4.61271 136.902
4.61513 130.836
4.61754 125.077
4.61996 119.618
4.62238 114.442
4.62479 109.540
4.62721 104.897
4.62963 100.505
4.63204 96.3473
4.63446 92.4138
4.63687 88.6905
4.63929 85.1692
4.64171 81.8357
4.64412 78.6822
4.64654 75.6958
4.64896 72.8690
4.65379 67.6531
4.65862 62.9652
4.66346 58.7436
4.66829 54.9334
4.67312 51.4870
4.67686 49.0447
4.68059 46.7764
4.68433 44.6666
4.68806 42.7016
4.69179 40.8679
4.69553 39.1549
4.69926 37.5515
4.70300 36.0494
4.70673 34.6395
4.71047 33.3151
4.71420 32.0686
4.71794 30.8947
4.72167 29.7872
4.72540 28.7418
4.73287 26.8178
4.73771 25.6798
4.74254 24.6169
4.74737 23.6227
4.75221 22.6912
4.75704 21.8173
4.76187 20.9963
4.76670 20.2238
4.77154 19.4964
4.77637 18.8103
4.78120 18.1624
4.79087 16.9706
4.80053 15.9013
4.81020 14.9383
4.81591 14.4135
4.82162 13.9185
4.83305 13.0094
4.84447 12.1953
4.85589 11.4635
4.86732 10.8031
4.87874 10.2051
4.89016 9.66176
4.90159 9.16662
4.91389 8.68087
4.92619 8.23860
4.93849 7.83477
4.95079 7.46508
4.96310 7.12580
4.97540 6.81372
4.98770 6.52601
5.00000 6.26021
5.01343 5.99248
5.02686 5.74575
5.04028 5.51787
5.05371 5.30696
5.06714 5.11136
5.08057 4.92965
5.09400 4.76054
5.10742 4.60292
5.12085 4.45576
5.13428 4.31817
5.16113 4.06854
5.18799 3.84849
5.21484 3.65355
5.23560 3.51778
5.25635 3.39342
5.27710 3.27927
5.29785 3.17428
5.31860 3.07746
5.33936 2.98791
5.36011 2.90486
5.38086 2.82769
5.42236 2.68896
5.46387 2.56823
5.50537 2.46258
5.54688 2.36962
5.58594 2.29199
5.62500 2.22257
5.66406 2.16025
5.70313 2.10414
5.74219 2.05354
5.78125 2.00789
5.85938 1.92840
5.93750 1.86169
6.01563 1.80560
6.09375 1.75810
6.17188 1.71764
6.25000 1.68299
6.32813 1.65322
6.40625 1.62784
6.56250 1.58668
6.71875 1.55558
6.87500 1.53246
7.03125 1.51561
7.18750 1.50381
7.34375 1.49617
7.50000 1.49221
7.81250 1.49288
8.12500 1.50315
8.43750 1.52186
8.75000 1.54834
9.06250 1.58242
9.37500 1.62427
9.68750 1.67434
10.0000 1.73331
10.3105 1.80199
10.6211 1.88189
10.9316 1.97457
11.2421 2.08286
11.3974 2.14335
11.5527 2.20927
11.7079 2.28014
11.8632 2.35702
12.0185 2.44109
12.1737 2.53182
12.3290 2.63067
12.4842 2.73802
12.6025 2.82729
12.7208 2.92307
12.8391 3.02601
12.9574 3.13679
13.0757 3.25624
13.1940 3.38527
13.3123 3.52493
13.4306 3.67638
13.5859 3.89542
13.7412 4.14081
13.8964 4.41698
13.9741 4.56823
14.0517 4.72929
14.1293 4.90103
14.2070 5.08440
14.2846 5.28048
14.3622 5.49050
14.4399 5.71584
14.5175 5.95780
14.5951 6.21744
14.6727 6.49711
14.7541 6.81537
14.8354 7.16189
14.9167 7.53965
14.9981 7.95254
15.0794 8.40508
15.1607 8.90255
15.2421 9.45117
15.3234 10.0582
15.4047 10.7324
15.4860 11.4841
15.5267 11.8929
15.5674 12.3258
15.6080 12.7850
15.6487 13.2725
15.6894 13.7909
15.7300 14.3426
15.7707 14.9308
15.8114 15.5587
15.8520 16.2300
15.8927 16.9488
15.9333 17.7195
15.9740 18.5474
16.0221 19.6070
16.0701 20.7645
16.1182 22.0335
16.1662 23.4301
16.2143 24.9727
16.2624 26.6818
16.3104 28.5817
16.3585 30.7015
16.3991 32.6940
16.4398 34.8948
16.4805 37.3355
16.5211 40.0511
16.5415 41.5262
16.5618 43.0863
16.5821 44.7392
16.6025 46.4922
16.6228 48.3537
16.6431 50.3328
16.6635 52.4398
16.6838 54.6859
16.7134 58.2284
16.7429 62.1349
16.7725 66.4603
16.8021 71.2641
16.8169 73.8698
16.8317 76.6249
16.8465 79.5413
