15-P_n-tot
>   15-P-31:1.000000
4.812500e-03 4.84529000e+00
5.000000e-03 4.82458000e+00
5.120000e-03 4.81205000e+00
5.261250e-03 4.79796000e+00
5.402500e-03 4.78455000e+00
5.543750e-03 4.77176000e+00
5.685000e-03 4.75955000e+00
5.826250e-03 4.74788000e+00
5.967500e-03 4.73671000e+00
6.250000e-03 4.71574000e+00
6.406250e-03 4.70487000e+00
6.562500e-03 4.69446000e+00
6.718750e-03 4.68449000e+00
6.875000e-03 4.67494000e+00
7.187500e-03 4.65695000e+00
7.500000e-03 4.64032000e+00
7.812500e-03 4.62488000e+00
8.125000e-03 4.61052000e+00
8.437500e-03 4.59712000e+00
8.750000e-03 4.58457000e+00
9.062500e-03 4.57281000e+00
9.375000e-03 4.56174000e+00
9.687500e-03 4.55132000e+00
1.000000e-02 4.54148000e+00
1.031250e-02 4.53217000e+00
1.062500e-02 4.52335000e+00
1.093750e-02 4.51498000e+00
1.125000e-02 4.50702000e+00
1.156250e-02 4.49945000e+00
1.187500e-02 4.49223000e+00
1.218750e-02 4.48533000e+00
1.250000e-02 4.47875000e+00
1.281250e-02 4.47245000e+00
1.312500e-02 4.46641000e+00
1.343750e-02 4.46062000e+00
1.375000e-02 4.45507000e+00
1.437500e-02 4.44459000e+00
1.500000e-02 4.43489000e+00
1.562500e-02 4.42587000e+00
1.625000e-02 4.41747000e+00
1.687500e-02 4.40960000e+00
1.750000e-02 4.40224000e+00
1.812500e-02 4.39531000e+00
1.875000e-02 4.38879000e+00
1.937500e-02 4.38263000e+00
2.000000e-02 4.37681000e+00
2.066250e-02 4.37097000e+00
2.132500e-02 4.36545000e+00
2.198750e-02 4.36022000e+00
2.265000e-02 4.35525000e+00
2.331250e-02 4.35052000e+00
2.397500e-02 4.34602000e+00
2.463750e-02 4.34173000e+00
2.530000e-02 4.33763000e+00
2.597540e-02 4.33363000e+00
2.665080e-02 4.32981000e+00
2.732620e-02 4.32615000e+00
2.800160e-02 4.32264000e+00
2.867700e-02 4.31927000e+00
2.935240e-02 4.31604000e+00
3.070310e-02 4.30993000e+00
3.205390e-02 4.30426000e+00
3.340470e-02 4.29899000e+00
3.475550e-02 4.29407000e+00
3.610630e-02 4.28946000e+00
3.697460e-02 4.28665000e+00
3.784300e-02 4.28394000e+00
3.957970e-02 4.27884000e+00
4.131640e-02 4.27411000e+00
4.305310e-02 4.26970000e+00
4.478990e-02 4.26558000e+00
4.652660e-02 4.26172000e+00
4.826330e-02 4.25810000e+00
5.000000e-02 4.25469000e+00
5.060000e-02 4.25356000e+00
5.208750e-02 4.25085000e+00
5.357500e-02 4.24827000e+00
5.506250e-02 4.24580000e+00
5.655000e-02 4.24345000e+00
5.803750e-02 4.24119000e+00
5.952500e-02 4.23903000e+00
6.101250e-02 4.23696000e+00
6.250000e-02 4.23498000e+00
6.406250e-02 4.23297000e+00
6.562500e-02 4.23105000e+00
6.718750e-02 4.22920000e+00
6.875000e-02 4.22742000e+00
7.187500e-02 4.22405000e+00
7.500000e-02 4.22092000e+00
7.812500e-02 4.21801000e+00
8.125000e-02 4.21527000e+00
8.437500e-02 4.21271000e+00
8.750000e-02 4.21030000e+00
9.062500e-02 4.20803000e+00
9.375000e-02 4.20588000e+00
9.687500e-02 4.20385000e+00
1.000000e-01 4.20192000e+00
1.031250e-01 4.20010000e+00
1.062500e-01 4.19835000e+00
1.093750e-01 4.19670000e+00
1.125000e-01 4.19511000e+00
1.156250e-01 4.19360000e+00
1.187500e-01 4.19215000e+00
1.218750e-01 4.19077000e+00
1.250000e-01 4.18944000e+00
1.281250e-01 4.18817000e+00
1.312500e-01 4.18694000e+00
1.343750e-01 4.18577000e+00
1.375000e-01 4.18463000e+00
1.437500e-01 4.18249000e+00
1.500000e-01 4.18049000e+00
1.562500e-01 4.17862000e+00
1.625000e-01 4.17687000e+00
1.687500e-01 4.17522000e+00
1.750000e-01 4.17367000e+00
1.812500e-01 4.17221000e+00
1.875000e-01 4.17083000e+00
1.937500e-01 4.16952000e+00
2.000000e-01 4.16828000e+00
2.082030e-01 4.16674000e+00
2.164060e-01 4.16529000e+00
2.246090e-01 4.16393000e+00
2.328130e-01 4.16265000e+00
2.410160e-01 4.16144000e+00
2.492190e-01 4.16029000e+00
2.574220e-01 4.15921000e+00
2.656250e-01 4.15818000e+00
2.750000e-01 4.15706000e+00
2.843750e-01 4.15600000e+00
2.937500e-01 4.15499000e+00
3.031250e-01 4.15404000e+00
3.125000e-01 4.15313000e+00
3.218750e-01 4.15226000e+00
3.312500e-01 4.15143000e+00
3.406250e-01 4.15064000e+00
3.500000e-01 4.14988000e+00
3.593750e-01 4.14916000e+00
3.687500e-01 4.14847000e+00
3.781250e-01 4.14780000e+00
3.875000e-01 4.14716000e+00
3.968750e-01 4.14654000e+00
4.062500e-01 4.14594000e+00
4.250000e-01 4.14482000e+00
4.437500e-01 4.14376000e+00
4.625000e-01 4.14278000e+00
5.000000e-01 4.14099000e+00
5.312500e-01 4.13966000e+00
5.625000e-01 4.13844000e+00
5.937500e-01 4.13733000e+00
6.250000e-01 4.13630000e+00
6.875000e-01 4.13447000e+00
7.500000e-01 4.13289000e+00
8.125000e-01 4.13150000e+00
8.750000e-01 4.13027000e+00
9.375000e-01 4.12916000e+00
1.000000e+00 4.12817000e+00
1.062500e+00 4.12727000e+00
1.125000e+00 4.12646000e+00
1.187500e+00 4.12570000e+00
1.250000e+00 4.12501000e+00
1.375000e+00 4.12377000e+00
1.500000e+00 4.12270000e+00
1.625000e+00 4.12176000e+00
1.750000e+00 4.12092000e+00
1.875000e+00 4.12017000e+00
2.000000e+00 4.11949000e+00
2.164060e+00 4.11870000e+00
2.328130e+00 4.11800000e+00
2.492190e+00 4.11736000e+00
2.656250e+00 4.11679000e+00
2.750000e+00 4.11649000e+00
2.937500e+00 4.11593000e+00
3.125000e+00 4.11542000e+00
3.312500e+00 4.11496000e+00
3.500000e+00 4.11454000e+00
3.750000e+00 4.11402000e+00
4.000000e+00 4.11356000e+00
4.250000e+00 4.11314000e+00
4.625000e+00 4.11258000e+00
5.000000e+00 4.11208000e+00
5.500000e+00 4.11150000e+00
5.750000e+00 4.11125000e+00
5.875000e+00 4.11113000e+00
6.000000e+00 4.11103000e+00
6.125000e+00 4.11098000e+00
6.250000e+00 4.11095000e+00
6.562500e+00 4.11090000e+00
6.875000e+00 4.11085000e+00
7.500000e+00 4.11074000e+00
8.750000e+00 4.11053000e+00
9.000000e+00 4.11050000e+00
1.000000e+01 4.11046000e+00
1.250000e+01 4.11039000e+00
1.500000e+01 4.11033000e+00
1.750000e+01 4.11028000e+00
2.000000e+01 4.11023000e+00
2.750000e+01 4.11010000e+00
3.500000e+01 4.10998000e+00
4.232300e+01 4.10987000e+00
4.250000e+01 4.10986000e+00
4.296880e+01 4.10986000e+00
4.343750e+01 4.10985000e+00
4.437500e+01 4.10984000e+00
4.625000e+01 4.10983000e+00
5.000000e+01 4.10979000e+00
6.250000e+01 4.10967000e+00
6.875000e+01 4.10961000e+00
6.900100e+01 4.10961000e+00
6.975090e+01 4.10960000e+00
7.050080e+01 4.10960000e+00
7.200050e+01 4.10959000e+00
7.500000e+01 4.10957000e+00
8.125000e+01 4.10953000e+00
8.750000e+01 4.10950000e+00
1.000000e+02 4.10943000e+00
1.119300e+02 4.10936000e+00
1.125000e+02 4.10936000e+00
1.140630e+02 4.10935000e+00
1.156250e+02 4.10935000e+00
1.187500e+02 4.10933000e+00
1.250000e+02 4.10931000e+00
1.500000e+02 4.10922000e+00
1.687500e+02 4.10916000e+00
1.750000e+02 4.10914000e+00
2.000000e+02 4.10910000e+00
2.750000e+02 4.10896000e+00
3.500000e+02 4.10882000e+00
3.542600e+02 4.10881000e+00
3.631030e+02 4.10880000e+00
3.719450e+02 4.10879000e+00
3.896300e+02 4.10878000e+00
4.250000e+02 4.10874000e+00
5.000000e+02 4.10867000e+00
6.250000e+02 4.10856000e+00
6.445400e+02 4.10854000e+00
6.562500e+02 4.10853000e+00
7.031250e+02 4.10851000e+00
7.500000e+02 4.10848000e+00
8.750000e+02 4.10842000e+00
1.000000e+03 4.10836000e+00
1.125000e+03 4.10830000e+00
1.250000e+03 4.10826000e+00
1.500000e+03 4.10818000e+00
1.721700e+03 4.10811000e+00
1.750000e+03 4.10811000e+00
1.812500e+03 4.10810000e+00
1.875000e+03 4.10809000e+00
2.000000e+03 4.10807000e+00
2.375000e+03 4.10801000e+00
2.750000e+03 4.10795000e+00
3.500000e+03 4.10783000e+00
3.656300e+03 4.10780000e+00
3.687500e+03 4.10780000e+00
3.757810e+03 4.10780000e+00
3.828130e+03 4.10779000e+00
3.968750e+03 4.10778000e+00
4.250000e+03 4.10776000e+00
5.000000e+03 4.10770000e+00
5.250000e+03 4.10768000e+00
5.500000e+03 4.10766000e+00
5.750000e+03 4.10765000e+00
6.000000e+03 4.10826000e+00
