Zn-67(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 375.739
1.03125E-05 370.002
1.06250E-05 364.520
1.09375E-05 359.275
1.12500E-05 354.250
1.15625E-05 349.430
1.18750E-05 344.802
1.21875E-05 340.352
1.25000E-05 336.071
1.28125E-05 331.947
1.31250E-05 327.972
1.34375E-05 324.136
1.37500E-05 320.431
1.43750E-05 313.388
1.50000E-05 306.790
1.56250E-05 300.591
1.62500E-05 294.754
1.68750E-05 289.244
1.75000E-05 284.032
1.81250E-05 279.092
1.87500E-05 274.401
1.93750E-05 269.939
2.00000E-05 265.688
2.09375E-05 259.671
2.18750E-05 254.046
2.28125E-05 248.771
2.37500E-05 243.812
2.46875E-05 239.137
2.56250E-05 234.722
2.65625E-05 230.543
2.75000E-05 226.579
2.84375E-05 222.813
2.93750E-05 219.229
3.03125E-05 215.812
3.12500E-05 212.550
3.21875E-05 209.432
3.31250E-05 206.447
3.40625E-05 203.586
3.50000E-05 200.841
3.59375E-05 198.204
3.68750E-05 195.668
3.78125E-05 193.227
3.87500E-05 190.876
3.96875E-05 188.608
4.06250E-05 186.419
4.25000E-05 182.260
4.43750E-05 178.368
4.62500E-05 174.715
4.81250E-05 171.278
5.00000E-05 168.036
5.23438E-05 164.231
5.46875E-05 160.673
5.70313E-05 157.337
5.93750E-05 154.200
5.95886E-05 153.923
6.03165E-05 152.992
6.10443E-05 152.077
6.25000E-05 150.296
6.48108E-05 147.592
6.71216E-05 145.029
6.94324E-05 142.595
7.17432E-05 140.280
7.18750E-05 140.151
7.22656E-05 139.772
7.26563E-05 139.396
7.34375E-05 138.652
7.50000E-05 137.200
7.81250E-05 134.428
8.12500E-05 131.818
8.43750E-05 129.354
8.75000E-05 127.023
9.06250E-05 124.814
9.37500E-05 122.716
9.68750E-05 120.720
0.000100000 118.819
0.000103125 117.005
0.000106250 115.271
0.000109375 113.613
0.000112500 112.024
0.000115625 110.500
0.000118750 109.036
0.000121875 107.629
0.000125000 106.275
0.000128125 104.971
0.000131250 103.714
0.000134375 102.501
0.000137500 101.329
0.000143750 99.1019
0.000150000 97.0154
0.000156250 95.0552
0.000162500 93.2093
0.000168750 91.4670
0.000175000 89.8188
0.000181250 88.2566
0.000187500 86.7732
0.000193750 85.3621
0.000200000 84.0178
0.000207662 82.4531
0.000215325 80.9728
0.000222987 79.5694
0.000230650 78.2366
0.000238312 76.9685
0.000245974 75.7602
0.000253637 74.6071
0.000261299 73.5051
0.000268150 72.5601
0.000275000 71.6506
0.000284375 70.4596
0.000293750 69.3262
0.000303125 68.2457
0.000312500 67.2142
0.000321875 66.2281
0.000331250 65.2842
0.000340625 64.3795
0.000350000 63.5115
0.000359375 62.6776
0.000368750 61.8757
0.000378125 61.1038
0.000387500 60.3601
0.000396875 59.6430
0.000406250 58.9508
0.000425000 57.6357
0.000443750 56.4049
0.000462500 55.2497
0.000481250 54.1627
0.000500000 53.1375
0.000515625 52.3262
0.000531250 51.5509
0.000546875 50.8092
0.000562500 50.0985
0.000578125 49.4169
0.000593750 48.7623
0.000609375 48.1331
0.000625000 47.5276
0.000640625 46.9444
0.000656250 46.3822
0.000671875 45.8397
0.000687500 45.3158
0.000718750 44.3197
0.000750000 43.3866
0.000781250 42.5100
0.000812500 41.6845
0.000843750 40.9053
0.000875000 40.1682
0.000906250 39.4695
0.000937500 38.8061
0.000968750 38.1751
0.00100000 37.5739
0.00103125 37.0002
0.00106250 36.4520
0.00109375 35.9275
0.00112500 35.4250
0.00115625 34.9430
0.00118750 34.4802
0.00121875 34.0353
0.00125000 33.6071
0.00128125 33.1947
0.00131250 32.7972
0.00134375 32.4136
0.00137500 32.0431
0.00143750 31.3388
0.00150000 30.6790
0.00156250 30.0591
0.00162500 29.4754
0.00168750 28.9244
0.00175000 28.4032
0.00181250 27.9092
0.00187500 27.4401
0.00193750 26.9939
0.00200000 26.5688
0.00208203 26.0401
0.00216406 25.5418
0.00224609 25.0710
0.00232813 24.6254
0.00241016 24.2027
0.00249219 23.8010
0.00257422 23.4187
0.00265625 23.0543
0.00275000 22.6579
