Ge-70(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.0322469 16.5770
0.0334047 16.5269
0.0345625 16.4795
0.0355274 16.4417
0.0364922 16.4055
0.0374570 16.3707
0.0384219 16.3373
0.0393867 16.3051
0.0403516 16.2740
0.0413164 16.2441
0.0422813 16.2153
0.0442109 16.1604
0.0461406 16.1091
0.0480703 16.0610
0.0500000 16.0157
0.0515625 15.9810
0.0531250 15.9478
0.0546875 15.9160
0.0562500 15.8856
0.0578125 15.8565
0.0593750 15.8285
0.0609375 15.8017
0.0625000 15.7758
0.0640625 15.7510
0.0656250 15.7270
0.0671875 15.7039
0.0687500 15.6816
0.0718750 15.6392
0.0750000 15.5995
0.0781250 15.5622
0.0812500 15.5271
0.0843750 15.4940
0.0875000 15.4627
0.0906250 15.4330
0.0937500 15.4048
0.0968750 15.3781
0.100000 15.3526
0.103125 15.3283
0.106250 15.3050
0.109375 15.2828
0.112500 15.2615
0.115625 15.2411
0.118750 15.2215
0.121875 15.2027
0.125000 15.1846
0.128125 15.1671
0.131250 15.1503
0.134375 15.1341
0.137500 15.1185
0.143750 15.0887
0.150000 15.0608
0.156250 15.0346
0.162500 15.0100
0.168750 14.9867
0.175000 14.9646
0.181250 14.9438
0.187500 14.9239
0.193750 14.9051
0.200000 14.8871
0.209375 14.8617
0.218750 14.8379
0.228125 14.8156
0.237500 14.7946
0.246875 14.7748
0.256250 14.7561
0.265625 14.7384
0.275000 14.7216
0.284375 14.7056
0.293750 14.6904
0.303125 14.6759
0.312500 14.6620
0.321875 14.6488
0.331250 14.6361
0.340625 14.6239
0.350000 14.6122
0.359375 14.6010
0.368750 14.5902
0.378125 14.5797
0.387500 14.5697
0.396875 14.5600
0.406250 14.5507
0.425000 14.5329
0.443750 14.5162
0.462500 14.5005
0.500000 14.4717
0.531250 14.4500
0.562500 14.4301
0.593750 14.4117
0.625000 14.3946
0.687500 14.3638
0.750000 14.3368
0.812500 14.3128
0.875000 14.2912
0.937500 14.2717
1.00000 14.2538
1.06250 14.2374
1.12500 14.2222
1.18750 14.2081
1.25000 14.1949
1.37500 14.1710
1.50000 14.1497
1.62500 14.1305
1.75000 14.1130
1.87500 14.0970
2.00000 14.0821
2.18750 14.0617
2.37500 14.0432
2.56250 14.0261
2.75000 14.0103
2.93750 13.9956
3.12500 13.9817
3.31250 13.9686
3.50000 13.9561
3.87500 13.9328
4.25000 13.9113
4.62500 13.8913
5.00000 13.8723
5.31250 13.8573
5.62500 13.8428
5.93750 13.8288
6.25000 13.8153
6.87500 13.7893
7.50000 13.7645
8.12500 13.7408
8.75000 13.7178
9.37500 13.6956
10.0000 13.6739
10.6250 13.6527
11.2500 13.6320
11.8750 13.6117
12.5000 13.5917
13.7500 13.5526
15.0000 13.5146
16.2500 13.4774
17.5000 13.4410
18.7500 13.4052
20.0000 13.3700
21.8750 13.3182
23.7500 13.2673
25.6250 13.2173
27.5000 13.1681
29.3750 13.1196
31.2500 13.0718
33.1250 13.0247
35.0000 12.9781
36.8750 12.9321
38.7500 12.8866
42.5000 12.7971
46.2500 12.7095
50.0000 12.6237
53.1250 12.5534
56.2500 12.4842
59.3750 12.4161
62.5000 12.3490
65.6250 12.2828
68.7500 12.2177
71.8750 12.1534
75.0000 12.0900
81.2500 11.9659
87.5000 11.8451
93.7500 11.7274
100.000 11.6127
106.250 11.5009
112.500 11.3918
118.750 11.2854
125.000 11.1814
131.250 11.0799
137.500 10.9807
143.750 10.8838
150.000 10.7890
156.250 10.6962
162.500 10.6055
168.750 10.5167
175.000 10.4298
187.500 10.2612
