72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
3.074610e-04 1.21603153e+03
3.125000e-04 1.20609852e+03
3.200000e-04 1.19194429e+03
3.218750e-04 1.18841269e+03
3.312500e-04 1.17148844e+03
3.344810e-04 1.16589003e+03
3.406250e-04 1.15526623e+03
3.489620e-04 1.14141635e+03
3.500000e-04 1.13969386e+03
3.523440e-04 1.13595332e+03
3.546880e-04 1.13221399e+03
3.593750e-04 1.12474039e+03
3.687500e-04 1.11035922e+03
3.781250e-04 1.09651952e+03
3.875000e-04 1.08318222e+03
3.968750e-04 1.07032324e+03
4.062500e-04 1.05791018e+03
4.250000e-04 1.03433129e+03
4.437500e-04 1.01226110e+03
4.625000e-04 9.91546674e+02
4.812500e-04 9.72057122e+02
5.000000e-04 9.53674277e+02
5.156250e-04 9.39128259e+02
5.312500e-04 9.25229006e+02
5.468750e-04 9.11930751e+02
5.625000e-04 8.99189991e+02
5.781250e-04 8.86969095e+02
5.937500e-04 8.75231879e+02
6.093750e-04 8.63953418e+02
6.250000e-04 8.53096601e+02
6.400000e-04 8.43060911e+02
6.406250e-04 8.42643396e+02
6.562500e-04 8.32569296e+02
6.675000e-04 8.25561751e+02
6.718750e-04 8.22841892e+02
6.875000e-04 8.13449246e+02
6.950000e-04 8.09157843e+02
7.187500e-04 7.95594383e+02
7.225000e-04 7.93583604e+02
7.500000e-04 7.78865189e+02
7.812500e-04 7.63151831e+02
8.125000e-04 7.48355420e+02
8.437500e-04 7.34387764e+02
8.750000e-04 7.21177471e+02
9.062500e-04 7.08657533e+02
9.375000e-04 6.96766258e+02
9.687500e-04 6.85457607e+02
1.000000e-03 6.74683772e+02
1.031250e-03 6.64403628e+02
1.062500e-03 6.54580606e+02
1.093750e-03 6.45181203e+02
1.125000e-03 6.36175561e+02
1.156250e-03 6.27540551e+02
1.187500e-03 6.19247766e+02
1.218750e-03 6.11274897e+02
1.250000e-03 6.03605746e+02
1.280000e-03 5.96511803e+02
1.281250e-03 5.96216673e+02
1.312500e-03 5.89096456e+02
1.335000e-03 5.84145782e+02
1.343750e-03 5.82224269e+02
1.375000e-03 5.75589011e+02
1.390000e-03 5.72556025e+02
1.437500e-03 5.62969923e+02
1.445000e-03 5.61549094e+02
1.500000e-03 5.51148936e+02
1.562500e-03 5.40048849e+02
1.625000e-03 5.29592696e+02
1.687500e-03 5.19726297e+02
