Ti-49(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000368750 15.4282
0.000378125 15.2357
0.000387500 15.0503
0.000396875 14.8714
0.000406250 14.6988
0.000425000 14.3709
0.000443750 14.0641
0.000462500 13.7760
0.000481250 13.5050
0.000500000 13.2494
0.000515625 13.0471
0.000531250 12.8538
0.000546875 12.6688
0.000562500 12.4916
0.000578125 12.3217
0.000593750 12.1584
0.000609375 12.0016
0.000625000 11.8506
0.000640625 11.7052
0.000656250 11.5650
0.000671875 11.4297
0.000687500 11.2991
0.000718750 11.0507
0.000750000 10.8181
0.000781250 10.5995
0.000812500 10.3936
0.000843750 10.1994
0.000875000 10.0156
0.000906250 9.84136
0.000937500 9.67595
0.000968750 9.51861
0.00100000 9.36870
0.00103125 9.22565
0.00106250 9.08897
0.00109375 8.95818
0.00112500 8.83289
0.00115625 8.71271
0.00118750 8.59730
0.00121875 8.48636
0.00125000 8.37961
0.00128125 8.27679
0.00131250 8.17766
0.00134375 8.08201
0.00137500 7.98964
0.00143750 7.81402
0.00150000 7.64949
0.00156250 7.49494
0.00162500 7.34939
0.00168750 7.21200
0.00175000 7.08205
0.00181250 6.95887
0.00187500 6.84190
0.00193750 6.73064
0.00200000 6.62464
0.00209375 6.47462
0.00218750 6.33436
0.00228125 6.20283
0.00237500 6.07917
0.00246875 5.96262
0.00256250 5.85253
0.00265625 5.74832
0.00275000 5.64949
0.00284375 5.55558
0.00293750 5.46620
0.00303125 5.38101
0.00312500 5.29968
0.00321875 5.22192
0.00331250 5.14749
0.00340625 5.07616
0.00350000 5.00771
0.00359375 4.94196
0.00368750 4.87873
0.00378125 4.81787
0.00387500 4.75923
0.00396875 4.70268
0.00406250 4.64810
0.00425000 4.54441
0.00443750 4.44736
0.00462500 4.35627
0.00481250 4.27057
0.00500000 4.18972
0.00515625 4.12575
0.00531250 4.06462
0.00546875 4.00613
0.00562500 3.95010
0.00578125 3.89635
0.00593750 3.84474
0.00609375 3.79512
0.00625000 3.74738
0.00640625 3.70140
0.00656250 3.65707
0.00671875 3.61429
0.00687500 3.57298
0.00718750 3.49444
0.00750000 3.42086
0.00781250 3.35174
0.00812500 3.28664
0.00843750 3.22520
0.00875000 3.16708
0.00906250 3.11199
0.00937500 3.05968
0.00968750 3.00992
0.0100000 2.96252
0.0103125 2.91728
0.0106250 2.87406
0.0109375 2.83270
0.0112500 2.79307
0.0115625 2.75507
0.0118750 2.71857
0.0121875 2.68349
0.0125000 2.64973
0.0128125 2.61722
0.0131250 2.58587
0.0134375 2.55562
