Se-78(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0442109 0.325303
0.0461406 0.318427
0.0480703 0.311969
0.0500000 0.305889
0.0515625 0.301218
0.0531250 0.296754
0.0546875 0.292484
0.0562500 0.288393
0.0578125 0.284469
0.0593750 0.280701
0.0609375 0.277080
0.0625000 0.273596
0.0640625 0.270240
0.0656250 0.267005
0.0671875 0.263884
0.0687500 0.260869
0.0718750 0.255138
0.0750000 0.249768
0.0781250 0.244723
0.0812500 0.239970
0.0843750 0.235484
0.0875000 0.231240
0.0906250 0.227217
0.0937500 0.223397
0.0968750 0.219764
0.100000 0.216302
0.103125 0.213000
0.106250 0.209844
0.109375 0.206824
0.112500 0.203931
0.115625 0.201156
0.118750 0.198492
0.121875 0.195931
0.125000 0.193467
0.128125 0.191094
0.131250 0.188807
0.134375 0.186601
0.137500 0.184470
0.143750 0.180419
0.150000 0.176622
0.156250 0.173054
0.162500 0.169693
0.168750 0.166521
0.175000 0.163520
0.181250 0.160676
0.187500 0.157976
0.193750 0.155409
0.200000 0.152964
0.209375 0.149503
0.218750 0.146265
0.228125 0.143228
0.237500 0.140372
0.246875 0.137681
0.256250 0.135139
0.265625 0.132733
0.275000 0.130451
0.284375 0.128282
0.293750 0.126219
0.303125 0.124252
0.312500 0.122374
0.321875 0.120579
0.331250 0.118861
0.340625 0.117214
0.350000 0.115634
0.359375 0.114116
0.368750 0.112657
0.378125 0.111252
0.387500 0.109899
0.396875 0.108596
0.406250 0.107338
0.425000 0.104948
0.443750 0.102708
0.462500 0.100605
0.500000 0.0967665
0.531250 0.0938837
0.562500 0.0912387
0.593750 0.0888052
0.625000 0.0865567
0.687500 0.0825295
0.750000 0.0790174
0.812500 0.0759191
0.875000 0.0731672
0.937500 0.0706948
1.00000 0.0684505
1.06250 0.0664075
1.12500 0.0645375
1.18750 0.0628174
1.25000 0.0612282
1.37500 0.0583817
1.50000 0.0558994
1.62500 0.0537097
1.75000 0.0517641
1.87500 0.0500164
2.00000 0.0484287
2.18750 0.0463091
2.37500 0.0444480
2.56250 0.0427955
2.75000 0.0413182
2.93750 0.0399849
